Che stleuiedesainte	-|-⌫-|-|--|-|-----|
Etele meismese nracataasséset	-|--|------|-⌫|-----|-----|-|
a lerfransetlesautres	-⌫--|----|-|--|-----|
fistentreren religion	---|-----|-|-------|
Et seurtoutesautresc os esmistg ran t	-|---|-----|-----|-⌫--⌫-|---|-⌫---⌫|
c hiaxquele auoi tnorris at rairea r eli gieu sement uiure	-⌫---|-|--|----⌫|-----||-⌫----||-⌫---⌫----⌫-----|----|
blandianteten	--------|-|-|
tou teslesmanieresquele	---⌫--|--|-------|-|--|
pooitsiquesgrant partiede	----|-----|----|-----|-|
chiauset deceles deso n hos tel	-----|-|-|----|-|--⌫|---⌫--|
fi sten trerenrel igionet a	--⌫-|--⌫---|-|---⌫----|-||
tozprioi thumlementquetout fussentenprieres	--|-----⌫|--------|--|---|------|-|------|
etenorisonspourlame	-|-|------|---||--|
deso nseigneuretpour	-|--⌫|-------|-|---|
limeismesetpour	-|------|-|---|
desesenfanzetpourlepaisdure gn e	-|--|-----|-|---|-|---|-|--⌫--⌫|
dona si g ran t gracequesessa ige samonne stemens etse	---|-|-⌫---⌫|----|--|--|--⌫---⌫|------⌫------|-|-|
debon aire apresur edepartipl usor sdel euanité	-----⌫---|-------⌫|------|--⌫----⌫|-|-⌫|------|
de ces t mond eet	-|---⌫|----⌫|-|
lorfistsousm etreiausm e es mes au	--|---|-----⌫---|---|-⌫-⌫--⌫--|-|
Seigneu rcar ele uoloi testrepa rchonniere dele	-------⌫|--|--|-----⌫|----|--⌫---------|-|-|
clarté dontl iangeles	------|---|-⌫|------|
Daniel desen segnemensdeiustichee t	-----|--|--⌫--------|-|-------|-⌫|
d is t que cilqui	-⌫--⌫|--|--|--|
lesautresense ignen tabienfair eresplendiront	--|-----|----⌫-----⌫||---|----⌫|------------|
plusc lerq ue l es est oi lespartousle spardura blesaages	---|-⌫--|-⌫-|-⌫-|---⌫--⌫--|--|---|--⌫|-------⌫---|----|
Encoredonnacelesainti smero in e a seglises	-----|----|---|------⌫--|--⌫--⌫|-⌫|------|
mon seigneursaint	--|-------|----|
Pierreetm onseigneurs ain t	-----|-|-⌫-|-------|-⌫---⌫|
Romemoutriche s	---|---|-----⌫|
donse tmo uth o nora b lespour	---|-⌫|--⌫-|-⌫-⌫----⌫-⌫--|---|
la mord e s	|-⌫--|-⌫-⌫|
deu sapostres et asrenclusmeis mes etasautr es p ou res	---⌫|-------|-|-|------|----⌫--|-|-|----⌫-|-⌫--⌫--|
Romeenuoioit souue nt mou t largesaumosnes	---|-------|-----⌫-|---⌫|-----|-------|
C arsede u o tioncr oissoit	-⌫-|-|--⌫-⌫-⌫---|--⌫------|
cascuniourettous	-----|---|-|---|
iours prioit	----|-----|
Seigneurquilli enuoiastliu	-------|-|-|-|-------|--|
peustestre	----|----|
quelel eseru ist a	-|--|-⌫|----⌫--||
senuiu antenabit	--|---⌫--|-|---|
de rel igion	-|---⌫----|
de uan tditeabeie	--⌫---⌫----|----|
queele meismes auoitfo ndee	--|--|------|----|--⌫---|
Maislip lus	---|-|-⌫--|
poissant etcilqui estoientprimerainelregnede	-------|-|--|--|-------|--------|-|----|-|
France ler etinrentmoutlonguemen t	-----|-|-⌫-------|---|---------⌫|
dec hesaintpr opos	-|-⌫-|----|--⌫---|
meesm ement p our	-----⌫----|-⌫--|
queli regn esestoitaussi commet ousgouuernés	--|-|----⌫-|-----|----|----|-⌫--|---------|
et souste nuspars ontr es saige sco nse iletp orce	-|------⌫--|--|-⌫-|--⌫-|-----⌫|--⌫---⌫-|-|-⌫-|-|
mei sm esqui ltuitlamoientde grant	---⌫--⌫-|-|-⌫|---||------|-|----|
amorpou rsesaintecon uersa tionAgr an t	---|---⌫|-|-----|---⌫-----⌫---||--⌫--⌫|
pai nnelieussentia souffe rtdentrer en	---⌫--|-|------|-|------⌫-||-----|-|
rel igionsenefustu neauentu re qu i auint d	---⌫----|-|-|---|-⌫-|------⌫-|--⌫|----||
uneuesquequi a uoit non	-|------|--|-⌫---|--|
Sigebransquel i	--------|--|-⌫|
Fra nc hois ochisent par s on	---⌫--⌫---|-------|--|-⌫-|
Maispourche queli baronore nt peeur quele	---|---|--|--|-|----|---⌫-|----|-|--|
eust co n trecuer etqu e le neu ou ssist	---|--⌫-⌫------|-|-|-⌫-|-|-⌫--⌫----|
cel edesloia uté uengiersi l iotrierentparpaourcho u	---⌫|-------⌫---|------|-|-⌫|--------|--|----|---⌫|
quil neliuourr e ntdeuant	-|-|-|-|-----⌫-⌫-|-----|
otroierpar	------|--|
tempo rel amor	-----⌫--|---|
Etsansfail leilnelotrierent	-|---|----⌫-|-|-||--------|
mieparbon coraige mais	--|--|--|------|---|
por lortemporel	--|--|-------|
damaige esquiuer	------|-------|
Maislesain te roi neneprenoit miegard e	---|-|----⌫-|---⌫-|-|------|--|----⌫|
a leur ententioncare lesauoit	|---|--------|--|-⌫-|-----|
bienque chest oitpl uspar leporueance	---|--|-|---⌫--|--⌫-|--|-|--------|
Se igneurque	--⌫-----|--|
pa r l orc onsau squel e	--⌫|-⌫-|-⌫-----⌫|-|--⌫|
auoitliuett an sdeso n	----|--|-|-⌫--⌫|-|--⌫|
ueuaemplir	--|------|
Nedemora waires ap r e ́schescoses qu	-|-----|-----|--⌫-⌫-⌫-|---|----|-|
eleatornason afaireetlamen er ent une partie des	--|-----|--|-----|-||----⌫--⌫--|--|-----|--|
haus homesde	---|----|-|
C hieleou lesnonnainsle	-⌫----|-|--|-------|-|
re chure ntsiconraisons estoitmouthonor ab lementetele	--⌫-----⌫-|-|--|------|-----|---|-----⌫--⌫-----|-|--|
ren doit gracesa	---⌫---|-----||
Seign eurquidesouslombredeseseles l	-----⌫--|--|-----||----|-|--|---||
a uoi tamene e aportd e salu	-⌫---⌫|-----⌫||---|-⌫|---|
anemis dumai nne l i gnie quitous iou rs	-----||----⌫--|-⌫-⌫---|--|---|---⌫-|
est cor echiésdu	--|---⌫------|-|
bienet liésdum al	---|-|----|-|-⌫-|
pourcachatant	--------|---|
quequantel e e ut	--|----|--⌫|-⌫-|
une p ieceestéenlabeielesnonnains d e	--|-⌫---|----|-||----|--|-------|-⌫|
laiensqu e leauoit	-----|-|-⌫-|----|
doucementno rries	--------|--⌫----|
et auanchiesle co m mencheren ta au oir	-|--------|-|--⌫-⌫---------⌫||--⌫--|
cont recuer et	----⌫-----|-|
s ep enerent del irendrem al po r	-⌫|-⌫------|-|-⌫|-----|-⌫-|--⌫|
tostconcelesai nte dame s enfu percheue s	---|--|---|---⌫--|---||-|-|-------||
enpristto ut le tort	-|----|--⌫-|-|---|
etleurcriamouth umlement	-|---|---|---|-⌫-------|
mer chi de leu rfor fait meism es	---⌫--|-|---⌫|---⌫---|-----⌫-|
etparc helehumilite ́ repor cachal amor	-|--|-⌫---|--------⌫|-----⌫----||---|
detoutesses serours	-|-----|--|------|
Eledonn oitsigran t	--|----⌫--|-|----⌫|
es sampledehum ilitéa toutesle s autresqu	--⌫-----|-|---⌫-----||-----|--⌫|-----|-|
e lemeismesseruoit souuentporses	-⌫-|------|------|------|--|--|
sereurse n lequi sine et faisoit	------|-⌫|-|---⌫---|-|------|
l esneteez delaiens	-⌫-|-----|-|-----|
Etsi faisoit	-|-|------|
encor epluscel e	-----⌫|---|---⌫|
tr e spure m a rgeritequeleme ismes nio i t les c amb res	--⌫-⌫|---|-⌫-⌫------|-|--|--⌫----|---⌫-⌫|--|-⌫---⌫--|
priuees etostoitlesordures	------|-|-----|--|------|
a sespropres main settoutchefaisoita	|--|------|----⌫|-|---|--|------||
ioi eet aliécoraigepour amou rc heli	---⌫|-||---|------|---|----⌫|-⌫---|
Ie n euingm iepour	-|-⌫|---|-⌫-|---|
estres eruis maispour	----|-⌫----|---|---|
seruircar commentporroitnus	-----|--|------|------|--|
croirenequidier q ues i hau t e fem e et	-----|-|------|-⌫-|-⌫|---⌫-⌫|---⌫|-|
saban donnasta	|----⌫------||
si u ilseruigeselatres plenniere amo r	-|-⌫-|------|-|-|---|--------|---⌫|
Seigneu r nel eu sta	-------⌫|-||--⌫-||
Elee stoitmout	--|-⌫----|---|
assid ueusa	-----⌫---||
orisons mel lee sa	------|---⌫---⌫||
lerme setse stoitsi abandonneesas oeuresde	-----⌫|-||-⌫----|-|----------|-|-----|-|
caritéquele se dolo ita uecques	------|-|--|-|----⌫-|-⌫------|
le s dol an set s	--⌫|---⌫--⌫|-||
esioi ssoitauecquesl es ioiss ansnom eementdes foiblesetdes	-----⌫----|-------|-⌫-|-----⌫--|---⌫-----|--|------|-|--|
maladesprendoitele	------|-------|--|
si grantcure quelel e s	-|----|---|-|--|-⌫-⌫|
uisitoi tetconfor toit	-------⌫|-|------⌫---|
des de uinsen seignemenset	--|--⌫---|--⌫---------|-|
quantele ueo i tque	----|--|---⌫-⌫|--|
aucuneco selorfaloit	-----|--⌫-|--|-----|
as cors ele	-|---|--|
estoitpour eles en	-----|---|---|-|
priereuerslabeiesse quele le s se coureust	-----|---||-------|-|--|--⌫|--⌫-------|
E tlabe esseenobeissoitmoutuolentiers	-⌫||---⌫---|-|--------|---|---------|
atoutes ses	|-----|--|
prier esca r ele s .ii.	-----⌫-|--⌫|---⌫|---|
sent r amoientde sigrantamo ren	|---⌫-⌫------|-|-|----|---⌫|-|
Seign e urquelesestoien tselo nclestablissem entdel	-----⌫-⌫-|-|---|-------⌫|----⌫-||-----------⌫--|-||
apostre aussicommeunscors et une	------|----|----|--|---|-|--|
Ent rechescose sa ui ntqueme	---⌫-|---|----⌫|-⌫--⌫-|--|-|
d amesainte	-⌫--|-----|
Balteltcommen chaaestre maladiueetalanguir	------|------⌫--||----|-------|-||------|
dune man ierede trenqo isonsdedensle	|--|---⌫---|-|------⌫----|-----|-|
li fisicie napelentyl eosetsenfu si griement	-|-------⌫|------|--⌫--|-||-|-|-|-------|
torme nteequ esenefustlaideet	-----⌫---|--⌫|-|-|---||---|-|
liconsausdesfisiciensele n epeust	-|------|--|--------|--|-⌫|----|
mie sigrant maladi e souff rirlong uementmais encorefust	--|-|----|------⌫|-----⌫--|----⌫-----|---|-----|---|
li cors tormenté s decele	-|---|---------⌫|-|---|
dolouretsoustenus	-----|-|--------|
u nepartiepar le s fis ici ensterrienssiauoit	-⌫-|-----|--|--⌫|---⌫---⌫--|-------|-|----|
c elesaintedametou tes	-⌫--|-----|---|---⌫-||
e sper a ncemise oucelest ielmiereacui	-⌫----⌫-⌫--|---|-|------⌫--|----||--|
elene finoitderendre	--|-|-----|-|-----|
g racesensainteetenpure c onscie nceet	-⌫----|-|-----|-|-|---|-⌫------⌫--|-|
aten doitareceuoirporle tribu la tiont e mporelle	----⌫---||-------|--|-|-----⌫--⌫---|-⌫-⌫-----|-|
loier d ele p ardurableuie	----|-⌫|-|-⌫--------|--|
To ute sestudeet toute	--⌫--||-----|-|----|
estoitado ne r	-----||--⌫--⌫|
soi me ismesasessereurse n	--|--⌫----||--|------|-⌫|
essa mplede pitiéetdeuraiehu milité	----⌫---|-|-----|-|-|----|--⌫------|
e tdeparfa ites ubiectionets amonne sto itsouuent	-⌫|-|-----⌫--|-⌫--------|-||------⌫---⌫-|------|
qu elede tout	-|--|-|---|
sonpo oir t en istleroiettousles haushom es	--|--⌫--|-⌫--⌫--|-|--|-|---|--|---|---⌫-|
asa mour etquele lesal ast	||-⌫---|-|-|--|--|--⌫--|
souuentuisiterpour	------|------|---|
chequeledeuantdi tema isonfustgardee	--|--|-|--------⌫-|--⌫---|---|-----|
etsous tenuepar leuraide	-|----⌫----|--|---|---|
etparleur co nseil etq u	-|--|---|--⌫----|-|-⌫|
elenep ardistlebone	--|-|-⌫-----|-|---|
renommeequele	-------|-|--|
auo it recheuec ar siconl escripturele	---⌫-|------|-⌫-|-|--||---------|-|
Bone cose est etpor fitable	---|---|--|-|---⌫------|
q uelibien s	-⌫-|-|----⌫|
desrel igionssoittesmoignéspar cexqui dehors	--|---⌫-----|---|----------|--|--|--|-----|
Etseurtou tesa utres cosesli prioit qu	-|---|---⌫--|-⌫----|----|-|-----|-|
ele eusturaie	--|---|----|
p itie ́eturaie miseric o rdedespoures e tdeshoste squi	-⌫----⌫|-|----|-------⌫-⌫--|--|-----|-⌫|--|-----⌫|--|
laiensuenrr oientetquon iax	-----|-----⌫----|-|-|-|--|
honoras tetseruist	-------⌫|-|------|
Seignorm eismes qui dist	------|-⌫-----|--|---|
Ch ouque uous	--⌫-|--|---|
fesistesaundecesmie ns petisfreresp oures	-------||-|-|--|---⌫-|----|-----|-⌫----|
amoi meisme sl e	|--|------⌫|-⌫|
Liabb eesse	-|---⌫----|
B ert e enobeimout uolentiers asessa ins amoneste mensne	-⌫---⌫|-|---|---|---------||--|--⌫--|--------⌫---|-|
miet antseuleme ntaleui eme	--|-⌫--|-------⌫-||-|--⌫|-|
damesainte	---|-----|
Ba lteltmais	--⌫----|---|
tantcon el e	---|--|--⌫|
meis mes u esqu iettantenfist	----⌫--|-⌫----⌫|-|---|-|---|
por lamord e	--||---|-⌫|
Seigneurquelaramembranchede lidurapar	-------|--|-|-----------|-|-|---|--|
sieclesdes siecle s	------|--|------⌫|
Quan t l efindecelesainteroineme dame	----⌫|-⌫|--|-|---|-----|----|-|---|
Bal teltfuauq u esap rochiesilifu unenui t	---⌫---|-|---⌫-⌫-|--⌫-----|-|-|-|--|---⌫|
m ost re ́en sen dormantune	-⌫---⌫--⌫|-|--|------|--|
aui sio nmoutbe leet	---⌫---⌫|---|--⌫-|-|
mout couue nabl e auguerredonde s edeser te ca r il	---|-----⌫----⌫|-|--------|-|-⌫|-----⌫-|--⌫|-|
lifu auisquele uei st	-|-|---|-|--|---⌫-|
e nlor mousti e rdeuant	-⌫|--|------⌫-⌫|-----|
Dame une eskieledre chie	---|--|------|---⌫---|
do ntlehauteche aue noitdus cauchiel	--⌫-|-|-------|---⌫---|---⌫|-|----|
etsel ifuauis qu	-|-|-⌫|-|---|-|
elemeesm esmontoiten celeeschiele auecques	--|-----⌫-|------|-|---|-------|-------|
le co mpaigni edesangele s	-|--⌫-------⌫|--|------⌫|
Seigneurqui a mout grant	-------|--||---|----|
ioielecon dui soient etmenoie ntuers l eciel Leschi ele	---|-|---⌫---⌫-----|-|------⌫-|---|-⌫|---||-----⌫--|
auisi onlifudemoustree	-----⌫-|-|-|---------|
fusansdoute	-|---|----|
l e schielequelemeismes auoitdrechie aucie lpar	|-⌫------|-|--|------|----|------|-|---⌫|--|
lesb on e s oeuresqu elemeismes	--|-⌫--⌫-⌫|-----|-|--|------|
auoitfaitesen ces teuietemporel	----|-----|-|---⌫-|--|-------|
Ilauoitenceleeschiel e	-|----|-|---|-------⌫|
escaillonsde.uii.	---------|-|----|
manieresde fus	-------|-|--|
d o n tle senefiancheest m out po urfita blea t ouschi aus	-⌫-⌫-⌫|-|----------|--|-⌫--|--⌫------⌫--||-⌫--|---⌫--|
c hieuswe len t m onter	-⌫----|--⌫---⌫|-⌫----|
Lepre m iere mani ered escail lonssenefie lepremier commenchement	-|---⌫-⌫---|----⌫--||------⌫---|------|-|------|------------|
debi e n faireque c ascunsetcas cunedoit auoir	-|--⌫-⌫|----|--|-⌫-----|-|---⌫---|---|----|
chestlepaourquenous d euons	-|--|-|----|--|---|-⌫----|
auoir deperdre	----|-|-----|
Dieu etdeconquerree nfer	---|-|-|--------|-⌫---|
manieresenefielepitié	------|------|-|-----|
quecascun s doitauoir	--|------⌫|---|----|
desesm aus	-|--|-⌫--|
etdes autrui	-|--|-----|
Letierchemanieresi es tsciencece stconni ssanchede	-|------|------|-|--⌫|------||-⌫-|-----⌫------|-|
bien et de mal	---|-|-|--|
Laquarteman ieres i estforche c estq	-|-----|---⌫---|-⌫|--|-----||--||
o nnese lai st en nule m aniere uaintre	-⌫|-|-|---⌫-|-|---|-⌫-----|------|
enmal faire	-|--|----|
Lequinte manieresi	-|-----|------|-|
estcon saus ce st conse conseille	--|---⌫---||-⌫-||-|-|--------|
Di euet as saig es gensd e	--⌫-|-|-|----⌫-|---|-⌫|
tous se s a faires	---|--⌫|-⌫-----|
Lesisimees t entendemensc h est	-|-----|--⌫|----------|-⌫|--|
qonentendeseli	|-|------|-|-|
con sausestbons ou mau uais	---⌫---|--|---|-|---⌫---|
Leseptimeests ap iencecestq u o n	-|------|--|-⌫--⌫----||--|-⌫|-⌫|
sentebonesaueur	----|---|-----|
enbienfaire	-|---|----|
Detex esc aillo n s	-|--|---⌫-----⌫-⌫|
auoitcele sainte d ame	----|---|-----|-⌫--|
touteseuief ai teleschielequi uersse	----|-|--|-⌫--⌫-||-------|--|---|-|
moustree enauisionetchou	-------|-|------|-|---|
quilifua uisquele	--|-|-|-⌫--|-|--|
fu me neeetconduitecon tremontleschiele parles	-|--⌫--|-|-------|---⌫------||-------|--|--|
Seigneur che fuabon droit carcilli	-------|--|-||--|----|--|--|-|
dur entbien conduirepar q ui	---⌫--|---|-------|--|-⌫-|
conseillelea uoitlesk ielefaite et	-------|--|-⌫---||---⌫---|----|-|
Lid oi fusten	-|-⌫-|---|-|
q oiliescaillon estoi ent fikié ce	-⌫-|-|--------|-----⌫--|-----|-|
fupatienceet humilitéqu ele auoit	-|-------|-|--------|-|--|----|
Q uantele se	-⌫---|--|-|
fuesueillieet eleotr ec ordeeen	-|--------|-|--|-|-⌫--⌫----|-|
sonc uercele	--|-⌫--|---|
auisio nqu	------⌫|-|
elea uoit ueuesis ot b ien ur aiementqu	--|-⌫---|---|-|-⌫-|-⌫--|--⌫------|-|
ele trespasseroit	--|------------|
prochainn ementde chestsiecle	---------⌫----|-|----|-----|
etsedescouu ri	-|-|-------⌫-|
lauisionaune	|------||--|
pa rt iede	--⌫--⌫-|-|
sessereursmais	--|------|---|
e lelordeffendiq u el e s	-⌫-|--|-------|-⌫|--⌫-⌫|
nelendescourissenta l a beesse	-||-|------------|||-⌫-----|
n e asautre ssereurs	-⌫|-|-----⌫|------|
d euantquele seroittrespasseepour che	-⌫----|-|--|-----|---------|---|--|
queleneuoloitqu eelesn efu ssent	-|--|-|-----|--⌫|---|-⌫|--⌫----|
net ristres	-|-⌫------|
ne mo rn esde	-|--⌫--⌫-|-|
P uis la e n au antfuses	-⌫--|-|-⌫|--⌫--|-|--|
cue rspla in sde moutg rantio ieetses cor s	---⌫-|---⌫--⌫|-|---|-⌫---|--⌫-|-|--|---⌫|
plusaband onne ́sa diuerses manieresdepenitances	---|-----⌫----⌫-||-------|-------|-|---------|
quil n auoitonques	-|-||----|-----|
maisestée tse celoitla	---|----|-⌫|-|-----|-|
m alad iede sencorsalabeesse	-⌫----⌫-|-|--|---|||------|
etasautresserours et	-|-|-----|------|-|
faisoit sam lantqu e leen fustmout assouagie	------|---⌫---|-|-⌫-|-|---|---|--------|
Etq ua ntelesentiqueli cours	-|-⌫--⌫-|--|----|--|-|----|
deseuie temporelfuauqu e sp arfais	-|-|--|-------|-|----⌫-⌫|-⌫-----|
s i esdrechauersl echie liexe tma ins	-⌫|-------|---|-⌫|----⌫|--|-⌫|--⌫--|
et pense eetpriasoncr iatour quil	-|-----⌫|-|---|--|--⌫-----|-|-|
reche ust lamequilauoitcrieeet	-----⌫--||--|-|-|----|----|-|
qu illegar dasten	-|-|-|---⌫---|-|
tele manierequecilneneusti oie qui	---|------|--|--||-|---|-⌫--|--|
detosb ien sa due let e nuie et	-|--|-⌫---⌫||---⌫|-|-⌫---|-|
silip r i a quil garda stcel e sa intecom paing nie	-|-|-⌫-⌫-⌫|-|-|-----⌫-|---⌫|--⌫---|---⌫-----⌫--|
quiencelemaisonestoites tabliede s a gais	--|-|---|-----|-----|--⌫-----|--⌫|-⌫---|
etdesdeceuemens alanemi	-|--|---------|||----|
Aprésceste orisonsi	-----|----|-----|-|
pri aas serours qu i deuant liest oie ntde tel	---⌫|-|------|--⌫|-----|-|---⌫---⌫-|-|--|
pooir con ele auoitquel e s	----|--|--|----|-|--⌫-⌫|
ne f eissen t cesco sessauoiral	-|-⌫------⌫|--|--⌫--|-----|||
abeess equimout es t oi t malade	------⌫|--|---|--⌫-⌫--⌫|-----|
ne asautr esser orsq uiilluec n	-|-|----⌫-|---⌫--|-⌫-|-----||
I lau oit laien sun	-⌫|--⌫--|-----⌫|-|
e nfan t queme	-⌫----⌫|--|-|
damesainte	---|-----|
Balt elt auo itleué de f ons dequielepria	----⌫--|---⌫-|----|-|-⌫--|-|--|--|---|
Sei gn eurqu il	---⌫--⌫--|-|-|
en recheu st	-|------⌫-|
l ame si quele	|--|-|-|--|
enueistleco rsent erera insq uele tre spassastde	-|----|-|--⌫-|---⌫---|-⌫--|-⌫|--|---⌫-------|-|
cestsiecle	---|-----|
Sir e sen fi stbienseprierecar	---⌫-⌫|-|--⌫-|---|-|-----|--|
l amed e le nfant departimaintenan tdu	|--|-⌫||-⌫----|------|---------⌫|-|
cors siques le roine	---|-----|-|----|
enuit po rter	-|--|--⌫---|
Apréschescosessesaignam ed ame sainte	-----|---|----|-|-----|-⌫|-⌫--|-----|
Ba ltelxelnondupere	--⌫----|-|--|-|---|
etdufiletdu sa i nt	-|-|--|-|-|--⌫-⌫-|
esperit etpuisrendia	------|-|---|----||
Seigne u r celeboneeu reea me q u ifu rechu te	------⌫-⌫|---|---|--⌫--|-⌫-|-⌫-⌫|-|-----⌫-|
desangelesd e	--|------|-⌫|
lumiereet me nee	------|-|--⌫--|
a g ra ntio i eenparadis	|-⌫--⌫-|--⌫-⌫|-|------|
En iceleheureq u e letre spassa	-|----|----|-⌫|-⌫-|---⌫-----|
f u ent orli	-⌫|---⌫-|-|
sigrant c lartésde ladeuinelumiereq u a	-|----|-⌫------|-|-|-----|------|-⌫||
grantpainnele porent lesseroursqui illec	----|-----|-|-----|--|------|--|----|
esto iente sgar deret	----⌫---|-⌫----⌫--|-|
se lorfuauis qu elesu eiss e nten	-|--|-|---|-|---|-⌫----⌫-⌫-|-|
celeclartéentrele com paingniedesangeles	---|------|----|-|---⌫-------|--|------|
Gene siunz qui iadi s soloit	----⌫----|--|----⌫|-----|
estreses aumo snier sAtele	----|--|----⌫-----⌫||---|
ioie furecheuelame	---|-|------||--|
de c elesain te roineen l eparduraule	-|-⌫--|----⌫-|----|-|-⌫|---------|
uiequeiamais nelifaurra	--|--|-----|-|-|-----|
ou eleauoi t fa itesabitation	-|--|----⌫|--⌫--||--------|
tantconele demo ra	---|--|--|----⌫-|
corporelme nt enterre	----------⌫-|-|----|
Lesseroursquiilluecesto ientc eleren tune gr ant pieche	--|------|--|-----|----⌫---|-⌫------⌫|--|--⌫--|-----|
lor dolour eta n ului ne uourrent ces	--|-----|-||-⌫---|-|-------|--|
c osesdescouurirfors	-⌫---|---------|---|
seule ment asprouoires delaiens qu imaintenantu inrrent	-----⌫---|-|--------|-|-----|--⌫|---------|-⌫------|
etre co mmanderentlame a	-|--⌫--⌫---------||--||
Seigneur quiialauoitreceue ensen regn e	-------|--|-||----|-----|-|--|----⌫|
Maissit ostconlabe es se etlesautres serour s	---|-|-⌫--|--||---⌫--⌫-|-|--|-----|------⌫|
s orentcesc osessi	-⌫----|--|-⌫---|-|
acoururent to utesill uec apleurset a le rme set	---------|--⌫---|---⌫--||-----|-||--⌫---⌫|-|
moutfurenttoutestorm entee senlor cor aige s	---|-----|-----|----⌫-----⌫|-|--|---⌫----⌫|
dec equelesnauoient esté au trespassementde	-|-⌫|-|---||------|----|-|------------|-|
leur g r a nt	---|-⌫-⌫-⌫-|
mereetloresp erite lno urrich e	---|-|--|---⌫-----⌫|--⌫------⌫|
Etquantelesparfurent	-|----|---|--|-----|
uenues duscau cor ssepa rfi rent si	-----|---|-|---⌫|-|--⌫|--⌫---|-|
grantduelq uapainne su ousporr oitn usr a conter toute	----|---|-⌫||------⌫|-⌫--|----⌫--|-⌫-|-⌫-⌫-----|----|
lemaniereetsecoucherenttoutesa terea pleurs	-|------|-|-|---------|-----||---||-----|
eta gemis semenset	-||-----⌫-----|-|
prierentmou t deuotement	-------|---⌫|---------|
Seigne u rquil	------⌫-⌫|-|-|
r echeust ce lebo ne eureeame	-⌫------|--⌫-|--⌫-|----|--|
enleco mp aig niese doucemer e	-|-|--⌫--⌫---⌫--|-|----|---⌫|
Damesainte	---|-----|
Ma rie et detous	--⌫--|-|-|---|
sainset de toutessaintes	----|-|-|-----|------|
Quant li se ru igesde	----|-|--⌫--⌫---|-|
l obita c elesaintedamefu	|---||-⌫--|-----|---|-|
moutreligieu sement	---|--------⌫-----|
fenis siemp orter ent s oncorsen	----|-|---⌫-----⌫--|-⌫-|---|-|
C roisqu el emeismesauoit fo nde eetil luec	-⌫---|-|--⌫|------|----|--⌫---⌫|-|--⌫---|
lenfo irent a	|----⌫----||
mout granthonneursi	---|----|------|-|
conraisonsestoitetlabbeesse	--|------|-----|-||-------|
enuoi amaintenantpart outesleseglises a tosles	-----⌫|---------|--|-⌫----|--|------||--|--|
prouoires d upaïs	--------|-⌫|----|
po ur f aireson seruig equiduscauiourd	--⌫-|-⌫---|--|------⌫|--|---|-|---||
en m outdelius	-|-⌫--|-|---|
Etpou rc he que	-|---⌫|-⌫-|--|
Sir es uoustdemoustrer	---⌫-|----|---------|
aumo ndeunepa rtiedele	-|--⌫--|--|--⌫---|-|-|
me r iteque celesainteroine au o itpo urca chie pars	--⌫-⌫--|--|---|-----|----|--⌫-⌫-|--⌫----⌫---|--||
umelité etparse patienceet p ar	-------|-|--|-|-------|-|-⌫-|
se debonair eté	-|--------⌫---|
etparsetre s g rantcarité et	-|--|-|---⌫|-⌫---|------|-|
quel ic orsdeceli fu sth onorés	--|-⌫|-⌫--|-|---|--⌫-|-⌫------|
enterr edont l	-|----⌫|---||
ame estoit	--|-----|
deuant luienparadissi fist asen sepulchre	-----|--|-|------|-|---||--|--------|
tant dem iracles que nusmalade sn	---|-|-⌫------|--|--|------⌫||
iuenoi tquilconque smaladie ileustquil	|-----⌫|----------⌫|------|-|---|-|-|
ni recouurast se	||---------|-|
Etporche q ueiene	-|--|--|-⌫-|-|-|
porr oiemiesouff ireatoutesles	----⌫--|--|-----⌫--||-----|--|
uret usrac onter que	----⌫-|---⌫----|--|
Si resf i stp ourla mourdemedamesainte	--⌫--|-⌫-⌫-|-⌫--||-⌫---|-|-|---|-----|
Balt eltseuous	----⌫--|-|---|
souf fisseunsmiraclesqueie uous	----⌫----|--|-------|--|-|---|
enconte rai	-|-----⌫--|
Ila uint queu n s	-|-⌫---|--|-⌫-⌫|
euesquesqui auoitnon	-------|--|----|--|
Leudega n gus quimoutestoitamiset	-------⌫-⌫--|--|---|-----|---|-|
familie rsdeleglisede	-------⌫-|-||-----|-|
Chieleu enoi t uisiter le	-----|-⌫----⌫|------|-|
sepu lchremedame sa int e	----⌫----|-|---|--⌫---⌫|
Balte ltq uelianemisentra	-----⌫-|-⌫-|-|-----|----|
enundesess ergansetle	-|-|-|--|-⌫-----|-|-|
tormentasitres cruelmentqu	-------|-|---|--------|-|
a pai nnesle	|---⌫---|-|
pooitnustenirca ril	----|--|----|--⌫|-|
feroit si du rementdespoin set	-----|-|--⌫-----|--|----⌫|-|
m ordoi tde s dens touschiausaqu i ilpooi ttouchie r	-⌫-----⌫|--⌫|---|---|-----||--⌫|-|----⌫|-------⌫|
q ueson nel	-⌫-||-|-||
eus t lu ésdroit bien	---⌫|--⌫--|----|---|
f ormentloiénusne peus te ntor	-⌫-----|----|--|-|----⌫|-⌫---|
luidemore r	--|------⌫|
Maisquantonleut aporté t out loié dusc	---|----|-||--|------|-⌫--|----|---|
als epulchrese cai	-|-⌫-------|-|--|
at eredeua ntlesepulchreaussi cons ilfust	|-⌫--|----⌫-|-|--------|----|--||-|---|
demimorscar lianem isqui	---|---|--|-|----⌫-|--|
dede nsluiesto itau oit	----⌫-|--|----⌫-|--⌫--|
