c hic om mence	-⌫-|-⌫--⌫----|
ler i q uechequii estoit.	-|-⌫-⌫-⌫----|--||-----||
oruous d irai du moustiersaint es ouphie com	-|---|-⌫---|-|-------|-----⌫|-⌫-----|--|
fais ile stoit	---|-|-⌫----|
sainte souphie engri uchestsain tetr inites enfran chois	-----|------|-|---⌫|-|--|----⌫-|--⌫-----|-|----⌫----|
limoustiers sainte	-|--------|-----|
souphieestoit	------|-----|
t rest ousreons	-⌫----⌫--|----|
si iauoit unes	-||----|---|
ua utespard edenslemoustieren torale	--⌫---|--|-⌫----|-|-------|--⌫--||-|
reondequiestoientporteesd unesgrosse s colombes moltrikes	-----|--|-------|------||---|------⌫|-------|---|----|
que il niauoit colomb e	--|-|||----|------⌫|
qui nefustoudeiaspe oude	--|-|---|-|-|----|-|-|
p orphile ouderiquespierresprecie usesne si	-⌫------|-|-|-----|------|------⌫---|-|-|
neni auo itnuledechescolombesquine	|-||---⌫-|---|-|---|-------|--|-|
portast medechi nete le	------|-------⌫-|--⌫-|
i auoitquiwarissoitdumal des	|----|--|--------|-|--|--|
rains quanton s ifrotoittele	----|----|-|||------|---|
quiwarisoitdumaldu	--|-------|-|--|-|
flan cettelesqui warissoient da ut re s m aladies	----⌫|-|----|--|----------||-⌫--⌫--⌫|-⌫------|
ne siniauoithuise n chumoustier	-|-|||----|---|-⌫|--|-------|
negonsneue rue les neautres menbresqui afer	-|---|-|--⌫---⌫--|-|-----|------|--||--|
apartenissent quitout	------------|--|---|
nefus sentd a rgent.	-|---⌫---||-⌫----||
li ma i stresauteus	-|--⌫-⌫----|-----|
dumoust ier estoitsirikes	-|-----⌫--|-----|-|----|
que onne leporroitmieespris ier car	--|-|-|-|------|--|------⌫--|--|
quiseurlautelest oitertdor	--|---||----|---⌫--|--||-|
etdepierresprecieuses esqu arteleeset m olues	-|-|------|---------|----⌫-------|-|-⌫----|
t o ut ietéens anle queuns	-⌫-⌫-|----|---⌫---|--|--|
rikesemp er er e sfistfaire	----|---⌫--⌫--⌫-⌫|---|----|
si auoitbiencheleta ule quatorzepiesdelonc	-|----|---|----|--⌫--|-------|---|-|---|
aute lauoitunescoulombes	----⌫|----|---|--------|
dargentqui	|-----|--|
portoientun abitacle	--------|-|-------|
seur l aut elquie st oitausifaiscommeuns	---||---⌫-|--|-⌫--⌫--|---|---|----|--|
clokier squitouse sto itdargentmassis quies t oi t si	-------⌫|--|---|-⌫---⌫-||-----|-----|--|--⌫-⌫--⌫|-|
onn epeustmie nombrer	-|-⌫|----|--|------|
lauoi rqueilualoit.	|----⌫|--|-|-----||
laou on lis oit lewang ileestoitsi	-|-|-|---⌫--||-----⌫--|-----|-|
sinobles qu e nous ne leuou ssariemes miedescri re	-|-----|--⌫|---|-|-|---⌫|-------|--|------⌫-|
comfaisilesto it.	--|---|-|----⌫-||
apr escontreuallemous t i erpend oit	---⌫-|--------|-|----⌫-⌫-⌫-|----⌫--|
bienchentlampiers	---|----|-------|
si ni auoitlamp ier	-|||----|----⌫--|
qui ne pend ist a unegross e ca ained	--|-|----⌫--||--|-----⌫|--⌫---||
argentaussi	-----|----|
gros seco mmelebrach aunhomme	----⌫-|--⌫--|-|----||-|----|
auoitencascun l ampierbienuin t	----|-|-----|-⌫-----|---|---⌫|
et chincla mpesou plus	-|----|--⌫---|-|---|
etsini auoitla mpierquine	-|-|||----|--⌫----|--|-|
uausist biendeusch e ns marsdargent.	------|---|---|--⌫-⌫-|---||-----||
al aneldugrant	||---|-|----|
huis dumoustie rquitous es toitd arge ntsi i	---|-|-------⌫|--|---|--⌫---||----⌫-|-||
pendoitun sb u hotiausqueon nesau oitdequeledesp oise	------|--⌫|-⌫-⌫------|--|-|-|---⌫--|-|----|----⌫---|
d ugrantaunefle ustedont	-⌫|----||--|---⌫---|---|
chilpasteurf leustent	---|------|-⌫-------|
ichisbuhotiaussiauo itteleuert u	----|--------|-|---⌫-|---|----⌫|
comieuousdirai.	--|-|---|----||
quantu nsenfershonsq ui	----|-⌫-|-----|---|-⌫-|
auoitmal dedens lecorssicom me	----|--|-----|-|---|-|---⌫-|
denfl equ idedens	|----⌫|--⌫|-----|
leuentreestoitenfléslemetoitense bouche i a	-|-----|-----|------|-|-----|-|-|-----|-⌫|
sipeuneli eust misq uantchus	-|--|-|||---|--|-⌫---|---|
bu h oti auslepren o itse li	--⌫-⌫---⌫--|-|----⌫-⌫-|-|-|
sucho it to ute che lemal ad i e e tchu ueninli	-----⌫-|--⌫--|---⌫-|---⌫--⌫-⌫|-⌫|--|----|-|
faisoit correh orsparm il e geules i le tenoit	------|----|-⌫--|----⌫|-⌫|----|-⌫|-|-----|
si fortqu ille	-|---|-|-|-|
fai so itesruul lier etli fais oitles iextorn e ren le	---⌫--⌫-|------⌫---|-|-|----⌫--|--|--|----⌫-⌫|-|-|
testene n es en	----|-|-⌫||-|
p ooi tparti rde uantlaqueli	-⌫---⌫|-----⌫|--⌫---|-|--|-|
buhotiausli auoi tsu chiéchelemaladietoute h ors	--------|-|----⌫|--⌫----|----|------|----|-⌫--|
etauect outchouquiestoi t	-|---|-⌫--|---|--|-----⌫|
plu s malades	---⌫|------|
sileten oitplus longem entetquan tuns	-|-|---⌫--|---|------⌫--|-|----⌫|--|
hons qui nesto itmi emaladeslemetoit a	---|--||----⌫-|--⌫|------|-|-----||
sebou qu eianele	-|---⌫--⌫|-|-|-|
te nistne peune g ra nt .	--⌫---|-|--|-|-⌫--⌫-||
apres deuantchumoustie rdesaint esoup hieauoit u ne	----|-----|--|-------⌫|-|-----⌫|----⌫--|----|-⌫-|
gross e colombequ ibienauoit trois	-----⌫|------|--⌫|---|----|----|
brachiesaunhommede groisseuret si auoit	-------||-|----|-|--------|-|-|----|
bie n ch inqua n te toi ses dehaut	---⌫|--⌫-----⌫-⌫-|---⌫--|-|---|
siestoit faite	-|-----|----|
demarbre et pui s	-|-----|-|---⌫|
de coiu repar	-|----⌫-|--|
deseu re lemarbre etestoi tmoltbien	-----⌫-|-|-----|-|-----⌫|---|---|
loiie d eboine sbendesde fer .	----|-⌫|-----⌫|-----|-|--||
las susseurlebo ut dec hele	---⌫--|---|-|--⌫-|-|-⌫---|
coulombesi	-------|-|
pier re qu ibienauoitquinze	----⌫-|--⌫|---|----|-----|
p iesdelonc etautantde le	-⌫--|-|---|-|-----|-|-|
seur chelepierre siauoitunempereeur	---|----|-----|-|----|-|--------|
c oiur eseur	-⌫----⌫|---|
un grantcheual de coiurequi	-|----|-----|-|-----|--|
te ndoi tse	--⌫----⌫|-|
mainue rspaienisme	---|--⌫-|--------|
e tauoitletres	-⌫|----|-----|
seu r luiesc rites qui disoient queiuroit que	---⌫|--|---⌫----|--|-------|--|-----|--|
ialisarrasinnaro ient	-|-|-------||---⌫---|
triwesdeluietensautremain	-----|-|--|-|-||----|---|
t e noitune pumedor etu necrois	-⌫-⌫---|--|---||-|-|-⌫-|----|
seurle pu me.	---|-|--⌫-||
et disoientli griuquecho uestoiteracles	-|-------|-|---|--|---⌫|-----|------|
liempereres	-|--------|
etauoitbien	-|----|---|
queseurlecrupe duche ua l	--|---|-|----|-|---⌫--⌫|
queseurl eteste q ueentordisaires	--|---|-⌫|----|-⌫-|----|--|----|
dehairon s qui	-|------⌫|--|
illuec aaroient cascunan.	-----|-------|-----|-||
apresailleursenlechiteauoitun au tremoust ierqu e	----|-------|-|-|----|----|-|--⌫--|-----⌫--|--⌫|
onap el oit	-|--⌫--⌫--|
lemoustier desset apostre s.	-|-------|--|--|-------⌫||
sidisoit o nquil estoit	-|-----|-⌫|-|-|-----|
encoreplusrikesetplusnobl es quelimoustier ssaint	-----|---|----|-|---|----⌫-|--|-|--------⌫|----|
soup hieet tantiauoitde rik echese t	----⌫--|-|---||----|-|---⌫----|-⌫|
denoble chesque	-|-----⌫---|--|
o nne uoussa roitmiaconter	-⌫|-|---|--⌫---|-|------|
lenobleche	-|-------|
ne lerik ec he de	-|-|---⌫--⌫-|-|
chumo u stier.	--|--⌫-⌫----||
siigesoient en chumoustier	-||-------|-|--|-------|
apostresets iiestoitleco l ombedemarb re	-------|-|-⌫||-----|-|--⌫-⌫---|-|----⌫-|
ounostres iresfu loiés anchoisqu il	-|-----|-⌫---|-|-----|--------|-|
fust misenlecrois	---|--|-|-|----|
dis oit on	---⌫--|-|
quecoustentins liempe reres ige s oite t	--|----------|-|----⌫----||--⌫-⌫--|-⌫|
helaine etassesa utresempereeurs .	------|-|----|-⌫----|---------||
orauoit ai lleursenle chite	-|----|--⌫-----|-|-|----|
unepo rtequ eonapeloi tle mantiau	--|--⌫--|--⌫|-|------⌫|-|------|
seurchel eporte si auoitun pumel	---|----⌫|----|-|----|-|----|
qui estoitfaispa rtel	--|-----|---|--⌫|--|
encante mentque li griudis oientqu e iatant commeli	-------⌫---|--|-|---|---⌫----|--⌫|-|---|----|-|
pumiax i fust caus detounoirr en ecarroit enle	-----||---|---|-|--------⌫|-⌫|------|-|-|
seu rch u pumelauoitun imag eie te ́de co iure	---⌫|--⌫|----|----|-|----⌫|--⌫--⌫|-|--⌫---|
q uiauoitun manteldorafulési le tendo it	-⌫-|----|-|-----||-|-----|-|-|-----⌫-|
auants eursen brachetauoitl etresescritesseur lui	----|-⌫--|--|----|-|----|-⌫----|-------|---|--|
quidi soientque to u tchilfaitliyma ges	--|--⌫-----|--|--⌫-⌫|---|---|-|---⌫--|
quimainentenco nstantin o ble	--|------|-|--⌫--------⌫-⌫--|
u n andoi ue n tauoirmantel	-⌫|-|---⌫--⌫-⌫|----|-----|
dorcomme iou	|-|----|--|
ailleurs e nle	-------|-⌫|-|
chiteaune autre	----||--|----|
por te queonapeleporte sore .	---⌫-|--|-|----|-----⌫|--||
seurchel eporte	---|----⌫|----|
auo itdeuxoli fansiet és dec oi ure quisiestoientgrant	---⌫-|---|---⌫---|---⌫--|-|-⌫--⌫--|--|-|-------|----|
q ueche stoitunefinemeruell e	-⌫-|-|-⌫----|--|---|-------⌫|
ichelepor tenestoitonq ues ouuertedeuant	-----|---⌫-||-----|---⌫--|------|-----|
laqueli empe reresreuenoit	-|--|-|----⌫----|-------|
de ba tailleet qu eil au oit ter econquise	-|--⌫-----|-|--⌫|-|--⌫--|---⌫|-------|
r euenoitdebatailleet	-⌫------|-|-------|-|
tereconquis edontsiuenoitlicle r giesdele	---|-------⌫|---|-|-----|-|---⌫-⌫---|-|-|
chiteapourchessi onencontrel empereeur siouu roit	----||----------⌫-|-------||--------|-|---⌫---|
o nchelepor te s eliamenoit	-⌫|----|---⌫-|-⌫|-|------|
on uncur red orqui estoitausi	-|-|---⌫-||-|--|-----|---|
faiscommeunscars aquatreroesqueo n	---|----|--|---||-----|---|--|-⌫|
a peloit curreens en michu	-⌫-----|----|--|--⌫-|--|
auoit unhautsiege et seur	----|-|---|----|-|---|
le siege au oitune ca iiereet entor le	-|----|--⌫--|--|--⌫----|-|----|-|
caiiereauo itquatr e	------|---⌫-|-----⌫|
colomb e squiportoien t unhab itacleq uiaombroit	------⌫-⌫|--|--------⌫|-|---⌫-----|-⌫-|-------|
le caiiere q ui san lo i t quilfust	-|------|-⌫-|---⌫--⌫-⌫|-|-|---|
siseoi tli emp e reresenchelecaii er etouscoronés si	-|----⌫|-|---⌫-⌫----|-|----|----⌫--⌫|---|-------|-|
entro iten c he le portesil e	-----⌫-|-|-⌫--⌫-|----|-|-⌫|
seurc hucurre a grant	---|-⌫-|----||----|
agrantfeste dusquese nsenpa l ais .	|----|----|------|-⌫|--|--⌫-⌫--||
oreenuna utreli eu en	--|-|-|-⌫---|--⌫-|-|
lechiteauoitune	-|----|----|--|
aut r emeruellequeiliauoitunepla c he qui	---⌫-⌫|-------|--|-||----|--|---⌫-⌫-|--|
presestoitdupalais de boukedelionqueon	---|-----|-|-----|-|----|-|---|--|-|
apelo itlesius lempereeur	-----⌫-|--|--||--------|
ichele pl achesiabienarba lest ee etdemiedel onc	-----|--⌫---|-||---|----⌫----⌫-|-|----|-|-⌫--|
etpresd une del e	-|---||--|-|-⌫|
e nt orchele plache siiauo itbie n	-⌫--⌫-|----|-----|-||---⌫-|---⌫|
trentedegresou quar antelaouli gr iumontoientpour	-----|-----|-|----⌫---|-|-|-|--⌫-|--------|---|
eswa r derles ius	----⌫-⌫--|--|--|
etparde seure	-|--|--⌫----|
chesd egres siiauoit	---|-⌫----|-||----|
uneslogesmoltcointesetmolt	---|----|---|------|-|---|
nobles ouli	-----|-|-|
e mp erer esetlseseoien t q uant oniuo itet	-⌫--⌫----⌫-|-||-|------⌫|-⌫---|-|---⌫-|-|
liautrehauthomm e etl esdames.	-|----|---|----⌫|-|-⌫-|----||
seia uoitdeusiusen sanlequan ton	-||-⌫---|---|--|--⌫----|----⌫|-|
sisewagi oient ensan leliempere res etl	-|-|----⌫----|-----⌫-|-|------⌫--|-||
empeerrisque li uns desius giueroit	--------|--|-|--|--|--|-------|
miexde lautreettoutchilens ement	---|-||----|-|---|---|---⌫----|
quilesgius esgardoi ent.	--|--|---|--------⌫--||
c hele plache siauoitunemasierequi	-⌫---|-----|-|----|--|------|--|
bie nauoit quinze piesde	---⌫|----|-----|---|-|
h aut etdisdele	-⌫--|-|--|-|-|
deseurec hele maisieresi auoitilyma ges d	------|-⌫---|-------|-|----|-|---⌫--||
ommes etd efem mesetdecheuau set	----|-|-⌫|---⌫--|-|-|------⌫|-|
debu esetde cameu s etde ors	-|--⌫-|-|-|-----⌫|-|-|--|
e tde lions	-⌫|-|----|
etde mo ltdem ani e resdebestesgetees decoiure	-|-|--⌫-|-|-⌫---⌫-⌫--|-|-----|-----|-|-----|
qui si estoient bienf aitese tsinatureument	--|-|-------|---|-⌫----|-⌫|-|----------|
f ormeesqu ilna	-⌫-----|-|-|||
si boinmaistre en paie nismeneencr estie ntequiseust	-|---|------|-|----⌫----|-|-|--⌫-----⌫--|--|----|
miepourtraire	--|---------|
nesibi enformerymage s co mmechi l	-|-|--⌫-|-----|-----⌫|--⌫--|---⌫|
y mageestoi entformé	-⌫---|-----⌫--|-----|
etsoloientchaenar rieregi uerp ar	-|-------|--|-|--⌫----|--⌫--|-⌫-|
encantem en tmai sneiuo ientmaisnient	--------⌫--⌫|---⌫|-|---⌫---|---|----|
etchesgiuslesgar de re nt	-|---|---||-----⌫--⌫--⌫-|
lif ranchoisameruellequan t il	-|-⌫-------||-------|----⌫|-|
les uirent .	--|-----||
orauoitailleur senlechite	-|----|-------⌫|-|-|----|
uneautre meru eille.	--|----|----⌫----||
ilauoitdeusy magesietésdecoiureen	-|----|---|-⌫----|-----|-|-----|-|
fem mesibien f aite set	---⌫-|-|---|-⌫----⌫|-|
si nature umentetsi beles	-|------⌫----|-|-|----|
s i ni au oit chelui	-⌫|||--⌫--|-----|
bienuint pi es	---|---|--⌫-|
si t endoitli unsdeches	-|-⌫-----|-|--|-|---|
ymagess e main uersoccident et	-----|-⌫|---|---|-------|-|
auoit letre s escrites	----|-----⌫|-------|
se url uiqu idisoi entde uers occident	--⌫-|-⌫-|--⌫|-----⌫--|--⌫---|-------|
uenrontc hilqui	------|-⌫--|--|
constantinobleconquerront	-------------|----------|
e tliautres y ma ges	-⌫|-|-----|-⌫--⌫--|
tendo itm ain enunuil ainlieu sidisoit	-----⌫-|-⌫--|-|-|---⌫--|---|-|-----|
ichifaitlii m ag esles	---|---|-|-⌫-⌫--⌫-|--|
boute ra on.	-----⌫-|-||
chesde us ymagessi seo ien t deuantle cangequimolt	---|--⌫-|-----|-|---⌫---⌫|-----|-|----|--|---|
soloi t estre	-----⌫|----|
rikesil luec	----|--⌫---|
soloi entestr elirikec a ngee urq uiauoien t	-----⌫--|----⌫|-|---|-⌫-⌫----⌫-|-⌫-|------⌫|
d euan taus lesgransmons	-⌫----⌫|--|--|----|---|
de besansetlesgrans monsdepierresprecieus es	-|-----|-|--|----|---|-|------|--------⌫-|
deua n tchouquelechitesfustprise	----⌫-⌫|---|--|-|-----|---|----|
maisil neni	---|-||-||
auoit tan ta dont quant	----|---⌫|-⌫---|----|
encore iauoiti la il l e urs en le	-----||----|-⌫|-⌫--⌫-⌫-⌫--|-|-|
chiteunegre igneur meruel lequeil	----|--|---⌫-----|------⌫-|--|-|
iauoit deuscolom be s	|----|---|-----⌫--⌫|
siauoitcas cun e	-|----|---⌫---⌫|
troi sbrachiesa	----⌫|-------||
hommed egroisseuret si auoit bien cascu nech inquante	----|-⌫|--------|-|-|----|---|-----⌫-|--⌫-------|
tro isesdeha ut	---⌫---|-|--⌫-|
etseur cascuned echescolombesmanoit	-|---|------|-⌫|---|-------|-----|
unshe rm it eslassusenpetis habi taclesqui i	--|--⌫--⌫--⌫-|-----|-|----|----⌫-----|--||
esto i ent	----⌫-⌫--|
et sii auoithuis p ar dedens lesco lombes par	-|-||----|---|-⌫-|-----|--|--⌫-----|--|
ou onimontoit .	-|-||------||
pardehor sche scol umbes	--|-----⌫|---⌫|---⌫----|
siestoie ntpourtr aites etesc rites	-|------⌫-|------⌫----|-|---⌫----|
par prop het ietouteslesa uenturesettout es	--|----⌫---⌫-|-----|--|-⌫-------|-|----⌫-|
lesconquestes	--|---------|
quisont auenuesencou stantinoblene	--|---|------|-|---⌫----------|-|
qui iauen ir ideuoient .	--||----⌫-||-------||
ne nep ooit onsa uo ir	-|-|-⌫---|-|--⌫--⌫-|
la uenture	|-⌫------|
d eu a ntla quele	-⌫--⌫-⌫-|-|-|--|
est oitau enueet	---⌫--|--⌫---|-|
q u anteleestoitau en uedo nt	-⌫-⌫--|--|-----|--⌫--⌫-|--⌫-|
siialloient m userl egent siueoientet	-||-------|-⌫---|-⌫|---|-|------|-|
aperc heuo i entdont ap rism elauenturenisc heste	-----⌫----⌫-⌫--|---||-⌫----⌫||-------|--|-⌫----|
conq uestequelifranch oisle conquisenti	----⌫----|--|-|------⌫--|-|---------||
estoitescriteet pou rtr aiteet lesnes	-----|------|-|---⌫---⌫---|-|--|--|
dontonassali parcoi le chitesfu	---|-|-----|--|--|-|-----|-|
nene lepe urentli griu	-|-|-|--⌫----|-|---|
sauoir deuantla quechefuauen u et	-----|-----|-|--|--|-|----⌫|-|
quantchefuauenusi	----|--|-|----|-|
alaonwarderet	--|-|-----|-|
muserench es col o mbessitroua on que	----|-|--⌫-|---⌫-⌫---|-|----|-|--|
les letresquie stoien t escritesseurlesnes	--|-----|--|-⌫------⌫|-------|---|--|--|
pourtraitesdisoientquedeuersoccident uenroi ent une	----------|-------|--|-----|-------|------⌫--|--|
gent haut tondu e	---|---|-----⌫|
acostel es de	|------⌫-|-|
ferquiconstantinobleconq uerro ient.	--|--|-------------|----⌫-----⌫---||
touteschesmeruellesque	-----|---|--------|--|
ieuous a i	-|---|-⌫|
ch iacontees etenc oreassesplusque	--⌫|-------|-|---⌫--|----|---|--|
nous neuousp oons	---|-|---|-⌫---|
mieacontertr ouu e rentlifranchois enconst antinoblequ ant	--|------|--⌫---⌫-⌫---|-|--------|-|-----⌫--------|--⌫--|
ill eu rent conquis	-||--⌫---|------|
ne ie nequitmie par le	-|-|-|---|--|--|-|
mi ene nsientquenus	--⌫-|-⌫-----|--|--|
hons conterres pe ustnombrermietoutes les	---|--------|--⌫--|------|--|-----|--|
ab eiesde lechitetant en i	--⌫---|-|-|----|---|-||
au oitilquedemoinesquede	--⌫--|-|--|-|-----|--|-|
n onnain sestrelesau tres	-⌫------⌫|----|--|--⌫---|
moustiersdele uileh ors	--------|-|-|---|-⌫--|
etsinombroi t	-|-|-------⌫|
onqu ilauoitb ien	-|-|-|----|-⌫--|
larg ementenle chite yyprestresque m oinesque	----⌫----|-|-|----|-|-------|--|-⌫----|--|
desau t re sgriu sde s hausdesbas de	--|--⌫-⌫--⌫|----⌫|--⌫|---|--|--|-|
r ichesdele	-⌫----|-|-|
grand eur deleuiled espalais des autresmeruelles	-----⌫--|-|-|---|-⌫-|-----|--|-----|--------|
quii s o nt uous laironsnousestera	--||-⌫-⌫-|---|------|---|----||
carnushon sterriensquitant	--|--|---⌫|-------|--|---|
eustme s en lechitene leu ous	---|--⌫|-|-|----|-|-|-⌫--|
por roitnombr e rneac onterq uequiuous	---⌫---|-----⌫-⌫|-|--⌫----|-⌫-|--|---|
enconteroi t le chentis me p artd eleriqu echenede	-|--------⌫|-|-------⌫-|-⌫--|-⌫|-|----⌫---|-|-|
lebiautened e l en o blechequi est oit	-|-----|-|-⌫|-⌫|-⌫-⌫-----|--|---⌫--|
e sabeiesetes moust i e r se tes palais et	-⌫|-----|-|-|-----⌫-⌫-⌫-⌫|-⌫|-|-----|-|
enle ui le	-|-|--⌫-|
sanl eroit ilqueche fustmenchoingne ne	----⌫----|-|--|--|---|----------|-|
necres riésu ous mie.	-|----⌫----|-⌫--|--||
etentreches autres en eut unautr edes mou stiers	-|----|---|-----|-|--|-|----⌫|--|---⌫-----|
queonapeloitmedam e	--|-|------|-|---⌫|
saintemariedeblakerne ou li	-----|----|-|-------|-|-|
sydoin esl aounostressire s fuenuolepés i	------⌫-|-⌫|-|------|----⌫|-|---------||
esto it qui	----⌫-|--|
cascunsdes u enres	------|--|-⌫----|
sedr echoit	-|--⌫-----|
to usdroissi queoni pooit	--⌫-|----|--⌫--|-||----|
bienueir len ostrese ig neurne	---|---|-|-⌫----|--⌫--⌫---|-|
neseu tononquesnegri u	-|---⌫|-|-----|-|---⌫|
ne fr anc h oisque	-|--⌫---⌫-⌫--|--|
chissydoi nes	---|-----⌫--|
deuint quant	-----|----|
le uilefupri se.	-|---|-|---⌫-||
etsieniauoitun eautredes abeies	-|-|-||----|--⌫|----|--|-----|
oul ib oins	-|-⌫|-⌫---|
empereres manuausge soit quil ne nas qui onquescors	--------|------|--⌫---|-|-|-|---⌫--|-----|---|
seur terenesains nesai ntequi	---|---|-|----|-|---⌫--|--|
sirikementn e sinoblement geusten	-|-------|-⌫|-|--------|----|-|
sepulturecomm efaisoitchisemper eres .	--------|----⌫|------|---|-----⌫---||
e nc hel abeiesi estoi t letaulede	-⌫|-⌫--|----|-|-----⌫|-|----|-|
marbre ounostres ires fu esten dus quantil	-----|-|-----|-⌫---|-|-----⌫--|----|-|
fudespendus del e croisetsii paroientencor e	-|--------|-|-⌫|----|-|-||-------|-----⌫|
leslermesque nos tre dameau oit plourédeseure.	--|-----|--|---⌫--|---|--⌫--|------|------||
apresauint quetout l i	----|----|--|---|-⌫|
co nt e et to utli ha uthome sasanle rent	--⌫--⌫|-|--⌫-|-|--⌫-|---||------⌫---|
unio rupalais deboukede	-|--⌫||-----|-|----|-|
lionquelimar chis	---|--|-|---⌫---|
tenoitetd isent en trausquilfesi sent emper eeur e t	-----|-|-⌫----|--⌫-|--|-|-|----⌫---|-----⌫---|-⌫|
quil esl eus sent lesleurd isetd isentau	-|-|---⌫---⌫---|--|---|-⌫-|-|-⌫----|-|
ducde ue nice qu iles le ut	--|-|--⌫---|-|-|--⌫--⌫-|
le ssiensdi s.	--⌫|----|--⌫||
march isoichousi iuaut	-----⌫-|-|---|-||---|
siensetchiax queilc uid oitquil esleusse nt	----|-|----|--|-|-⌫---⌫--|--||--------⌫-|
a empereuret uoloites treemper eres	|-------|-|-----|--⌫--|-----⌫---|
entresait.	--------||
et libaron	-|-|----|
ne siacorderentmieq ue	-|||---------|--|-⌫-|
lim arch isimesist l es	-|-⌫----⌫-||-----|-⌫-|
si ensmais	--⌫--|---|
i ls acorderent b ienquilenieust a u cuns	-⌫||---------|-⌫--|-|-|-||---|-⌫-⌫---|
dess iens.	--|-⌫---||
quan tli dux deuenicequimoltert	----⌫|-|--|-|-----|--|---|--|
preusdonset sagesuitchousipar la oianttous	--------|-|----|--|---|-|---⌫-|----|---|
etd ist se igneu rormentendés	-|-⌫--|--⌫-----⌫|-||--------|
fi s t l id usieuoel qu e a nchoisqueon	--⌫-⌫|-⌫|-⌫-|-|---|--⌫|-⌫--------|-|
e sliseempereeurque li palais s oientw ardé delekemun e	-⌫----|--------|--|-|-----|-⌫----|-⌫----|-|-|-----⌫|
car seonme s lit	--|-|-||-⌫-⌫--|
aempereur que io u iuoisetoutmaintenantsans	|-------|--|--⌫||----|---|---------|---|
n ulcontreditet que iesoies aisis des	-⌫-|--------|-|--|-|---|-⌫----|--|
palaisetensementseon	-----|-|-------|-|-|
eslitle conte deflandresquil ai tlespalais	----|-|----|-|-------|-|-|--⌫|--|-----|
sans nul contreditouse	---|--|--------|-|-|
oneslitle m archis	-|----|-|-⌫-----|
saintpolouse	----|--|-|-|
oneslitunpourecheualie rque chis	-|----|-|----|--------⌫|--|---|
empereresait	--------|--|
lespalaissa ns nulcontredi t ne	--|-----|--⌫-|--|--------⌫|-|
demarc h isne du conte de	-|----⌫-⌫-|-|-|----|-|
flandr e s ned unne d	------⌫-⌫|-||-|-||
quant li marchisoichou sinepeutmie	----|-|------|-|---|-|-|---|--|
es tre encontre ains	--⌫--|-------|---|
wida l ep a laisqu eilt enoit	---|-⌫|-⌫-⌫---|--⌫|-|-⌫----|
mistonwa rdese spalaisdele	---|-|--⌫---|-⌫|-----|-|-|
communitedelost quilespalaiswarderoient.	--------|-||--|--|--|-----|----------||
duxdeuenice e ut	--|-|-----|-⌫-|
sifaitement	-|--------|
pa rlé a pressi distas	--⌫---|-⌫---|-|---|-|
baronsqu il e sleusse nt	-----|-|-|-⌫-------⌫-|
lesleu rdis q uei l	--|---⌫|--|-⌫-|-⌫|
aroitmoltt oste slitless iensdis	----|---|-⌫--|-⌫---|--|-⌫---|--|
et q uant libaronoirent chousi	-|-⌫---|-|----|-----|---|-|
iuautmetre cas cuns le s sien s.	|---|----|---⌫---|--⌫|----⌫||
li cuensdeflan dr esiuaut	-|----|-|----⌫--⌫-||---|
metreless iens	----|--|-⌫---|
licuen sloeis li cuens	-|----⌫|----|-|----|
desaint pol	-|----|--|
et liautre rikehommeet	-|-|----|---|----|-|
onque sacheleuoiene	-----⌫||----|---|-|
se peurentac orderqu ex	-|------|--⌫----|--⌫-|
i l imes issentne	-⌫||---⌫-----|-|
eslisissent.	----------||
ai ns pris entun	--⌫-|----⌫--|-|
au t reiour des lirr e ches	--⌫-⌫-|---||--⌫----⌫|---|
disetquant	--|-|----|
c he uinta uioursine sepeurent	-⌫-|---|-⌫|---|-|-|-|------|
aco rder quexil esl eussent	---⌫---|---|-|---⌫------|
derekief .	-------||
ainsiuoloittousioursmetre limarchischiax	---||-----|---|----|----|-|------|----|
queilcu id oit	--|-|--⌫--⌫--|
qui lesl eu ssent aempereeur et uoloit estre	--||---⌫--⌫----||--------|-|-----|----|
emperer esaussi commep a rforche.	-------⌫-|----|----|-⌫-⌫|-----||
etdur abie nchestedescordeq uin ze iors	-|---⌫|---⌫|-----|-------|-⌫---⌫-|---|
pooien t concorder	------⌫|--------|
sin estoiti our qu il nass anl ai ssent	-||-----|-⌫--|-|-||---⌫---⌫--⌫----|
pourchestuiafaire et tantqueaudeesrainse	---|------|-----|-|------|-|-------|-|
concorderen tqueliclergiesde lo s t li	-----------⌫|--|-|-------|-||-⌫-⌫|-|
uesqu eliabequi	-----⌫|-|--|--|
iestoient e nfussentesliseeur.	|-------|-⌫|------|--------||
ad ontquant ilsefurent ac ordési	--⌫--|----|-|-|-----|--⌫----|-|
alalid uxdeue nic e sieslut l essiens dis	--|-|-⌫-|-|--⌫---⌫|-|----|-⌫-|----|--|
entelemaniere co m	-|---|------|--⌫|
ieuousdirai.	-|---|----||
il ap elaqua tred esp luspr eusdo m es queil	-|--⌫--|---⌫--|-⌫-|-⌫--|--⌫-----⌫-⌫-|--|-|
cuidoitensetere sil eur	------|-|-|---|-|-⌫--|
fist iurer seursainsquea l eur ensi ent esli rroient dis	---|----|---|----|--||-⌫--|----⌫--|----⌫------|--|
despluspreud om mesde se	--|---|-----⌫--⌫--|-|-|
