oi ezsei gnordex	--⌫-|---⌫---|--|
l ialaap orte r	-⌫|--|--⌫----⌫|
alui retorne elp oi ng li abo uté	|--|------|-|-⌫--⌫-|-||--⌫---|
e tharpins h a uces iabaill et	-⌫|------|-⌫-⌫--|-⌫||-----⌫-|
etpuisl onel	-|---|-⌫---|
quiestoitpardelez	--|-----|--|----|
cildui estoientlim estre limonier	--|--|-------|-|-⌫----|-------|
et es corchier lesfetaubacheler	-|--⌫-------|--|--|-|-------|
en lacuisi neporle mengi er	-|-|-----⌫-|--|-|-----⌫-|
ses xms enc uidaconraer	--|--|-|-⌫---|------|
mes ainzquenaientde riens asauoré	--|-----|-|----|-|----|-------|
mien esci ant serachiercomparé	---|----⌫--|---|----|-------|
quezz f rancois atotceesgardé	--|-|-⌫------||--|-|-------|
lena mol tpesé	|-||---⌫|----|
uie nt axmsili atotconte ́	---⌫-||-|-|-||--|-----⌫|
enzen loreilleliconseilla	--|-||------|-|--------|
nelapercurent	-||---------|
xmn eescle r	-|-⌫|-----⌫|
parmafoi sire maluos est encontré	--|-|--|---|--|--|--|--------|
d euocharoiont i ayy	-⌫|-|-----|--|-⌫|-|
t oz les plusbeausquauions	-⌫-|--|---|----|-|-----|
a upredome eren tqueauez encontré	-⌫|------|----⌫|--|---|--------|
deuant lesauoit	-----|--|----|
enceltonelsauez	-|--|----|----|
qui este ntr é	--|--|-⌫---⌫-|
cuensgile ber t defalois e	----|----⌫---⌫|-|------⌫|
gautier determesetlescot g ileme rr	------|-|-----|-||----|-⌫-----⌫-|
bertranuonies	------|-|---|
lesauoit aguier	--|----||----|
mauuesemen tle s a uezuos	----------⌫|--⌫|-⌫--|--|
ot lexm apounest	-|-|-||--||--|
moltb elementlir e spontetsoef	---|-⌫------|-|-⌫-⌫----|-|---|
q uiacef etgarde	-⌫-||-|-⌫-|----|
nemec eler	-|-|-⌫---|
parfoibeau sirei ama r lemescrerez	--|--|---|---|-⌫|--⌫|-|--------|
c afethe rpinl e cu ue rt pari uré	||--|--⌫---|-⌫|--⌫--⌫-|----⌫---|
porqu o ideabl eq uelorademandé	--|--⌫-⌫|-----⌫|-⌫-|--||-------|
nesaibeau si reparla	-|--|---|--⌫-|--|-|
otlexmsi en fuairé	-|-|-|-|-|-|----|
et diten bas qu il nefu escouté	-|--|-|--|-|-|-|-|-------|
par saintdenisqui estmonauoe ́	--|----|----|--|--|--|----⌫|
encor encuiserachiercomparé	----|----|---|----|-------|
entor lu ison t	----|--⌫|---⌫|
xm am assé	-|--⌫----|
quimoltl e gab entet lontatainé	--|---|-⌫|---⌫--|-||--|------|
l i roisherpi nsl o rauoit commandé	-⌫|---|-----⌫-|-⌫-⌫|----|--------|
quidepar oleseuolta	--|-|---⌫--|-|---||
iletses f rereagrapar tlies cler	-|-|--|-⌫---|-------⌫|-|--⌫---|
oezseigno r quede xuosbene i e	--|------⌫|--|--⌫|--|----⌫-⌫|
comfaitementxm	--|--------|-|
liroiso tra nsli comme ncaa	-|---|-⌫---⌫-|-|-----⌫--||
diuauilainsdamedex	---|------|------|
porq uoinasoretamesni euestie	--|-⌫--||-|--|-|-----⌫|-----|
et toi meismesdu neseulep el ice	-|--|------||-⌫-|----|-⌫--⌫--|
molt mielz en fust et a meeetcheri e	---|----|-|---|-|-⌫--|-|-----⌫|
e tdistxmni	-⌫|---|-|||
dorroieune	------|--|
eincoisseraarrierereuertie	------|---|------|-------|
amamoi llier qui mate nt	|-|---⌫----|--||---⌫-|
etd esirre	-|-⌫-----|
de grantauoirassazee	-|----|----|------|
qu e ma mesn iesoitparmo i	--⌫|-|----⌫-|---|--|--⌫|
lirois otranz	-|---|-----|
parcontraire	--|--------|
uilainsxmmalte	------|-|--|-|
por quoi asor	--|---|-|-|
s igranzsollers deuache	-⌫|----|------|-|----|
ettagonele ettesconr oizsigastes	-|-|-----|-|--|----⌫--|-|-----|
biensemb lesho me	---|----⌫--|--⌫-|
bienn es eface	---|-⌫|-⌫|---|
passaauant sili tir elabarbe	----|----|-|-|---⌫|-|----|
parzzpetit yypeusnel ierraiche	--|-|----|-|---|-|-⌫|-------|
uoit lex mparzz	---|-|-⌫|--|-|
pou nen enraige	--||-|------|
lor s dist	---⌫|---|
xm quenel entendiam e	-|--|-||------|--⌫|
sa ioremesgranz sollersdeuach e	|-⌫|--|--|----|------|-|----⌫|
e tmagoneleet mes conr oi z	-⌫|-|-----|-|--|----⌫--⌫|
siaige nomxmfi erebra ce	-|-|-|--|-|--⌫------⌫-|
fi lz ay meridenerbonelesaige	--⌫-|--⌫---|-|------|-|----|
le gentillconte quita n t a uass elage	-|------|----|--|--⌫-⌫||----⌫----|
cistxmmafetore	---|-|||--|--|
ne me connoi stquantmetiralabarbe	-|-|------⌫-|----|-|---|-|----|
malfubaillieepar lapostresa intiaque	--|-|-------|--||------|--⌫--|----|
xmdisten basarecelee	-|---|-|--||------|
por cesai o re	--|-||-|-⌫-|
meschauc esemboees	--|-----⌫-|------|
etma gonele quiestet grantet lee	-|-|-----|--|--|-|----|-|--|
po r uoir dantayme ri s monpere	--⌫|---|---|----⌫--⌫|--|---|
cildenerbo nequa proescea duree	--|-|-----⌫-|-||------|-⌫----|
gesuixmcui labarbeastiree	-|--|-|--|-|----|-|----|
marfubailliee par	--|-|-------|--|
la postr esaint	|-⌫-----⌫|----|
queainzleues p r e sera chi ercomparee	--|---|-|---⌫-⌫-⌫|---|---⌫-|-------|
oezseignordexuoscroissebont e	--|------|--|--|------|----⌫|
c om faitementx m	-⌫-|--------|-⌫|
qua nt s on grenonsent iquilaplumé	---⌫-|-⌫-|-----|----⌫|-|-||-----|
et del cha rroiiotyybuestué	-|--|---⌫---||-|-|---|---|
orpoezcroireque m oltfuairé	-|---|-----|--|-⌫--|-|----|
seuenge ia sera	-|----|-|---|
sor zzperron e st xmmo nt é	--|-|-----|-⌫-|-|--⌫--⌫-|
asa uoi zcle re sepr ista	|-|---⌫|---⌫-|-|--⌫--||
felon paientozuos confondedex	----|----|--|--|-------|--|
tantmaue zhui escharn i	---||---⌫|--|-------⌫|
etmarche ant etuilainapele ́	-|------⌫--|-|-----|-----⌫|
genesuimie marcheantpar uerte	-|-|--|--|--------|--|----|
raoldemacrene sui	---|-|----|-|--|
mie apelé	--|-----|
que p ar lapostrequ enquiert	--|-⌫-||------|-|-|-----|
en n oir onpre	-|-⌫---⌫-|--|
encui sauroiz	----|------|
quela uoir iaime né	---|-⌫---||-|--⌫--|
ettuharpinscuuertdesmesur é	-|-|------|-----|--------⌫-|
porqu asma barbe	--|-|-|-|----|
e tmesg uern onstire ́	-⌫|--|-⌫----⌫--|----⌫|
sachesde uoirmolten	-----|-|---|---|-|
su i airé	--⌫|----|
nes eraim esne soupé nedig né	-|-⌫---|-⌫-|-|-----|-|---⌫--|
det o n co rscomp aré	-|-⌫-⌫|--⌫-|----⌫---|
i sn e lemente sten	-⌫--⌫-⌫-----|-⌫-|-|
estantleu é	-----|---⌫-|
l epoingsenes treli a elchief	-⌫|----|-----⌫--|-||-|----|
ue rsluiletire si l	--⌫-|--|-|---|-||
au oite nclin é	--⌫--|-⌫-----⌫-|
hauc ele destre que g rosot etquarré	----⌫|-|-----|--|-⌫--|-|-|------|
partelairlidona zz	--|--|--|-|---|-|
l osdela gueuleliaparm i	|-|-|-|-----|-||----⌫|
quea s espiezlamort	--||-⌫-|---|||---|
acrauenté	---------|
uoientle sen s cuident desu er	-----|-|---⌫|------|----⌫-|
a hauteuoizcom mence nt	|----|---|---⌫-----⌫-|
lerrestrait res nenpoezesch aper	-----|-----⌫--||-|---|----⌫---|
parxm qui e st	--|-|--|-⌫-|
nostreauoe z	-----|----⌫|
a gran tma rtireserauocor sliur ez	|----⌫|--⌫----|---|-|---⌫|----⌫-|
pendu zouarse tlapoudr e u en té	-----⌫|-|--|-⌫|-|-----⌫|-⌫--⌫--|
parosas hui	--|---|--|
ro i herpina deser	--⌫|-----|-⌫----|
se ure licorentn iontplus	--⌫--|-|-----|||--|---|
pa iense scrient	--⌫--||-⌫------|
mar chea n ttu a s tort	---⌫----⌫-⌫|-|-⌫|---|
porquoi a stu lero iherpi ncimort	--|---|-⌫|-|-|--⌫|-----⌫|-|---|
cestunec hos edontian	|--|--|-⌫---⌫|---|-||
auras confort	----|------|
iaentauienieresde ci	-|-|-|--||----|-|-|
deua ntl e	----⌫-|-⌫|
ducueissie zmaint	--|-------⌫|----|
paiencuidierentquiln iait mes	----|---------|-|-|||--|--|
lic uen sxmmist a	-|-⌫---⌫|-|---||
sabouchezzc o r	-|-----|-|-⌫-⌫|
yyfoi zlesonee ten grelle	-|---⌫|-|---|-⌫|-|-----|
qua n t oi la l e ba rnage	---⌫-⌫|-|||-⌫|--⌫----|
enzes tonneausouilerentenclos	--|-|-------|-|-|----|-----|
prennent lesmaussifierentles fonz ho r s	-------|--|---|-|------|--|---|--⌫-⌫|
e sp ee straite ssaillent destonneaus	-⌫--⌫--⌫|------⌫|-------|--|-------|
m onioie esc ri entpa r	-⌫-----|---⌫--⌫--|--⌫|
m er ueilleuseffort	-⌫--⌫-------|-----|
ia iaur ad es naurezetdes	-||---⌫|-⌫-|-----|-|--|
quant l i uas s a lfurentdestonne aus	----|-⌫|---⌫-⌫-⌫|-----|--|-----⌫--|
parmilesruesse	----|--|---|-|
uienentaesforz	------||-----|
fuet merueill e us et	-|-|--------⌫-⌫-|-|
etl abataille or ribleet pesa nz	-|-⌫|-------|--⌫----|-|----⌫-|
qu antpaienui r ent	--⌫--|----|--⌫-⌫--|
licu uerts o ud u iant	-|--⌫---|-⌫-⌫--⌫-⌫---|
q uexmf ur ent sifi er	-⌫-|-|-⌫--⌫--|-|--⌫-|
et co m batant	-|--⌫-⌫-----|
as armescoren t lic uiu ert	-|----|-----⌫|-|-⌫---⌫--|
paiensadoubentm aintet c ommunement	----||-------|-⌫---|-|-⌫---------|
mesonseten lor m andem ent	-----|-|-|--|-⌫-----⌫--|
porelsdef fe ndre	--|--|---⌫--⌫---|
seuont apar eilla nt	-|---|----⌫-----⌫-|
desho st iexissent les es cu z t reiauant	--|--⌫--⌫--|-----|--|--⌫--⌫|-⌫--|----|
zz g raile	-|-⌫----|
sonent siseuontraliant	-----|-|-|---|------|
a tant ezuoszzcheualieruaillant	-⌫---|-|--|-|--------|-------|
delamesni eegui eli nlepoissant	-|-|-----⌫-|---⌫---⌫|-|-------|
len lo ramainelor d estrie rsa u f errant	--|--⌫|-----|--|-⌫------⌫-|-⌫-⌫-⌫-----|
et c i li montent	-|-⌫-⌫||------|
t ostetisne lement	-⌫--|-|----⌫-----|
pendentlesforz	------|--|---|
escuzpesanz	----|-----|
enlorpoi nzpr ennent	-|--|---⌫-|--⌫-----|
les forzespieztranchanz	--|---|-----|--------|
en tre pa iens seuontader uit ant	--⌫--|--⌫---|-|---|----⌫---⌫--|
monioieescrie ntetderr ier eetdeuant	------|------⌫-|-|----⌫---⌫|-|-----|
c ilporloruie	-⌫-|--|--|--|
se uontbie n de ffendant	-|---|---⌫|--⌫-------|
q ue laciteie rt puepleedegent	-⌫-|-|---|--⌫-|------|-|---|
l aueissiez z zestoreinsigrant	-⌫|-------|-⌫|----|----|----|
t ant ha ntefraindre so rleses cuzpe sant	-⌫--|--⌫--|-------|--⌫|--|--⌫--|--⌫---|
etde smaillier	-|--⌫--------|
ta nt hau berciaze rant	--⌫-|---⌫---|----⌫---|
tantxm trebuchiermor t sanglant	---|-|---------|---⌫|-------|
marsoitdecel qu en	--|---|-|--|-|-|
esc hapast uiuant	---⌫-----|-----|
q ue tu it ne soient	-⌫-|--⌫-|-|-----|
en la place morant	-|-|----|-----|
totelaterr e es tcoue rte	---|-|----⌫|--⌫|----⌫--|
torn en ifupas dem oran t	----⌫|||-|--|---⌫----⌫|
liesto rsfuetmeruei lleus etforz	-|----⌫-|-|-|------⌫----|-|---|
fie rentdespe eset des espi ez granzco ps	---⌫---||----⌫-|-|--|----⌫-|----|--⌫-|
ot ranzsen fuitq ui	--⌫---||-|---|-⌫-|
peorade mort	---||-|---|
li cue nsx mlesuitmoltpre s au	-|---⌫-|-⌫|-|---|---|---⌫|-|
s ileretintpa rleman teldel	-⌫|-|-----|--⌫|-|---⌫--|--|
puisliadithaute ment a yymoz	---|-||--|-----⌫---||-|--|
s eztuotrande quelgentsuipreuoz	-⌫-|-|----|-|---|---|--|-----|
decele gentquiendeu n o ntconfort	-|---|---|--|-|--||-⌫-|------|
quant lespuisprendrea honteui t	----|--|---|------||----|--⌫|
saches poruoir ue nu z	-----|--|---|--⌫--⌫|
es ata mort	-||-|---|
ceditxmalachierehardie	-|--|-||-|-----|-----|
otranfelroidemed ext e	----|--|--|-----⌫-|-⌫|
set u cr eoiesle	-|-⌫|--⌫----|-|
filzsaintema rie	---|-----|--⌫--|
saches deuoir tame	-----|-|---||--|
seragari e	---|----⌫|
etse nelfesce	-|-|-||--|-|
te iur etafie	-|--|-|---|
d eceletes te nen p or ter ast u	-⌫|---|---⌫-||-|-⌫--⌫---⌫-|-⌫|
totpormahomquin eualt	--|--|----|--|-⌫|---|
et distotrandece	-|---|----|-|-|
tant enferai	---|-|----|
comme s c uer s	--|--⌫|-⌫---⌫|
parxmcene f erai gemie	--|-|-|-|-⌫---|-|--|
deucroiee t	--|----|-⌫|
maloideg uerpisse	-|--|---⌫-------|
xmapounenrag e	-||--||-----⌫|
degrezcontreual l e	-----|--------|-⌫|
lifrancleuoient sili pristrent adi re	-|----|-|-----|-|-|--------||--⌫-|
fra n co issescri entotranquar	---⌫-⌫--⌫-||-----⌫--|----|---|
po rquoi auras	--⌫|---|----|
yyi orz re spitdemo rt	-|-⌫--|--⌫---|-|--⌫-|
licuen s xm ses cria	-|----⌫|-||--⌫---|
yy dah e zaitqui len	-|---⌫-⌫|--|--||-|
prieratrop	-----|---|
d ese streslauoi entlancie ́	-⌫-|-⌫----||----⌫--|------⌫|
ainzqu iluenis taterre fu	-----|-|-----⌫||----|-|
lui engiterent yyhors	--|-|-------|-|---|
quiontbrisi ez et	--|--|-----⌫-|-|
lesb razetlescor s	--|-⌫--|-|--|---⌫|
orontx mla	-|--|-⌫|-|
cite aqu ite e	---|---⌫---⌫|
leshautestors	--|-----|---|
etlessa les	-|--|--⌫--|
uinetfroment a	--|-|------||
plantei trouerent	-----||--------|
deuantyy anzn e s eroit	-----|-|--|-⌫|-⌫----|
ne nesero itneprisenempiree	-|-|----⌫-|-|----||------|
poiseaxmquenozx m nelseuent	----||-|--|--|-⌫|-||-----|
baronquiastentesremestrent	----|--|-|-----|---------|
paleszzolif a ntsonerent	----|-|----⌫-⌫-|-------|
quihors remestren t	--|---|---------⌫|
tantos tmonterentsan znule demoree	------⌫|--------|---⌫|---|------|
nymesniont feta re stee	----|||--|--|-⌫--⌫---|
q uantil i uinrentsi ontioie men ee	-⌫---|-||------|-|--|---|---⌫-|
etli uilain	-|-|-----|
quiap resse nale re nt	--|--⌫--||-⌫|---⌫--⌫-|
q u i lorcharroietlorbues demanderent	-⌫-⌫|--|------|-|--|---|----------|
xmsontliequipasn e l oruaerent	-|---|--|--|--|-⌫|-⌫-|------|
e n perdirentuaillan tu ne den ree	-⌫|--------|-------⌫|-⌫-|---⌫--|
qu iassezbien nelorfustres toree	--⌫|----|---|-|--|---|---⌫----|
pardesusceorentilgrantsoldee	--|----|-|----|-|----|-----|
ilsen reperent	-||-|-------|
arriere enl orcontre e	------|-|-⌫-|------⌫|
tres parmifr anceen uet la renomee	---|----|--⌫---|-|--|-|------|
licuensxmanymesaquitee	-|----|-||----|------|
alooyslaparole estcontee	|----|-|-----|--|-----|
li roisl ent entgrantioieenamene e	-|---||---⌫--|----|---|-||----⌫|
deuenaore etmaries amere	--|-|---|-|----|-⌫|---|
