B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
nesotqueildeuint	-|--|--|-|-----|
Quide qu il	----|-|-|
u ois t arrie reensonpäis.LiquensGuillaumes a tost	-⌫---⌫|-----⌫-|-|--|-----|-|----|---------||---|
sontourre pris Parunehaie lés	--|---|--⌫---|--|--|---|---|
un g astécemin A inc	-|-⌫----|----|-⌫--|
nelesorent	-|-|-----|
paienneSarrasi n .	----|-|-------⌫-⌫|
Elfosséentrequ i fuuiés	-|-----|----|--⌫|-|----|
etan t i sTa nta	-|--⌫-⌫-⌫|--⌫-||
erréGuil laumesli	----|----⌫-----|-|
mar chis QualamaisonB ernart	---⌫---|-||-|-----|-⌫-----|
del fosséui ntSicomligaiteli	--|-----|--⌫-|-|--|-|----|-|
auoitbien ap ris.uintalostelsi le	----|---|--⌫---|---|||----|-|-|
uit sip e tit Qu ilsen	--|-|-⌫-⌫--|-|-||-|
esmaiepou ruert é le	-----|---⌫|----⌫-|-|
uous d i. Die usdist	---|-⌫-|---⌫-|---|
Guillaumesq uels	---------|-⌫---|
oste usest cechiIoun i porroiene e ntrer	----⌫-|--|-|--|--|||------|-|-⌫----|
negesirAincmais	-|----|---|---|
nus hom sipourehos tel	--|--|-|----|---⌫--|
neuit . Il uient a luis del	-|---⌫|-|----|||--|--|
d escendiSi	-⌫------|-|
aparlébelementetseriH omde	|-----|-------|-|---|-⌫-|-|
la iensp ou r	--⌫---|-⌫--⌫|
miPour l am or	-|---||--⌫-|
Dieuqui onqu esnementiHerberge moi	---|--|----⌫-|-|----|-------|--|
dedensunpetit .Mais liboinsh o m	-----|-|-----⌫|---|-|----|-⌫-⌫|
es toitia endormis De	--⌫---|-|-------|-|
la ss ésetd e bris. Il sai lli s us tantost	--⌫--⌫--|-|-⌫-⌫----|-|---⌫--|-⌫-|------|
come il l öiA	---|-||--||
luissenuient cor a ntto s	|--||-|----|---⌫-⌫-|--⌫|
esba hisToussoumilleus aa raisnier	----⌫--|---|---------||-⌫-------|
le pr is t Qu i estcheladis t ilpo r	-|--⌫--⌫|--⌫|--|--|-|---⌫|-|--⌫|
saint Denis Nesai se	----|----|-|--|-|
ce stmalfé sneantecri sQui a cesteeure me	|-⌫-|------⌫|-|-------⌫|--||----|---|-|
u ientciestorm ir.S e	-⌫---|-|------⌫--|-⌫|
tues l ere sporfolieuenis	-|-|-⌫---⌫|--|----|----|
Iounaideniers	--||-|------|
nemais unparisiS etu auoies trest outmon	-|---|-|-----|-⌫|-|-----|-----⌫--|--|
pris Ianenseroies plusrices	---|-||-|------|---|----|
lematinDetousauoi rs par	-|----|-|---|----⌫-|--|
cor s s a i ntGer i	---⌫|-⌫-⌫-⌫-|---⌫|
N aiiouua i llant miequinsea ngeuins.O d le	|-|--|--⌫-⌫----|--|-----|-⌫-------|-⌫|-|
Guilla umesmoutgran s p itéslen pri st M outbele mentli	------⌫---|---|----⌫|-⌫----||-|---⌫-|-⌫--|----⌫---|-|
respondiNesu ipasleresfreresse	-------|-|--⌫|--|----|-----|-|
Dieu sm äitNenete	----⌫||---|-|-|-|
p u etdemoinu s m ax ueni r.S oldoierssuid	-⌫-⌫-|-|--|--⌫|-⌫-|----⌫-|-⌫-------|--||
unest rangepäis	-|---⌫----|----|
ceste guerreestoieuenus	----|-----|-----|----|
chi Mais ioune pu is	--|---|--|-|--⌫-|
entrerdedensParis	-----|-----|----|
Herberge mo i s e	-------|--⌫|-⌫|
teplaistauoec tiEncort	-|-----|----|-|----||
Otl e Bernar stantos tsonhui sou ri Il	-|-⌫|------⌫|------⌫|--|---⌫|--⌫-|-|
uitlecontesi	--|-|----|-|
gra nte tsifu r ni Graig norde luibien troispiés	---⌫-|-⌫|-|--⌫-⌫-|-----⌫--|-|--|---|----|----|
leuit arm ée tf eruestiLi cuers	-|--|---⌫-|-⌫|-⌫------|-|----|
litrambleetli	-|------|-|-|
sanslifrem iDe	---|-|----⌫|-|
lapaor al a terresassist.	-|---||-⌫|----||------|
Lecontea pele	-|----|-⌫---|
etbele m en tli	-|----⌫-⌫--⌫|-|
Siredistilpour amor Dieu	---|---|-|---|---|---|
merci uousneporr iésen mon	----|---|-|----⌫---|-|--|
ho stelg esir	--⌫---|-⌫---|
Etou girroit	-|-|------|
uos d estriers arrabis Sain teM ari equiuous	--|-⌫-------|------|----⌫-|-⌫---⌫|--|---|
ch iA inc en cest siecle sigrant home neui	--⌫|-⌫--|-|---|-----|-|----|---|-|-|
De uousbiaus sire	-|---|----|---|
suitresto usesbahis. Od leGui llaume s	--|------⌫-|-------|-|-|---⌫------⌫|
sena ge téunris.Li	|-||--⌫--|-|---|-|
quensGu ill aumes	----|--⌫---⌫----|
achelu i escouté Qui po urlui	|-----⌫|-------|--|--⌫-|--|
estsiformen t	--|-|------⌫|
esfreé.Bernars lesgardeenuirondetos lés	-------|------||------|------|-|--|---|
Et sonhaub ercetson	-|--|----⌫--|-|--|
h elm egemméL e	-⌫---⌫|-----|-⌫|
grantespee	----|----|
quilip entauc ostéDe	--|-|-⌫--|-|-⌫----|-|
la pa ou rn	-|--⌫--⌫||
osaun motsouner.Distliquens	--|-|--|------|---|-|----|
Frere neuous espaen tés	----|-|---|------⌫---|
Herbergiés moi por saintecari téCarpar moifrere	----------|--|--|-----|----⌫--|--|--|--|----|
auerés.Di stBernar s Sirepetisestlioste ́s.	-------|--⌫-|------⌫|---|----|--|-|----⌫--|
quensDieusen	----|----|-|
pue t bienpenserDieusdistGuillaumes	---⌫|---|-----|----|---|---------|
paruosainteb onté	--|-|-----|-⌫----|
Sonq u esfiscose quiu ousuenist a gré	|---⌫-⌫-|--|---|--|-⌫--|-----||---|
Faite sletel queii	-----⌫|-|--|--|||
pu i sseosteler.uienta le p as ne	--⌫-⌫--|-------|----||-|-⌫--⌫-|
l imarc isau c ort	-⌫|----⌫-|-|-⌫--|
espaulelepren t a	------|-|----⌫||
sousleuerEt Dieus iapo urleboin	--------|-|----|||--⌫-|-|---|
conteouuré	----|-----|
Li sie u sabaissesihauceliostésGrans	-|---⌫-⌫|------|-|----|-|-----|----|
quin s e piéseslargist	----⌫-⌫|----|--------|
licoste ́s Sique liquens	-|-----⌫-|-|--|-|----|
ipuetde plainentrer Et	|---|-|----|-----|-|
ricemen t establer.uoileBer narss enfu tous	-------⌫|--------|--|-|---⌫---||-|-|---|
esfr eésNosemot	----⌫---||--|--|
dire lecont ea regar dé	---|-|----⌫||-----⌫--|
Aupiétlicieta	-|----|-|---||
luisestaclin és	--||--|-----⌫--|
Siredist il pourDieu d emäis té	---|---|-|---|---|-⌫|-----⌫--|
Es t esuoussain s	--⌫-⌫-|---|----⌫|
estesf aés AmisbiausfreredistGuilla umesli	----|-⌫---|---|----|----|---|------⌫---|-|
lafa it Dieus par sa	||--⌫-|----|--|-|
gr antpöesté Or me	--⌫--|-------|-|-|
puést uricementoste ler.	----|-⌫|-------|----⌫---|
DistBer narsSireiaa moinen	---|---⌫---|---|-||--||-|
parlésLo ste us est	------||-⌫---⌫-|--|
uostresfaitesuos uo lentésuos t re talentet uo boin	------|-----|--|--⌫------|---⌫-⌫-|-----|-|-|---|
comandé s	--------⌫|
Cariou feraitout ce	--|--|----|---|-|
queuousuaurés.E nlo s te l	--|---|-------|-⌫||-⌫-⌫--⌫|
estplus arrest ésLeceualont	--|---|------⌫--|-|----|--|
dunepartesta bléMais	|--|---|----⌫---|---|
ane forr agenebléOrge	|-|----⌫--|-|---|---|
ne nuleherbe de pré.Diex	-|---|----|-|----|---|
dist G ui llaumes ci amoutpoure	---|-⌫--⌫------|-||---|----|
ostelAince nma uie ne uisi	----|---|-⌫|-|--|-|-|-|
esgaré.Le litBernartaliq uens	-------|-|--|------||-|-⌫---|
esgardéNia	-------||||
lincho e l kie ut e	------⌫-⌫|---⌫--⌫|
nedrapouuréChouque Bernars o t	-|---|-----|---|--|------|-⌫|
leio ur endosse ́ Chou ala nuit	-|--⌫-|-------⌫|---||-|---|
carilnen a uoitel.	--|-|--|-⌫---|--|
Un poiauo itdefl ekiereassa mblé La se	-|--|---⌫-|-|--⌫-----|----⌫----|-|-|
couch oitqua nt ilauoit	-----⌫--|---⌫-|-|----|
sou pé.Poureshom f ucar	---⌫---|-----|--|-⌫|--|
touto t alöéLa	---|-⌫|-----|-|
guerrel otmalementdestrauéMorte	-----||-|-------|--------|----|
feme sie nf ant	---|-|-⌫--⌫--|
aut re telN auoitque	---⌫--⌫--||----|--|
prendreneautrui quedoner For schou	------|-|-----|--|----|---⌫|---|
ota faiss el lesporter Dechouseuitassés	-||-----⌫--⌫--|-----|-|---|-|--|-----|
apouerté.	|--------|
Nauoi tuaiscelsa ciés parueri téFo rs unpochon p o ur	|----⌫|------|--⌫----|--|----⌫--|--⌫-|-|-----|-⌫-⌫-|
ba ̈ inerUneescüeleneplusn auoit	--⌫-⌫---|--|-------|-|---||----|
Ets aportoi tdel	-||-------⌫|-||
ai gheenu n plo um é.Leconteäidemout	--⌫--|-|-⌫|---⌫--⌫--|-|----|----|---|
desarmerD esourson	-------|-⌫----|--|
sonhaub erc	--|----⌫--|
unpostelp entlebrancace réEtleuert	-|-----|-⌫--|-|----|---⌫--|-|-|---|
hia umequi tantfa italöer.Ouuoit	---⌫--|--|---|--⌫-||-----|-|---|
le contes il ena	-|----|-⌫||-||
Si re faitilpo urDieun e me celésuosceuaus	--⌫-|---|-|--⌫-|---|-⌫|-|-----|--|-----|
estiouquit	--|--|---|
mo utesraé sA i ncm aisneui	--⌫-|------⌫|-⌫-⌫-|-⌫--|-|-|
sigrantence stre gnéGrantpaour ai	-|----|-|--⌫-|--⌫---|----|----|-|
mon hoste l. Et d istGuil laumesAmi s neuous	--|-----⌫-|-|-⌫--|----⌫-----|---⌫|-|---|
Maisorme ditesauon s nousques oupe r Etdi st	---|-|-|----|----⌫|---|--|-⌫----⌫|-|--⌫-|
B erna rsPar	-⌫----⌫-|--|
Dieu dem äisté Un po i	---|-|-⌫------|-|--⌫|
aiqui m efu rem e ́s Lune moitie ́en	----|-⌫|-|---⌫-⌫-||--|------⌫|-|
aianuitusé Lautreser uoiel ematinau	-|----|---||----|---⌫---|-⌫|----|-|
disne rCeuou s	-----⌫|-|---⌫|
sepren dre	-|----⌫--|
l euolés Sine maurai demaindont	-⌫|-----|-|-||----|-----|---|
desiuner Ains m	-------|---||
esteuraiuscau soir consieurr er .	------|---|-|---|---------⌫--⌫|
OdleGui llaumesse namoutgrant pit é	-|-|---⌫------||-⌫||---|----|---⌫-|
Frere dis t il	----|---⌫|-|
c inccensmercisetgrés Ma iss	-⌫--|---|-----|-|----|--⌫-||
or pooiesdede ns Paris en trerPor	-|-----|----⌫-|----|--⌫---|--|
desuïandes etdeluinap orterIou uousdo nroiedenie rs	--|-------|-|--|--|--⌫----|--|---|--⌫----|-----⌫-|
plenté.Dis t	-------|---⌫|
BernarsSir e ioui rai se uo lés A lgaite	------|---⌫|--|-⌫--|-|--⌫---|-⌫|----|
sauoir etdemanderSeiouporroiepa rson co ngié e ntrer.	-----|-|-------|-|--|------|--⌫|--|--⌫----|-⌫-----|
dis tGuillaumes frere contues	---⌫|---------|----|--|-|-|
dontDiex tepuist	---|---|-|----|
rame ner. Liquensli dounedesesden iers	----⌫---|-|----|-|----|-|--|---⌫---|
assésTantquecent	-----|---|--|---|
sausen iottous con tés .Distli	---|-||-|---|---⌫----⌫|---|-|
quensFrerecome nte stu	----|----|----⌫-|-⌫|-|
nomésSir eiai	-----|---⌫||-|
nonBern arscil delf o sséIou fui iacertes	--|----⌫--|--|--|-⌫-⌫---|--|--|-|-----|
degrantpa ragenésMaisparpouertesu itousdesbar etés	-|----|--⌫---|---|---|--|------|--⌫|---|------⌫----|
uoel parles	---|--|--|
huisdemander.OdleGu illaumessa del cuer	---|--------|-|-|--⌫-------|||--|---|
souspiréFre re d istilor tostsiuous hastés	--------|---⌫-|-⌫--|-|-|---|-|---|------|
uou sprisourto tesamistés	---⌫|--|---|--⌫--|-------|
Qu euousdemoia homenen	--⌫|---|-|--||---||-|
parle ́s. E t	-----⌫--|-⌫|
cilres pontSicomuous	--|---⌫---|-|--|---|
commandés . A tantsen torneBernars sans	----------⌫||---||-|----|------|---|
d emorerPourdes	-⌫-----|---|--|
uïandes et del	-------|-|--|
uinacate r. uai t sentBernarsli	--|-----⌫-|---⌫||--|------|-|
gentisuientala	-----|----||-|
porte belem entetse riLa ga ite hucesila	----|-----⌫--|-|--⌫-|-|--⌫--|---|-|||
raisonmi sLa i moi laiensdistBernarsmes amis	-----|--⌫|--⌫|--|-----|---|------|--|---|
estesuouslig aiteresp ondi. Iou	----|---|-|-⌫---|----⌫----|--|
s ui Bernarsdelfossé iou	-⌫-|------|--|-----|--|
uou sdi.Etquel dïableauésor e	---⌫|--|-|---|------|----|--⌫|
c ha q u isIouu oel alerla	-⌫-|-⌫-⌫-|--|-⌫--|---|-|
dedensenP ari s. Ni enterrés se Da mediexma ̈it	-----|-|-⌫---⌫-|||--------|-|--⌫-----||-⌫--|
demainqueliiorsertclar is. Enc orser on s iou	-----|--|-|---|--|----⌫--|---⌫-|---⌫--⌫|--|
quit paruous	---|--|---|
honiE tiour	---|-⌫|---|
etn uitfaitesno porte ouri r. Etd ist	-|-⌫--|-----|-|----|----⌫-|-|-⌫--|
Ne t encoreche	-||-|------|
si O eure la	-|-⌫---|-|
portelai iusl epo ntue nir	----|--|--|-⌫|--⌫-|--⌫--|
Iouted onraicincsausde pari sis. Ligaitel	--|-|-⌫----|---|---|-|----⌫---|-|----||
o ts ena get é	-⌫||-||---⌫-|
un ris Bernarsdi stil	-|--|------|--⌫-|-|
iouq ui tt um as menti	--|-⌫--⌫|-⌫||-|----|
dïable tont ores ich ie ri	------||--|--|-⌫|--⌫--⌫-|
Maist outesuo ies	---|-⌫-------⌫--|
men iraiiusati	|-|---|--||-|
nailes cinc saus que tudisNi	|-|--|---|---|--|-|--|||
enterrasdeuantan e t	-------|-----|-|-⌫|
demi.Laporte ourinelemist	----|-|----|---|-|-|---|
e noubli.Bernarsli dou necinc	-⌫|-----|------|-|---⌫-|---|
saus sanscon tredi tE t	---|---|---⌫-----⌫|-⌫|
cill esprent quiioiansendeuint.	--|-⌫-|----|--|-----|-|------|
Frere distiluaauPereet	----|---|-|-|-|---|-|
auFil Oruous est p réslalers	-|--|-|---|--|-⌫---||----|
et liue nirsToutauos boins	-|-|--⌫---|---||--|----|
sansn isu n contredi tOr ma isporre ́s	---|-⌫---⌫|--------⌫|-|--⌫-|-----⌫-|
etentreret	-|-----|-|
issir.Etdist Ber nars Frere	-----|-|---|---⌫---|----|
uostre merchi.	-----|------|
uers PetitPont a cuelli son	---|----|---|-⌫-----|--|
cemin.Maisor oi ésco m Bernarsse contint	-----|---|-|--⌫--|--⌫|------|-|------|
C aponsacateet	-⌫----|----|-|
plouierse tper trisPai nbuleté	-------|-⌫|---⌫---|---⌫|------|
del poiureet	--|-----|-|
delco minNe	--|--⌫--|-|
candoilenemist mieeno ubli	-------|-|---|--|-|-⌫---|
girofle etpoires de gardi nFain	------|-|-----|-|-----⌫|---|
et auaineaub oin	-|-----|-|-⌫--|
destrierde pris.	-------|-|----|
Unsac acate	-|--|----|
p roue ndemist Un gr antboucel	-⌫----⌫--|---|-|--⌫--|-----|
mi stsonuinEtdesui ̈andes as on giron	--⌫-|--|--|-|--|--⌫-----||-⌫-|----|
farsi.Aincn i	-----|---|||
tro ua uïandeasonplaisirDont nacatast	---⌫-|------||--|------|---||------|
par uertéle uous di Et	--|-----|-|---|-|-|
ausi. Etdescüele sfu	----|-||--------⌫|-|
pourementgarn isIln en	--------|----⌫-|-||-|
auoi tqu e une enson	----⌫|--⌫|--|-|--|
porpr i sUnepaieleacatacem	-----⌫-⌫|--|-----|----|-||
estuis.Atant	--|---||---|
s entor nemoutfubienaemplisBienfuhourdés	|-|---⌫-|---|-|---|------|---|-|-------|
onquesmaisne	-----|---|-|
fusi Ius ca laportene	-|-|---⌫||-|----|-|
mistilonquesfinEt	---|-|-----|--|-|
cilli oeure qui	--|-|----|--|
eno tpris. Etdist	-|-⌫|----|-|---|
l i gaiteBernars	-⌫|----|------|
porsaint Denis	--|----|----|
Quefe ra stu	--|--⌫--⌫|-|
de chouquen	-|---|-|-|
porteschiEt dist Berna rsIou	-----|--|-|---|-----⌫-|--|
Iu scah uit	--⌫-||-⌫--|
ior smensuiiou bie ngarnis.I ou t ro u aiier	---⌫||-|--|--|---⌫|------|-⌫-|-⌫--⌫-⌫-|--|
enmon chemi nSesai	-|--|-----⌫|--|-|
to usmiset enpain ete n	--⌫-|--|-|-|---|-|-⌫|
uin Pourchou	--|---|---|
fa itque o n nes metolist. Etdi stli	--⌫-|--|-⌫|--|-|------|-|--⌫-|-|
gai tePa r	---⌫-|--⌫|
mo nciefbie n	--⌫|---|---⌫|
fes isOruaa	---⌫-|-|-||
Dieu quite puistbene ̈ir Iamaisnenere s	---|--|-|----|----⌫--|-|---|--|---⌫|
destorbésparm i. Et dansBer narsson erreracuelli	---------|--|-⌫-|-|---|---⌫---|--|----|------|
Tan taerré	---⌫||----|
toutle foss éantiSie stcar g iés q ua	---|-|----⌫-|---|-|-⌫-|---⌫-⌫---|-⌫||
grant paineuailMai sla	----|----|-|-|---⌫|-|
gr antioie lifais o itsoust enir.	--⌫--|---|-|----⌫-⌫-|-----⌫----|
Iuscal ostel n en	---|||----||-|
pr istilon quesf inQ uant	--⌫--|-|--⌫---|-⌫-|-⌫---|
iluintprè s u n	-|---|----⌫|-⌫|
petitses tous si .Li	----||--⌫----⌫--⌫|-|
quensGuillaumesmaintenant l ente n di	----|---------|---------||----⌫-⌫-|
Dieusdis tGuillaumes	----|---⌫|---------|
a u co rtne ́slimarcisChou estm es	-⌫|--⌫-|--⌫-|-|-----|---|--|-⌫-|
h ostesquebi e npuisti lue nir	-⌫----|--|--⌫-⌫|----|-⌫|--⌫--|
Ason hos telui entBernars	|--|---⌫--|--⌫--|------|
foss é Entraenluissia to u tdestour sé.Li	----⌫-|----|-||--|-||--⌫-⌫|-------⌫---|-|
q uensGuillaumes au	-⌫---|---------|-|
corageaduré Briselabusce	-----|-----|----|-|----|
uo lontierset de gré L efuat ise	--⌫-------|-|-|---|-⌫|-|--⌫--|
ne losesouflerCaril c remoit sa	-||--|------|--|-|-⌫-----|-|
grantbarbealumer Etses	----|----|-----|-|--|
gernons quilot ence rcelés.uoit l eBernar s s	------|-|-|-|----⌫-------|---|-⌫|------⌫||
mo utgrant	--⌫-|----|
pitéSiredist ilpour Dieuca r uous leuésTraiés	----|---|---|-|---|---|--⌫|---|-----|------|
ar ri ereetsiuousreposés	--⌫--⌫--|-|-|---|-------|
Car formen testes trauilliésetpené s	--|------⌫|----|----------|-|-----⌫|
Simela issiéscouenirdelsouflerIouquitiabien	-|-|--⌫------|------|--|------|--|---|-|---|
ator ner.Maisce le	----⌫---|---|--⌫-|
au aine quist	--⌫---|--|-|
Etdecel fai ndontili aplen téSi	-|-|--|---⌫|---|-|||----⌫--|-|
en donésuo	-|-----|-|
destrie ra	-------⌫||
gré.Nele n d onroiepour	----|-||-⌫|-⌫-----|---|
qua torsecitésSeD iex	---⌫----|-----|-|-⌫--|
osabiter C ar	-|-----|-⌫-|
ia maroi t meng i éetestrangl é.	-||----⌫|----⌫-⌫-|-|--------⌫--|
Et distGuillaumes	-|---|---------|
Bernarsm outessené s.Ligentieus	------|-⌫--|-|-----⌫-|-|-------|
q uenset Bernars	-⌫---|-|------|
Onttantl anuitlor mengiera tor néQueil pa r	--|---|-⌫|---|--|------|-⌫---⌫--|--|-|--⌫|
fue tqui s	-|-⌫|---⌫|
aprest és .Enl escüe le	------⌫---⌫|-||------⌫-|
o ntlepo iuretriulé Carde	-⌫-|-|--⌫---|------|--|-|
mortierniot	------|||-|
onques parlé.En treBer nartet Gu illaumeaucourtnés	-----|------|--⌫--|---⌫---|-|--⌫------|-|----|---|
Al apaiele	|-⌫|-----|
s ontand oi atel é Ainc	-⌫--|---⌫-|----⌫-|---|
limarchisne seuoltd eseurer.Il	-|------|-|-|---|-⌫-------|-|
en sambl e but etm engie ́assésA inc ni o t n ap e	--⌫-----⌫|--|-|-⌫-----⌫|-----|-⌫--|||-⌫|-⌫--⌫|
ué rit é s Maislum i naireion t a grant	---⌫---⌫--⌫|---|---⌫-⌫----||--⌫||----|
pl ent éEt ditan tfu	--⌫---⌫-|-||----⌫|-|
Gu ill aum esh onorés. Bure ntdeluin	--⌫---⌫---⌫-|-⌫-------|----⌫-|--|--|
siso nta ufu cauféEt Bernars	-|--⌫-|-⌫|-|-----|-|------|
aGuillaumeconfo rté Sire	|--------|-----⌫---|---|
pourDieudemäis te ́	---|---|-|-----⌫--⌫|
Pr endésengra ce	--⌫-----|-|---⌫-|
ce q u ea uoirpöésSeDiex	-|-⌫-⌫|-⌫---|-----|-|---|
amender.Et	-------|-|
dist Guillaumes	---|---------|
Io u lepr eng	--⌫|-|--⌫--|
moutengré .	---|-|----⌫|
Après mengiersest Bernars sus	-----|------||--|------|--|
leué sSesdeusmainsiointes s	-----⌫|--|---|----|------||
a DieuaoréDi eus	|---|----|--⌫--|
di s tBernars consuiboinsë urés	--⌫-⌫|------|--|--|----|--⌫----|
boinostema uésa nuitd oun é.Bi ena se t	---|---||-⌫---|-⌫---|-⌫---⌫--|--⌫-||--⌫|
ansacompl is	--|------⌫-|
e t passésQu e	-⌫|------|--⌫|
iounefuiausibienc onreé s.Tant	--|-|--|---|---|-⌫------⌫-|---|
iauoitde uïanderem ésQuatre	|----|-|------|---⌫--|-----|
bouuie renfuisse nt saol é Bernarslecu elle	------⌫|-|------⌫-|----⌫-|------|-|--⌫---|
gar d er.Liquens	---⌫-⌫--|-|----|
sel ieuesi	-|-⌫---|-|
a Dieu mercïéPren tl eh anapsiadel	|---|-------|----⌫|-⌫|-⌫---|-||--|
uinuerse ́Bernart lepuire	--|-----⌫|------|-|----|
si distOstesbuués Etcilen	-|---|----|-----|-|--|-|
butpuissila encliné.Dist	--|---|-|||--------|---|
li quensFreredites moi	-|----|----|----|--|
af fa irequeuousuoeldemander.Dist	--⌫--⌫--|--|---|---|--------|---|
Sire bi ensaiqu e uousuolés.	---|--⌫-|--|--⌫|---|------|
uousmecargaste scen tsausbienl e	---|-|--------⌫|---⌫|---|---|-⌫|
sauésB ien	-----|-⌫--|
les saurai	--|-----|
de cief en ciefcon t erPar saint Deni s	-|---|-|---|---⌫-⌫-|--|----|----⌫|
denierscelés.Ioune pooiededensParise ntrer Li	------|------|--|-|----|-----|----|-⌫----|-|
sausparsain t	---|--|----⌫|
aba ndone le	---⌫----|-|
uen i r etl aler. Puisacataitoutchou que	---⌫-⌫|-||----|---|-----|---|---|--|
mestiersertFa in	-------|--|--⌫-|
eta ua ineetpa inetui n e t s elEtla	-|-⌫--⌫--|-|--⌫-|-|--⌫|-⌫|-⌫-|-|-|
uïandeque	------|--|
a ués Nisles	-⌫---|--|--|
uaisciausen ai iou acatésCest	--------|-|-|--|------|---|
sacme ̈isme	--|--⌫----|
que i aic hiaportéEt le comminetl e	--||-|-⌫-|------|-|-|-----|-|-⌫|
poiure autretelEt	-----|-------|-|
cando ilesd ontauésle	-----⌫---|-⌫--|----|-|
clarté.Toute s	-------|-----⌫|
lespiece s ne	--|-----⌫|-|
saimienonbr er	--|--|-----⌫-|
Mai stanti	---⌫|---||
a i de u osde niersb outésQuecha	-⌫|-|-⌫-|--⌫----|-⌫-----|--|--|
quelaqu een unq ue	--|-|--⌫|-|-|-⌫-|
en el Iusc aui n t	-|-|---||--⌫-⌫|
sausena i ioualöéEtqu atre l iu res	---|-|-⌫|--|-----|-|--⌫---|-⌫--⌫--|
ichi r em és.ués l eschisire	---|-⌫--⌫---|---|-⌫-|--|---|
te nés silesgardésOnquesa	--⌫---|-|--|------|-----||
poies caper. OtleGui llaumessena	--|--⌫-----|-|-|---⌫------||-||
unrisgeté	-|--|----|
Bernarsdisti lt outch ou lais sié s	------|---|-⌫|-⌫--|--⌫-|----⌫----⌫|
esterQuepar	----|--|--|
laf oiqu e	-|-⌫-|--⌫|
doisain t Honeré Ainc cis afai resn e	--|----⌫|------|---|--|----⌫--|-⌫|
m euin tenpenséNedes	-⌫|---⌫|-|-----|-|--|
deniersnem estoieape ns és Dun e	------|-||-----|---⌫--⌫--||--⌫|
te uol oieaparler.	-|---⌫--|-------|
lesas sipense delgar der	--|-|-|----|--|---⌫--|
Ia seDieuplaist	-|-|---|-----|
enrender és Aidiésu ou s ent et	-|------⌫--|------|-⌫--⌫|--|-|
cauciés etuesté s Ainsuousquidoie	-------|-|------⌫|---|---|------|
auoi ra saure	----⌫||----|
ass ésAincmais	---⌫--|---|---|
ne fuipoursip oi ostelés Nesreprendroie	-|--|---|-|-⌫-|-------|--|----------|
po urmil liure s	--⌫-|--|-----⌫|
c ler.OdleBernarslicuer s liest	-⌫---|-|-|------|-|----⌫|-|--|
leuésDeua n tlespiésle	-----|----⌫-⌫|--|----|-|
contee st aclinésSiliembrache l e cau cheetle	----|-⌫-|-------|-|-|-------|-⌫|---⌫--|-|-|
soller Dieus	-----|----|
le te mire	-|-|---|
gentieus homhonerésMaisiou qu it bi enqu	-------|--|-------|---|--|--⌫-|--⌫-|-|
gab és.O d	---⌫---|-⌫|
leGuillaume ssien	-|---------⌫|-|-|
arisassés Nonfa is dist i l	|--|-----|--|--⌫-|---|-⌫|
parsainte caritéIamai s par moise	--|-----|------|-|---⌫|--|--|-|
Dieu plaistn esperd re ́s.	---|-----|-⌫-|----⌫--⌫--|
Hé D ieusäiedis tBernarsdel f osséHier	--|-⌫---|---|---⌫|------|--|-⌫----|---|
mainfuipour es	---|--|----⌫-|
or sui ricesclamés .Or d emor ro ntli	-|--|----|-------⌫|-|-⌫----⌫--⌫-|-|
porter Teusmetient	-----|---|-|----|
ui lence ste pour et éQui dèsor	--⌫|-|--⌫--|----⌫--⌫-|--|---|-|
mais m a ueraenchierté.Lors	---||-⌫---|-|--------|---|
prentleuinel hanap la uerséAu	----|-|--|-|----|||-----|-|
con teendo unepar	---⌫-|-|--⌫--|--|
mout grant	---|----|
amistéLiquensle pr is tpar	------|-|----|-|--⌫--⌫|--|
boineuolenté.	----|--------|
Quantilontbutau	----|-|--|--|-|
se son tcaufé.	-|---⌫|------|
Distliquens	---|-|----|
F rer e mesariésuousconterDe cesteguer re	-⌫---⌫|-|------|---|-----|-|----|----⌫-|
uousagreué Parquelmaniereu ou sas sautYso résDist	---||-----|--|---|------|-⌫--⌫|--⌫---|---⌫---|---|
Sirediraiuous uer ité.Cascunmatinquant	---|----|---|---⌫----|-----|----|----|
li sola us apert	-|----⌫-|----|
uien ttous seusala	----⌫|---|---||-|
port ecrïerIssiéschaforsuene ́s	----⌫|-----|------|--|---|----⌫-|
capler Mais il parestsifo rtdesmesure ́s	-----|---|-|--|--|-|--⌫-|---------⌫-|
nosg enssi	--|-⌫--|-|
forte spa entésNia	---|-⌫---⌫-----||||
sicoint equ iost a lui	-|-----⌫|--⌫|--||--|
iouster Lirois	------|-|---|
mëismesenesttousesfreés. Dist	-------|-|--|---|--------|---|
Frerefoique uous	----|--|--|---|
medeuésPorraileiou	-|-----|-----|-|--|
a uq ues tem pretro uer Etdist Bernars	-⌫--⌫--|---⌫--|---⌫--|-|---|------|
Öilseuous uolésMien	---|-|---|-----|---|
entïenta insquilsoi t aiorné.Ioul oc	-------|-⌫--|-|-|---⌫|-------|--||-|
sou entalaporte	---⌫--||-|----|
hur ter Mais nemedaignetouchierne adeser	---⌫--|---|-|-|-----|-------|-|-----|
Quantilmeuoitetuen iret	----|-|-|---|-|---⌫-|-|
aler.Di eusdist Guillaumes	----|--⌫--|---|---------|
