Icicumencelicompuz	--|------|-|-----|
Leshuresepassees	--|----||------|
Dun tnus le iurfur mum	---⌫|--|-|--|---⌫--|
Que bisexteappellum	--|------|-------|
Etor e mustrumreisun	-|--⌫|------|-----|
Purqueibise xte adnun	--|---|----⌫--|-|--|
Purceo que el kalenderEelmeis	--|--|--|-|-------||-|---|
de feuerer	-|------|
Pardeusf aiee s es tc untédUsises t enbreuéd	--|---|-⌫----⌫|--⌫|-⌫-----||--|--⌫|--------|
Ep ur ces tachaisun	|-⌫-|---⌫|-------|
Deusfeiez sislapellum	---|----|--||------|
Ordemustrumreisun	-|--------|-----|
Pur quein us leg a rdum	--|---|-⌫-|-|-⌫-⌫---|
P ur ceoquëenuertéd	-⌫-|--|---|-|------|
Si c u ml aiacunte ́dE cum	-|-⌫-⌫||-|------⌫-||--|
Elperidi t	-----|--⌫|
en sunescri t	-|--|-----⌫|
Seitant n e	-|----|-⌫|
Q ue nusnelcuntiss um	-⌫-|--|--|-------⌫-|
uendreiten trais .c.anz	-------|-|----|--|--|
Eseissante.i ii. an z	|--------|--⌫--|--⌫|
Si grante siple ner	-|----||-|---⌫--|
Simortelencumb rer	-|-----|------⌫--|
Quantdeuerumguarder Ele	----|------|------||-|
iurce lebrer dela	--|--⌫-----|-|-|
Resur re ctiun	-----⌫--⌫----|
Dun c uendr at par ra isun	---⌫|-----⌫-|--|--⌫---|
Iceliuragua rder	---|--||---⌫---|
u in tsal uer	-⌫--⌫|---⌫--|
Maisoru eümraisu n	---|-|-⌫---|-----⌫|
P urqueinus le guardu m	-⌫-|---|--|-|------⌫|
Pluselmaisde feuerer	---|-|---|-|------|
Quëelmaisde	---|-|---|-|
Purceo quee st	--|--|--|-⌫-|
Gerlandled it	------|-|-⌫-|
Enzelnofm ecapitele	--|-|----⌫|-------|
Quiladfait de	-|-|-|---|-|
s unliureEdemust re raisun	-⌫-|----||------⌫-|-----|
Cum nus sauerpoüm	--|--|----|----|
Qua ntbisexte	---⌫-|------|
s erad Equ an z ans iliad	-⌫---||--⌫--⌫|--|-||-|
E issifai terement	-⌫-------⌫-------|
Senz nul deceiue ment	---|--|-------⌫---|
Se nuslesans	-|--|--|--|
Incarnacïun	-----------|
Deusuolt prendreen	---|---|------|-|
Purnoz anmescun quer eE nus	--|--|----|---⌫----⌫||--|
lesdepartum	--|-------|
Parq uatreparraisun	--|-⌫----|--|-----|
Se nul neniremaint	-|--||-||------|
Qu ilse saitatai nt	-|-|-|---|----⌫-|
En cel anki u endrad	-|--|-|-|-⌫-----|
Lebise xte serad	-|----⌫--|----|
Sii remaint unan	-||------|-|-|
Sacezquë e n l	----|---|-⌫||
Quiaprofceluendrat	--|----|--|------|
Lebisexteserad	-|------|----|
Ta nz anzcumi aueradEcumi	--⌫-|--|--||-----||--||
remain d rad	------⌫-⌫--|
Altretanzanzauerums	--------|--|------|
Ainz que bi se xteaiums	---|--|--⌫--⌫--|----|
Etor mustrum des iurs	-|-|------|--|---|
Desanz kif untlurcurs	--|--|-|-⌫--|--|---|
Elp rimeriurquilu e int	-|-⌫----|--|-|-|-⌫-⌫--|
L e diamei ne tent Elaltreceouusdi	-⌫|------⌫-|---|||----|--|--|-|
ueintil le uendr es di	----|-|-|-----⌫--⌫-|
Leter z almec resdi	-|---⌫|-|---⌫----|
Elequartal luesdi	|-|----|-|-----|
alsamadiElesistealiues di E le	-|-----||-|----|-|----⌫-||-|
setime quantueint	-----|----|----|
Enzel marsd iaueint Diloc	--|-|-----⌫|-----||---|
ueentaceli ur U c umen çats untur	----||--|-⌫-||-⌫----⌫---|-⌫-|--|
Tut te ns siauendr a d	--|--⌫-|-|------⌫-⌫|
Neia f in neprendrat	-|-|-⌫-|-|-------|
D euantceoquil	-⌫----|--|-|-|
Al iurqu i lcumençatE	-|--|-|-⌫|--------||
si d euez saueir Ebencrei re purueir	-|-⌫---|-----||--|----⌫-|--|---|
Que.xxx. iurz cuntum	--|----|---|-----|
En cele lune i sun	-|---|----⌫-⌫--|
Quenfeuerer aueent	-|-|------|-----|
Quantlebisext e at ent	----|-|------⌫|--⌫--|
Paruniurqueimetum	--|-|--|--||----|
Karplusnu snesol umEs	--|---|--⌫|-|---⌫-|||
ilueent al lue sdi	-|----|-|---⌫--|
Sacez quelem arsdi	----|--|-|-⌫----|
Al demainegua rdéd	-|-----||---⌫----|
Esil ue ntal marsdi	||-|--⌫-|-|-----|
Ilo clemecresdi	---⌫|-|-------|
Si ilu entalmecresdi	-|-|-⌫--|-|-------|
Ilocertle iu esdiEsi l	---|--|-|--⌫---|||-⌫|
uental ioes d i	---|-|----⌫-⌫|
Ilocleue ndres di Esil	---|-|--⌫-----⌫-|||-|
uentaluen dresdi	---|-|---⌫-----|
IlocertsamadiS	---|--|-----||
iluenta lsamadi	-|---|-⌫|-----|
Iloce rt ic eldi	---|-⌫-|--⌫-|-|
Queapelu md i maine	--|-----⌫|-⌫-⌫----|
Iesud emeine	---|-⌫-----|
ert sumcurs	--|--|---|
e t u z iurs	|-⌫-⌫|---|
Neia finneprendrat	-|-|--|-|-------|
Ta ntcum cesttensdurad	--⌫-|--|---|---|----|
Etor ueümraisun	-|-|----|-----|
Q uan tnus guarder deu um	-⌫---⌫|--|------|---⌫-|
Lafeste saint	-|----|----|
Dunt mulzhumessunt ciu	---|---|----|---|--|
Quilnes euent gu arder	-|-|-|-⌫----|--⌫----|
N eq ueliurce lebrer	-⌫|-⌫--|--|--⌫-----|
Quantlibesext es u e nt	----|-|------⌫-|-⌫-⌫-|
quëaprof ueent	---|----|----|
en tendement	--⌫--------|
Decesthu maine	-|---|--⌫----|
Orleuusdibrefme ntuëez i	-|-|--|-|------⌫-|----||
sultilement	----------|
Eliurqueplusprésue nt	-|--|--|---|----|--⌫-|
Quesauigi le ten t	--|-|----⌫-|---⌫|
deit duter	---|----|
Neiur entrep oser	-|--|------⌫---|
E ntrëicelsaintiu r E	-⌫----|---|----|--⌫||
lauigi l eiur	-|----⌫-⌫|--|
e r t guardee	-⌫-⌫|------|
Parueirensu nescritEelprimer capitele	--|---|-|--⌫|-----||-|-----|-------|
Quil fa i t del se cundliure	-|-|--⌫-⌫|--|--⌫---|----|
Maisdeices teraisun	---|-|----⌫-|-----|
Nefera ipluss ermunN	-|----⌫|---|-⌫----||
en uoi lore plusparler	-|---⌫|--|---|-----|
A ltreuoild emustre r	-⌫---|---|-⌫-------⌫|
D e lbisexte truuer Alalun eguarder	-⌫-⌫|------|-----||-|---⌫|------|
Diraiuuse nbrefment	----|--|-⌫|-------|
Sulunc m e ntende ment Laltredumai	-----||-⌫------⌫---||----|--|-|
Cilestdesiurzfurméd Eces test	--|--|--|---|------||---⌫|--|
p arraisuns	-⌫-|------|
Furméddeslu neisu nsEsideu e zsaueirE	------|--|--⌫-----⌫-||-|---⌫-⌫|-----||
bencr ei re pur ueir	--|--⌫--⌫-|--|---|
Que .xx x .iurz cuntum	--|---⌫-⌫|---|-----|
Enceleluneisun	-|---|-------|
feuererauent	------|----|
Q uan tle bisexteuent Epurceoquë	-⌫---⌫|-|------|---||--|--|---|
Leterm epa r rais un	-|----⌫|--⌫|----⌫-|
Cumnusd euu m guarder	--|--|-⌫---⌫|------|
P asches e celebrer	-⌫-----||-------|
Sicumfud cumandét	-|--|--|--------|
Iu deuser uuét	--⌫---||-⌫----|
Quedunc s acrifiassent Elur	--|---|-⌫-----------||--|
paschasg u arda ssent	------|-⌫-⌫----⌫----|
Tanttostcum il	---|---|--|-|
uereientE qu ilparu eir sauere ien t	-------||-|-|--|-⌫--|------⌫---⌫|
Quelalune ensuncurs	--|-|---|-|--|---|
Auere it.x iiii.iurs	-----⌫-|--⌫----|---|
Aprofcele saisun	----|---|-----|
Q u ee stequinoctium	-⌫-⌫|-⌫-|----------|
Et equi noctium	-|----⌫------|
En franceiserais un	-|--------|----⌫-|
Ceoestque nuit	--|--|--|---|
üele lungur	----|-----|
iodituus ai	-|--|--|-|
Qua ntdes signes traitai	---⌫-|--|-----|------|
D ous en sun t en uertéd	-⌫--|-|---⌫|-|------|
S ic um ielai t ruuéd	-⌫|-⌫-|-||-|-⌫-----|
Liunssiest	-|--|-|--|
u ernalsEli	-⌫-----||-|
altresau tumnalsE deluernalestdite	-----|--⌫------||--|-----|--|---|
Cestereuleees c rite	----|----||--⌫-⌫---|
Que nusdeuumguar de r	--|--|----|----⌫--⌫|
Pa schesecelebrer	--⌫----||-------|
Paruereie raisun	--|-----|-----|
Enicelesaisun	-|----|-----|
Eenpurçocun tum.	|----|--|---⌫--||
Xxx.iurzpar	---|---|--|
Enz el mais defeuerer	--|-|---|-|------|
Que n eaiu me nc umb rer	--|-⌫|---⌫|-⌫--⌫---⌫--|
Quebennesait g uarde e	--|--|-|---|-⌫-----⌫|
Pasches e truuee	------||-----|
saitdampnee	---|------|
Lareulequ eai dunee Eceliurque	-|----|--⌫|-|----||--|--|--|
Plusquenus nesolium	---|--|--|-|-----|
End reite ueritéd	-|-⌫----|-------|
E stbisexte appelléd	-⌫-|------|--------|
La ul altre	-|||----|
est poséd	--|-----|
Kart u tensem entuait	--|-⌫-⌫|-----⌫--|---|
Cumlialtres fait	--|-|-----|---|
De lunati onibusE ceodeuezsau e irE	-|------⌫-----||--|----|---⌫-⌫-||
bencreireparue ir	--|-----|--|--⌫-|
Que.xxx.iu rz cuntumE une l une isun	--|----|--⌫-|-----||--|-⌫---⌫---|
Eenlaltreens uncur s	|-||----|-|-⌫-|---⌫|
Cuntu m .xx.ixiurs	-----⌫|---|-|---|
Egyptï enE li compotist ïen	-------⌫-||-|---------⌫---|
Untenquiseguar détEforment espru uéd	--|-----||----⌫---||------|-----⌫---|
Quesulun cl u r raisun	--|-----⌫|-⌫-⌫|-----|
C hascune lun ei sun	-⌫------|---⌫--⌫--|
Cuntent. xx.e .ix . iursEdemi	------|-⌫--||---⌫|---||---|
ens uncurs	-|-⌫-|---|
Momenze atometes	-----||-------|
Que nusclamum huretes	--|--|-----|------|
Duntd irumapr esent	---|-⌫---||--⌫----|
Deuslenuscon sent	---|-|--|---⌫---|
Momentumest quad rag esimapars unius ore	-------|--|----⌫---⌫----|---|----|--|
at homusquingente sima	--⌫----|---------⌫---|
sexage s i maquartapa rsuniusmo men ti	------⌫-⌫-⌫-|-----|--⌫-|----|--⌫---⌫-|
Esacezparre is uns	|----|--|--⌫--⌫--|
Detutesluneisun s	-|----|--------⌫|
mais seruntU cel esfinirunt Sel	---|-----||---⌫-|-------||-|
c umenced en geneu er Eelefinist	-⌫------|-|-----⌫-||--|-----|
e nfeuer erNert pas	-⌫|-----⌫-||--|--|
e n geneu er	-⌫|-----⌫-|
Ain zserad	---⌫|----|
de feuererEice o guar dereiz	-|------||---⌫|----⌫-----|
Tutles a ltresmais	--|--|-⌫----|---|
Qu antnusd emusteruns	--⌫--|--|-⌫---------|
Desembolismeisu ns	--|------------⌫-|
Mais ord emusterum	---|-|-⌫--------|
Cumnusalüu m	--|--|-----⌫|
Le demi iur que auum	-|---|--|--|---|
Cha scunelune isunLunelaiss umpasser	---⌫----|----⌫---||--|-----⌫-|-----|
Nelu olumpas c un ter	--|-⌫---|--|-⌫--⌫--|
altreluneisun	----|-------|
Le demi iurpernum	-|---|--|-----|
EnsemblelesmetumEuni u r en	-------|--|----||-|-⌫-⌫|-|
Duncadlalu nei sun	---|-|-|--⌫---⌫--|
Xxx i urzpar	--|-⌫--|--|
cest ordei nement	---|-----⌫-----|
Guardumn us ueirement	------|-⌫-|--------|
Quelunead.xxx.iur s	--||--|-|----|---⌫|
Lealtre.xx.e.i x. i urs	-|----|---||--⌫-|-⌫--|
Pur icesteraisu n	--|-----|-----⌫|
mu strétauum	--⌫-----|---|
De saltulune	-|----|---|
E tordemusterum	-⌫|-|---------|
Quenussalt a pel lum	--|--|---|-⌫---⌫--|
saltquetressaillum	---|--|----------|
Unsuliurpar	-|--|--|--|
Decel e lun e isun	-|---⌫|---⌫-⌫---|
Q ue nus eniuil	-⌫-|--|-|---|
Uniur en sustr aium	-|--|-|-----⌫---|
Quenu s salt	--|--⌫|---|
app ellu m Een	---⌫----⌫||-|
salunei sun .	-|-----⌫--||
Xx.e .ix.iurscun tum.	--||---|---|---⌫--||
Xxx .doüst aueir	---⌫|-----|----|
Ic eosac ez par ueir	--⌫-|---⌫-|--|---|
ensustraium	-|--------|
Uniurpargrantraisun	-|--|--|----|-----|
Deceotraia	-|--|---||
gu ar a nd	--⌫--⌫-⌫-|
Nebr otquëiss i	----⌫-|---|---⌫|
Luntenquis e g uard étEieoben	|--|-----||-⌫----⌫--||--|--|
espruu éd	------⌫--|
Q ue si gr antencumb rer	-⌫-|-|--⌫--|------⌫--|
Nus uendrait sipl ener	--|-------|-|--⌫---|
En.cc. saissanteanzEen .xx .	-|---|--------|--||-|---⌫|
Quantdeuerïumgu arder	----|--------|--⌫----|
L esun renuueler	-⌫|--|--------|
De .xu.iur sserait	-|---|---⌫|-----|
Ces tmal nusenuendrait Epur	---⌫|--|--|-|-------||--|
ceotressaill um	--|---------⌫-|
Iceliurp ar ra isunEsiuusdemandezEformen t	---|--|-⌫-|--⌫---||-|--|-------||------⌫|
Pu r queiilfudtruuédEdumilfu furméd	--⌫|---|-|--|------||--|-|-|------|
Bede le tempere ́d	---|-|-------⌫-|
uus dir aduerite ́d	--|---⌫-|------⌫-|
Pu rc eoneluoilcu nter	--⌫|-⌫-|--|---|--⌫---|
Ainz meplaistdemustr er	---|-|-----|-------⌫-|
Paru er eiesraisuns	--|-⌫--⌫---|------|
Desembolismeisuns	--|-------------|
Emb olisme estcreiss ance	---⌫-----|--|------⌫---|
Suluncnu s habun danc eEsacezparueritéd	-----|--⌫|-----⌫----⌫||----|--|-------|
estfurméd	--|------|
Demomenzd e at ometes	-|-----|-⌫|--⌫-----|
Quë apel lumhuretes	---|----⌫--|------|
Q uisuntesl une isuns	-⌫-|---|-|-⌫---⌫----|
Si cum nus dit auumsE si	-|--|--|--|----||-|
uus requerez	--|-------|
Cu mentilsuntf urmez	--⌫---|-|---|-⌫----|
Gerland le	------|-|
Ki b enespru u e ́ d l at	-|-⌫-|-----⌫-⌫-⌫-⌫||-|
Enzelquintcap itele	--|-|----|---⌫----|
Qui ladfa itdes unliuere E	-|-⌫|-|--⌫-|-|-⌫-|-----||
Turkile lt erzli uereE elnomec a pi tele	-----|-⌫|-⌫--|--⌫---||-|---|-⌫-⌫--⌫---|
neluoilcunter	--|---|-----|
Anceis uoildemustre r	-----|---|--------⌫|
Quantilue nentquant nunEquantnusl é	----|-|--⌫---|----|--||----|--|-⌫-|
gardumuëezisuf tilment	-----|----||---⌫------|
D irailebrefment	-⌫---|-|-------|
Par. xix.anzu untElu rplenerscursfun t	--|-⌫---|--|-⌫--||--⌫|------|---|---⌫|
Eenla lune i sun .	|-|-|----⌫-⌫--||
Xxx.iur zacuntum	---|---⌫|------|
Q uantlembolisme uent	-⌫---||--------|---|
Pur un iur quëiuent	--|-|--|---||---|
laluneis un	-|------⌫-|
Dun tembolisme	---⌫|--------|
Karceo estabunde ment	--|--|--|------⌫---|
Sulunclagri uegent El iprimerskiuent	-----|-|---⌫-|---||-⌫|------|-|---|
annusauent	-|--|----|
Les.iiii.no nest ent	--|-----|--⌫--|-⌫--|
Dedecem bre quantue nt Elisecund	-|-----⌫--|----|--⌫-||-|-----|
quant uent	----|---|
Les . iiii.	--|-⌫----|
Deseptembreenuertéd	-|--------|-|------|
Sicum est espruuédEsi	-|--|--|--------||-|
iluent el sis tan	-|---|-|---⌫|-|
Parueir esenzen g an	--|---||---|--⌫-⌫-|
Eliterzq uanti luent	|-|---|-⌫---|-⌫|---|
Enluitmea nnus aue nt	-||----|-⌫|--|---⌫-|
nonesmaintent	----|-------|
Demarzquan til au entEli qua rtque	-|---|----⌫|-|--⌫--||-|---⌫-|--|
E n l u nzim ëanuent	-⌫||-⌫----⌫-|-|---|
Les.iiii.n o nesten t	--|-----|-⌫-⌫--|---⌫|
Denouembre quan tuen tEle	-|-------|----⌫|---⌫||-|
sist quëauum	---|---|---|
El qu in zim e	-|--⌫--⌫---⌫|
an guardum	-|------|
aüst aue nt	----|---⌫-|
Ses.iiii . nonestent	--|-----⌫|----|---|
Lese tm e qu equ e tarz	-|--⌫--⌫|--⌫|--⌫|---|
Es. iii.nonesdemarz	-|-⌫---|----|-|---|
Nusuend rat	--|----⌫--|
senz enga nz	---|----⌫-|
Lidedera ins	-|------⌫--|
desanzEcest	--|--||---|
o rdenement	-⌫--------|
Senznulredu tement	---|--|----⌫-----|
Tuttens nusauendrat	--|---|--|-------|
Tantcum cist tensdur atE	---|--|---|---|---⌫-||
.xx x .i urzauerum	---⌫-⌫|-⌫--|-----|
Tu tte nse ll u neisun	--⌫|--⌫-|-⌫|-⌫-⌫-----|
Quan tembol ismese rat	----⌫|-----⌫---|--⌫--|
Tuttensianifaudrat	--|---|-|||------|
Maisde cesteraisu n	---|-|----|-----⌫|
Nef e ra i o r pluss ermu n	-|-⌫-⌫--⌫|-⌫|---|-⌫----⌫|
K arore uoi lc umen ce r	-⌫-|--|---⌫|-⌫----⌫--⌫|
Altreduntuoilp a rle r	----|---|---|-⌫-⌫---⌫|
Delalune quelumueit	-|-|---|--||-|---|
nuuelesait	-----|---|
Pl usursenunttra itédE	--⌫----|-|--|---⌫----||
raisuncu mencéd Eoren	-----|--⌫------||-|-|
traitera i	--------⌫|
Sulumceoq ueieo sai	----|--|-⌫-|--|--|
Lalu neenuerit éd	-|--⌫-|-|-----⌫--|
Si cum est espruuéd	-|--|--|--------|
Par.xix.anz u eit Esunplenercurs fait	--|----|--|-⌫--||--|-----|---|---|
Qu antsun cursadfurnit Edet ut	--⌫--|--|---|-|-----||-|-⌫-|
l adempli t	|-|-----⌫|
Paresselacharere	--|---|-|------|
S enre pairedarere	|-|--⌫-----|----|
En tanz anz uei r emen t	-|---|--|---⌫-⌫----⌫|
Senznul redutement	---|--|---------|
Ir atsumcu rs	--⌫-|--|--⌫-|
feisantE arer eeauantE	------||----⌫||----||
d e unelun eis unuëez o reparreisu n	-⌫|--|---⌫---⌫-|----|-⌫-|--|-----⌫|
Q uanteshuresquanziurs	-⌫-----|----|----|---|
N u struuum	-⌫-⌫|-----|
ensu n curs	-|--⌫|---|
Primes dé atometes	-----|--|-------|
Quëapellu m	---|------⌫|
XIe.uiii.i	-||-----||
TreiscenzkiscunteratE.xx.	----|---|--|-------||---|
e . ix .mo menz	|-⌫--⌫|--⌫---|
Ceoes td emure detens E	--|--⌫|-⌫----|-|---||
du zzeh uresformee sE.xx.e.ix .iurnees	--⌫--|-⌫---|------⌫||---||---⌫|------|
pa rraisun	--⌫|-----|
Chascun e lun eisunEceofun tceshuretes	-------⌫|---⌫----||--|---⌫|--|------|
Momenz cesatometes	-----|--|-------|
Q uëh omlaluneueit	-⌫--|-⌫-|-|---|---|
Ainzquenuueleseit	---|--|-----|---|
Enn o strekalender	-|-⌫-⌫---|-------|
Ceou usuoil nuncier	--|-⌫-|---|------|
Nebr otleuai ll a ntE	----⌫-|-|---⌫--⌫-⌫-||
Elperiledi t	-----|-|--⌫|
Parue iren sune scritE	--|--⌫-|-|--|-⌫----||
ceoq uilendit	--|-⌫|-|-|--|
Senznulc untred it	---|--|-⌫------⌫-|
Parueir estespruuéd	--|---|--|--------|
E trés benaferméd Equepluse ndi r at	|----|--|-------||--|---|-⌫|--⌫-⌫-|
Sacezenuein serad	----|-|---|----|
Purceoneluoilc u nte r	--|--|--|---|-⌫-⌫---⌫|
plaist a dem ustrer	-----||---⌫-----|
elpertplu salte	-|---|---⌫|---|
Unefeiee que altre Epurqu e i	--|----|--|----||--|--⌫-⌫|
Plusla n uitque	---|-|-⌫--|--|
le iur Epu r queiestcun tee	-|--||--⌫|---|--|---⌫--|
Tutte nsenla uespre e	--|--⌫-|-|-|------⌫|
OruëezparreisunsLo rd re	-|----|--|------||-⌫--⌫-|
desquest ïun s	--|-----⌫----⌫|
Qu a relunadiuersis stati bu sappare at	--⌫-⌫-|---|-------|-----⌫--⌫|------⌫-|
La lunepeertplus halte	-|---|----|---|----|
Une feie q uëaltre	--|---|-⌫--|----|
S ulu m leuëem ent	-⌫---⌫|-|-----⌫--|
De cesthumainegent	-|---|------|---|
Ma is nent est ia n ert	--⌫-|---|--|-||--|
Plusunefeieeq ueal tre	---|--|----|-⌫-|--⌫--|
Maisquant estprofde nus	---|----|--|---|-|--|
Du ncapert alt	--⌫-|----|--|
sun curs E	--|---||
quantes tes lu ig nee	----|--⌫|--⌫--⌫--⌫--|
Du ncpertestr e abas seeuëez en parsemblance	--⌫-|---|----⌫|----⌫--|----|-|--|--------|
Dreitesignifianc e	-----|----------⌫|
S eciert uns musters	-⌫|-|--|--|------|
K ialques fu st pleners	-⌫|-----|--⌫-|------|
Delamp esalumees	-|----⌫-|------|
Üelemental tleueesEluinz	--------|--⌫|-----||----|
elui nz poseesEenord re or d enees	|---⌫-|-----||-|---⌫-|--⌫-⌫----|
Sacezqui enluinserai tEquis esguarderai t	----|--|-|---|-----⌫||---|-----------⌫|
pro fs erait	---⌫|-⌫----|
Plus alteconceuerai tLaltre qu	---|---|----------⌫||----|-|
Ba sseli semblera i t	--⌫--|-|--------⌫-⌫|
Cumplu sluinserai en t	--|---⌫|---|-----⌫--⌫|
Bass eslis emble raient	----⌫-|-|-⌫-----⌫-----|
SulumsunuëementEnentaltrementE issi	----|--|-------||---|--------||---|
pa r r ai s un	--⌫|-⌫--⌫-⌫-|
Sulu m laquestïun	----⌫|-|--------|
De lsolailede lalune E d esteile	--⌫|-----||-|-|---|||------|
chascuneEle	-------||-|
altre questïunuëezparraisun	----|--------|----|--|-----|
Pu r que i ela dlüur	--⌫|---⌫|-|-⌫|----|
Plus lanu itqueleiur	---|-|--⌫-|--|-|--|
ertalumét	--|------|
Unc aste luun	-|-⌫----⌫||-|
deiusteleréd	------|-|---|
cirge luméd	----|-----|
Ia qui d e luinserait	-|--|-⌫|---|-----|
L e ci rgene	-⌫|--⌫--|-|
Pur lag randec larte ́d	--|-|-⌫----|-⌫-----⌫-|
Quë is teraitdecelre ́d	---|--⌫-----|-|--|--⌫-|
Maisquantildestendrait	---|----|-|----------|
Licirgesaparereit	-|-----|--------|
Cumela lune fait	---|-|---|---|
Quan tlisolailsse	----⌫|-|------|-|
Qu est occiden t	-|--|-------⌫|
La terceque sti ̈unuëe zor eparra i sun	-|----|---⌫---⌫--|----⌫|--⌫|--|--⌫-⌫--|
Purqueie leest	--|---|-⌫-|--|
Enunliuerediuin	-|-|-----|----|
Q u eapellum	-⌫-⌫|------|
Iloclisant tr u uu m	---|-----|--⌫-⌫--⌫|
Deusfistparraisu n	---|---|--|-----⌫|
LesolailelaluneE esteile	-|-----||-|---||------|
Enpuriceo cuntum	----|---|-----|
La lu neparraisun	-|--⌫-|--|-----|
Tuttense n la uespreeEnentlamat inee	--|---|-⌫|-|------||---|-|---⌫---|
Encorest ques tïun	----|--|----⌫----|
Suluncm e ntencï u n	-----||-⌫-------⌫-⌫|
Purqueinuslap ellum	--|---|--||--⌫----|
Chascuneluneisun	-------|-------|
üele seit	----|---|
Q uelemaintiur	-⌫|--|----|--|
Suluncle uëemen t	-----|-|-------⌫|
hu maine gentEes tdite la	--⌫----|---||--⌫|---|-|
raisunEla soluc ïun	-----||-|-----⌫---|
Et orm u strum raisu n	-|-|-⌫-⌫----|-----⌫|
D efolentenc ïun	-⌫|--|------⌫---|
uolentiurer	-----|----|
renu uele r	----⌫----⌫|
Ceodïentsenz dut ance	--|-----|---|---⌫---|
Aiezi rem embrance	---||---⌫-------|
Que quantest enuersee	--|----|--|-------|
Duncertpl uie apres tee	---|--|--⌫--|-----⌫--|
Ence le luneisun	-|--⌫-|-------|
Par lurentenci ̈unEseleesten	--|--|-------⌫--|||--|--|-|
pr uuetlem	--⌫---||-|
Qu enicelelun eisun	-|-|----|---⌫----|
Auerumbel es aisun	-----|---⌫|-⌫----|
Maiss acezpar ue rtéd	---|-⌫---|--|--⌫----|
estgrantf altédEprimes	--|----|-⌫-----||-----|
f ud truuee	-⌫-|-----|
Deal cunhumedesuee Euëez parrai s un	-|--⌫--|---|-----||----|--|---⌫-⌫-|
Sice onestd re its ermun	-|--⌫||--|-⌫--⌫-|-⌫----|
solail e luneEeste ile chascune	-----||---||----⌫--|-------|
Sacezpur tutegent	----|--|---|---|
Sen znulredutement	---⌫|--|---------|
Dun c di ieo puru er téd	---⌫|-|--|--|-⌫--⌫---|
Que celetempestéd	--|---|---------|
Que ̈elesignefie	---⌫|--|-------|
E nceste m orteluie	-⌫|----|-⌫----|--|
Sulunc leuëemen t	-----|-|-------⌫|
Dec est humaine	-|-⌫--|------|
uendreittutü ele ment	-------|--|--⌫---⌫---|
P uru ei ra tutegent	-⌫-|-⌫--⌫||---|---|
Maisceoestbeffe pruuee	---|--|--|----|-----|
Karencestecu ntree	--|-|----|--⌫----|
Auumnusbel oréd	---|--|--|----|
Q uantilfait temp esté d	-⌫---|-|---|----⌫-----⌫|
Ena ltre regïun	-|-⌫---|------|
Senznuled uteisun Enis	---|---|-⌫------||--|
B ed eledit	-⌫--⌫|-|--|
Par ueirensun escrit	--|---|-|--|-----|
Queceoestgran tf olie	--|--|--|----⌫|-⌫---|
Quë homunkes ledie	---|--|----|-|--|
Ma is ceode uezsauei rEben	--⌫-|--|--⌫--|-----⌫||--|
Cel epa rtenlumine	---⌫|--⌫-|-------|
Lisoleil squa ntdec lineEuëez par	-|------⌫|---⌫-|---⌫---||----|--|
Q ua ntpri melecuntum	-⌫--⌫-|---⌫-|-|-----|
Pur queie l e n	--|---|-⌫-⌫||
Nemais queun	-|---|--|-|
cumescu ̈ele	--|----⌫---|
Rundecumerüel e	----|---|-----⌫|
Dunclateintla l üur	---||-----|-|-⌫---|
T ant sule mentenlurE c eo	-⌫--|----⌫---|-||-||-⌫-|
poë zued eir	----⌫|---⌫--|
Siluol ezsaueir	--|---⌫-|-----|
Perne zun mirreü r	-----⌫|-|-------⌫|
Esguardezlë	--------|--|
La furmequeiuerez	-|----|--||----|
conce uere z	-----⌫----⌫|
Sil uolezes luig ner	--|----|--⌫----⌫--|
Dreitdeuant uusd recer	----|-----|--|-⌫----|
uerezlafigur e	----|-|-----⌫|
D e cele crëature	-⌫|---|--------|
Quidedeuantserad	--|-|-----|----|
Te le cum illauer at	--⌫-|--|-|-|---⌫-|
ledrece rez	-|-----⌫--|
Mel ze m elz	---⌫||-⌫--|
Purceol aiissi d it	--|--||-|---|-⌫-|
Pa rsemblancedescrit	--⌫|--------|------|
ad sa lüu r	-|-|----⌫|
Laluneere sp lendur	-|---||--⌫--⌫-----|
Quantele receitlum ere	----|--|-----|---⌫--|
Detutes parzplenereE ele	-|----|---|------||--|
s es tes luigne e	|--⌫|--⌫------⌫|
D r eit al soleil drecee	-⌫-⌫--|-|-----|-----|
P itagor as	-⌫------⌫-|
Quesagefudesarz	--|---|-|--|--|
Qu eia nenert plen e r e	--⌫|-|--|--|----⌫-⌫-⌫|
D e tute sa	-⌫|---|-|
lumereS elnenad	-----||-|--|-|
Tuziu rse nz ensuncurs	--|--⌫-|-⌫-|-|--|---|
Etoreuë ezra isun	-|--|---⌫-|--⌫---|
Que eclipsium apellum	--|--------|------|
Ceoe st deuisement	--|-⌫-|---------|
Sulumr omainegent	----|-⌫-----|---|
Delumere enuertéd	-|-----|-|------|
Si cumestespruuéd	-|--|--|--------|
Ki ertbon s philosophus	-|--|---⌫|----------|
Iceo sacezenf i n	---|----|-|-⌫-⌫|
Iceoe st eclipsin	---|-⌫-|-------|
Delsolailqu ant la	--|-----|--⌫--|-|
Nusf aitsi gran trancune	--|-⌫--|-|----⌫|------|
Que ele e sttantalee	--|--|-⌫-|---|---|
