#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
me rueilleuse.	--⌫----------|
Ce ior tenoit	-|--|-----|
cortmolt ioieuse	---|---|------|
Lirois aBadesacité.	-|---||---|-|-----|
Iorzfu desanateuité	---|-|-|-|--------|
Porcelat intgrantet plenier e	--|-|-|-⌫--|----|-|-------⌫|
Si ot ge n tdemaintemeniere	-|-|--⌫-⌫|-|-----|------|
A uo eclui uenu	-⌫--⌫-|--|---|
plusquassez.	---|-|-----|
Toz fu lipalé s antass ez	--|-|-|-----⌫|------⌫-|
Decheualiersetde puceles	-|---------|-|-|------|
ot auoece les	-|----|-⌫--|
Quisuer estoi t	--|---|-----⌫|
Do nbienuosdirai ça	--⌫|---|--|----|--|
Monpansseretmantenc ion	--|------|-||------⌫--|
Mesnan uue l	--||-|---⌫|
fe i rem ancion	--⌫-⌫-|-⌫-----|
Carnafi ert	--||---⌫--|
Queci androitandoiedire	--|-|------|-|---|---|
nelauuelb oceier	-|-|---|-⌫-----|
Ne corronpre neforc eier	-|--------|-|----⌫---|
Me smenerboencheminetdroit.	--⌫|----|---|-----|-|-----|
Etsi uosdirai orandroit	-|-|--|----|-|------|
OuMeleaganzest uenuz	-|--------|--|----|
to zgrosetmenuz	--⌫|---|-|----|
Distaso nperemol ten haut	---||--⌫|---|---⌫|-|---|
Perefet i l seDexmesaut	---|--|-⌫|-|--|-|---|
Seuos plestormedit esuoir	-|--|----|-|-|---⌫-|---|
gran tio ieauoir	----⌫|--⌫-|----|
Et semo lt n estdegr antue rtu	-|-|--⌫-||--|-|--⌫--|--⌫--|
laco rtleroiArtu	-|--⌫-|-|--|---|
Parsesarmes se fetdoter.	--|--|----|-|--|-----|
Liperessanz plu s	-|----|---|---⌫|
Asa demandelire s pont	|-|------|-|--⌫-⌫---|
Filz fet iltuit cil	---|--|-|---|--|
quiboensont	--|---|---|
Doi uent enoreret seruir	---⌫---|-----|-|-----|
Celuiqui ce puet	----|--|-|---|
E tmain tenir sacompa ign ie.	-⌫|----⌫----|-|-----⌫---⌫--|
blandistet silipr ie	-------|-|-|-|--⌫-|
Etd it cor	-|-⌫-||-|
Por coia ceamanteü	--|--||-|-------|
Quilqu i er t	-|-|--⌫-⌫--⌫|
quiluialtetdom	-|-|----|-|--|
Si rene s aisil	--⌫-|-|-⌫-||-|
uossou ient	--|---⌫---|
Ce dit s e s	-|--|-⌫-⌫|
filzM ele aganz	---|-⌫---⌫----|
Dese s garzetdes couenanz	--|-⌫-⌫---|-|--|-------|
furent etrecordé	-----|-|-------|
Quant par uos fu mesacordé	----|--|--|--⌫--|------|
EtmoietLance lo zans a nble.	-|--|-|-----⌫--⌫|---⌫-⌫----|
Bienu osa n	---|-⌫-|-⌫|
manbrecemesa nble	-----|-|-|--⌫---|
Qu edeuantplusorsnosd istl an	--⌫|-----|------|--|-⌫--||-|
Quenosfussiensauchiefdel an	--|--|-------|-|----|-||-|
An la cort	-|-|---|
Artup resta ndui.	---|-⌫---|-⌫----|
Gialaiquant	||---|----|
Apareilliezetaprestez	----------|-|-------|
porcoigi e reale z	--|--|||-⌫-|---⌫|
Tot cequeied ui fairefis	--|-|--|-|-⌫-|----|--|
Lanc el ot demandaiet	----⌫--⌫-|-------|-|
Contrec u i ie	-----|-⌫-⌫|-|
deuoieoure r	-----|----⌫|
Foïzsanestetdestornez.	----||-|--|-|---------|
Or simansui	-|-||-|--|
par teltor nez	--|--|---⌫--|
QueGauu ai ns masafoi pleuie	--|----⌫--⌫-|||-|--|-----|
QueseLa ncelozn es t anuie	--|-|--⌫-----||--⌫|-|--|
Etsededanzle	-|-|-----|-|
N e u ientb ienma	-⌫|-⌫---|-⌫--|||
ditetp romis	--|-|-⌫----|
Queierespizp risnan sera	--|-|-----|-⌫--||-|---|
M esilmeïsmeslafe ra	-⌫-|-|-------|-|--⌫-|
Ancontre moipor Lancelot.	-------|--|--|--------|
Artu s n acheualierqu an	----⌫|||--------|-|-|
Tantcon ces tuicest bien seü	---|--|---⌫--||--|---|---|
Mesainzque flor i ssentse ü	--|---|--|----⌫-⌫----|--⌫-|
uerra ige saufer ir ue nons	-----⌫|-||-|---⌫-|--⌫---|
acor d e li	----⌫-⌫|-|
Et monuuelser oit or andro i t	-|--|---|---⌫--|-|-----⌫-⌫|
-Filz fet lipe resor	|---|--|-|--⌫--|-|
Tefez icitenirpor sot.	-|--|--|----|--|---|
O rsettexquideuant	-⌫|--|--|--|-----|
Pa rtoimeïsmestafolie	--⌫|--|-------|-|----|
uoirsestqueboenscuerss umilie	----|--|--|----|----||-----|
Meslifos et	--|-|--|-|
lidescuidie z	-|---------⌫|
Nie rt ia defo lie uuidiez.	|--⌫-|-|-|--⌫--|-------|
Filz por toile diquetesteches	---|--|--|-|-|--|--|-----|
sidures etsiseches	-|----|-|-|-----|
Li tuens cuersest tropsanzpitié	-|----|----|--|---|---|-----|
Tropesdelaf ol ieespris.	---|-|-|-|-⌫--⌫-|------|
C estcepor co igete	|--|-|--|--⌫|-|-|
C estc equimo lt	|--|-⌫|--|--⌫-|
t a beissera.	|-⌫--------|
assez se ra	----|--⌫-|
Quilebienan tesmoingnera	--|-|---|-|-----------|
A lorequibesoing nera	||--|--|-------⌫---|
Nest uetpasprodomelöer	|---⌫--|--|------|----|
pors on fet alö er	--|-⌫-|--|----⌫-|
Que lifezmeïsm esseloe	--|-|--|------⌫-|-|--|
Neïslamonte	----|-|----|
Ne t aïdeamonteranpri s	-||----||-----|-|---⌫|
Teslosme sassez mai ns t	--|--|--⌫|----|---⌫-||
Fi lz ietechast imescui chaut	--⌫-|-|-|-----⌫|--|--|----|
Quanquandita	-----|-|--||
folp etituaut	--|-⌫---|---|
Q ue c ilne	-⌫-|-⌫-|-|
sefetfors debatre	-|--|---|------|
Quide foluialtfolie abatre	--|-|--|----|----|-----|
E tbien squ an anseig ne et	-⌫|----⌫|-|-|------⌫-|-|
Neua lt riensanne l met aoeure	-|--⌫-|---||-|--⌫|--||----|
Einz estlu ésalezetpe rdu z.	---|--|--⌫--|---|-|--⌫---⌫-|
d u remantesperd uz	-⌫-⌫-----|------⌫-|
Meleaganzetforssené	--------|-|--------|
On queshomedemere	--⌫---|---|-|---|
Ce uos puisiebie n poruoirdire	-|--|---|-|---⌫|--|---|---|
N eueïst es ausip laindire	-⌫|------⌫-|---|-⌫---||--|
Comil est oit etp arcor roz	--|-|---⌫--|-|-⌫-|---⌫--|
Fu iluequeslifestuzroz	-|-------|-|-----|--|
Car derienn ule nebl andi s t	--|-|---|-⌫--|-|--⌫----⌫-⌫|
mesitant li d ist	--|----|-|-⌫--|
Estcesong es ouuosresuez	--|-|----⌫-|-|--|-----|
Quidit esqueiesuidesuez	--|---⌫-|--|-|--|-----|
Por ceseieuoscontmon estre	--|-|-|-|--|---|--|----|
Comamo n seignor cuidoieest re	--||--⌫|------|------|---⌫-|
Auosuenuzcomamonpere	|--|----|--||--|---|
Mesne sanblepasquil ape re	--|-|-----|--|-|-|---⌫-|
Carplus uilma nt	--|---|-----⌫-|
meleidoiez	-|-------|
esta uisquenedoie z	--|-⌫--|--|-|----⌫|
Ne rei sondirene sauez	-|---⌫--|---|-|----|
Por coiancomanciél au ez.	--|--|----------||--⌫--|
-Sifazassez .-Et	|-|--|-----⌫||-|
uos d equoi	--|-⌫|---|
-Quenu lerie nantoine uoi	|--|--⌫-|---⌫|-|--|-|--|
Fors seu lem an t fors san etra ge .	---|---⌫---⌫--⌫|----⌫--|-|--⌫--⌫|
m oltbien to nco rage	-⌫--|---|--⌫|--⌫---|
Qui ancorgrant mal	--|----|----|--|
Dahaitet qui iacuidera	-----|-|--|-|------|
QueLancelozli	--|-------|-|
Q uidetozfors detoiapris	-⌫-|-|--|---|-|--||---|
por tacr i eme fo i ̈z	--|-|--⌫-⌫--|--⌫-⌫-|
Mesespoir quil	--|-----|-|-|
estanfoïz	--|------|
Ouantel pr ison	-|-|--|--⌫---|
D o nli huis est	-⌫-⌫|-|---|--|
si fortser rez	-|---|---⌫--|
Quilnan puet issirsa nz	-|-||-|---|----|--⌫-|
Certesc est la	-----||--|-|
chose dontgie ́	----|---|---⌫|
Ser oieduremantiriez	---⌫--|-------|----|
estoitmorz ou	-----|---|-|
anpi riez.	----⌫----|
Certes tropia uroit grant	-----|---||-⌫----|----|
Sec riaturesiaperte	-|-⌫------|-|-----|
Sib ele sipreuz sis erie	-|-⌫--|-|----|-|-⌫---|
Estoitiasi partansperie	-----|-|-|--|---|----|
Mes ce stmançonges eDeuplest .	--||-⌫-|--------|-⌫|--|-----⌫|
Bademaguz setest	--------|-|---|
ilotditet conté	-|-|--|-|-----|
Ot ante nduetescouté	-|----⌫--|-|-------|
Unesoef illepucele	--|--|-⌫---|-----|
Ets achiezbienquece	-|-⌫-----|---|--|-|
Corainzam ant ui anmon	|-----|--⌫---⌫-|-|--|
Q uin est pas liee q uant	-⌫-||--|--|---|-⌫---|
Te xn oueles	--⌫|-⌫-----|
de L ancelot.	-|-⌫-------|
Bienapa rçoitquanle c elot	---|---⌫-----|-|-|-|-⌫---|
Quantannan set neu antne	----|-||-|--|-|-⌫--|-|
IaDe x fetelenemeuoi e	-|--⌫|--|--|-|-|---⌫|
Quantieiames reposerai	----|-|-|--|--------|
Iusquetant	-----|---|
que ie an saur ai	--|-|-|----⌫-|
Nouelecertain neetueraie.	-----|-------⌫-|-|------|
Mai ntena ntsanz	---⌫-----⌫-|---|
nuledel aie	---|---⌫--|
Sanznoise fei reetsan zmur mure	---|----|---⌫-|-|---⌫|---⌫---|
mo nter sorunemure	--⌫---|--|--|---|
Moltbeleetmoltsöef portant .	---|---|-|---|----|-------⌫|
di g et ant	-|-⌫|-⌫--|
Qu el e ne	-|--⌫|-|
se tonquesquel part	--⌫|-----|---|---|
Tornerquan tde lacortsepart	-----|----⌫|-|-|---|-|---|
Nelenelset nel enel rueue	|--|--|--||--⌫|--|----|
Mes elprem ier cheminquel	--|-|----⌫--|-----|-|-|
Sanantreet	|-|----|-|
uagra ntaleüre	-|---⌫-|------|
mesparauanture	--|--|-------|
Sanzcheualieretsanzsergent.	---|--------|-|---|-------|
Moltsehas temoltestan	---|-|---⌫-|---|--|-|
D a consi ure ce quel e chace.	|-⌫-----⌫--|-|-|--⌫|-----|
Mol tsep orquiertmolt seporch ace	---⌫|-|-⌫-------|---|-|-----⌫--|
Mes cen iertiamie s itost	--|-||---|-|--|-⌫|---|
Nestuetpasquelese	|-----|--|-|--|-|
Ne d emortan un leugranmant	-|-⌫----|-|-|--|-------|
S eleuia ltfeirea u ena nmant	|--|---⌫-|----|-⌫-⌫---⌫----|
Ce q uel ea	-|-⌫|--⌫||
an panssé afair e	--⌫------||----⌫|
C estLanc elot	|--|----⌫---|
tr ueue etf e ir ele puisse.	--⌫---|-|-⌫-⌫--⌫|-|------|
Me s iecui tquainçoisquel	--⌫|-|---⌫|-|-------|-|-|
l etru isse	-⌫|---⌫---|
Ena u r amaintpaïscerchi é	-|-⌫-⌫-⌫|----|----|------⌫-|
M aint alé et	-⌫---|---|-|
maintreu erchié	----|---⌫------|
Ai nzque nule	--⌫-|--|---|
nouele an oi e.	-----|-|--⌫-|
Mes queuald roit se iecontoie	--|--|----⌫---|-|-|------|
gistesneses iornees	-----|-|--|------|
Mestan t esuoiesatornees	--|---⌫-⌫-|----||------|
Amo ntaualet	---⌫-|---|-|
fulimo is ouplus	-|-|--⌫-|-|---|
Conquesplusaprandre nanpot	|-----|---|-------||-|--|
Ne moinsquele	-|----|-|--|
deuantanso t	-----|-|--⌫|
Etc estneanz	-||--|----|
totantraue r s.	--|-|-----⌫-⌫-|
Uniorsana loit	-|--||-|-⌫---|
Un chanpmolt do l anteetp ansiue	-|----|---|--⌫-⌫---|-|-⌫-----|
bie nloinglezun eriue	---⌫|----|--|--⌫|---|
Presdunbraz de mer un e	---||-|---|-|--|--⌫|
M es nauoitd uneli ueantor	-⌫-||----||--|--⌫-|----|
Meison neb uironne repeire.	-----|-|-⌫----|-|-------|
Meleaganzlotfeir efeire	--------||-|----⌫|----|
QuiLancelotmis iauoit	--|-------|--||----|
Mescele neant nan s a uoit.	--|---|----||-|-⌫-⌫----|
Et si t ostcom ello t	-|-|-⌫--|--|-||-⌫|
Sias imise saue üe	|||-⌫|---|-|--⌫--|
Quaillors nela	-|------|-|-|
tor nenemet	---⌫-|-|--|
cuerstresbien	----|---|---|
Quecestcequeleat antchacié	--||--|-|-|--||-⌫--|------|
estuenueachié	--|----||----|
Quad roiteuoiel	-||-⌫----|---||
Fo rtunequi	--⌫----|--|
tantlapene e .	---|||----⌫-⌫|
Ettant a aléquelei	-|---||---|-|--||
Antor uaoroille et escote	----|-|------|-|-----|
Etsimetsan tenciontote	-|-|--||--⌫------|---|
Sau oi rmon seeleioi ̈st	---⌫--⌫|--|-|--||--⌫--|
Chos e d onteles esioïst.	----⌫|-⌫--|--||--------|
Aual esgarde	---|------|
etamontbee	-|----|--|
Latoruoit fortethauteetle e	-|--|---|---|-|----|-|--⌫|
Meruoillesoiquecepuetestre	--------|--|--|-|---|----|
Quele n iuoit huisne	-|--|||---|---|-|
F ors unepetiteetestro ite.	-⌫--|--|-----|-|-----⌫---|
Anla tor qui e s th autee t	-|-|--|--|-⌫-⌫|-⌫---|-⌫|
eschi el ene d egré.	-----⌫--⌫|-|-⌫-----|
P or cecro itq ue	-⌫-|-|---⌫-|-⌫-|
ce stfetdegré	|-⌫-|--|-|---|
E t queLan celoz estdedanz	-⌫|--|---⌫----|--|-----|
Me sainzquelemaniut	--⌫|---|-|--|-----|
Saura se c e e stuoirs	----|-|-⌫|-⌫-|----|
Lorsleuiaut a peler par non	---|-|----|-⌫----|--|--|
A peleruoloit Lancelot	-⌫----|-----|-------|
Mescela t ardequeele ot	--|-|-|-⌫---|--|--|-|
An demant iersqu ese	--⌫------⌫---|--⌫|-|
Uneuoiz qui	--|---|--|
Anla tor mer ueilleus etfort	-|-|--|---⌫-------|-|---|
Quine queroi t elquelamor t.	--|-|------⌫|-|--|-|---⌫-|
Lamortcouoiteet tropse	-|---|------|-|---|-|
Trop parama l	---|--||--⌫|
etmoriruiaut	-|----|----|
Sauiee tsoncorsdespiso it	-|--|-⌫|--|---|-------⌫-|
si di soit	-|--⌫---|
Foi bleme nt a u oizbasse etroe	---⌫-----⌫-||-⌫--|----|-|--|
HaïF ortu ne con	---|-⌫----⌫-|--|
M estoreleidemanttornee	|--|--|--------|-----|
Malemantlamas	-------|-||-|
Cargie r eel m ontorsui el ual	--||--⌫-⌫|-|-⌫--|-|--|-|--|
Orauoie bienoraimal	-|----|---|-|-|--|
Or me plo res or	-|-|---⌫--|-|
merioies .	-|------⌫|
Lascheitispo rcoit if ioies	--|------|--⌫|--|||-⌫----|
Quantelesi	----|--|-|
t ostt a lessié	-⌫--|||------|
An p o d oremaabessié	-|-⌫||--|||-------|
uoiremantdesih aut sib as	--------|-|-|-⌫--|-|-⌫-|
Fortune qua nttu megaba s	------|---⌫-|-|-|----⌫|
Moltfe ïs	---|--⌫--|
mal mes toique chaut	--|--|--|--|----|
Anea nt t e stcomant q uila ut.	|---⌫-||-⌫-|-----|-⌫|-|-⌫--|
H a sa inteCroiz	-⌫|--⌫---|----|
Sa in z E speri z	--⌫--⌫|-⌫-----⌫|
Consui perduz	--|--|-----|
consuiperi z	--|--|----⌫|
Con s uideltotant ot alez	--|-⌫-|--|--|-|-⌫-|---|
HaGa uua inuos quita ntualez	-|--⌫---⌫-|--|--|--⌫-|----|
Quide bontez nauez	--|-|-----||---|
Certes dure ma nt m e meruoil	-----|----⌫--⌫-|-⌫|------|
Porc oi uos nemesecorez	--|-⌫-|--|-|-|------|
Certes tropipar demor e z	-----|---||--|-----⌫-⌫|
Sine feitespas	-|-|-----|--|
cortei sie	------⌫--|
B iendeüstauoiruostr eaïe	-⌫--|-----|----|-----⌫|---|
C il cuitantsolïezamer	-⌫-|--|---|------|---|
Certes de çan edela	-----|--⌫--|-⌫|---|
Ce pui s ieb ie ndiresanz faille	-|---⌫|-|-⌫--⌫|---|---|-----|
Neu ̈stdesto r nereposta ill e	|--⌫--|-----⌫|-|-------⌫---⌫|
Ouieneuose üssequis	-|-|-|--|-⌫----|---|
Atotle moins.uii.a n z o udis	|--|-|---------|-⌫-⌫|-⌫|--|
Seiean prisonuosseüsse	-|-|-|-----|--|------|
Einzq uetroué neuos eüsse.	---|-⌫-|-----|-|--|------|
Mes decoi me	--|-|--|-|
uois debatant	---|-------|
Iln e uos an est	-|-⌫|--|-|--|
m ie atant	-⌫-||---|
Quan tre ranuuilliezan la poinne .	-|--⌫---⌫|-|-------|-|-|------⌫|
Li uilains ditbienuoirq u apoi nne	-|------|--|---|---|-⌫||---⌫--|
me sun a mi	--⌫|-|-⌫-|
puet an espro uer	---|-|-----⌫--|
Aube soingqu iest boensamis.	-|--⌫----|--⌫|--|----|----|
aduna nqu a nmamis	||-|-⌫|-|-⌫|||--|
cestetoranprison.	----|--|-|------|
Certes ieltienga	-----|--|----||
Gauuain quantlessiémi auez.	------|----|------|||----|
Mesespoirqu euo snelsauez	--|-----|--⌫|--⌫|--|----|
Espoir queieuosblasm ea	-----|--|-|--|-----⌫||
Certes uo irsestb ien	-----|--⌫--|--|-⌫--|
ma nrecort	|-⌫|-----|
Etgrantol trageetgrant	-|----|--⌫----|-|----|
Quan tielcuidai carie sui	----⌫|--|-----|--|-|--|
Q ueporquanque	-⌫-|--|------|
cueurent les nues	-------|--|---|
Nefustquenif uss ent	-|---|--|||-⌫---⌫--|
uosgenz e tuos	--|---|-⌫|--|
por moi fo r s trair e	--|--|--⌫-⌫|-----⌫|
De cestmal	-|---|--|
cest co n traire	---|--⌫-⌫-----|
uoirl e seüssiez	---|-⌫|--------|
Et fairele rede üss iez	-|----|-|----⌫----⌫--|
P aramoretpar conpaignie	-⌫-|---|-|--|---------|
Quautremant nel	-|--------|--|
rediiemie.	---|-|---|
Mesc estn eanz	--||--|-⌫---|
puetestre.	---|-----|
H a DeDeuetdesaint Ceruestre	-⌫|-|--|-|-|----|--------|
Soitmau d iz etDe x ledestrui e	---|---⌫-⌫-|-|--⌫|-|-------⌫|
Cilq ui atelhontem estui e	--|-⌫-||--|----||-----⌫|
Cest lipire squi soit anu ie	|--|-|----⌫|--|---|-|-⌫-|
M eleaga nzquipar enuie	-⌫------⌫-|--|--|----|
M afettot lep isque il	||--|--|-|-⌫-|--|-|
Atant secoisea tantse	|---|-|----||---|-|
C ilquiadolorsau ieuse.	-⌫-|--||----|-|-⌫-|---|
Meslorsce lequi aua lmuse	--|---|--⌫-|--|---⌫|---|
Quanqu ilotditetentandu	-----|-|-|--|-|------|
Naplusl onguemantat andu	||---|-⌫--------|--⌫---|
C o rse tquele est bi enassenee	|-⌫|--⌫|-|--|--|--⌫-|------|
S ilapeleco mesenee	-⌫||----|--⌫-|----|
Lancelot quanquelpuetetplus	-------|-----|-|---|-|---|
Amisuosq uiestes le s sus	---|--|-⌫-|----|--⌫-⌫--|
Parlezauneuostream ie	-----||--|-----|--⌫-|
Mes cildedanznel	--|--|-----|-||
Etcelepluset plussesforce	-|---|---|-|---||------|
Tantquecilquina poin tdeforce	---|--|--|--|||----⌫|-|----|
L an troï si	|--⌫----|-|
sanmeruei lla	|-|------⌫--|
Qu e p uetestrequi lapela.	--⌫|-⌫--|----|--||-----|
Lauoiz entantapeler sot	-|---|-----|-----||-|
apele ilne lesot	----|-|-|-|--|
Fantosmecui de quecesoit .	-------|---⌫-|--|-|----⌫|
Totent orsoigardee t poruoit	--|---⌫-|--|----|-⌫|------|
S auoirseil uerroitnelui	-⌫----|-|-|------|----|
Mes neuoitfors	--|-|---|---|
lator etlui.	-|--|-|---|
Dexfet il qu esticeque i	--|--|-|-|--|--|--||
Ioi parler etnea nt	|-|-----|-|---⌫-|
P arfoiceest pl usquemeruoille	-⌫-|--|-|--|--⌫-|--|--------|
Sined or iepasenc ̧oisuoille.	-|-|-⌫-|-|--|---⌫---|------|
Espoir s ilmauenist	-----||-||------|
C uidasseque	-⌫------|--|
cefu stm ançonge	-|--⌫-|-⌫-------|
M esie uoilet	-⌫-|-|---|-|
porce megrieue .	--|-|-|------⌫|
Lorsaquelquepoinneselieu e	---||------|-----|-|----⌫|
Et ua uersle	-|-|---|-|
p er tuis petit	-⌫--⌫---|----|
Foiblemantpetitetpetit	---------|----|-|----|
si sacoste	-||-----|
iusd elonc etde	--|-⌫|---|-|-|
Q uantsaueüe a	-⌫---|-|----||
Sicom il puetesgarde	-|--|-|---|------|
uitceli quih uchiél	--|---|--|-⌫-----||
N elaconut qua nt illa	-⌫|-|----|---⌫-|-|-|
Mesceleta ntost conutlu i	--|---|--⌫----|----|--⌫|
S ili ditLan celot ie	-⌫|-|--|---⌫----|-|
Poruosqu errede loinguenue	--|--|--⌫---|-|----|----|
Orestsil a	-|--|-|-⌫|
choseauenu e	----|-----⌫|
Deumer cicor uosaitro ué.	--|---⌫-||-|--|-|---⌫---|
Ie s ui cel equiuosroué	-|-⌫-|---⌫|--|--|----|
Quantau P ontdelEspeealaste s	----|-|-⌫--|-||----|------⌫|
Undon et uos le medonastes	-|--|-|--|-|-|-------|
Molt uolantiersquan tiel	---|---------|----⌫|--|
Cefudel ch euali erconq ui s	-|-|--|--⌫-----⌫-|----⌫--⌫|
Lechi ef q ueie	-|---⌫-|-⌫-|-|
uosfistr anch ier	--|--|--⌫----⌫--|
pointnauoie c hi er.	----||----|-⌫--⌫--|
P o rc edonet porce	-⌫-⌫|-⌫|--|-|--|-|
Mesuianceste	-|--|-|----|
poinne mise	-----|---|
metraiforsdeci.	-----|---|-|--|
- Pucelelauost r emerci	|-----|-|----⌫-⌫|----|
Fetdonques li anpris o nez	--|------|-|------⌫-⌫--|
Bienmesera	---|-|---|
gu er redonez	--⌫--⌫------|
Liseruises que	-|-------|--|
Se iefors deceanz suim i s.	-|-|---|-|----|--|-⌫-⌫-|
Seforsd eci me pöez mettre	-|---|-⌫|-|-|----|-----|
Poruoi ruos	--|---⌫|--|
puis direetprometre	---|---|-|-------|
Que ie toziorzmessera i uostres	--|-|--|---|--|----⌫|------|
SimaïstsainzPosl i	-||----|----|--|-⌫|
Et seie Deu uo ieanla face	-|-|-|--|--⌫-|-|-|---|
iertiorz queie	---|---|--|-|
Quanque uo spl eiraco mander.	------|--⌫|--⌫---|--⌫------|
Nemesa uroiz ia	-|-|--⌫----|-|
Cho s e nul e por qu eielaie	---⌫-⌫|---⌫|--|--⌫|-||--|
Que uos ne laiezsanz	--|--|-||---|---|
-Am isia de ce	|--⌫-|-|-|-|
n ansoiezforsb o tez.	|-|----|---|-⌫-⌫---|
Hui seroiz desclos	--|-----|------|
etdeliures	-|-------|
Ie nelleir oie	-|--|----⌫--|
pormilliu re s	--|--|---⌫--⌫|
Qu eforsnan so iez ainzle	--⌫|---||-|--⌫--|---|-|
Lors uosmetrai a	---|--|-----||
boen seior	---|----|
Agrantreposeta granta is e.	|----|----|-||----|-⌫--⌫-|
Ianaurai cho sequiuospla ise	-||----|---⌫-|--|--|---⌫--|
uoleznelaiez.	----|-||----|
Iaderie n ne uosesmaiez	-|-|---⌫|-|--|------|
Mesençoismecoui ent porquerre	--|------|-|----⌫--|--------|
soitciancestete rre	---|-|-|----|--⌫--|
Au cunenginse ie l e	--⌫--|----|-|-|-⌫|
Don puissiezcroistre cestpertu is	--|-------|-------|---|-----⌫-|
Tantqueuosiss i ran puissie z.	---|--|--|---⌫-⌫|-|-------⌫-|
-EtDexdoi n t queuosletruissiez	|-|--|---⌫-⌫|--|--|-|--------|
Fet s ecil quibie n	--|-⌫|--|--|---⌫|
Et iai ce a nzap lanté	-||-|--⌫-⌫-||-⌫-----|
Quelisergent	--|-|------|
baillieemont	-------||--|
Por trairel emang iera mont	--|-----|-⌫|----⌫--|-⌫---|
org ed ur et	---⌫|-⌫-|-|
eue troble	--|-----|
Qui lec ueret leco rsme	--|-|-⌫--|-|-|--⌫-|-|
L or slafil leBademagu	-⌫--⌫|-|---⌫-|-------|
Unpic fo rtq u arre ́ et a gu	-|--|--⌫-|-⌫-⌫----⌫|-|-⌫-|
Porqu iertett antost	-----⌫---|-|-⌫-----|
si l ebaille	-|-⌫|-----|
Celui quitant	----|--|---|
Ettanta ferue t ch eué	-|---||---|-⌫|--⌫---|
Neporquan ts	---------⌫||
illiagreué	-|-||-----|
Quissuzsan	-|----||-|
estlegie remant.	--|-----⌫------|
Or est ag rant alege m ant	-|--||-⌫---|-----⌫-⌫--|
gr a ntio iecesachiez	--⌫-⌫-|--⌫-|-|------|
Quant i l estdeprisonsac hiez	----|-⌫|--|-|-----|---⌫---|
iluec serem ue	----|-|---⌫-|
p ieceaestéan mue.	-⌫---||----|-|---|
Ores taul argeet al essor	-|--⌫|-|-⌫---|-|||----|
Etsachiez bien	-|------|---|
Quiestespanduz parlemont	--|--|-------|--|-|---|
Quitotlemei ̈stanunmont	--|--|-|---⌫--|-|-|---|
Ettot li donas t	-|--|-|-----⌫|
et s olsist	-|-⌫-----|
A rrieresestre neuolsist.	-⌫------|----|-|-------|
Ez uos des serré	-|--|---⌫-----|
Quisiertuainsqu il	--|-|--|----|-|-|
chan ce lot	----⌫--⌫--|
Deuanité etdefeblece.	-|------|-|-|-------|
Lem etdeuants oisor	-|-⌫-|-----|-⌫-|--|
Puis sisanuont grantaleüre.	---|-||-|---|----|-------|
pucelesedesuoie	-----|-|------|
Totdegrépo r	--|-|---|--⌫|
cequannes uoie	-|-|-|--|---|
Etcheu alch entc el eemant	-|----⌫----⌫--|-⌫--⌫-----|
Cars eleal astapertemant	--||--|--⌫--|---------|
Espoirassez tost lorneüst	-----|----|---|--|-----|
Aucuns s illesreconeüst	-----||-|--|---------|
Etcene uolsiste lepas .	-|-|-|------|-⌫-|---⌫|
Po rceeschiueles max	--⌫|-|------|--|--|
Ete stuenueaun repeire	-|-⌫-|----||-|------|
Ou sou antseior neetrepeire	-|---⌫--|-----⌫-|-|------|
Po rc e quebiax estoit	--⌫|-⌫|--|---|-----|
Etlirepeiresetlesgenz	-|-|-------|-|--|---|
Erent a n son	----|-⌫|--|
comantd eltot	-----|-⌫-|--|
Siestoitp lante ïsdetot	-|-----|-⌫-----⌫--|-|--|
Lil e u set sainsetmoltpriuez.	-|-⌫-⌫-⌫|-|----|-|---|------|
L a estLancelozariuez	-⌫|--|-------|-----|
Etsitostcom ilfu uenuz	-|-|---|--|-|-|----|
Quant ilfudesarobe nu z	----|-|-|-|-|---|--⌫|
En unehauteet	-|--|----|-|
b elecouche	-⌫--|-----|
L apucelesöeflec ouche	-⌫|-----|----|-|-⌫----|
Puislebaignep uisleconroie	---|-|-----|-⌫--|-|------|
Sitres bien que ienan porroie	-|---|---|--|-||-|------|
La m itié	-|-⌫----|
deuiserne dir e.	------|-|---⌫-|
menoie etatire	-----|-|----|
S icomelef eïsts onp ere	-⌫|--|--|-⌫----|-⌫-|-⌫--|
Tot leren o ueleetrepe re	--|-|---⌫-⌫---|-|----⌫-|
