asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
lideparleroyato utune lettre	-|-|--|-|--|---⌫-|--|-----|
de creance etdit ains inc s irecont edechampa ingnele	-|------|-|--|----⌫--|-⌫--|----⌫|-|------⌫----|-|
royaen tendu qu euousauez	--||--⌫----|--⌫|---|---|
conu enan cesaucont e	----⌫----⌫--|-|----⌫|
perro ndebre ta ingn e queuous prenrezsafille	-----⌫|-|---⌫--⌫----⌫|--|---|------|-|----|
par mariage.	--|------||
siu o usmandele royquese	-|-⌫-⌫-|----|-|--|--|-|
uous neuo ule zperdrequanque	---|-|--⌫---⌫|-----|------|
uous aue zou royaume	---|---⌫|-|------|
def ran ceq ue uo us nele	-|-⌫---⌫-|-⌫-|--⌫-|-|-|
caruoussauez quele conte debretaingn ea	--|---|----|--|-|----|-|---------⌫||
pisfait auroyque nulhom equiuiue.	--|---|-|--|--|--|---⌫|--|---||
lecontede champaingne	-|----|-|----------|
pa r le cons eil que	--⌫|-|----⌫--|--|
aueclis enretou r na achastelt hierri .	---|-||-|-----⌫-⌫-||------|-⌫-----||
qua ntlecontepierreset les	---⌫-|-|----|------|-|--|
barons de franceoiren t	-----|-|-----|-----⌫|
cequilattendoientaual secre	-|--||----------||--|----|
i lfuren ttouzaussicomme d esuezdudespi tde	-⌫|-----⌫|---|----|----|-⌫----|-|-----⌫|-|
ceque illeurauoitfait	-|--|-|---|----|---|
etmaintenantenuoierentquerr e laroynede cy pre.	-|---------|---------|-----⌫|-|----|-|--⌫--||
tostcomme el le fut uenue	---|----|--⌫-|--|----|
ils prist ren t u n comm un acortqui	--|-----⌫---⌫|-⌫|----⌫-|----|--|
futelque ilmandero ient	-|--|--|-|-------⌫---|
cequ e il p ourroientauoir de gentaarmeset	-|--⌫|-|-⌫--------|----|-|---||----|-|
enterroientenbri eetenchampaingn ep a r	----------|-|---⌫|-|-|----------⌫|-⌫-⌫|
deuersfrance	-----|-----|
et quele duc	-|--|-|--|
de bo urgoingnequiauoi t lafilleauconte	-|--⌫--------|--|----⌫|-|----|-|----|
r obert dedreuesranterroi ten la de	-⌫----|-|-----|---------⌫|-|-|-|
cham pain gn epardeuersbourgoingne.	----⌫----⌫--⌫|--|-----|----------||
leducmanda qua nqueil	-|--|----|---⌫---|-|
pot a uoir	--|-⌫---|
lesbaro ns m a nderent aussi cequeil	--|----⌫-|-⌫-⌫------|----|-|--|-|
e n p ore ntauoir .	-⌫|-⌫---⌫-|----||
les baronsu indre nta rdant	--|-----|-⌫-----⌫-|-⌫----|
etdestruiantd	-|---------||
u nepartle duc	-⌫-|---|-|--|
debourgoi gnedautre etleroy de	-|-------⌫--||----|-|-|--|-|
france dautr e partpour ueni rc o mbatreaeu lz	-----||----⌫|---|---|----⌫|-⌫-⌫-----||--⌫-|
le desconfortfut elaucon tede	-|---------|-|-⌫-|-|---⌫-|-|
champaingneque ilmei smesardoit	----------|--|-|---⌫---|-----|
s esu ille sdeua ntla uenue	-⌫-|-⌫----⌫|----⌫-|-|----|
desbaronspource qu eilne les	--|-----|---|-|--⌫|-|-|--|
tro u uassen tgarnies.	---⌫-⌫------⌫|------||
auec lesautres uillesquel econtede	---|--|-----|-----|--|-⌫|----|-|
champai ngneardoi tar diiles pargnayet uertuz	-------⌫---|-----⌫|--⌫-|-|--⌫------|-|-----|
etsezenne.	-|------||
les bourge oisdetro iesqu antil uirentqueilauo i e nt	--|------⌫--|-|---⌫--|--⌫--|-|-----|--|-|---⌫-⌫-⌫-|
pe rd ules ecoursd eleurseigneuril	--⌫--⌫|-|-⌫-----|-⌫|---|-------|-|
manderent a	--------||
symon s ei g neurde ioinguille le	----|-⌫--⌫-⌫---|-|---------|-|
pereauseigneur deioinui lle q uiore estqu	---|-|-------|-|------⌫--|-⌫-|--|--|-|
uenistsec ourre.	-----|---⌫----||
e til quiauo itmandét ou tes age nt a	-⌫|-|--|---⌫-|-----|-⌫--⌫-|-⌫|--⌫-||
armes mutde ioinguillealanui tiersi	----|--|-|---------|||----⌫---|-|
tost comme cesnouuel lesliuindr entetui nta	---|----|--|------⌫--|-|-----⌫--|-|--⌫-||
troies aincois que ilfeustiou r	-----|-------⌫--|-|----|---⌫|
etpar cef aill iren t lesba r onsaleur	-|--|-|-⌫----⌫----⌫|--|--⌫-⌫--||---|
esmeque il	---|--|-|
auoientde prenr eladite cite	------|-|-----⌫|-|---|---|
et pourceles	-|---|-|--|
baronspasserentpardeuanttroies et	-----|--------|--|-----|-----|-|
seallerent	-|-------|
lo g ier enlapraeriedisl es	--⌫-⌫--|-|-|------||---⌫-|
laoule duc d ebourgo ingneestoit	-|-|-|--|-⌫|------⌫----|-----|
leroydefrance qui	-|--|-|-----|--|
so t quei le stoie nt	--⌫|--|-⌫|-⌫-----⌫-|
sadreca toutdro itlapour co mbatre a eulz.	|-----|---|---⌫-|-|---|--⌫-----||---||
etles barons	-|--|-----|
li manderentetprierent	-|--------|-|-------|
queil son cors	--|-|--|---|
seuousi sttrairearieres et il se ir oi ent	-|-----⌫-|-----|------|-|-|-|--⌫--⌫--|
combatreauconte	-------|-|----|
d echa mpain gneetau ducdelorrei nneet atout	-⌫|---⌫-----⌫--|-|-|--|-|------⌫--|-|----|
le reme n ant desagent a	-|----⌫-⌫--|-|-|---||
troiscenscheualie rsmoi ns quelecontenauroit	----|---|--------⌫-|---⌫-|--|-|----||-----|
ne le duc.	-|-|--||
etle royle u rman daque	-|-|--|--⌫-⌫|---⌫-|--|
asage nt ne	|-|--⌫-|-|
seco mbattroient - il	-|--⌫----------||-|
iaqueso ncorsne feustaue c	-|--|--⌫|---|-|----|---⌫|
eti l r enuoyerenta lietli mande re nt	-|-⌫|-⌫---------||-|-|-|-----⌫--⌫-|
feroientuolentiersentendre laroynedecypr eapa i xse	-------|---------|-------|-|----|-|----⌫||--⌫-⌫|-|
il liplaisoit.	-|-|-------||
etleroyleurmandaq uean ul lepaizil	-|-|--|---|----|-⌫-||-⌫--⌫-|---|-|
ne ntendr oi tnesesouf e rroi tquele	|-⌫------⌫--⌫|-|-|----⌫-⌫----⌫|--|-|
c h ampaingney entendi ttant que	-⌫-⌫--------||-------⌫|----⌫--|
ileussen tuuidié l acontee	-|------⌫|------|-⌫|-----|
dechampain gne .	-|--------⌫--||
etillauuidier e nt e n	-|-|-|-------⌫-⌫-|-⌫|
te l maniere qu edesy lles la	--⌫|------|--⌫|--|-⌫---|-|
o uilestoientilale rentlogie r	-⌫|-|-------|-|---⌫---|-----⌫|
dessousi uylli.	------|-⌫----||
et lero yseloiaayllesdont i lles	-|-|--⌫|-|---||----|---|-⌫|--|
auoitchaciés.	----|-------||
etquan tilseurent qu elero y f u	-|----⌫|-|------|--⌫|-|--⌫|-⌫|
aléla il salerentlogierach ao rseet	---|-|-||------|-----||--⌫--⌫--|-|
noserent le r oy	|------|-|-⌫-|
a ttendreetsaleren t l ogier alai gn esquiestoitau	-⌫------|-||------⌫|-⌫----||---⌫--⌫-|--|-----|-|
neuers quies toitdele urpartie .	-----|--|--⌫---|-|--⌫-|-----||
etainsileroyac orda	-|----|-|--|--⌫---|
lecontechampaingne	-|----|----------|
ala royne dech ypree tfulapaizfaite	|-|----|-|--⌫---|-⌫|-|-|---|----|
ent elmaniere queledi t conte	-|-⌫-|------|--|-|--⌫|----|
dechampai ng nedo nnaa laroynedec ypre	-|-------⌫--⌫-|--⌫--||-|----|-|-⌫---|
e ntourdeux mille	-⌫----|---|----|
liurees d e terr e	------|-⌫|----⌫|
etquarante	-|-------|
milleliur e sque	----|----⌫-⌫|--|
pa ia pour lecontedechampaign e.	--⌫-|---|-|----|-|---------⌫||
champaigneuendiauroyparmiles	---------|----|-|--|----|--|
quarantemille liur esle s fiezci	-------|----|----⌫-|--⌫|---|-|
apre s nommezcest asauo irle fiede	----⌫|-----||--||----⌫-|-|--|-|
l adebloizlefi edelacontee	-⌫|-|----|-|--⌫|-|-|-----|
dechartr eslefie dede lac onteede	-|------⌫-|-|--|-|-|-|-⌫----|-|
sans errelefiedelaui contee	----⌫---|-|--|-|-|--⌫-----|
dech astel dun	-|--⌫-----⌫--|
et aucunesge ns sidisoient que le royne	-|------|--⌫-|-|-------|--|-|--|-|
tenoit cesdeua ntdizfiez	-----|--|----⌫-|--|---|
queen gaie.	--|-|---||
mes ce n estmie	--|-||--|--|
u o irca ri el edemandainostresaint	-⌫-⌫-|--⌫|-⌫|-⌫|-------|-----|----|
o utremer.	-⌫------||
late rrequ e	-|--⌫--|--⌫|
le c on tetybaut	-|-⌫--⌫-|-----|
donn aala royne decypre	----⌫||-|----|-|----|
ti ennentlecontedebriennequiore	--⌫-----|-|----|-|------|--|--|
est etle co ntedei oignypour	--|-|-|--⌫--|-|-⌫----|---|
ceque laiolelec onte	-|--||----|-|-⌫---|
la roynedecypreetfe mme le grantcon tegautier	-|----|-|----|-|--⌫--|-|----|---⌫-|------|
deb rienne.	-|-⌫-----||
pour cequeuoussachiez d ont cesfiez	---|-|--|---|------|-⌫--|--|---|
quelesiredechampaingn euendiau roy	--|-|---|-|----------⌫|----|-|--|
uin drentuousf oiz-iea	---⌫----|---|-⌫--||-||
sauoirque le gr antcontetybautquigistalaingny	-----|--|-|--⌫--|----|-----|--|---||------|
ottroisfilz lepre mierotnon	-|----|---|-|---⌫---|-|--|
henrilesecontotnon tybautletiers ot	----|-|-----|-|--|-----|-|----|-|
nones tien ne.	--|--⌫----⌫-||
cehenri desus ditfustcontedecham paigneet de	-|----|----|--|---|----|-|----⌫-----|-|-|
brieetf uap pele ́lecontehenri	---|-|-⌫|--⌫----⌫|-|----|----|
le large .	-|----||
e tdut bienainsi estreappeléca r ilfularge	-⌫|--|---|----|----|------|--⌫|-|-|----|
a dieu etau	|---|-|-|
sieclelargeadieusicom m eilappiert al	-----|----||---|-|---⌫-⌫|-|------|||
es glisesa inte stienne detro ieetausa ut reseglises	--⌫----|--⌫--|-⌫------|-|---⌫-|-|--|-⌫--⌫--|------|
queilfondaench ampaingnelarge	--|-|----|-|--⌫--------|----|
au sieclesi commeil	-|-----|-|----|-|
apparut ouf aitde ertautde	------|-|-⌫--|-|-----|-|
nong ent et	----⌫--|-|
en m ou ltdautresl iex que	-|-⌫--⌫-||-----|-⌫--|--|
ieuous conteroie b ien	-|---|--------|-⌫--|
d ou toieaenp ees chierma m atiere.	-⌫--⌫---||---⌫---⌫----|-|-⌫-----||
ertautden ogentfu lebo urgois dumo ndeq uele	-----|-|-⌫----|-|-|--⌫-----|-|--⌫--|-⌫-|-|
contecreoitplu s .	----|-----|---⌫||
et fusirichequeilfistl e	-|-|-|----|--|-|---|-⌫|
ch as telde n ogentl ertaut deses d eniers.	--⌫--⌫--|-|-⌫----||-----|-|--|-⌫-----||
or auintcho se quel econtehenridescendi	-|----|---⌫-|--|-⌫|----|----|-------|
desessalesd e	-|--|----|-⌫|
tro iespouralleroirmessea saintestiennel e	---⌫--|---|----|--|----||----|-------|-⌫|
iourdunepen thecous t e	---||--|---⌫-------⌫-⌫|
auspiezdesd egrezsagenoil la	--|---|--|-⌫----||-------⌫-|
u npoure che ualieret	-⌫|----|---⌫-----|-|
l idit ainsisireie uouspriepou r	-⌫|--|----|---|-|---|---|---⌫|
dieu queuo us me	---|--|--⌫-|-|
donné s du uostrepar qu oy i epuis se marier	------⌫|-|-----|--|--⌫-|-⌫|----⌫-|-----|
m esde uxfi llesq u euo usueez ci.	-⌫-|--⌫-|--⌫---|-⌫-⌫|--⌫-|---|-||
e rtaut qui aloit dariere l idistau	-⌫----|--|----|------|-⌫|---|-|
pourecheualiersirec he ualieru ous nefait e spasque	----|--------|---|-⌫--⌫-----|-⌫--|-|----⌫-⌫|--|--|
c ourtoisd e demander amonsei gneur	-⌫------|-⌫|-------||--|---⌫----|
cariladonnéque iln amez que	--|-||-----|--|-|||--|--|
lelarg econt e se tournadeuers	-|----⌫|----⌫|-|-----|-----|
ertautetli	-----|-|-|
distsireuilai nuousne dite s mi euoirde ce	---|---|-----⌫|---|-|----⌫|--⌫|---|-|-|
queuousditesqu eie n	--|---|----|--⌫|-||
que donn ersi ai	--|----⌫-|-|-|
uo u smeism es.	--⌫-⌫|-----⌫-||
et tenezsirec heualiercariele uous	-|----|---|-⌫-------|--|-|-|---|
sileuou s garan tirai .	-|-|---⌫|-----⌫----||
le cheualier	-|--------|
pasesbahiai ncois l eprist par la	--|-----|--⌫----|-⌫|----|--|-|
chapeet lidistque il ne	----|-|-|---|--|-|-|
lelairoiti us ques a tan tquei l a uroitfine ́a li.	-|------|-⌫--⌫---|-⌫---⌫---|-⌫|-⌫----|----⌫||-||
e tauantq u eillies cha past ote r tautfi né	-⌫|------⌫-⌫|-|-|--⌫---⌫---|-|-⌫-⌫---|--⌫--|
cinqcensliures.	---|---|-----||
lese cont fr erelecont ehenri	-|--⌫---|--⌫--|-|----⌫|----|
ot nomtyba utetf ucontedebloi s .	-|--|----⌫-|-|-⌫|----|-|----⌫||
letiersfre re otnon est ienneet fu c onte	-|----|---⌫-|-|--|---⌫----|-|-|-⌫---|
desancerre.	-|-------||
et cesdeuxf rerestindr entdu	-|--|---|-⌫----|-----⌫--|-|
co ntehenri touz leu rsherit agesetleur deuxcontee s	--⌫--|----|---|---⌫-|-----⌫---|-|---|---|------⌫|
et leurap arten ance s.	-|---|--⌫-----⌫----⌫||
etlesti ndren tapr es des hoirs l e	-|--|--⌫-----⌫|---⌫-|--|----|-⌫|
conte henri qui	----|----|--|
tindrentch a m paingn e iusques	-------|--⌫-⌫-⌫------⌫|------|
alorsque le roytybautlesuendiau royde	----|--|-|--|-----|--|----|-|--|-|
fr ance aussi commeilestdeuan t	--⌫---|----|----|-|--|-----⌫|
orreuenonsa	-|-------||
nost re matiere	----⌫-|------|
etdisonsainsiqueapresceschose s tint ler o y	-|-----|----|--|----|--|-----⌫|---|-|-⌫-⌫|
uneg rantcourt	--|-⌫---|----|
asa umurenani oetlafu-ieet	|--⌫---|-|---⌫|-|-|-||-|-|
uoustesmoin g que cefutla	---|-------⌫|--|-|--|-|
miex q ueie ueisse o nques	---|-⌫-|-|-----|-⌫----|
ca ra lat ablele r oy m anioitempresli	--⌫||-|-⌫---|-|-⌫-|-⌫-----|-----|-|
le con tedepoit i ers quei lauoitfaitcheual i ernouuel	-|---⌫-|-|----⌫-⌫--|--|-⌫|----|---|------⌫-⌫-|-----|
aune sai nt	|--|---⌫-|
etapres leco ntedepoitiersma n goit	-|----|-|--⌫--|-|-------|--⌫-⌫---|
leco nteie han dedreuezque	-|--⌫--|--⌫--|-|-----|--|
f aitcheualiernouuelauss i .	-⌫--|--------|-----|----⌫||
apre sle con tede dre uezm angoitle	----⌫|-|---⌫-|-|---⌫--|-⌫-----|-|
con tedela marche	---⌫-|-|-|-----|
a p resleconte d ela marchel ebo nconte pierre	-⌫-⌫--|-|----|-⌫|-|-----|-⌫|--⌫|----|-----|
d ebretaing ne e td euantla table le	-⌫|--------⌫-|-⌫|-⌫----|-|----|-|
roy endroit lecon tede	--|------|-|---⌫-|-|
dreuez mangoitmonseigneur	-----|------|--|-------|
leroydenauarreencote	-|--|-|------|-|---|
etenmantel de s amitbi en p arédecourroiede	-|-|-----|-|-⌫---|--⌫-|-⌫---|-|-------|-|
f ermai letdechapeld	-⌫-----⌫|-|-|-----||
e tie tr anchoiede u ant li.	-⌫|-|--⌫------|--⌫-⌫--|-||
deuant le roy s e ruoi tdu mangi e r	-----|-|--|-⌫-⌫----⌫|-|-----⌫-⌫|
le conted a rtoizs o n fr ere.	-|----||-⌫----|-⌫-⌫|--⌫--||
deuan tle r oytr an choitdu coutelle	-----⌫|-|-⌫-|--⌫--⌫----|-|-----|-|
bonco nteiehandesoissons .	--|--⌫--|----|-|-------||
pour latablegarderestoit mon seig neur ym bert de	---|-|----|-----|-----|--|----⌫---|--⌫---|-|
biaugeuqu ipuisfuconnesta ble	------|--⌫|---|-|--------⌫--|
de fr an ceet mon	-|--⌫--⌫-|-|--|
seigne ur engerra n decoucy etmons e igneu r hercha nbautde	------⌫-|-------⌫|-|----|-|--|-⌫-⌫-----⌫|------⌫----|-|
d arrie rescestro isbar onsauoit bie n tre n tede l eurcheua lie rs	-⌫-----⌫--|--|---⌫-|---⌫--|----|---⌫|---⌫-⌫-|-|-⌫--|-----⌫---⌫-|
encottesd e drap de soiepoureulz garder .	-|-----|-⌫|---|-|---|---|---|-----||
etdarrie re sces cheualiersauoit	-|------⌫--⌫|--|---------|----|
grantplantedesergans uestus des armes	----|-----|-|------|-----|--|----|
aucontedepoi tiers batues	-|----|-|---⌫----|-----|
sur cendal.	--|-----||
leroyauoitu estu	-|--|----|-⌫---|
desa mit ynde	-|--⌫--|---|
etseurcot etmantelde samit	-|------|-|-----|-|----|
uermeil fo urrédermin es etunc ha pel	------|--⌫----||-----⌫-|-|-|-⌫--⌫--|
decotonensa	-|----|-|-|
testequim o ult malli	----|--|-⌫-⌫--|--|-|
seoitp ou rcequeil e stoit	----|-⌫--⌫|-|--|-|-⌫----|
lorsioenne homme.	---|-----|----||
leroytintcelefestees	-|--|---|---|----|-|
l enqueleg rant roy	-⌫-|--|-|-⌫---|--|
h enr idangle terre les	-⌫---⌫||-----⌫----|--|
auoit faites pour ses gr ans f este ste nir .	----|-----|---|--|--⌫--|-⌫----⌫|--⌫--||
etleshal essontfaitesalaguisedes	-|--|---⌫-|---|-----||-|----|--|
cloistresde cesmoinnesblansm esie	--------|-|--|------|----|-⌫-|-|
croique detroploing il n en	---|--|-|---|----|-||-|
so i t nul si grant.	--⌫-⌫|--|-|----||
et uousdiraipour quoyillemesemb le	-|---|----|---|---|-|-|-|----⌫-|
ca r alaparoyducloistreou l eroy	--⌫||-|----|-|-------|-|-⌫|--|
mangoitquie stoitenuironnédecheual ierse tde serians	------|--|-⌫----|---------|-|------⌫---|-⌫|-|------|
quiteno ientgrant espac emangoientau ne	--|----⌫---|----|-----⌫|--------||-⌫-|
que euesquesq uea rceu esques.	--|-------|-⌫-|-⌫----⌫-----||
a pres les eu esques etl e s	-⌫---|--|--⌫-----|-|-⌫-⌫|
arceuesq uesmangoitencosteceleta b lelaroyn eblanche	--------⌫--|------|------|---|--⌫-⌫-|-|----⌫|------|
samereauchief du	-|---|-|----|-|
cloistre decellepartlaou le roy nemangoit	-------|-|----|---|-|-|-|--|-|------|
etsise ruoit ala royne leconte	-|-|--⌫----||-|----|-|----|
deb ouloingne qui puisfu	-|-⌫--------|--|---|-|
ro yde portingaletle boncon tede	--⌫|-|--------|-|-|--|---⌫-|-|
saintpoletu nalem ant del	----|--|-|-⌫|----⌫--|-||
aaged edis	---|-⌫|--|
huitansqueendi soit que il	---|--|--|-|--⌫---|--|-|
a uoitestéfilzs aint helizabeth	-⌫---|----|---|-⌫---|---------|
dethuringedontlen d isoitque	-|-------|---|--|-⌫----|--|
blanchelebe soitoufrontpar	------|-|--⌫---|-|----|--|
deuocionpourceque el eentendoitque	-------|---|-|--|--⌫|--------|--|
samere l iauoi tmaintesfoizbesié.	-|---|-⌫|----⌫|------|---|-----||
auchief ducloistredautre	-|----|-|-------||----|
part est oient lesc uisinesl esb outeilleriesles p a neteries et	---|---⌫----|--|-⌫------|-⌫-|-⌫-----------|--|-⌫-⌫-------|-|
les despen ses.	--|------⌫--||
deceli cloistrese ruoient	-|---|-------|--⌫------|
deua nt le roy etdeuant	----⌫-|-|--|-|-----|
d echardeuinetde	-⌫|---|-|--|-|-|
etentouteslesautr es elezeteu	-|-|-----|--|----⌫-|---|-|-|
praeldenmilieuman goi entdec heua liers s i	----||-|-----|---⌫---⌫--|-|-⌫----⌫----|-⌫|
grantfoison queie nesce lenombre .	----|-----|--|-|-|--|-|-----||
etdi entmoultdegent	-|--⌫--|----|-|---|
que i l nauo ientonques	--|-⌫||---⌫---|-----|
ueuautantdeseurcozne	--|-----|-|------|-|
d aut resgarne mens de	|---⌫--|-----⌫---|-|
aune f e ste comm e il o t	|--|-⌫-⌫--|----⌫|-|-⌫|
et die nt que	-|---⌫-|--|
il yot bientr oismill echeu alie r s .	-||-|---|--⌫--|----⌫|----⌫----⌫-⌫||
aprescell e festemena lero yle contedepoytiers	----|----⌫|----|---|-|--⌫|-|----|-|-------|
apo itier s po ur	|--⌫-----⌫|--⌫-|
reprenresesfiez.	-------|--|---||
et quantleroy uintapoyt iersi l	-|----|-|--|---||----⌫---|-⌫|
uousistbienestrearieresapa riscar	------|---|----|------||--⌫--|--|
iltrouuaqu ele	-|-----|--⌫|-|
contedelamar che	----|-|-|---⌫--|
qu iotmangiéasatablel e	--⌫|-|------||-|----|-⌫|
iourdelasaint iehan	---|-|-|----|----|
otas semblé tantde	-|--⌫------|---|-|
armes a lusignand elez poyti erscomm eilpe ustauoir	----||-------|-⌫---|-----⌫--|----⌫|-|--⌫--|----|
apoytiersfu	|-------|-|
leroypres d equinzei nne	-|--|---|-⌫|-------⌫--|
q ueon qu esnesosa	-⌫-|--⌫--⌫-|-||--|
partirtantqueil fuaccordéau	-----|------|-|-|-------|-|
c onted elamarchenen esce comme nt .	-⌫---|-⌫|-|-----|-|-⌫|--|-----⌫-||
plusieu rs f oizuiuenir	-------⌫-|-⌫--|-|----|
l e contede l amarch eparler	-⌫|----|-|-⌫|-----⌫|-----|
apoi tiersdelu signan	|---⌫----|-|--⌫-----|
ettousiorsameno itauecl i laroynedangleter re	-|---|---|-----⌫-|---|-⌫|-|----||--------⌫-|
safemmequiestoitmere	-|----|--|-----|---|
auroy dangleterre.	-|--||---------||
et disoi entmoult	-|-----⌫--|----|
degent queleroyetlecontede	-|---|--|-|--|-|-|----|-|
po ytiers auo itfai t	--⌫-----|---⌫-|---⌫|
mau ues epaiz aucontedelamarche.	---⌫---⌫|---|-|----|-|-|-----||
apr es cequele	---⌫-|-|--|-|
royfureue nu depoitiersnetariap asgrand ement	--|-|----⌫-|-|-------|-|----|-⌫-|-----⌫----|
a p res ce	-⌫-⌫--|-|
que leroyd	--|-|--||
angleterreu inten	---------|-⌫--|-|
gascoingnepourguer ro ier l e roydefrance.	---------|---|----⌫--⌫--|-⌫|--|-|-----||
nost re saintroy aquan que	----⌫-|----|--||----⌫--|
ilpotauoirdegentcheuauc hapourcombatt reali	-|--|----|-|---|-------⌫-|---|-------⌫-||-|
laui ntleroydanglete r reetleconte	-|--⌫-|-|--||-------⌫-⌫-|-|-|----|
delam archepour combattredeuant	-|-|-⌫----|---|--------|-----|
uncha stel que	-|---⌫---|--|
e nappeletaillebour cqui si ets us une maleriuiere	-⌫|-----|----------⌫|--|--⌫-|-⌫-|--|---|------|
quelenappelecare ntela	--|--|-----|----⌫--|-|
ouennepeut p asser	-|-|-|---|-⌫----|
queaunpontde	--||-|---|-|
pierremoultestroit.	-----|----|------||
sitost commele	-|---|----|-|
ro yuin tataill ebou rcetleshoz	--⌫|---⌫||-----⌫----⌫-|-|--|--|
uirent l unla utre nostr egent quiauoient	-----||-||-⌫---|-----⌫|---|--|------|
lechas teldeu e rs eulz seesfo rcierent agrantmeschiefet	-|----⌫--|---⌫-⌫-|---|-|----⌫-------||----|-------|-|
passeren t per illeusem e ntparn ezetp arponset	--------⌫|---⌫--------⌫-⌫-|--|-⌫-|-|-⌫-|---|-|
c ou rurentsurles a n gl ois.	-⌫--⌫-----|--|--|-⌫-⌫--⌫--||
etcommen calep oingnayzfort et gr ant.	-|------⌫-|-|-⌫-------|---|-|--⌫--||
quantl e royuit ceilse mis tou peril	----|-⌫|--|--|-|-|-|---⌫|-|----|
auec lesautre s .	---|--|-----⌫||
carpourunhom me q ueleroyauoitquant	--|---|-|---⌫-|-⌫-|-|--|----|----|
ilfupassédeuers lesanglois le sangloisena uoient	-|-|-----|-----|--|------|--⌫|------|-|-⌫-----|
touteuoizauintilsicomme	--------|----|-|-|----|
dieuuoultque quantlesan gloisuirent	---|----|--|----|--|--⌫----|-----|
le roypasse rils se desconfi rent	-|--|-----⌫|--|-|--------⌫---|
etm istrentdedensla	-|-⌫------|-----|-|
citedesaint ese t	---|-|-----⌫-|-⌫|
pluseursdenos	-------|-|--|
gensentrerent en la	---|--------|-|-|
cite mel lezet furentpri s	---|---⌫--|-|-----|---⌫|
ceulzd enostregentquifurentpris	----|-⌫|-----|---|--|-----|---|
asain tes recorder entque	|----⌫--|--------⌫--|--|
il oi r entungranddescort	-|--⌫-⌫--|-|----|------|
naistreentre l e roydangl ete rreet lec onte	------|----|-⌫|--||----⌫---⌫--|-|-|-⌫---|
delamarc he .	-|-|----⌫-||
etd is oitle roy qu ele conte	-|-⌫--⌫--|-|--|--⌫|-|----|
delama rchel auoit enuoié querre	-|-|--⌫---||----|------|-----|
caril disoit queiltro uueroi t	--|-|-----|--|-|---⌫------⌫|
grant aid eenfrance.	----|---⌫|-|-----||
ce lisoir meismesle roydangleterremeust	--⌫-|---|------|-|--||---------|----|
de saintes et senala engascoingne.	-|------|-||-|--|-|---------||
lecontedelamarchecomm e	-|----|-|-|-----|----⌫|
nelepotamender s en	-|-|--|------||-|
u inte n laprisonl eroyet	-⌫--|-⌫|-|-----|-⌫|--|-|
li amenae n sa prisons afemmeetsesenfan s	-|----|-⌫|-|-----|-⌫|----|-|--|-----⌫|
dontle roy ot parla pez	---|-|--|-|--|-|--|
fesan tgrant	-----⌫|----|
coupd e laterre	---|-⌫|-|----|
scepas combiencari enefuace lifai t	--|--|------|--|-⌫|-|-||--⌫-|---⌫|
cari en a uoie	--|-⌫||-⌫---|
onqueslorsha ubercuestumesioy dire	-----|---|--⌫----|----|--||-|---|
qu eauecla te rre lero y	--⌫|---|-|--⌫--|-|--⌫|
e mportadismil leliu res deparisisqueil	-⌫-----|--|---⌫-|---⌫--|-|------|--|-|
auoi ten sescof reset chascu n	----⌫|-|--|---⌫--|-|------⌫|
an autan t .	-|-----⌫||
quantnousfumes a poitie rsie ui	----|---|----||------⌫-|-|-|
unc heualierq ui auoi tnon	-|-⌫-------|-⌫-|----⌫|--|
monsei gneur gyeffroy d eranc o nquepou r un	--|---⌫----|-------|-⌫|----⌫-⌫|--|---⌫|-|
grantoutrageque le c ontedelamarche	----|------|--|-|-⌫---|-|-|-----|
li auo it faitsicommele ndisoi t et a u oitiur e ́	-|---⌫-|---|-|----|--⌫|-----⌫|-|-⌫-⌫--|---⌫-⌫|
su rsains que ilne	--⌫|----|--|-|-|
seroitiamezroingné en	-----|----|-------|-|
guise decheualierme s porteroit greueau ssicommelesfemm es	----|-|--------|--⌫|--------|----|--⌫--|----|--|----⌫-|
fesoientiusques at antque ilseuerroituengiédu	-------|------|--⌫-----|-|-|------|------|-|
contedela m arch e oupa rluioupa rautrui	----|-|-|-⌫----⌫|-|--⌫|--|-|--⌫|-----|
etquant monseigneurgeffro yuitlec o nt edela	-|----|--|-------|------⌫|--|-|-⌫-⌫--⌫|-|-|
marche sa femmeet	-----|-|----|-|
sesenfansageno il lez deuantleroy quilicri oientmerci	--|-----|-----⌫--⌫--|-----|-|--|--|-|---⌫----|----|
ilfi st aporterun treteletfist ostersa	-|--⌫-|------|-|-----|-|---|----|-|
g reue etse fistr oingner e nla presenceduroy	-⌫---|-|-|---|-⌫------|-⌫|-|-------|-|--|
ducont edelamarcheetdeceulz qui l a	-|----⌫|-|-|-----|-|-|----|--|-⌫|
etencelostcontre	-|-|--|--|-----|
le roydang leterre etcontrel esbarons	-|--||---⌫------|-|-----|-⌫-|-----|
le roy donna	-|--|----|
degransdonssicommeieloyd ire a	-|----|---|-|----|-||-|-⌫--||
en u indrent.	-|-⌫------||
nepourdonsnepour despensque	-|---|---|-|---|------|--|
lenfeistencelhostne	--|----|-|--|---|-|
autresdecamer nede la	-----|-|-|--|-|-|-|
leroyne requi stnenep ri stonqu es	-|--|-|-----⌫-|-|-|-⌫--⌫-|----⌫-|
