enlenorn ostresegnior	-||---|-⌫----|------|
eq uifu m oltgranzla	--⌫-|-|-⌫--|----|-|
batallied ekarlee da iguolant.	-------|-⌫|----|||-⌫-------||
aiguolanzs en	--------||-|
foiausoumoltgrantplantedesarrazina ueit.	--|--|-|---|----|-----|-|-------|-⌫---||
BI.a monba sir onremest ka rl es o u	--||--|--⌫---⌫-|-----|--⌫--⌫-|-⌫|
does chapeles lun e fudesanctemarie	---|-------||--⌫|-|-|-----|----|
queapelent	--|------|
o ulaf illiekarlegist.	-⌫|-|-⌫----|----|---||
etr oua ilo eck arlesun bonho mequiauoit	|--⌫--|---⌫-|-⌫----|-|--|--⌫-|--|----|
nom leon echantamoicares me me sse ak arle	--|---||-----|--|-----⌫-|--⌫--||-⌫---|
ed ist e per coan omliloecz	|-⌫--||--|-||-⌫-|-|----|
eequi fit seuelirles baronsqui	|---|--|------|--|-----|--|
mort estoi ent e nla bat alli e.	---|-----⌫--|-⌫|-|---⌫----⌫||
ap rescoli demanda karlesaubon h ome perq uoi	--⌫--|-|-|------|-----|-|--|-⌫--|--|-⌫--|
iteu mes se chantee.	---|---⌫-|------||
e il lidist queper co	|-|-|---|--|--|-|
lauoit chantee	|----|------|
que deuslif a zoi t maiorsm ira cl esque a toz	--|---|-|-⌫-⌫---⌫|-----|-⌫---⌫--⌫-|--||--|
lesout resrois q uifusson tou	--|---⌫--|---|-⌫-|------⌫|-|
e equimo imeli roislip artisonan el	|---|--⌫--|-|---|-|-⌫---|--|--⌫-|
doret puislid ist	|-|-|---|-|-⌫--|
qu eq uantillomanderoitquil uenista lui	--⌫|-⌫---|-|-|--------|-|-|-----||--|
enquie uque	-|----⌫---|
lu ouilf u st.	-|-|-|-⌫-⌫-||
BI. e apresco si s en	--||----|-|-||-|
uin ckarles a lu sac.	---⌫|-----||--⌫--||
eequi pe rd ikar le s deus mirecheualiers	|---|--⌫--⌫|---⌫--⌫|---|---|---------|
eaiguolan zd iz	|--------⌫|-⌫-|
e equi fit	|---|--|
kar les does	---⌫--|---|
chape lesunedesaint piere e ou tre de	-----⌫--|--|-|----|----||--⌫--|-|
saint martin	----|-----|
deua ntliglises aint pier efuseuelizgileb erz	----⌫-||-----|-⌫---|----⌫|-|------|-----⌫--|
liseneschaus	-|---------|
e aliglise saintmartinunseu esquese	|||-----|----|-----|--|--⌫-----||
unsarceuesquesliuns adestre	--|----------|-|--||-----|
e l i outresasenestreiostelou ter	|-⌫|-----||-------|----||--⌫--|
BI.a press en	--|-⌫---||-|
al a li bons	--⌫|-|---|
roisa lafontainedeou aueitt roismotesde	---||-|-------|-|-|----|-⌫---|----|-|
sarrazinsqu ilprist.	--------|-|-|----||
l endemain li uindrenten secorsquatre	|-------|-|-------|-|-----|-----|
ducde f ra nce li	--|-|-⌫--⌫--|-|
unssiaueit nomraineaumeslioutres	--|-|----|--|---------|-|-----|
liduxra tiersdefla ndr es	-|--|--⌫----|-|---⌫---⌫-|
e r ich iersdux	|-⌫---⌫---|--|
denormandiee landrixli	-|--------||------|-|
chapdai nes qui	-------⌫--|--|
duxesteitdena mborcqu ili amenarent trente	--|-----|-|--⌫----|--⌫|-|--------|-----|
mi r echeuali ers	--⌫-⌫|-------⌫--|
mol t bonscon bateors .	---⌫|---|---⌫------||
e qui stseconbatiren tobaig uolantauseperdi hiaiguolanz	-⌫---⌫-|-|----------⌫|-|---⌫-----|--||----|-|--------|
yymiresarrazinsefu	-|---|--------||-|
h imorz liro isdarabie elirois de	-⌫|---|-|--⌫-||-----||-|---|-|
libons ro issiarbergia	-|---|--⌫-|-|-------|
ausot sesgenz.	--|-|--|---||
a preshifit li bons roisausune	-⌫---|-|--|-|---|---|--|--|
chape le desai ntsauu eor .	-----⌫-|-|---⌫-|----⌫--||
enune outreenfit de	-|--|----|-|--|-|
sain t gieudasqui estsob releue	----⌫|------|--|--|---⌫-||--|
d oudur e.	|-----⌫||
apres enfituneou tre sore	----|-|--|--|--⌫--|---|
lasoignie denostre	-|------|-|-----|
damesa nctemarie .	---|--⌫---|----||
ence leygliseseuelikarles	-|--⌫-|-----|-----|-----|
les euesqueselesabe z qui furentmorten ic e le	--|-------||--|---⌫|--|-----|---|-|--⌫-⌫-|
batall ie.	------⌫-||
e les outresenfit porter a saint	|--|-----|-|--|-----||----|
eytropeax a intesefurent	------||-⌫-⌫----||-----|
se ueli ouc imisterique liangre	--⌫---|-|-⌫-------|--|-|----|
sacrarenttreslig lisesa inteytr ope.	--------|---||--⌫---|--⌫--|----⌫--||
karle sla issa eniceste yglisede	-----⌫|--⌫---|-|-----|-----|-|
nostredam esanctesor lasoignela croizqu il	-----|---⌫|-----|--|-|-----|-|----|-|-|
p ort ota sonco l.	-⌫---⌫-||--|--⌫||
enicelecroizsihadaus anc no s treseg niore	-|----|----|-|-|--|-⌫--|--⌫-⌫--|---⌫---||
dela ro ubenostre	-|-|--⌫--|-----|
dameedauspeaused aumonume nte d au	---||---|----||-⌫-|------⌫-||-⌫-|
en uelopezau	--⌫------|-|
monum en temainteo utresanctu a ire quilmis t	-----⌫--⌫||-----|-⌫---|------⌫-⌫--|-|-|---⌫|
en loute r	-||----⌫|
BI.equie n droit passakarlesl a	--|---|-⌫-⌫----|----|-----|-⌫|
so ignie e senalaalafontd	--⌫----|||-|--||-|---||
e ocgie rs lida nei se soi conpa gnion	|-----⌫-|-|--⌫---⌫||--|-----⌫----|
alafont saint martin	|-|---|----|-----|
deq uial a ocgieraobyy m i re	|--⌫-|--⌫|-----||-|-|-⌫-⌫-|
crestiens .	--------||
la iisseitaiguol anzd e ob	--⌫|-----|------⌫--|-⌫|-|
d eusc e nzmiresarrazinseconb atis eiob	-⌫--|-⌫-⌫-|---|--------||----⌫--|-⌫-|-|
ocgieren laual	-----|-|-|--|
debucirandeeniceleba tallie fu morzli	-|--------|-|----|--⌫-----|-|---|-|
duxrainaumeseli du xrogiersedui	--|--------||-|--⌫|------||--|
mi recre stien.	--⌫-|---⌫----||
rogiersfuportez	------|-|-----|
asanctesone	|-----|---|
e equi mistkarleslaiote	|---|---|-----|-|---|
saintbercome en l outer e i	----|------|-||----|||
mistdausin noc enze de maintes	---|---|--⌫---⌫--||-|------|
outre s ue rt u z	-----⌫|--⌫--⌫-⌫|
eidona une legue e de	||---|--|-----⌫|-|
terrecontresol eilleu a nt	----|-----|---⌫--|---⌫-⌫-|
i qu estebone	-⌫--⌫---|---|
yglis edonal i bonsrois au s	-----⌫|---|-⌫|---|---|--⌫|
n onainsdesai ntosoined enguolesme per	-⌫-----|-|---⌫-|-----||---------|--|
fissonts erui rl igliseper amo r daus martyr s	------|-⌫----⌫||-----|--|---⌫|---|------⌫|
nostre segnio r.	-----|------⌫||
rainaume s fu tseue liz enunchaminp res de	--------⌫|--⌫|----⌫--|-|-|-----|-⌫--|-|
lig lise desanctesone.	|--⌫---|-|-----|---||
BI.aprescosiassegiakarle s ee sta	--|----|-|-|------|-----⌫||-⌫--|
hil espaice de deus mois.	-||------|-|---|---||
apresf itune	----|-⌫-|--|
yglised esaintb ebien sorlauaudeb ucirande	-----|-⌫|----|-⌫----|--|-|--|-|-⌫-------|
a iguolanzs i e steitdel	-⌫-------|-⌫|-⌫----|-||
une p artiede leuedetre uele kar leses te it	--|-⌫----|-||--|-|---⌫--||---⌫--|--⌫--⌫-|
deloutre .	-||----||
aprescosiuind rentt roi d ucdeuerslombardie e	----|-|-|----⌫---|-⌫--|-⌫-|-----|--------||
liduxroll anzob eaus co fuarnauzde beaulan de	-|--|----⌫--|-|---|-|-|-----|-|-------⌫-|
egirars d eu ianee	|-----|-⌫|-⌫---||
raini ersde losanee	-----⌫--|-|-----||
oliuiers sisfilz	-------|--|---|
icestli a m enarentuintmirecheualiers	----|-|-⌫-⌫------|---|---|---------|
siassalirent deu ersmi di	-|---------|---⌫--|--⌫-|
c arp erall io rsnipooient	-⌫-|-⌫-|---⌫--⌫-|||------|
pridrentla cite.	-------|-|---||
equifu m orz	---|-|-⌫--|
defuse ueli z	||-|--⌫----⌫|
e nlachap el e saint bebi a n .	-⌫|-|----⌫--⌫|----|----⌫-⌫||
liempereirese lisonocisdrent enla cite	-|---------||-|--|--------|-|-|---|
y ymire sarrazins.	-⌫|---|--------||
ekarlessi donal a cite eles chartr ese	|-----|-|---|-⌫|---||--|------⌫-||
totelaterre quiasfiert	---|-|----|--|------|
d e sique a l afo ntsainte ytrope entrelon e e	-⌫-⌫----||-⌫|--⌫-|----|-⌫-----|----|-|-⌫||
lo seu dreelabe s	-|---⌫--|||---⌫|
decharros d onaequi	-|------|-⌫--|---|
endroit tote	------|---|
icestet erre a son	-----|-⌫---||--|
neuowilliaume de fou geires seras homalabede	---|--------|-|---⌫-----|----|--|||--|-|
charr ose de	-----⌫-||-|
tonhomenagie tedetdone rl abesdiz	--|--------|-|--|----⌫||---|--|
l iuresodeus chiuaus	-⌫----||---|------|
metu des gar derlabeeles moines	-|-|--|---⌫--||--||--|-----|
eli glise decharr o scome	||-⌫----|-|-----⌫-⌫|---|
siaueitun paleiseonpal e is	-|----|-|-----||-|---⌫-⌫-|
siaueitu ncluselou	-|----|-⌫|-----|-|
fumisliauersaus sa r razins.	-|--|-|----|--|--⌫-⌫-----||
B I. main tresque karlesdemor otaicelc luse lquerre	-⌫-|----⌫------|-----|-----⌫-||---|-⌫----⌫|-----|
rat ie r slicuensdeflan dresalaamontguitmar ou	---⌫--⌫-⌫|-|----|-|----⌫---|--||---|------|-|
ilocist deusmiresarra zin sepr istba laguierqui	-|----|---|---|-----⌫---⌫||--⌫--|--⌫------|--|
esteitde lo utrepartie.	-----|-||-⌫---|-----||
qu antaiguolanzoiqueses	--⌫--|--------|-|--|--|
genze stiont	---|-⌫-----|
mo rtess iuincdem auretagnieob ce nt	--⌫---|-⌫|---|-|-⌫---------|-|--⌫-|
mire sarrazinse conbati seiob nozbaronseocidrent	---|--------||------|--|-|--|-----||-------|
ratiere gu ibe lineantempne	-----||--⌫---⌫--||-------|
l ochapelan karlee	-⌫|-------|----||
d eus miredes	-⌫--|---|--|
karlesqua nt o	-----|---⌫-||
enfumolt marrize	-|-|---|-----||
uinca pres euitlesmorz	---|-⌫---||--|--|---|
ealaapresaiguolant .	|--|----|--------||
e si l ateintayuier ouilocistset	|-||-----||----|-|-|----|--|
mire sar r azins.	---|---⌫-⌫----||
puis sentorna a	---||-|----||
b eagnieq ue a iguolan zau oit d estr uit e	-⌫-----|-⌫-|-⌫-------⌫|--⌫--|-⌫----⌫---⌫|
cequi f itseueli rsesbaronsca r sainz	|---|-⌫-|------⌫|--|-----|--⌫|----|
marcausl auoitedifie e.	------||----|------⌫||
e misttotoutretan tde reliqu es	|---|--|--------⌫|-|------⌫-|
enl outer cum	-||----|--|
en auoit anostredamesa ncte mariea	-|----||-----|---|--⌫---|----||
solacforsqua nts o lament	----|---|---⌫-|-⌫-⌫-----|
nostre damee	-----|---||
hid onado eslegueesd e	-|-⌫--|--⌫-|------|-⌫|
terre entoz senz al	----|-|--|---|||
BI.puissentorn alibons rois	--|---||-|----⌫|-|---|---|
a mont gu itmararreire outurpi s sebelisse i t ses	|---|--⌫----|------|-|-----⌫|---------⌫-⌫|--|
baro nssaintantempne seueliou	----⌫-|----|-------|-----|-|
most iersaintgirua istreslouter mol t perfontla pier e	----⌫--|----|-----⌫-|---||----|---⌫|------|-|----⌫|
lu i ede s outresh i mistrent daus inn ocenz e	--⌫||--⌫|-----|-⌫|-------|---|---⌫----||
poure s aint	----|-⌫---|
iohanbaptiste edesaint th oma s	----|-------||-|----|--⌫---⌫|
de mai nteso utresuer tuz.	-|---⌫---|-⌫----|---⌫--||
l abesdesaintgirma in d e p aris	|---|-|----|-----⌫-|-⌫|-⌫---|
fit ferel igl i sede lezzi gnieou	--|---||---⌫-⌫-|-|-----⌫---|-|
il mist maintessanctuairesenl	-|---|------|----------|-||
ehifuseuel i zgautie rsdelezzignie qui	|-|-|-----⌫-⌫|------⌫-|-|--------|--|
so spic ot mainz out res.	--⌫---|-|----|---⌫--||
eq ui donakarle sasaintgirmaindepar is tote	--⌫-|---|-----⌫||----|------|-|---⌫-|---|
l a terre quiasfi ert	-⌫|----|--|----⌫--|
dela meneiusqu	-|-|---|----|
alafont del	|-|---|--|
tresfors celequil do na ala	---|---|---|-|-|--⌫-||-|
m eison debea g nie.	-⌫----|-|---⌫-⌫--||
el abbesladona	||----|-|---|
asonneuoaguilliaume	|--|---||---------|
e puislid is tbeaus	|---|-|-⌫--⌫|----|
niesdec este terreseras hom	---|-|-⌫---|----|----|--|
alabe desa int	||--|-|--⌫--|
girmaindeparis	------|-|----|
erendrasentrezec os teause	|------|-|----|-⌫--⌫----||
uncu erdecerf	-|--⌫-|-|---|
lo fedeb erbesil dona e n se mentkarlesa l	-|-|-|-⌫------|---|-⌫-⌫--⌫---|-----|||
arceuesquede	---------|-|
e larceuesquesl odona aunson	||----------|-⌫|---||-|--|
parent a mdiz	-----|-⌫|--|
sousdomenagie ded eniersdela	---||-------|-|-⌫-----|-|-|
BI. a pr es tot coaiguoal anzmandabatal liea	--|-⌫--⌫-|--|-|-------⌫--|----|-----⌫--||
karle maine a	-----⌫----||
maure tag nie.	-----⌫---⌫--||
karlessiuinc moltpres de ma uret agniee fit	-----|-|---|---|---|-|--⌫----⌫----||--|
hi liglisesaint denis.	-||-----|----|----||
e quimistk ar lesdeus	-⌫--|---|-⌫--⌫--|---|
corssai nzeoutre s uertuzma in tes entre	---|---⌫-||-----⌫|-----|--⌫--⌫--|----|
lou ter e unepetiteporte.	|--⌫--||--|-----|----||
a pre s aiguolanzaiosta sesozabea umontq ui es	-⌫---⌫|--------|-----|--|-||---⌫----|-⌫-|-|
cosnace mauret ag nie .	-----||------⌫--⌫--||
karles rengiases oze comandaa	-----|-----|--|-||------||
guidenantoilquilalast	--|-|------|-|-|----|
deuers gironde	-----|------|
eterris d a rden e eli dusnemb res et	|-----||-⌫----⌫||-|--|----⌫--|-|
lidus naimesa menarentob	-|--|-----|-⌫-------|-|
e ausuint mire ch eualierse ocgierses oi co np agnion	-⌫--|---|---|--⌫-------||------||-⌫-|--⌫--⌫-----|
s oi co npagnionou tresuintmireetuitic estferirent	-⌫-|--⌫-------|--⌫---|---|---||---|--⌫--|-------|
aiguol ant etouci sdrent	------⌫--|-|----⌫-----|
daussarrazinsquarante mireelitres aig uolanth ifu	---|--------|-------|---||-|---|---⌫-----|-⌫|-|
apress e nfoiaiguoalanzuers	----||-⌫|--|---------|---|
e liam iraus	|-|--⌫----|
de s enfoiuers maur etagnie	-||-|--|---|----⌫------|
eob uol o ntedero ll anz sisnie ssenen tra	|-|---⌫-⌫--|-|--⌫--⌫--|--|---⌫||-|--⌫--|
enz mouretagni e lespe e tre ite o ui l e	--|----------⌫||----⌫|---⌫--|-⌫|-⌫||
soico npagni on ocisdrent d izmiresarrazins .	--|--⌫------⌫-|--------|-⌫-|---|--------||
dec restienshi	-|-⌫-------|-|
ot m ort num b redeq uatremi re	-|-⌫--|---⌫-⌫-|-|-⌫----|--⌫-|
liunfurent se u elialiglisequesai nzmarcaus	-|-|-----|--⌫-⌫--|||-----|--|---⌫-|------|
lenorde sa intesteine.	|---|-|--⌫--|------||
unechapelede saint	--|------|-|----|
ro manaupui de beaumont	--⌫--|-|--|-|-------|
oufurentseue lilioutre .	-|-----|----⌫-|-|----||
ep erla mordausbaron s	|-⌫-||-⌫--|---|-----⌫|
quihifu ren tseueli	--|-|--⌫---⌫|-----|
hi mistenloute r	-|---|-||----⌫|
delapointedauclonostreseg n ior ema inte s outres	-|-|-----|--|--|-----|---⌫-⌫--||--⌫----⌫|-----|
apres fitlachapelesaintlez air eo gi staloris	----|--|-|------|----|---⌫---⌫||--⌫-|-----|
esoiconpagnio n apr esenlabeie de	|--|---------⌫|---⌫-|-||----|-|
cumbesq ui fuiadisabeief itpo rte r	-----|-⌫-|-|----|----|-⌫-|--⌫---⌫|
lesou tresou ha moltreliques de saint	--|--⌫---|-|-|---|-------|-|----|
maint esoutresuertuz.	-----⌫-|-----|-----||
BI. apr esass egiakarlesob	--|---⌫-|---⌫---|-----|-|
u nmois epuis lo priste	-⌫|---||---|-|----||
o cisthideusmires arrazins.	-⌫---|-|---|---|-⌫-------||
eaiguol anzs	|------⌫--||
enesteitiaf oiza blaiueselandris	-|-----|-|-⌫--||------||------|
l ichapdaines al a apreso bset mirecrestianze t	-⌫|---------|--⌫|----|-⌫|--|---|--------|-⌫|
fitmoltgrantdamagieen laterredebla iu es .	--|---|----|------|-|-|----|-|---⌫--⌫-||
e cumilsentorn ot aiguolanzuincapres e	|--|-||-|----⌫-|--------|---|----||
s ilotrouasor elest roisfo ntaines	-⌫|-|----|---⌫|--|-⌫---|--⌫------|
e conb atiseiob lui	|----⌫--|--|-|--|
e othi mortdizm i res arrazin s	|-|-|---|--|-⌫-⌫-|-⌫-------⌫|
e troimirecrestianz	|---|---|--------|
quantaig uolanz o t	----|---⌫-----|-⌫|
ferilan dr ilochapdaine.	---|---⌫--⌫|-|--------||
si logita mortilgit asespeeen	-|-|---|---|-|---⌫||----|-|
leue carilne uoloitq ueli	|--|--|-|-|-----|-⌫-|-|
sarrazi nl euss ont.	-------⌫||----⌫--||
eartaussen esc hap a	|-----||-|---⌫---⌫|
obdeusm ir ecrestian zeu inc sena	-|---|-⌫--⌫|--------⌫||-⌫--||-||
karl eecontalicoment auoitesté.	----⌫||----|-|-----|----|----||
ekarles al aapresequi oulimortgisoient	|-----|--⌫|----|---|-|-|---|-------|
ouil esoiconpagnionf iren tm oltgrant	-|-||--|---------|-⌫----⌫|-⌫--|----|
unechapele denostre	--|------|-|-----|
damesancte	---|-----|
mariee qui fuseueliz	----|-⌫--|-|------|
landrisesoico npa gni oneperamorda us	------||--|--⌫---⌫---⌫-||--|---||-⌫-|
out erl ochiep	---⌫-|-⌫|----|
saint aubin	----|----|
chap e lede saint martinenlauauemis tou	----⌫-⌫-|-|----|-----|-|-|--||---⌫|-|
pie del outer re liques	--|-||----|--⌫-----|
desaint martin eas sezd outres	-|----|-----||--⌫--||-----|
e aprescodonaa a rtautet ot e laterre	|----|-|---||-⌫----||-⌫--⌫|-|----|
quiasfireit	--|-------|
equistfe z durede	-----|--⌫|---|-|
lagiron deiusquanantoillai ouguis	-|-----⌫-|----||------|--|-|---|
desconf itlessarrazins .	-------⌫-|--|--------||
e rollanzretintmaure tagniea son obz.	|------|-----|-----⌫-----||--|--||
BII BII.apresc o	--|---|----|-⌫|
alakarl es a	--|----⌫-||
blai ue s ob tote sost.	----⌫--⌫|-|---||--||
er olla nz e	|-⌫----⌫-||
ol iuierselur conpagn ions it rouar e ntles	--⌫-----||--|-------⌫--|-⌫|-⌫-----⌫-⌫-|--|
genz aiguolanth orsdelauile	---|--------|-⌫--|-|-|---|
sisec onbati rentob la gentaiguolant	-|-|-⌫------⌫---|-|-|---|--------|
e duramolt lichapp les entreus	|---|---|-|-----⌫--|---|--|
emesleamentsenentr arentenz	|---------||-|----⌫----|--|
lauileobe us	-|---|-|-⌫-|
e t uar ent	|-⌫---⌫--|
s a rrazinsquineuogr entestre	-⌫-⌫------|--|-|----⌫--|----|
cre stianecilquileuog rentestrene	---⌫----||--|--|-|---⌫---|----|-|
tuarentmie.	------|--||
eapres i eturpins si cerchaito tesles	|----|-⌫|------|-|------|--⌫--|--|
yglis esde	-----⌫-|-|
aiguolanz a uoitdes truites f orsquant	--------|-⌫---|---⌫------|-⌫--|----|
los epocresain troman ou nus sarra z ins	-|-⌫-----|----⌫|----|-|--|-----⌫-⌫--|
entrernemalfere .	-----|-|--|---||
laie n zsiadeus corssa inz saint sycaire etsaint	----⌫-⌫|-||---|---|--⌫--|----|------|-|----|
e qui stb onseurezs ainz romanzsi fud	-⌫---⌫-|-⌫-------|-⌫---|-----|-|-||
affriqueeperuoiz	-------||--|---|
dangrieuinca b la iues	|-----|---||-⌫--⌫---|
siaueitad onca bl aiues uneys drequeli sarrazin	-|----|--⌫--||--⌫----|--|--⌫--|--|-|-------|
aoroen t ou	------⌫|-|
ten s blais equiroisesteitdela	---⌫|-----⌫|--|---|-----|-|-|
sain zromanz uinc e n lauilee pred icha	----⌫|-----|---|-⌫|-|---||----⌫---|
lo nomi esucrist.	-|--|-⌫--|----||
eli sarrazincuidarentlo ocire	|-|-------|--------|-|----|
ed istre n tliquesi l ordeun aorot	|-⌫-----⌫-⌫|-|--|-|-⌫-|--||----|
ilesteitmo rz.	-|-----|--⌫-||
eiladonc lord i s t quil	|-|----|--|-⌫-⌫-⌫|-|-|
lome nassont	-|--⌫------|
deuaceluiq u ilaoroent .	--||----|-⌫|-|------||
eiladonclim en arent.	|-|----|||-⌫--⌫----||
sainz romanzl	----|-----||
otcon i urédepart de u	-|---⌫-⌫---|-|---|--⌫|
apres sainz romanz	----|----|-----|
h ifi t une ygli sede	-⌫|--⌫|--|----⌫-|-|
s a intsauue or efithi	-⌫-⌫--|-----⌫-||--|-|
eproieirede	|-------|-|
luideu shifitmaint	--|---⌫|-|--|----|
emaimamen tsoure	|--------⌫|----|
l a da med e l auileesor maint eoutre	-⌫|--⌫-|-⌫|-⌫|---||--|-----⌫|----|
mai ntemaladie.	---⌫--|------||
rollanz fermali glise sa i nt ro mane	------|----||-⌫----|--⌫-⌫-|--⌫--||
himistchenoine s.	-|---|--------⌫||
BII .aprescolibons roiss	---⌫|----|-|-|---|---||
enal aamun taub anob	-|--⌫||---⌫|---⌫-|-|
tote sost q u il a salie silo	---||--|-⌫|-|-⌫---||-|-|
equiocis t l e s	---|----⌫|-⌫-⌫|
sa rraz ins q ui	--⌫----⌫--|-⌫-|
c roiren e	-⌫----|-⌫|
uoloien ten	-------⌫|-|
equi fitkarlesdoesyglis e s	---|--|-----|---|-----⌫-⌫|
fudesaint u incent quiequi r epose esai nzreleuez	-|-|----|-⌫-----|--|---|-⌫----||---⌫-|------|
ap resh ifit	--⌫--|-⌫|--|
yglisedesaint	-----|-|----|
edon alaterreaucompte d atalliaferde	|---⌫|-|----|-|-----|||--------|-|
leoneste it lichasamenz	---|----⌫-|-|--------|
e n alakarles uers mon	-⌫|--|-----|---|--|
m or eoupas de monmo r	-⌫-||-|--|-|--|--⌫|
trouala g en t aiguolan teluimoime	----|-|-⌫--⌫|--------⌫||--|----|
e quirollanze soiconpag nion litogr e nt l opas per	-⌫--|------||--|------⌫---|-|----⌫-⌫-|-⌫|--|--|
for ceedu ra labatall iedesique	---⌫-||--⌫-|-|------⌫-|------|
a saint andre s .	|----|-----⌫||
fu m orzliroisdesebille	-|-⌫--|-|---|-|------|
aapres luid izmire sarrazinede	|----|--|-⌫-|---|-------||-|
crestianz deusm ire	--------|---|-⌫--|
efurentseueli a saint	|-----|-----||----|
andr eseasaintestei neq ui d esertesest oient	----⌫-|||----|-----⌫-|-⌫-|-⌫------|---⌫----|
eaiguolanz	|--------|
a bor deuot sesrois .	|---⌫--|-|--|---||
e karlesobs onnauirepassa oltreobrollant	|-----|-|-⌫-|-----|----|----|-|------|
eo b seso z	|-⌫|--|-⌫|
ep erui u euinca lormun t	|-⌫-|--⌫-⌫|---||------⌫|
chapele demonseg nio rsaint martin.	------|-|--|---⌫---⌫|----|-----||
BII.dequiroll anzlend emainqua ntli	---||---|----⌫--||---⌫----|---⌫-|-|
flozdelamer sen	---|-|-|--||-|
futornez passaoltret oz	-|-----|----|----|-⌫-|
esiuincu erslauile debordeu	|-|---|-⌫--|-|---|-|-----|
een contra un sa rrazin qu ises baleiers il	|--⌫-----|-|--⌫-----|--⌫||--⌫------|-⌫||
oc istro llanz.	--⌫--|--⌫----||
e cilsarrazinss i aueit	|--|--------|-⌫|----|
le melior ch eual	-|-----|--⌫---|
de paenism e .	-|-------⌫||
la issases	--⌫---|--|
ar me sesonche uale pristles arme sau	--⌫--⌫||--|---⌫--||----|--|----⌫|-|
sarrazi n.	-------⌫||
esi alauersla uiledebordeu.	|-|--|---|-|---|-|-----||
aune porte o aueit de sus unesale .	|--|----||----|--⌫--|--|---||
l esarrazin q uerollanzaueitmortsiaueit	-⌫|-------|-⌫-|------|----|---|-|----|
nomsalatrap z.	--|--------⌫||
li por tiers quan tlou i tuenirsi l	-|---⌫----|----⌫|-|-⌫-⌫|----|-||
apelaelidistb i ensoiezuo s uenuz si re	----||-|---|-⌫-⌫-|----|--⌫|----|--⌫-|
salatr apz .	------⌫--||
te nistsoncheualq uilir eitlai ssusparler	--⌫---|--|-----|-⌫|-|--⌫--|---⌫---|-----|
ausda mes.	--|--⌫--||
emontaapuiamont	|----|---|----|
e saluab raidemontde e eu raque	|----|-⌫----------||--⌫----|
e distpuisatotes quillesmarie rei t	|---|---||----|-|-|--|-----⌫---⌫|
elordonrroit les mell iors ch eu aliersde	|--|-------|--|----⌫---|--⌫--⌫-----|-|
lost eeles cuidarentque co	|--||---|--------|--|-|
fu stsala tr apz.	--⌫-|----⌫--⌫--||
rol lanzsed emostra	---⌫---|-|-⌫------|
sinagrenteles moltgrant	-||-----|---|---|----|
illordemandacome nt il poirroi t auerla	-|--|------|----⌫-|-|-------⌫|---|-|
lidist rent quea iguolanz	-|----⌫---|--|-⌫-------|
e st eitaleza noble s e nc ontreatozlessarrazins de	-⌫--⌫--|---||-----⌫|-⌫--⌫----||--|--|--------|-|
paenismeperc oquil	-------|--|-⌫|-|-|
li uengiontsecorre .	-|-------|------||
adoncrolla n zsentiles s arrazinsquisenissoient de	----|-----⌫-⌫|----|--|-⌫-------|--||-|-------|-|
la uil esipristcongi edausdam ese monta	-|---⌫|-|----|-----⌫|---|---⌫-||----|
sorle cheual.	--|-|-----||
elisarra zin sportiers	|-|-----⌫---⌫|-------|
dem andasicoestsalat rapz .	---⌫---|-|-|--|-----⌫---||
e il distquenon.	|-|---|--|--||
ainz suirollanz [IKf eté i l.	---|--|------|--|-⌫---|-⌫||
rollanzelirois de lu biese lai sse ntcheuaus	------||-|---|-|--⌫--|-|---⌫---⌫-|------|
fiertrollant perm iles cusiquetot leli	----|------|----⌫||--⌫-|-|--|--|-|-|
faussae rolla nztreitdurendat	-----||-----⌫-|----|-------|
teucoplidonesorle	--|--|-|---|--|-|
chiep que tot l etren chiaiusqu ausa rc ons.	----|--|--|-⌫|----⌫---|----|--|-⌫--⌫--||
rollanzocistuint sa rra zinsde u a nt	------|----|---|--⌫---⌫---|--⌫-⌫-⌫-|
le sdames ainz que	--⌫|----|----⌫--|
p artist deuantlauile.	-⌫-----|-----|-|---||
rol lanznepo ec plus	---⌫---|-|--⌫-|---|
sos frir lessarrazinsepass asen arei re	---⌫---|--|--------||----⌫||-|----⌫-|
alor munt .	|---⌫---||
BII.a pres	---|-⌫---|
totco quatreducuindrentdefrance qui amenar entuint	--|-|-----|--|-------|-|-----|--|------⌫--|---|
mir echeualier scof ut liborgoinselidux	---⌫|---------⌫|-|-⌫-|-|-------||-|--|
gerinsdeloeregne	-----|-|-------|
e guanelosli	|-------|-|
traitr eseangeliersli duxd aquitaine	------⌫-||--------|-|--||--------|
rollanz percoqu iluolei tma l	------|--|-|-|-|-----⌫|--⌫|
a gu anelose	|--⌫----|-|
par t ide lostkarle obq u arant e	---⌫-⌫|-||--|----|-|-⌫-⌫-----⌫|
mirec heu a lier s e a la sen	---|-⌫---⌫-⌫----⌫||-⌫-||-|
asenonpres degironde	|----|---|-|------|
au matinquant il fu	-|----|----|-|-|
leuezsioit messee uit essirdau	----|-|--|----||--|----|--|
boisunec ergietote	---|--|-⌫----|---|
a pre ssifi tarmertote lo steala	-⌫---⌫|-|--⌫|----|---||-⌫-||--|
ap r eslacergeelacer ge semist engironde	--⌫-⌫-|-|----||-|---⌫-|-|---|-|------|
eil tuitapreses eguire nt	|-|---|----||-⌫------⌫-|
