L AFI LLE	--⌫|--⌫--|
eleentendoitk sarrazin o is et1sot palie r. Petitdemou raapriés	--|--------||--------⌫-⌫-|--|--|-----⌫-|----|-----⌫-|------|
mT anqu deoteü	|-⌫-|-|-|-|--|
kedecondiiutet	-|-|-------|-|
f i l lek i puis deuintmoutbideetmoutsage.	-⌫-⌫-⌫-|-⌫|---|-----|---|---|-|---|----|
Lins ou dansenotmou tgra ntioieetmoutle	--|-⌫--⌫---|-|-|---⌫|---⌫-|---|-|---|-|
f is tnouri rseignouriement.	-⌫--⌫|-----⌫|--------------|
uersionX IIIp024	--------⌫------|
Ord istensi	-|-⌫--|---|
keliqe ns est oit enPontiuet	-|-|--⌫-|---⌫--|-|-----|-|
mesi reT .etsesfix.	----⌫-|-⌫|-|--|---|
Liqensfuenmolt grief pensee	-|---|-|-|---|----|-----|
et mesireT. nesosoitremarieret li	-|-----|-|-||----|-------|-|-|
fixlec onte	--|-|-⌫---|
po r led ole urquil ueoit	--⌫|-|-⌫---⌫-|-|-|----|
auoie ntneuo loit cheualiersdeu en ir et sestoitbiend	-----⌫-|-|--⌫---|---------|---⌫--⌫-|-||-----|---||
aa ge qestrelepeüst.Unior liqenspensa	--⌫-||----|-|------|-|--|-|---|----|
et doutadupec iéqu il	-|----|-|---⌫--|-|-|
auoi tfaitde se f ill e i l traist	----⌫|---|-|-|-⌫---⌫|-⌫|-----|
al arche uesked e Roemsiseco nfes sa	||-----⌫----|-⌫|---|-|-|--⌫----⌫-|
aluiet pr istle	|--|-|--⌫--|-|
cr oi s. Etqantmesi re T.seutetuit ke	--⌫--⌫-|-|---|----⌫-|-|---|-|--|-|
liqens ses bo inssiresestoit	-|---|--|--⌫--|----|-----|
croisiés sise	--------|-|-|
confessaet	-------|-|
--- - ---------- --------- ------ --	---⌫-⌫----------⌫---------⌫------⌫-|
uers ionXIII (2)p024	----⌫------|--|---|
12 .—Ens i fula d amebien	--⌫||---⌫|-|-|-⌫--|---|
.ii.a nsetdemiauo ecaleSouda na gra nt	---|-⌫-|-|---|---⌫--|-|-----⌫||---⌫-|
ioiee t agra ntde ́duit. Ma isorse taist li	---|-⌫||---⌫-|--⌫-----|--⌫-|-|-|----|-|
bcontes douSouda n etdeladame	|-----|--|-----⌫|-|-|-|---|
dusquesç aarriérési comm eu ousporésoïr	------|--⌫|--------|-|----⌫|-⌫--|-----|---|
etretourn e aucontedeP ontiu	-|-------⌫|-|----|-|-⌫----|
eta ufile conteet amonseigneurc	-|-⌫|-|-|----|-||-----------|
Tiebautde Doumartkimoutestoi entdol ant p our	------|-|------|-|---|-----⌫--|---⌫--|-⌫--|
la damekiensifudie teeen	-|---|-|---|-||--⌫--|-|
la m er comuous auésoïnene sauoient n ule	-|-⌫-|--|---|----|--|-|-|-------|-⌫--|
nouuieledelikee l e estoit edeuenue	-------|-|-|-|-⌫-⌫|------⌫|------|
etmiex creoientkeelefustmort eke	-|---|-------|-|--|---|----⌫|-|
distlicon tesf	-----|---⌫---|
et ue ́ri te ́ sle t iesmoigne ke liquensest oiten	-|--⌫---⌫--⌫-⌫|-|-⌫--------|-|-|----|---⌫--|-|
Pontiuet §ses filsbetme s ire Ti ebaus.	-----|-||--|----|-|--⌫-⌫--|--⌫-----|
Liquensfu enmoutgrantpensee * eten	-|----|-|-|---|----|------⌫|-|-|
moutgrant tristec eidesafille	---|----|-------⌫||-|-|----|
etmout sedo u toitdelpec hié kll auoit fai t.	-|---|-|--⌫-⌫---|--|---⌫---||-|----|---⌫-|
MesireTi ebaus nes	-----|--⌫----|-||
ossama riern e lifiuslecon tepour lad olourke	---|--⌫---|-⌫|-|---|-|---⌫-|---|---⌫----|-|
kel iamiauoientnek uolo itlifius	-|-⌫|--|------|--|----⌫-|-|---|
leconte cheu ali ers deue nir etsi est oit1	-|----|----⌫---⌫--|----⌫--|-|-|---⌫---|
(fol .318e)biendel e age k e	----⌫|--|-|---|-||-⌫--|-⌫|
estremlepeüstsei luausist.	----||-|-----|-|-⌫|-------|
quensm o utn	----|-⌫-⌫-||
etdout a lepecliié	-|----⌫|-|-------|
k e ilauoitfaitde	-⌫|-|----|---|-|
s afille . Iltra ist0al arclieu es quedeRai ns	-⌫|-----⌫|-|---⌫---|||-------⌫--⌫--|-|---⌫-|
siPseconfies saet l i dis ttout	-||-|-------⌫-|-|-⌫|---⌫|---|
ensi comq ilauoit	---|---|-|----|
o uuré. Ilpris tlac rois dou tremeretse	-⌫-----|-|----⌫|-|-⌫---||--⌫--|--|-|-|
croisa.Etqu an t mesireTiebausuitlecon tesonseignor	------|-|--⌫--⌫|-----|------|--|-|---⌫-|--|------|
croisiéi lse con fies saetse	-------|-⌫|-|---⌫----⌫-|-|-|
uersionXIIIp025	--------------|
croisa. Lifixl e c onte uit	------|-|--|-⌫|-⌫---|--|
croi sié e tmonseg neurT. sen frerequilamoi ttan t	----⌫---|-⌫|------⌫---|-|--|----|-|-|----⌫|---⌫|
cr o isa.Li qe nssespereleuit	--⌫-⌫---|-|--⌫-|--|---|-|--|
si l enpesaetdist	-||-|---|-|---|
Biaus fixpor coi estesuo u s cro i siés	----|--|--|--|----|--⌫-⌫|---⌫-⌫----|
Orreman ralatere uuide. Li f ixli	-|-----⌫-|-|---|-----|-|-⌫-|-|
respondiBia us pere	-------|---⌫-|---|
i esuicroisiés por	-⌫|--|--------|--|
Diuseruir etporuo us.Liq enssaparella	--|-----|-|--|--⌫--|-|-⌫--||-------|
alasent. Etmesi reT.et	--||---|-|----⌫-|-|-|
ses fixag rant sauetéuin re nt	--|--||-⌫---|------|---⌫--⌫-|
en latereetdeco rs	-|-|---|-|-|--⌫-|
etdau oir.Fisentleurpè lerinage molt	-||--⌫---|-----|---|---⌫-------|---|
saintem ententousles	-------⌫--|-|---|--|
li us u il se urent1	--⌫-||-|--⌫----||
de uoitDiuseruir .Etqua ntliqen seut	--⌫---|--|------⌫|-|---⌫-|-|---⌫|--|
ço ufaitil pensa q	---⌫|---|-|----||
e n-c oreuoloi tilplusfairesi	-⌫---⌫--|-----⌫|-|---|----|-|
sadonaause ruice douTe nple .i.anil et	|----|-|--⌫----|--|--⌫---|--|-|-|-|
s aconpa gnie.E t quantceuintaukiefde	-⌫|-----⌫----|-⌫|----|-|---|-|---|-|
--- ---------------- ----------- -	---⌫----------------⌫-----------⌫|
ue rsionXIII(2 )p025	--⌫--------|--⌫|---|
croisaaus i.Quantali fiuslecont eu its on	-----|---⌫-|-----|-|---|-|----⌫|-⌫-|-⌫-|
per e cr oisiétetmo nseigneurThiebautau si	---⌫|--⌫------|-|--⌫--------|-------|--⌫-|
oiiil amoi tmout	--|-|----⌫|---|
sisecroi saauoec.Quantbli qiie ns uitson f il	-|-|----⌫-|-----|-----|-|----⌫-|--|--|-⌫-|
cro isiésenfumoutdola ns et	---⌫----||-|-|---|----⌫-|-|
distBiausfiuspour	---|----|---|---|
quoie stes uousc roissiésOr	---|-⌫---|---|-⌫--------|-|
r emanralatiereuuide	-⌫-----|-|----|----|
de sei g nor. Lifius respond i et	-|---⌫-⌫---|-|---|-------⌫|-|
dist Peres	---|----|
i o usuicro isiésctoutau antp our Diu et pour le	-⌫-⌫|--|---⌫------|---|--⌫--|-⌫--|--|-|---|-|
sauuetédemameetpouruoussieruirethonourer	-------|-||--|-|---|---|------|-|-------|
amonpooirtantcomm e iouaur aiieuie	|--|----|---|----⌫|--|---⌫-|-|--|
elcor s.Liq uenssaparella tost	-|---⌫-|-|-⌫---||-------|---|
et mut et senalae t pri st	-|--|-||-|--|-⌫|---⌫-|
congiémaisainspourquist kisa terred garda.Et	------|---|---|--------|-|-|-----|-----|-|
mesire Tiebausetlifius lecontea tournerentlorafaire	-----|------|-|-|---|-|----|-⌫---------|--|-----|
et murent tout t roiensamble.Agrant sauueté	-|-----|---|-⌫--|--------||----|-------|
uinr e nt enlater redoutr emer	----⌫-⌫-|-|-|---⌫-||----⌫|--|
e tg decors	-⌫||-|---|
auoir.Ilf i s e ntlorpèlerinagemo ut	-----|-|-⌫-⌫-⌫-⌫-|--|----------|--⌫-|
saintementento uslesliuskil	---------|-|--⌫-|--|---||-|
seurentconledeuoitfaireetDi usiemr.Et	------||-|-|-----|----|-|--⌫|-----|-|
quantliquensot çoufait ilse	----|-|----|-|---|---|-|-|
pensake enc oreirol oit il p lus	----|-|---⌫--|----⌫--|-|-⌫--|
fai re ilse	---⌫-|-|-|
(fol.318f)douna	----|----|----|
a uisiemce dou Temp leuna n et il	-⌫||-----|--|----⌫-|-|-⌫|-|-|
etsacompaignie.Etquant	-|-|----------|-|----|
çouuintauchi ef de	---|---|-|---⌫-|-|
i lsape n s a	-⌫||---⌫-⌫-⌫|
uersi onXII Ip026	-----⌫-----⌫----|
l ani l pensaq uil uol oituis ete rsa	|-|-⌫|----|-⌫|-|---⌫--|---⌫---⌫|-|
tereetses ami s.Il enuoi aa Acree t	---|-|--|---⌫-|-|-----⌫||---|-⌫|
fistne ́sa parellierpristcongiéa	---|--⌫-|-⌫--------|----|------||
latereet uint (fol. 210) aAcre	-|---|-|---|----|---||---|
etentraenmer.	-|----|-|---|
13. —Auen t moltbie nportantiss irentdu	--|||---⌫|---|---⌫|------|---⌫----|-|
hauenedAcre maispauleur dura. Quan t il fu r ent	-----||---|---|--|---|----|----⌫|-|--⌫-⌫--|
enhaute mersiless oup ristun s uensdurset	-|----|--|-|--|-⌫---⌫---|--⌫|---|---|-|
o riblessiquelimaronnier	-⌫-----|-|--|-|--------|
neseurentqel par tila l oient. Cascune	-|------|--|---⌫|-|-⌫-⌫-----|------|
eurecuid oie n tnoi ersisacousir ent1ensanblelifix	---|----⌫---⌫-⌫|---⌫-|-||-------⌫--||-------|-|--|
aupereetli	-|---|-|-|
niésau neueu. Li trois	----|-|-----|-|---||
acousirentsifortensanle	---------|-|---|------|
quonne les	-|-|-|--|
pooitdépartir.Petiteurent	----|---------|----|-----|
aléentelmaniér e ́	---|-|--|-------⌫-⌫|
quant iluirenttereet dem andèrent	----|-|-----|---|-|---⌫--------|
as maronn iers	-|------⌫---|
qéster ecestoit etil	---|---⌫||-----|-|-|
respondirentkecestoit terede	-----------|-||-----|---|-|
Sarrasi nse tsil apeloito n l eter e	-------⌫-|-⌫|-||------|-⌫|-⌫|---⌫|
d Au marieetdisent	|--⌫----|-|-----|
----- -- ----------- - --- ---------	-----⌫--⌫-----------⌫-⌫---⌫--------|
uersionXI II(2) p026	---------⌫-|--|---|
uoloituisite r	-----|------⌫|
sati er eetsesamisaetrâler en	-|--⌫--⌫|-|--|----|-|-----|-|
so npais.IlenuoiaaAcr eet fistapareillier	--⌫|----|-|-----||---⌫|-|---|----------|
son hoirre.Il prist con-giéta ciausdouTempl eet	--|------|-|----|--------||----|--|-----⌫|-|
delatier eetm out l es mi erchia	-|-|----⌫|-|-⌫--|-⌫-|--⌫-----|
delhounourkll liauoient port e ́e.Il ui nt	-||------||-|-|------|----⌫-⌫--|-|--⌫-|
et sicompaignone t montè rent sourmer.	-|-|---------|-⌫|------⌫---|---|---|
issirentauuentmoutbien portantmaispeti td uracar	-------|-|---|---|---|------|---|----⌫|-⌫-----|
quantilf urentenhaute	----|-|-⌫----|-|----|
mersi less ousp ris tunsu ens fors	----|--|-⌫----⌫---⌫|--|-⌫--|---|
m arounier n e sauoientquel par t ilaloient car	-⌫-------|-⌫|-------|---|---⌫|-|------|--|
cacas cuneeure q uidoient dnoiier . Ii es	||---⌫---|---|-⌫-------||------⌫|-|||
acousirent ensamblelifius	---------|-------|-|---|
aupereliniés	-|---|-|----|
auneueuliunsa l aut reselonc	-|----|-|--|||---⌫-|-----|
çouque ils	---|--|-||
ent ramoie nt.Liquensses f iusetmesireTiebauss	---⌫------⌫--|-|----|--|-⌫--|-|-----|------||
a cousi r ent ensambl esi ke	-⌫-----⌫-⌫--|-------⌫|-|-|
o n nel espooitdépartir. Petiteure nt al é	-⌫|-|-⌫-|----|---------|----|----⌫-|--⌫-|
maniéréquan tiluir enttiereetil	--------|----⌫|-|---⌫--|----|-|-|
demandèr entasm arounier squ éste rreçou es toit etlim arounier	---------⌫--|-|-⌫--------⌫|--⌫--|--⌫--|---|--⌫---|-|-|-⌫-------|
respon dirent keçou estoit tieredeSa rrazinssil	------⌫-----|-|---|-----|----|-|--⌫------|-||
apiel oit on lest iere dAumarie etdis ent	-----⌫--|-|--|-⌫---||------|-|---⌫--|
uersionXIIIp027	--------------|
plais tuous	-----⌫|---|
E tliqensleurdist Laisié s	-⌫|-|---|---|---|-------⌫|
corredeplus cr uelmortne	----|-|---|--⌫--|---|-|
poons nousmorirqued enoier.	----|---|----|--|-⌫|-----|
IluinrentdeuantAum arietôt	-|------|-----|---⌫---|---|
alage n. Galie s etbate iplainesde Sarrasins leur	|----⌫-|-----⌫|-|----⌫|------|-|--------|---|
uinrent encontreetl es 1prisentet menèrentdeuan tle soudant	------|-------|-|-⌫--⌫|------|-|--------|-----⌫|-|------|
silienfisent pré se ntde tous leurauo irs.	-|---|-----|----⌫--⌫-|-|---|---|---⌫---|
Lis ou d anslesdépartiet en uoia	-|-⌫--⌫-⌫--|--|-------|-|--⌫---|
enses prisons.Li	-|--|-------|-|
q ensetses fix	-⌫--|-|--|--|
2estoient sifortacousuensa nleet acolé	|-------|-|---|-----|----⌫--|-|-----|
connelespooitd épart irsicommande li	|-|-|--|----|-⌫------⌫-|-|-------|-|
s oudan sa métré	-⌫-----⌫||------|
paraus. Lafure ntune	--|---|-|----⌫-|--|
piece agrant m eschief etli	----||----|-⌫------|-|-|
fix le conte3 i fumol t	--|-|----|||-|---⌫|
malad e s.	-----⌫-⌫-|
---------- ----- ------------ ----	----------⌫-----⌫------------⌫---|
uersionXIII (2)p027	----------|--|---|
liq ue ́s aestuos tres	-|-⌫--⌫--⌫|--|---⌫---|
p laisirs keno us façons car se nous alon slanos	-⌫------|-|--⌫-|------|--|-|---|----⌫|-|--|
serons tout pr is etkeüenbmains de	-----|---|--⌫-|-|---|-||----|-|
SarrazinsLiquenslor di st	--------|-|----|--|--⌫-|
La issiéscour re	--⌫------|----⌫-|
ala uolentédeIhesuCristki soit	|-|-------|-|----|----|-|---|
den os(fol. 319a) c ors	-|-⌫-|----|--|-|-⌫--|
et denos u ies garde	-|-|--|-⌫--|----|
C1Depusmalemortne	-|-|--|---|---|-|
dep lus uilainenepo onsnousm o rir	-|-⌫--|------|-|--⌫--|---|-⌫-⌫--|
ke ded moriren ceste	-|-||----|-|----|
m er.Illaiss ierentcou r re etuinrented euantf	-⌫--|-|-----⌫-----|---⌫-⌫-|-|-------|-⌫-----|
Aumar ie. Galiesg	-----⌫--|-----||
etbatie lpla ines	-|-----⌫|---⌫---|
deSarrazinsh loruinrent a lencontreetsachiés	-|--------||--|------|||-------|-|-------|
pou ruoir*k eçouifumoutkmauuais	---⌫-----|-⌫|---||-|----|------|
encontres.Il 1lesprisentetmenèrent mdeuant	---------|-||--|------|-|--------||-----|
leSoudan kisiresestoit	-|-----|-|----|-----|
del paiset delatieres elifisent	--|---|-|-|-|----|-⌫|-|-----|
p r ésent des er estiienset	-⌫-⌫-----|--|--⌫-------|-|
de t out lo rauoir.Lisoudan slesdesparti	-|-⌫--|--⌫|-----|-|------⌫|--|-------|
etles enuoiaen	-|--|-----|-|
se sp risonsem p luisourslius.Li qu ens	--⌫|-⌫-----|-|-⌫-------|----|-|--⌫--|
dePontiu etses fiuset	-|-----|-|--|---|-|
mesi reTi eb ause stoient si	----⌫-|--⌫--⌫--|-⌫------|-|
fortacous uensambie etacolé ncon	---|-----⌫|-------|-|-----|||-|
nele spooit départ i r. Lisoud anscomma ndacon	-|--⌫|----|-------⌫-⌫-|-|----⌫--|-----⌫--||-|
les mesistenune cartrepariausuil eu ̈ss e nt	--|-----|-|--|-----|--|---||-|--⌫---⌫-⌫-|
poia mangieret poi a	--||------|-|--||
boire.Ensif ufa itpuis queil l	-----|---|-⌫|--⌫-|---|--|-||
otcomm andét.La furentunepieche 0a grant	-|----⌫------|-|-----|--|-----|||----|
meschiefettantke	-------|-|---|-|
contefumou t maladest ant keliqu ensetmesire	----|-|---⌫|------|-⌫--|-|-|--⌫--|-|-----|
Tiebausa uoientpaor ke	------|-⌫-----|---|-|
ilne mo rust.	-|-|--⌫----|
uersionXIIIp028	--------------|
14.—A prèsuint unsiorsque li	--||-⌫----|---|--|---|--|-|
soudans f ist une	------|-⌫--|--|
gran tfeste d uiordesen a isence.Li	----⌫|----|-⌫|--|-|-|-⌫-⌫------|-|
cour sfugra nde.Aprèslemengi e r arcieret turcople	----⌫|-|---⌫---|-----|-|-----⌫-⌫|-----|-|-------|
u inrentausoudant d e Aumarie et disen tSire	-⌫-----|-|------|-⌫|------|-|-----⌫|---|
nosreq erons nodroit.IldemandaCoiEtil	--|---⌫----|-|-----|-|------|--|-|-|
disentS ireun c etifp orm étréaub ersel.Il	-----|-⌫--|-|-⌫---|-⌫-|-⌫-----|-|-⌫-----|-|
le ur dist	--⌫-|---|
Alésalecartrc si p rendéscelui(fol .210b)	----||-|-----|-|-⌫------|----|----⌫|--|-|
ki mains pu etuiure.Il alerent etprisent	-|----|--⌫-|-----|-|------|-|------|
l econteet	-⌫|----|-|
silen amenèrent carc iétdebar beue stu	-||-|---------|----⌫---|-|---⌫-|--⌫--|
decaui ausmenesme dautre afaire .Li s oudansleurdist	-|----⌫--|------||----|------⌫|-|-⌫-----|---|---|
Cis n auoit	--||----|
me stierdeplu suiure.Alés	--⌫----|-|---⌫|-----|----|
menéslient. Ladamequife me	-----|-----|-|---|--|--⌫-|
estoitaus oudant e stoitla	-----|-|-⌫-----|-⌫----|-|
uit etlia ten rilicu ersetdist	--|-|-|-⌫---⌫-|-|--⌫--|-|---|
------------ ------ -------------	------------⌫------⌫------------|
ue rsionXII I (2)p02 8	--⌫--------⌫|--|---⌫|
14.— Apriésauin t queli soudan stintcourt	--||------|----⌫|--|-|------⌫|---|----|
esforci eet fistgrantioie	-------⌫|-|---|----|---|
del io u rdesanaissancheb. Ensicestoitli	--|--⌫-⌫|-|-|-----------|----|-----|-|
coüstumeas	--------|-|
Sar razi ns.Apriés	---⌫----⌫--|------|
man gieru inr entliSa rrazin auSoudan et lidisen tSire	---⌫---|-⌫---⌫--|-|--⌫-----|-|-----|-|-|-----⌫|---|
nousuous r eque ́ronsnostred	---|---|-⌫----⌫----|------|
demandaeChoiEt il disentSi re.i.ch aiti f(fol.3 12	-------|---|-|-|-----|--⌫----|--⌫----⌫|----|-⌫-|
b )cre stii enpourmétréaubersail. Illor	-⌫|---⌫----⌫-|---|------|-|-------|-|--|
ot roiacarilne lienestoitgaires	--⌫---|--|-|-|-|-|-----|-----|
et lorfdistAlés alac artre	-|---|---|----||-|-⌫----|
et prende ́s ce l uikimains puetuiure.	-|------⌫-|--⌫-⌫-|-|----|---|-----|
Il sialerentet p risent	-|||------|-|-⌫-----|
lecontec arçouestoitcil par samblant	-|----|-⌫-|---|-----|--|--|-------|
ki mainspooituiure. Il l	-|----|----|-----|-||
amenere ntauantcargié debarb e grantet u elueetquant	-------⌫-|----|------|-|----⌫|----|-|-⌫---|-|----|
lisoudans le	-|------|-|
uitensipo ureestâtsi lordist	--|-|-|--⌫--|-----|-|--|---|
Cisn auoitmestier de	--||----|------|-|
plus uiur e.Alésmenés	---|----⌫-|----|-----|
l entsih enfa itesuostr e uolenté 1La‘	|--|--|-|--⌫---|-----⌫|-------||-||
d ame dontuousauésoï kiesto itfi lle	-⌫--|---|---|----|--|-|----⌫-|--⌫--|
leico nteetk fe meacel	--|--⌫--|--|--⌫-||--|
Souda nestoi tenla plac e	-----⌫|-----⌫|-|-|----⌫|
uo nenmena1lec ontekisesperesestoitm	|-⌫|-|----|-|-⌫---|-|--|----|------|
pouroci re. Luésnkee lel	---|---⌫--|-----|-|-⌫-||
otueü°selimualisansetli	-|----|-|-|--|-|---|-|-|
cuersli atenrip	----|-|-----||
u er s ionXIII p 029	-⌫--⌫-⌫-------⌫-⌫--|
françoissiparl ero ieac est poure h ome se	--------|-|----⌫---⌫-||-⌫--|----|-⌫--|-|
uospla isoit.—Damef ait i l	--|---⌫-----||---|-⌫--|-⌫|
oïlm ol tb ien.	---|-⌫--⌫|-⌫---|
Eleuint alui et si	--|---||--|-|-|
li demanda	-|------|
dontiler t	---|-|--⌫|
et que ́shoms.	-|---⌫-|----|
Illir espondiDameie sui dune pa rtiede	-|-|-⌫------|---|-|--||--|--⌫---|-|
Fra nc hed	---⌫--⌫-||
co nap el e P ontiu .	|-⌫|--⌫--⌫|-⌫-----⌫|
—De qe l gent—	--|--⌫|---||
est oieqant	---⌫--|---|
iomenparti. —Qan tele	-||-|-----||---⌫|--|
loïsiuintase nsegneuret dist	|--|-|---||--⌫|------|-|---|
Sire d ouné s m e1c estcetifs	---|-⌫-----⌫|-⌫||-⌫--|----||
plai s t carilsétdeseschiés	----⌫-⌫|--|-|---|--|-------|
etdes tablessiiuer adeuantnous	-|--|-----|-|----⌫|-----|---|
en aprendera .Etiesuiauqes seuleauoec	-|---------⌫|-|-|--|----|----|----|
uoussi meferacompe ng nie.—	---|-|-|---|-----⌫--⌫---||
------------ --------- ------- - --	------------⌫---------⌫-------⌫-⌫-|
u er sionXIII(2)p0 29	-⌫--⌫-------|--|--⌫-|
çoua k eele lecouneüst	---||-⌫|--|-|--------|
forstan tkeNatu re lendestraignoitetb	---|---⌫|-|----⌫-||-|-----------|--|
dame auSoudan Sire ious iii fran ço ise si	---|-|-----|---|--|-⌫--|----⌫---⌫--|-|
p arleroiem oiitcuolentiersa celpoure	-⌫-------|-⌫----|---------||--|----|
homme ansçois keilmorust	----|-------|-|-|-----|
s ilu oiisplaisoit .—Dame f aitli so tidans	|-|-⌫---|--------⌫||---|-⌫--|-|--⌫-----|
oïl bienmeplai st .Ladame uintail contesi	---|---|-|----⌫--⌫|-|---|---|--|----|-|
dle traistd	|-|-----||
iinepartetfistles	---|---|-|---|--|
Sarra zins trairea r riéréseeli demandadon ti le stoitet	-----⌫---|-----|-⌫-⌫------|--|-|------|---⌫|-⌫|-⌫----|-|
lll ire spondifDame io u si ii d elroiamedeFra nche	-|-⌫|--⌫------|---|--⌫|--⌫-|-⌫-|-----|-|---⌫---|
dune tiere keon	|--|----|-|-|
api e lePon tiu.Qu a nt	---⌫-⌫-|---⌫---|--⌫-⌫-|
hdame oïço usel i mitatou sl i sans.	|---|--|---⌫|-|-⌫|---|---⌫|-⌫|----|
Er rante dem and a dequel gentilesto itCier tesdame1il	--⌫----|---⌫---⌫|-|---|---|-|----⌫-|----⌫--|----|-|
nemepii e t gai res caloi rde	-|-----⌫-⌫|---⌫--|-----⌫--|
qti e ́sgensi esoi ecar i otiai tant	---⌫-⌫-|---|-⌫|---⌫|--|-⌫--|-|---|
sou ffert (fol io 319c ) dep aineset	---⌫----|----⌫-|--|-⌫|---⌫----|-|
d angoussespiiis queioume ndép artiq u eiou	|--------|----|--|--||-⌫|----⌫---|-⌫-⌫|--|
mort lieuie	---|--|--|
maistant u ous	---|---|-⌫--|
di i ou bi en poiiruoir	-|-⌫-|--⌫-|----|---|
keiquant ioum	-||----|--||
e stoie quensde Poniiti.Q u antla dameot c ̧ou	-⌫----|----|-|-------|-⌫-⌫--|-|-----|-⌫--|
oïnulsamblant n e n fist	--|--|-------||-⌫|---|
el esepartk delco nteet uintauSoud anet	--⌫|-|----|--|--⌫--|-|---|-|----⌫-|-|
li dist Sire d oune ́smo icest1 c liaitif sll	-|---|---|-⌫----⌫-|--⌫|----|-⌫------||-|
uousplaist c arllsét	---|-----|-⌫-|-|---|
des escliiés	--|--------|
etdes tablese tdesbiau sco ntesk imoutnousra	-|--|-----|-⌫|--|----⌫|--⌫---|-⌫----|---|-|
plairontet siiu erradeYan tn ou s et	-------|-|-|--⌫---|-----⌫|-⌫--⌫|-|
nousen aprendera n. — Dam efaitlisou -	---|-|--------|-||---⌫|---|-|---⌫|
uersionXIIp030	-------------|
Dame parmaloi sacié s	---|--|-|--|------⌫|
moltuolenti ers.Ele l enuoi a e nsacam bre. Li	---|-------⌫---|--||-----⌫|-⌫|-|---⌫---|-|
cartr ierssen r alaalac ar tres	-----⌫---||-|-⌫--||-|-⌫--⌫--||
a menam onsegneur T .ues tud echau i auset	-⌫---|-⌫--------|-⌫|---⌫-|-⌫|----⌫-⌫--|-|
de barbemagreet de scarn é.	-|----|----|-|--⌫-----⌫--|
Quantladame le	----|-|---|-|
uitsidistSire	--|-|---|---|
enc oreparle roie ioac estuis iuous plaisoit.	---⌫--|-----⌫---|-||-⌫----|||---|--------|
— Damepar maloioïl uolentiers.— Ele	|---|--|-|--|---|----------||--|
uintaluiselidemanda dontilestoit	---||--|-|-|------|---|-|-----|
etqe ́shom etil l idistDame	-|--⌫-|--|-|-|-⌫|---|---|
ie suide latere	-|--|-|-|---|
au u ielet s uicheual ierset s i	-|-⌫--|-|-⌫-|------⌫---|-|-⌫|
euesafille.Ele	--|-|-----|--|
reuint a sensegneur et1 se lidist	-----||--|------|-||-|-|---|
Si reorme fe rés uousgrant bontése	--⌫-|-|-|--⌫---|---|----|-----|-|
uousme doné sc estuicar il	---|-|-----⌫|-⌫----|--|-|
sét detousdéduis e t sesuerré su olontiers iu er	---|-|---|------|-⌫|--|------⌫|-⌫--------|--⌫-|
ensanlle .—Dame faitilet ieleu o us	--------⌫||---|---|-|-|-|-|-⌫-⌫-|
----- -------- ---------- --------	-----⌫--------⌫----------⌫-------|
uersionXIII(2) p030	----------|--|---|
loysachiés q ue a	--|-------|-⌫--⌫|
uole n t iersle	----⌫-⌫-⌫---|-|
uo usdon raifaites entuostreuo lent é .	--⌫-|---⌫--|-----|--|-----|--⌫----⌫--⌫|
Ele bleprentetl en u oiaens acambre.	--||-|----|-||--⌫-⌫--|-|-⌫|------|
Licca rteriersenala	--|--⌫-------|-|--|
q uerre .i.autres	-⌫----|--|----||
end amen amonseign or Tiebau tkibaronseestoita	-||----⌫|--------⌫-|------⌫|-|------|-----||
l a d am e .Ilf e stoitenpou rehabitca ril	-⌫|-⌫--⌫-⌫|--|-⌫----|-|---⌫-|----|--⌫|-|
estoit uiestusdecaui auset	-----|------|-|----⌫--|-|
auoitbarbe grande.Iles toitmagr esetdescarnés	----|----|------|-|--⌫---|----⌫-|-|---------|
gc o mme cilki mouthauoit	|-⌫-⌫--|--|-|----|----|
s ousfertmesaisse ‘ etdolor.	-⌫------|-------||-|-----|
Qu antladamele uitsidist	--⌫--|-|---|-|--|-|---|
au Soudan Si r e en core	-|-----|--⌫-⌫|--⌫---|
parleroieiou	--------|--|
uolen tier s a c est ui	-----⌫----⌫||-⌫---⌫-|
seiluousplaisoit. —	-|-|---|--------||
Dam edist li so udansoï l	---⌫|---|-|--⌫----|---⌫|
uol ent iers i.L a dameui nt am onseignour	---⌫---⌫---|-|-⌫|---|--⌫-||-⌫---------|
Tiebautetlide mandadontil estoit	------|-|-|--⌫----|---|-|-----|
etillikdistDameiousui	-|-|-||---|---|--|--|
delatiere al	-|-|----|-|
uielpreudoumekeonamena	---|--------|-|-|----|
d euantmi et ois a fillea femmeet su i	-⌫----|-|-|-|-⌫|----||----|-|--⌫|
cheualiers. La(fol.319 d)	----------|-|----|--|-|
da me1co u -nutbiens o ns eignoretuint	--⌫--|--⌫-⌫---|---|-⌫-⌫|-⌫-----|-|---|
ar riéréau S oudanetli	--⌫------|-|-⌫----|-|-|
mdistSireorme	|---|---|-|-|
fériés uous grant bon te ́se	-------|---|----|---⌫--⌫|-|
do uni e ́s cestui.— Damedi st il ioule	--⌫---⌫-⌫-|------||---|--⌫-|-|--|-|
u ousdo nrai uolentiers.	-⌫--|--⌫---|----------|
uersi onXIII p031	-----⌫------⌫---|
