Cycom me nc e	-|---⌫--⌫--⌫|
Lecappitaine quebien	-|---------|--|---|
tenoitlueilsipersonneouuriroit	-----||---|-|-------|--------|
point la porteaueuungdeschambellans	----|-|----||--|--|--|----------|
ala porte a doncnousamenez a luy	|-|----|-⌫---|---||----||--|
enl uydisant	-|-⌫-|-----|
Monsei gneurle chambellan ue ezcy leconte	------⌫----|-|---------|--⌫-|-|-|----|
Qu arionqueleroy	--⌫----|--|-|--|
Espaign eenuo yepourp ar ler a	-------⌫|----⌫-|---|-⌫--⌫--||
O rdemeu rez	-⌫|-----⌫--|
icyditiletie	--|--|-|-|-|
leirayd i re au c h anc el ie r	-|---|-⌫-⌫-|-|-⌫-⌫---⌫--⌫--⌫|
estretiréenlachambre e t	--|------|-|-|------|-⌫|
afermél uysapresluyet	|-----||--|----|--|-|
bientosta prè s a	---|---|-⌫----⌫||
chancelie rquiest	---------⌫|--|--|
ung h omme de grantrep rese nt ation quemademandéque	--|-⌫---|-|----|---⌫----⌫--⌫----|--|||-------|--|
ieuoulo ye	-|-----⌫-|
ayrespond uqu eleroy	-|-------⌫|--⌫|-|--|
mauoitenuoyépour	|----|------|---|
Etlor s ilm aresponduen	-|---⌫|-|||-------|-|
cestemaniere	----|------|
Commen t leroyestil sifortmaladeque	------⌫|-|--|--|-|-|---|-----|--|
ilnelu ypouuo it uenirdir ece q u	-|-|--⌫|-----⌫-|----|---⌫|-|-⌫|
Certesuousnyp ourriez parler	-----|---|||-⌫------|-----|
Siauonses tétousesbaysetle pl us	-|----|--⌫--|---|-----|-|-|--⌫-|
tostquen ou sauons	---|--|-⌫--⌫|----|
peun ousen somme sretou rnez uous u eni rdirela	--|-⌫--|-|-----⌫|-----⌫---|---|-⌫---⌫|---|-|
Angleterrede cefut	---------|-|-|--|
moultioyeuxp ensant qu	----|-----|-⌫-----|-|
trouue roitpo in ta la festemaiscyfitdont	------⌫---|--⌫--⌫||-|----|---|-|--|---|
il futb ien marrycom m euousorrez	-|--|-⌫--|----|---⌫-⌫|---|----|
Neu ousa uoisiepasbiend it qu il	-|-⌫--|-⌫---|-|--|---|-⌫-|-|-|
a uoit latest elunaticqueet	-⌫---|-|----⌫|---------|-|
q u i ltenoitdufol	-⌫|-⌫|-----|-|--|
estoi t a moyafaire ie nelep rieroye ia	-----⌫||--||----|-|-|-|-⌫------|-|
Die uditleroyd	---⌫|--|-|--||
Arrago nsi leroym en ueult croireil	------⌫|-|-|--||-|----|-----|-|
le ira c onuoyer et ie i rayaue cq	-|--|-⌫------|-|-|-⌫--|---⌫-|
luy et quelu ypeul tc ela n uyreueu	--|-|--|--⌫|----⌫|-⌫--|-⌫---|--|
nobleestatet	----|----|-|
q uilestuenuen	-⌫|-|--|---|-|
sa citémesmementcontreu netelle	-|----|--------|-----|-⌫-|----|
festeparquoy onnyd o itreg ardernulo rdre	----|--|---|-|-|-⌫-⌫-|---⌫----|--|-⌫---|
Lesdamesfurent	--|----|-----|
moul tioyeuses dece	----⌫|-------|-|-|
queleroy d	--|-|--||
Arragonauoit	------|----|
dit si lenre mercier en t g ran dement	--|-||-|--⌫-------⌫--⌫|-⌫---⌫-----|
Comment le roy d	------|-|--||
E spaigneacomp aignédur oyd	-⌫------|-----⌫-----|-|-⌫-||
Angle terreallerentconuo yer	-----⌫----|-------|-----⌫--|
urayement ditle roy d	--------|--|-|--||
Espaigneiluau ltbienque l on	-------|-|---⌫-|---|--||-|
yai lledeuersluyet nepuis	|--⌫--|-----|--|-|-|---|
soitun g tressai gehomme	---|--⌫|-------⌫-|----|
Si i rayueoir siie	-|-⌫--|----|-|-|
lepourray ameneret croyezqueia ne sera ma	-|------|-----|-|-----|--|-|-|---|-|
faulte quene senuiengnefes t ier auecq	-----|--|-||-|------|---⌫-⌫--|----|
Ieirayauecquous dit	-|---|----|---|--|
Arr a gona ussiledirenttousle s aultres	---⌫-⌫--|-⌫---|-|-----|---|--⌫|------|
Angleterre pourfaire	---------|---|----|
lebon ualletuadire	-|--|-----|-|---|
Certe smessei gneursiey	-----⌫|------⌫-----|-||
iraycar nous so mmeslongt empsuenuze nsemble sien	---|--|---|--⌫---|-----⌫---|----|-⌫------|-|-|
uiendra plusuolenti erscaraussilau oisieia	------|---|-------⌫--|--|----||--⌫--|-|-|
c onuoyédeyuenir	-⌫------|-||----|
Cestmoult bie n di tditle ro yd	|--|----|---⌫|--⌫|--|-|--⌫||
Espaignenousy ronsmonbeau filz et	-------|---|-⌫---|--|---|---|-|
moyetuo usd emeurerez poure ntret enirles	--|-|--⌫-|-⌫--------|---|-⌫-----⌫---|--|
dames ditil	----|--|-|
Arr ago n e t de	---⌫---⌫|-⌫|-|
Nauarr eet aplusi eurs	------⌫|-||-----⌫---|
aultresb aronset	------|-⌫----|-|
seigneurse ta us sipourreceuoir plushon nor ablement	--------|-⌫|-⌫--⌫-|---|-------|---|---⌫---⌫-------|
iecuyde qu	-|----|-|
iluiendra pourmoyet	-|------|---|--|-|
pourl amour	---||----|
de monbeau	-|--|---|
filzl e quel	---|-⌫-⌫---|
e stuenuauecquesl uy c o m meild it	-⌫-|---|-------|-⌫-|-⌫-⌫-⌫-|-|-⌫-|
Ainsis enp artirent le s roys	----||-|-⌫-------|--⌫|---|
Espaigneetd	-------|-||
An gleterre auecqmoultbelle	--⌫-------|----|----|----|
co mpaignie	--⌫-------|
Et quan t ilzf urentalapremiere	-|----⌫|--|-⌫----||-|-------|
barrie ree t uirent	------⌫-|-⌫|-----|
que la rue	--|-|--|
es toitsifort fortiffieeilz en	--⌫---|-|---|---------|--|-|
furent moultesmerue ille z	-----|----|-------⌫----⌫|
di taux garde s	--⌫|--|-----⌫|
M es am ysn ous uo ulo nsall erparler a	-⌫-|--⌫-|-⌫--|--⌫---⌫-|---⌫-|-----||
Parissiuousauez congiéde	----|-|---|---|------|-|
nouslai sserentrer	---|---⌫---|-----|
Etquiestezuou s ditle	-|--|----|---⌫|--|-|
ro ydece pays	--⌫|-|-|---|
Pardonnez moysirecar	--------|--|---|--|
ie neuous congnoiss o ye	-|-|---|---------⌫-⌫-|
Auousne striensfermécar nouslauons	|---||-⌫-|----|-----|--|---||----|
parexprèscommandement	--|------|-----------|
Etuo uloitentrerle roypar lep etithui ss etmais	-|--⌫----|-----|-|--|--|-|-⌫---|---⌫--⌫-|---|
leportiernel e u oulsit	-|------|-|-⌫|-⌫-----|
oncque ssouffrirainsluyouurit toutelagran tpor te	------⌫|-------|---|--|-----|----|-|----⌫|---⌫-|
et n efutoncq uespuis ferm eetandis	-|-⌫|--|----⌫--|---|----⌫-|-----|
que leroy d	--|-|--||
E spaignefutdedans	-⌫------|--|-----|
S ifurent moultesmerueill ez	-⌫|-----|----|----------⌫-|
les deuxroy s qua n t i lz alloi entpar lesrues de	--|---|---⌫|---⌫-⌫|-⌫-|-----⌫--|--|--|---|-|
ue oir si belletapisse riecar	--⌫--|-|----|-------⌫--|--|
ilsemb loi t un gparadisdes delices etplaisanceset	-|----⌫---⌫|--⌫|------|--|------|-|---------|-|
des b eautés etri chesses qu iyestoien t etsi	--|-⌫------|-|--⌫------|--⌫||-------⌫|-|-|
yestoit t out plaindegens dar m esne point	|-----|-⌫--|----|-|----⌫---⌫-⌫-|-|----|
nefaisoientsemblan t	-|--------|-------⌫|
Q uantilzfurentarri uez	-⌫---|--|-----|----⌫--|
deua n tlelogissi trouue rent	----⌫-⌫|-|----|-|------⌫---|
lecappitainedelagardequi	-|---------|-|-|----|--|
ame rueillesest o itbelhommeetquie stoit	|--⌫-------|---⌫-⌫-|--|----|-|--|-⌫----|
mo ult richeestat	--⌫--|----|----|
Leroyluy dit	-|--|--|--|
Sirepourri ons nouspoint	---|------⌫--|---|----|
Etquiestesuous ditle	-|--|----|---|--|-|
cappitaine	---------|
Iesuis le r o y	-|---|-|-⌫-⌫|
decepayset ueez cymon	-|-|---|-|---|-|--|
beau filz le	---|---|-|
Angleterresiuoulons semond re	---------|-|------|------⌫-|
Parisau enir auxnopces	----||-⌫---|--|-----|
le cappitaine	-|---------|
ne u ousdesplaisecarieneu ous	-|-⌫--|--------|--|-|-|-⌫--|
cong noissoye po i ntmais iecongnoisbienleroyd	----⌫-------|--⌫-⌫-|---|-|-------|---|-|--||
Angleterre Auoussiren estrien sf er mésime	---------||---|---||--|----⌫|-⌫--⌫--|-|-|
mectr ay deuantpouru ous	-----⌫-|-----|---|-⌫--|
Lo r s s emec t deuant etle	--⌫-⌫|-⌫|---⌫|-----|-|-|
Espaignequ itenoitl aultrep ar	-------|--⌫|-----||-----|-⌫-|
seme ctap re ̀s auecq grantnombre de	-|--⌫-|--⌫--⌫-|----|----|-----|-|
Qu ant i l zfurente n la salle duc om mun ilz	--⌫--|-⌫-⌫|-----|-⌫|-|----|-|-⌫--⌫--|--|
se esmerueillerentfortdela richesse	-|--------------|---|-|-|-------|
delatapisserie	-|-|---------|
queillecqestoit	--|-----|-----|
cap pitain e al lahurter alachambreduconseil et	---⌫------⌫|--⌫-|-----||-|------|-|------|-|
un gdes hui ssie rsque leroyd	--⌫|--|---⌫----⌫-|--|-|--||
Espaigne et d	-------|-||
Angleter reestoient	--------⌫-|-------|
a laportequi u ou loientparler	|-|----|--|-⌫--⌫-----|-----|
a le urseigneur	|--⌫-|-------|
Tantost sortitl ec hancelie r	------|-----|-⌫|-⌫--------⌫|
de lachambreacomp aignébien	-|-|------|-----⌫-----|---|
d ecinquantebaronsenun g moultbelet r i ch e	-⌫|--------|-----|-|--⌫|----|--|-|-⌫-⌫--⌫|
estatentr elesquieulxestoient lesduczd	----|----⌫|---------|-------|--|---||
Orlean set	------⌫|-|
Borbonet pl usie ursaultres	-----|-|--⌫----⌫--|------|
contesancienscar	-----|------|--|
tousles ieunes pri n c es	---|--|-----|---⌫-⌫-⌫-|
tenoitauec qu eslu y du nombre	-----|----⌫--⌫-|--⌫|-|-----|
descentqueauez ouycydeua nt	--|---|--|---|--|-|----⌫-|
Lech a ncelier receut moul t honnor able men t	-|--⌫-⌫------|-----|----⌫|------⌫----⌫---⌫|
etleurcompaignie	-|---|---------|
Si ditle ch anceli er auroy	-|--|-|--⌫------⌫-|-|--|
Sireq ueuen ezuous ic yfa ir equi	---|-⌫-|---⌫-|---|--⌫|--⌫--⌫|--|
aueztantdepasse tem ps	---|---|-|----|---⌫-|
en uostrepalai x	-|-----|-----⌫|
uo ussoyezletre sbienuenuen	--⌫-|----|-|---⌫----|---|-|
uostremesmeterre	-----|----|----|
Certesdi tle	-----|--⌫|-|
royie nemepo urroyetenirdeuenir ueoir	--|-|-|-|--⌫-----|----|-|----|----|
Parisetle semondrequesonplaisirsoit ueniriusq ue s	----|-|-|-------|--|--|------|---|----|----⌫--⌫|
amonp alais etlesien ue oir lesdame s	|--|-⌫----|-|-|---|--⌫--|--|----⌫|
quemo ultfort	--|--⌫--|---|
ledes irentsi uous prie quea luy mefassez	-|---⌫----|-|---|---|--||--|-|-----|
parlersilest possib le	-----||-|--|------⌫-|
Di eusireiles t bien aiséafaire	--⌫-|---|-|--⌫|---|----||----|
caril y a exprèscomma ndement qu e auousriens	--|-|||------|-----⌫------|--⌫||---|----|
nesoitcellé nefermési	-|---|-----|-|-----|-|
pouezentrerpa riour et nuy t et commandercomme en	----|-----|--⌫|---|-|---⌫|-|--------|----|-|
uostremaison	-----|-----|
Grantzmercis	-----|-----|
Oruenezd oncsiredit le	-|----|-⌫--|---|--|-|
chan c ell iere tieu o usmonstrerayle	----⌫-⌫---⌫--|-⌫|-|-⌫-⌫-|---------|-|
Silesmenaen	-|--|---|-|
la ch ambre duco n seil quetoute estoittenduede	-|--⌫----|-|--⌫-⌫---|--|----|-----|-----|-|
sat in rou gebrou c he ́defu eillaige d or	---⌫-|---⌫-|----⌫-⌫--⌫|-|--⌫-------||-|
le c ielde	-|-⌫--|-|
mesmesetle pauement	-----|-|-|-------|
Puis uinthurtera lacham bredusec ret ou	---|---|-----||-|----⌫--|-|---⌫--|-|
Parisestoit enla	----|-----|-|-|
f o rme e tmanierequeuous	-⌫-⌫--|-⌫|------|--|---|
Premiere ment to ute lachambre le ci elet pauementest oi ent	--------⌫---|--⌫--|-|------|-|--⌫-|-|-------|---⌫--⌫--|
tendusd ungue lours uert	-----||--|--⌫----|---|
agr an s perso nnages	|--⌫--⌫|-----⌫-----|
dorbien enrichisde perles	|-|---|-------|-|-----|
ouestoitpou rtraictl	-|-----|---⌫------||
Tes tament	---⌫-----|
Aucoingdelachambr e a uoit	-|----|-|-|------⌫|-⌫---|
unghaultsie gea trois degrezcouuert d	--|----|---⌫-||----|-----|------||
ungmoultriche pa lledoret pardessus	--|----|----|--⌫--||-|-|--|-----|
auoitungmoult	----|--|----|
r ich epa uillontoutfait d o rfa uerieesmailleeagrant nombre	-⌫---⌫|--⌫-----|---|---||-⌫---⌫----|--------||----|-----|
dechainettes dor qu etenoient di amansrubis	-|---------||-|--⌫|-------|--⌫----|----|
esmerauldessaffirse tplusi eurs aultrespierres	----------|------|-⌫|-----⌫---|------|------|
p re cieusesquiestincelloientme rueilleusement	-⌫--⌫------|--|-------------|--⌫-------------|
Paris etse scentgentilz h om mes	----|-|--⌫|---|------|-⌫--⌫--|
est oient tousuestusdungdrapdor ba t u tant	---⌫----|---|-----||--|---||-|--⌫-⌫|---|
richeque neleuoussçauroisdeclaireret si e stoient	----|--|-|-|---|--------|--------|-|-|-⌫------|
touteslesrob b esiusques enterre ettoutes	-----|--|---⌫-⌫-|------|-|----|-|-----|
dune mesmesortefors que	|--|----|----|---|--|
Parisquiauoi t	----|--|----⌫|
ungmoult richecoliertoutcouuer tderichepierr erieL	--|----|----|-----|---|------⌫|-|----|-----⌫---||
uissier uin t	------|---⌫|
ou urirlaportepour ueoirquecestoit	--⌫---|-|----|---|----|--||-----|
qu iyhurtoitsi t rouual edict	--⌫||------|-|-⌫----|-⌫----|
chancellier et	----------|-|
lesde uxroys qued ital	--|--⌫-|---|--|-⌫-|||
Quefaitnostremaistre	--|---|-----|------|
M onseigneur dit lu issierilest enso n	-⌫---------|--||-⌫-----|-|--|-|--⌫|
ildeuiseauecq sesbarons	-|-----|----|--|-----|
Esp a igne ditlechancell ierque	---⌫-⌫---|--|-|--------⌫--|--|
ueoiretalors entrerent dedansla chambre commeuou s	----|-|----|--------|-----|-|------|----|---⌫|
Comment ler oyd	------|-|-⌫-||
Espai gneetd	-----⌫--|-||
Ang leterreacompaignez	---⌫------|----------|
deplusieur sgrans	-|--------⌫|----|
sei gneur se t barons	---⌫-----⌫|-⌫|-----|
entrere nt enla	-------⌫-|-|-|
Parisetcomment	----|-|------|
l euadeson siege	-⌫--|-|--|----|
pourfa ir e	---|--⌫--⌫|
reuerencea uroyd	--------|-⌫|--||
lentreedelacham brelec ha ncelliercemit	|-----|-|-|----⌫--|-|-⌫--⌫-------|-|--|
Par is disant	---⌫-|-----|
Sireuec yle royd	---|---⌫|-|--||
Espaignequeuousui ent salue r	-------|--|---|--⌫--|-----⌫|
Quantleroy d	----|-|--||
Espaigne leuitensihaultt r iumpheil	-------|-|--|-|-|----|-⌫-⌫-----|-|
ne sepeutt e nirde	-|-|---|-⌫-⌫--|-|
sencli nerbien basenlu y	|-----⌫--|---|--|-|--⌫|
fais a ntlareue rence	----⌫-⌫-|-|----⌫----|
Pari sleuitseleua deson	----⌫|-|--|-|---|-|--|
siegeetleuintacoler	----|-|-|---|-----|
Di eu u ousmaintiengne et touteuostre belle	--⌫-|-⌫--|----------|-|----|-----|----|
etn oblecompaignie	-|-⌫---|---------|
A u rega r t	-⌫|----⌫-⌫|
beaufilzilny ag uieres quen ous	---|---|-||||-⌫-----|--|-⌫--|
noussommesueuzuenez uous en	---|-----|---|----|---|-|
Sileprent parlamai n	-|-|----|--|-|---⌫|
etlemainea sseoirauprèsd eluy	-|-|----|-⌫-----|------|-⌫|--|
p uis dit auroyd	-⌫--|--|-|--||
Angleterre	---------|
Prenez pla ceouiluousplaira	-----|---⌫-|-|-|---|-----|
Lesbaronsde	--|-----|-|
Parisf irentasseoir	----|-⌫----|------|
le saultreset	--⌫|------|-|
quanttoutlemonde fut assisle roy d	----|---|-|----|--|----|-|--||
Esp ai gnep arlaen	---⌫--⌫--|-⌫---|-|
ceste mani e re	----|----⌫-⌫-|
Paris siieneuou snommeaultrement	----|-|-|-|---⌫|----|---------|
i l medo i t e st repardonnécaruozge nsnenous	-⌫|-|--⌫-⌫|-⌫--⌫-|--------|--|--|--⌫-|-|---|
ont u ou l un ommeruozti ltres	--|-⌫--⌫-⌫|-⌫----|--|--⌫----|
Toutesf oizuoussoye zle tres bien uen u	-------⌫--|---|----⌫|-|----⌫---|---⌫|
enc e païsquiestdu	-|-⌫|----|--|--|-|
t outauostre	-⌫--||-----|
commandement	-----------|
Grant z mercisdit	-----⌫|-----|--|
p rieditleroy	-⌫--|--|-|--|
quilsoituostre bon plaisirde	-|-|---|-----|--|------|-|
nousfaire cestho nneur de	---|----|---|--⌫----|-|
ueni riusquesaup alais ue oi r les dame sque	----⌫|------|-|-⌫----|--⌫--⌫|--|----⌫|--|
mo ultfort	--⌫--|---|
uousdesirent	---|-------|
Siy trouuerezleroy	-||--------|-|--|
etlaro yned	-|-|--⌫--||
Arragonlesr o ys d e	------|--|-⌫-⌫-|-⌫|
Nauarreet de	------|-|-|
Po r tugal et plusieursaultresdame s et grans	--⌫-⌫----|-|--------|------|----⌫|-|----|
bar ons e tseigneurs	---⌫--|-⌫|--------|
serez pass i honnesteme nttr aicténe re ceucomm eceansmais	----|--|-⌫|----------⌫-|--⌫-----|-|--⌫--|----⌫|----|---|
debel lesethonnestesdames et	-|---⌫--|-|--------|----|-|
damoiselles yaque uousferont	----------|||--|---|-----|
bonnechere	----|----|
L esgen s duroy	-⌫-|---⌫|-|--|
angloises toi ent	------|--⌫---⌫--|
tousmarrisdela granthumili tée tam ourque le	---|-----|-|-|----|------⌫--|-⌫|--⌫--|--|-|
Es paignemonstroit a	--⌫-----|--------||
ur a yementdit	--⌫-⌫-----|--|
P arisuou snel es	-⌫---|---⌫|-|-⌫-|
este s pasare ffuser sif eronscollation e tp uis	----⌫|--||--⌫-----|-|-⌫----|--------|-⌫|-⌫--|
lesirons ueoir	--|----|----|
Pari sf itapporteresp ice set con fi t uresdetoutes	----⌫|-⌫-|-------|---⌫---⌫|-|---⌫--⌫-⌫---|-|-----|
sortesetuins	-----|-|---|
d eplusi e ursfa çon set couleurs	-⌫|-----⌫-⌫--|--⌫----⌫|-|-------|
Tantostappor terent es piceset confituresdeto utesso rtesen grans	------|-----⌫-----|--⌫----|-|---------|-|--⌫---|--⌫---|-|----|
coup pe sd oretde p ie rrerie après	----⌫--⌫||-|-|-|-⌫--⌫-----|-----|
lesuin sde plusieursmanieresdontle	--|---⌫|-|--------|-------|---|-|
roy estoi ttoutesmerue ill é	--|-----⌫|---|-------⌫---⌫-|
Quantilzeurent fait	----|--|-----|---|
la collat ion	-|------⌫--|
Parisditauroy	----|--|-|--|
Orsu sall ons quanti l uousplaira	-|--⌫|---⌫--|----|-⌫|---|-----|
Siprintleroypar l a m a in dextreet le	-|----|-|--|--|-⌫|-⌫-⌫-|-----|-|-|
Angle terrepar lamainsenestreetse	-----⌫----|--|-|---|-------|-|-|
mect entachemin	----⌫--||-----|
Etquant il	-|----|-|
futalapo rt e deso nlogis	--||-|--⌫--⌫|-|--⌫|----|
ilditaucappit ainedelagardequ ilne	-|--|-|------⌫---|-|-|----|-|-|-|
menast que u ng pe udegens	-----|--|-⌫-|--⌫|-|---|
to us lesbaronset lescent ho mmesde sonhabi t	--⌫-|--|-----|-|--|---|--⌫---|-|--|----⌫|
T antos t l e dict	-⌫-----⌫|-⌫-⌫---|
c ap pitainece	-⌫--⌫------|-|
mitd euantaueccenthommesd	--|-⌫----|---|---|-----||
arm esp our	---⌫-|-⌫--|
faire uoye car grant estoit la presse	----|---|--|----|-----|-|-----|
dupeupledetous	-|-----|-|---|
Les dameset seigneurs q uiestoientdemor ezaupalais	--|----|-|--------|-⌫-|-------|-----⌫-|-|-----|
furent tousesbay squa nt	-----|---|-----⌫|---⌫-|
ilzuire nt	--|----⌫-|
q uel e sdeuxroys tant demeuroi ent	-⌫-|-⌫-⌫|---|---|---|--------⌫--|
ma is iluintung cheu a lier	--⌫-|-|---|--|----⌫-⌫---|
c ourant quiuint dire	-⌫-----|--|---|---|
Susappre st ezuouscaruee zcyue nir	--|-----⌫--⌫-|---|--|---⌫|-|--⌫--|
lesplusbelle s genset les mieulxenp oint	--|---|-----⌫|---|-|--|-----|-|-⌫---|
que iamaisfurent ueuz s ur	--|-----|-----|---|-⌫-|
Grantioyeeurentle s	----|---|-----|--⌫|
damesetsei gneu rse t	----|-|---⌫----⌫-|-⌫|
en eut grantio ye l a puce lleaqu ile	-|--|----|--⌫-|-⌫|----⌫--||--⌫|-|
cueurtouts autelloitde ioye	----|---|-⌫--------|-|---|
Arra gonprintla roy ne d	----⌫--|----|-|---⌫-||
Espaigne et	-------|-|
saf i llefut m enee parleroy	-|-⌫-⌫--|--|-⌫---|--|-|--|
Nauarreet leroyde	------|-|-|--|-|
Po rtugalpri ntlaroyne d	--⌫-----|---⌫-|-|----||
Ar r agon et l esaultrespr inces etbarons	--⌫-⌫---|-|-⌫-|------|--⌫----|-|-----|
prirentchascun da m ee t d amoiselle etse mire n t en	------|------|--⌫-⌫|-⌫|-⌫--------|-|-|----⌫-⌫|-|
tresbelleordonnance	--------|---------|
Silesallerentungpeu ueo iruenir de	-|--|-------|--|--|---⌫-|----|-|
l oingparlesfenestresp u isse mitchascu nen sa	-⌫---|--|--|--------|-⌫-⌫-|-|--|------⌫|-|-|
place en disantl un gal	----|-|-----||--⌫|||
uoy e zcommentcel u yprenthonn eu r deuantl esroysque	---⌫-⌫|------|---⌫-⌫|----|----⌫--⌫|-----|-⌫-|---|--|
to us deux	--⌫-|---|
les mayn e e t marchele premierpar	--|----⌫|-⌫|-----|-|------|--|
esthom medeg ranthaultesse etaudace et	--|---⌫-|-|-⌫---|--------|-|-----|-|
nemo nstre pasq u ils oiten	-|--⌫----|--|-⌫|-|-⌫--|-|
pai ̈ sestrange	---⌫-⌫|-------|
Ce r tes dire ntles aultresil	--⌫-⌫--|----⌫-|--|------|-|
estpar toutleplus	--|--|---|-|---|
fortqueluy donnece	---|--|--|----|-|
Dieu d itla pucellela	---|-⌫-|-|------|-|
fierté qu	------|-|
il aluysietmoultbiencarc	-||--|---|----|---|--||
estungdroitmirou erdebea ulté	--|--|----|-----⌫-|-|---⌫----|
Et atant ueezcy	-||---|---|-|
ueni rete nt rerseshommes delagardequi tou s	----⌫|-|-⌫--⌫--|--|-----|-|-|----|--|---⌫|
ensemble saluere ntla compa ignieetpuis seuontsarr eren	-------|-------⌫-|-|-----⌫----|-|---|-|---|----⌫-|-|
un ep artco n treungcoi ngde lasallequ i	--⌫|-⌫--|--⌫-⌫--|--|---⌫-|-|-|----|--⌫|
sembloitque touscentne tinssen tpas laplace	-------|--|---|---|-|-------⌫|--|-|----|
dequarante	-|-------|
Parisentrae nlasa lle	----|----|-⌫|-|--⌫--|
o u est oie ntlesseigneur setdamesqui	-⌫|---⌫---⌫-|--|--------⌫|-|----|--|
lu yuindrentau	--⌫|-------|-|
Estrearriué	----|------|
Pa ris entrel esdeux roys	--⌫--|----|-⌫-|---|---|
Es p aigneetd	--⌫-⌫----|-||
Angleterreentrere nten ladictesallele s seigneursdames etdamoiselles	---------|-------⌫-|-|------|----|--⌫|--------|----|-|----------|
leuruindren tau	---|-------⌫|-|
Paris salua lesroysd	----|----|--|---||
Arragond e	------|-⌫|
Naua rree t de	----⌫--|-⌫|-|
Portugalpuisostasonchappeauetbaizales	-------|---|---|--|-------|-|----|--|
deuxroynes	---|-----|
Après printl a	-----|----|-⌫|
pucellepar lamainbi e n	------|--|-|---|--⌫-⌫|
priue eme ntetlabaisa	-----⌫---⌫-|-|-|----|
moult doulcem entendis a nt	----|-------⌫--|-|---⌫-⌫-|
Ieuous mercie ma doulceseurdeu o st represent	-|---|-----|-|-----|---|-|-⌫-⌫--⌫-|------|
Ado ncelle	---⌫-|---|
rogitun gpeu	----|--⌫|--|
e tsenclina iusques	-⌫||------|------|
Parisa sesbarons	----||--|-----|
A llez baiser	-⌫---|-----|
toutes cesdames et nous	-----|--|----|-|---|
nou sirons	---⌫|----|
Siprint l esd euxro ynespa r les	-|----|-⌫-|-⌫--|--⌫---|--⌫|--|
mainsetd it	----|-|-⌫-|
Orl eansquiaprèsluyue no it qu e luy amenastlad amo i selle	---⌫---|--|-----|--|--⌫--⌫-|--⌫|--|------|-|-⌫---⌫-⌫----|
Sisenuaseoiraup lu s n oblelieude	-||-|-|----|-|-⌫--⌫|-⌫---|---|-|
toutelasalle qui moult grandeestoit	----|-|----|--|----|-----|-----|
etseassit aum ili eudes de ux roynes	-|-|----|-|-⌫---⌫-|--|--⌫-|-----|
Pui sdit au du c	---⌫|--|-|--⌫|
Or l eanssoncosin	--⌫-⌫---|--|----|
Ame nez moyceque	---⌫--|--|-|--|
uousay bailléuousnes tespassihonteux	---|-|------|---||--⌫--|--|-|------|
queuousneprenezdu meilleur endroit dontchascunse	--|---|-|-----|-|-------|------|---|------|-|
mit a r ire	--||-⌫--|
Pui s d ithaul tement	---⌫|-⌫-|----⌫-----|
Messeigneu rs prenez placeou b onuoussemblera carno us	----------⌫-|-----|----|-|-⌫-|---|-------|--|--⌫-|
auonsprinsl anostre	----|----|-⌫|-----|
Sicomme nçaa deuis eraue cqlap uce lle ettous	-|-----⌫---||-----⌫-|---⌫-|-|-⌫---⌫--|-|---|
les roysetg ranspr inces etdam es	--|---|-|-⌫---|--⌫----|-|---⌫-|
etdamoi selles leplusquepeurent se	-|-----⌫-----|-|---|--|------|-|
approuche rentpourles ouyr deuis er	---------⌫---|---|--|---|-----⌫-|
parlan tla pucelle	------⌫|-|------|
Ie ha n de	--⌫--⌫|-|
Sire uous auezame néunemoult	---|---|---|---⌫--|--|----|
bellearmeela	----|----|-|
mieulx enpoint que	-----|-|----|--|
iamaislonuit enc esco ntrees	-----||-|--|-|-⌫-|--⌫-----|
P a risi elay fait po urlamour	-⌫-⌫--|-⌫||-|---|--⌫-||----|
Etcomment ditlapuce lleenrogissan t pour l	-|------|--|-|----⌫--|-|--------⌫|---||
amourdemoy	----|-|--|
Ieleuous d irayresponditi liay	-|-|---|-⌫---|--------|-⌫||-|
ouydireque lo nu ous	--|---|--||-⌫|-⌫--|
de uoitcomb a trede main	--⌫---|----⌫-⌫--|--⌫---|
etpourceieuous uiensoffrirsi	-|---|-|-|---|----|-----|-|
uous auez point afairedemesgensd	---|---|----||----|-|--|---||
armesqui ontbonneslances	----|--|--|-----|-----|
Aum ot fut moult grantlebr uit pa r my la	-|-⌫-|--|----|----|-|--⌫--|--⌫-⌫-|-|
salle deri recar to us	----|-|--⌫-|--|--⌫-|
escout oient dil i gem me nt	------⌫----|---⌫-⌫---⌫--⌫-|
S iredit lapuc elletoute	-⌫--|--|-|---⌫---|----|
honteuseieuousmerc ied euostre offre c ar	-------|-|---|----⌫-|-⌫|-----|----|-⌫-|
ilny faultpassigrandeassem b lee	-|||----|--|-|-----|-----⌫-⌫--|
Ieha ndit il il est	----⌫|--|-|-|--|
u rayc ar ces era co rps a	-⌫--|-⌫-|-|-⌫--|--⌫--||
corpse nchampd e ba taille estro it	----|-⌫|----|-⌫|--⌫-----|-----⌫-|
Iamaisuou sneu eistes	-----|---⌫|-|-⌫-----|
t antrirecommecesseigneur s	-⌫--|---|----|--|--------⌫|
etdam esrirrent	-|---⌫-|------|
desquestionsqu	--|--------|-|
il luyfais oit	-|--|----⌫--|
Nauarreauroy d	------|-|--||
