domineexaudiorationemmeam	domine exaudi orationem meam
ett͛reeiusmiserebuntur.Ettimebunt	et t͛re eius miserebuntur . Et timebunt
gentesnom̃tuũdñe	gentes nom̃ tuũ dñe 
etõsreges	et õs reges
t͛regl̃amtuã.Quiaedificabitdñs	t͛re gl̃am tuã . Quia edificabit dñs
syonetuidebiturĩgl̃a	syon  et uidebitur ĩ gl̃a
sua.Respex̃inoratõnẽ	sua . Respex̃ in oratõnẽ
humiliũetñspreuitcemeoꝝ.Scribantur	humiliũ  et ñ spreuit cem eoꝝ . Scribantur
hecingeneratõne	hec in generatõne
alt͛aetppl̃squicreabiturlaudabitdñm.	alt͛a  et ppl̃s qui creabitur laudabit dñm .
Quiaꝓspex̃deexcelsosc̃osuo	Quia ꝓspex̃ de excelso sc̃o suo
dñsde	 dñs de
celointerrãaspex̃.Vtaudiretgemituscõpeditoꝝ	celo in terrã aspex̃ . Vt audiret gemitus cõpeditoꝝ
utsolueretfiliosinterẽptoꝝ.Vtannuntientinsyon	 ut solueret filios interẽptoꝝ . Vt annuntient in syon
nom̃dñi	nom̃ dñi 
etlaudẽeiusinihrl̃m.Inꝯueniendoppl̃osin	et laudẽ eius in ihrl̃m . In ꝯueniendo ppl̃os in
unũetregesutseruiantdño.Responditei	unũ  et reges ut seruiant dño . Respondit ei
inuiauirtutissuepaucitatẽdieꝝmeoꝝnuntia	in uia uirtutis sue  paucitatẽ dieꝝ meoꝝ nuntia
michi.Nereuoces	michi . Ne reuoces
meindimidiodieꝝmeoꝝingeneratõnẽ	me in dimidio dieꝝ meoꝝ  in generatõnẽ 
generatõnẽannitui.Initõtudñeterrãfundasti	generatõnẽ anni tui . Initõ tu dñe terrã fundasti
etoꝑamanuũ	 et oꝑa manuũ
tuaꝝsuntceli.Ip̃i	tuaꝝ sunt celi . Ip̃i
ꝑibunttu	ꝑibunt tu
autẽꝑmanes	autẽ ꝑmanes
etom̃ssic̃uestim̃tũ	 et om̃s sic̃ uestim̃tũ
ueterascent.Etsic̃oꝑtoriũ	ueterascent . Et sic̃ oꝑtoriũ
mutab̃eosmutabuntur	mutab̃ eos  mutabuntur
tuautẽidẽip̃eesetanni	 tu autẽ idẽ ip̃e es  et anni
tuiñdeficient.	tui ñ deficient .
Filiiseruoꝝtuoꝝhabitabũt	Filii seruoꝝ tuoꝝ habitabũt 
etsem̃eoꝝinscl̃m	et sem̃ eoꝝ in scl̃m
dirigetur.matut.	dirigetur . matut.
ͦnoc.Domine	ͦ noc. Domine
exaudior̃onemmeamclamor	exaudi or̃onem meam   clamor
meusadteueniat.	meus ad te ueniat .
Nonau͛tasfaciemtuamame	Non au͛tas faciem tuam a me 
inqͣcũqdietribulorinclinaadmeauremtuam.	in qͣcũq die tribulor inclina ad me aurem tuam .
Inqͣcũqdieinuocau͛ote	In qͣcũq die inuocau͛o te
uelocit͛exaudime.Quiadefecer̃tsicutfumus	 uelocit͛ exaudi me . Quia defecer̃t sicut fumus
diesmeiossa	dies mei   ossa
measicutcremiumaruerunt.Percussus	mea sicut cremium aruerunt . Percussus
sumutfenumaruitcormeum	sum ut fenum  aruit cor meum 
quiaoblitussumcomed͛epanemmeum.Auoce	quia oblitus sum comed͛e panem meum . A uoce
gemitusmeiadhesitosmeumcarni	gemitus mei  adhesit os meum carni
mee.Similisfc̃ssum	mee . Similis fc̃s sum
pellicanosolitudinisfc̃ssumsicutniͨticoraxindomicilio.	pellicano solitudinis  fc̃s sum sicut niͨticorax in domicilio .
Vigilauifc̃ssumsicutpassersollitariusin	Vigilaui   fc̃s sum sicut passer sollitarius in
tecto.Totadieexꝓbrabantmͥinimicimei	tecto . Tota die exꝓbrabant mͥ inimici mei
quilaudabantme	  qui laudabant me
adu͛summeiurabant	adu͛sum me iurabant
Quiacinerẽtanqͣmpanem	Quia cinerẽ tanqͣm panem
manducabampoculummeumcumfletumiscebam.A	manducabam   poculum meum cum fletu miscebam . A
facieireindignationistueqͥaeleuansallisistime	facie ire indignationis tue  qͥa eleuans allisisti me
Diesmei	Dies mei
sicutumbra	sicut umbra
declinauer̃tegosicutfenum	declinauer̃t   ego sicut fenum
arui.Tu	arui . Tu
autemdñeinet͛numpermanes	autem dñe in et͛num permanes  
memorialetuum	memoriale tuum
ingen͛ationẽgen͛ationem.Tuexsurgensdominemisereberissyon	in gen͛ationẽ  gen͛ationem . Tu exsurgens domine misereberis syon
qͥatempusmiserendieiusqͥauenittempus.	 qͥa tempus miserendi eius qͥa uenit tempus .
Q̃mplacuerunt	Q̃m placuerunt
seruistuislapideseiust͛reeiusmiserebuntur	seruis tuis lapides eius   t͛re eius miserebuntur
.Ettimebunt	. Et timebunt
gentesnomentuum	gentes nomen tuum
dñeom̃s	dñe   om̃s
regest͛regl̃amtuamQͥa	reges t͛re gl̃am tuam Qͥa
edificauitdñssyon	edificauit dñs syon 
uidebituringl̃iasuaRespexitinor̃onemhumilium	 uidebitur in gl̃ia sua Respexit in or̃onem humilium 
ñspreuitprecemeoꝝ	 ñ spreuit precem eoꝝ
.Scribanturhecingen͛ationealtera	. Scribantur hec in gen͛atione altera
ppl̃squi	  ppl̃s qui
creabiturlaudabitdñmQͥaꝓspexitdeexcelsosc̃osuo	creabitur laudabit dñm Qͥa ꝓspexit de excelso sc̃o suo 
dñsdeceloin	dñs de celo in
t͛ramaspexit.Vtaudiretgemituscõpeditoꝝ	t͛ram aspexit . Vt audiret gemitus cõpeditoꝝ
utsolueretfiliosinteremptorum.Vtannuncientinsyon	 ut solueret filios interemptorum . Vt annuncient in syon
nomendñilaudemei᷒in	nomen dñi   laudem ei᷒ in
ierl̃m.Inꝯueniendopopulosinunum	ierl̃m . In ꝯueniendo populos in unum  
regesutseruiantdñoResponditeiinuiauirtutissue	reges ut seruiant dño Respondit ei in uia uirtutis sue
paucitatemdierummeoꝝnunciamͥ.Nereuoces	 paucitatem dierum meoꝝ nuncia mͥ . Ne reuoces
meindimidiodierum	me in dimidio dierum
meoꝝingenerationẽgen͛ationemannitui.Initio	meoꝝ  in generationẽ  gen͛ationem anni tui . Initio
tudñet͛ramfũdastiopera	tu dñe t͛ram fũdasti   opera
manuumtuaꝝsuntceli.Ipsiperibunttuautem	manuum tuaꝝ sunt celi . Ipsi peribunt tu autem
permanesom̃ssicutuestimentumueterascent.	permanes   om̃s sicut uestimentum ueterascent .
Etsicutopertoriummutabis	Et sicut opertorium mutabis
eosmutabunturtuautem	eos  mutabuntur  tu autem
idemip̃ees	idem ip̃e es
annituiñdeficientFiliiseruorumtuoꝝ	  anni tui ñ deficient Filii seruorum tuoꝝ
h̃itabunt	h̃itabunt 
sem̃eoꝝ	 sem̃ eoꝝ
inscl̃mdirigetur.DOmine	in scl̃m dirigetur . DOmine
exaudiorationemmeãclamormeusadte	exaudi orationem meã   clamor meus ad te
ueniatNonau͛tasfaciemtuamame	ueniat Non au͛tas faciem tuam a me 
ĩquacũqdietribulorinclinaadmeaurẽ	ĩ quacũq die tribulor inclina ad me aurẽ
tuã.Inqͣcunqdieinuocauerote	tuã . In qͣcunq die inuocauero te 
uelocit͛exaudime.Quiadefeceruntsicutfum᷒	uelocit͛ exaudi me . Quia defecerunt sicut fum᷒
diesmeiossa	dies mei   ossa
measicut	mea sicut
cremiũaruerunt.Percuss᷒sumutfenũ	cremiũ aruerunt . Percuss᷒ sum ut fenũ 
aruitcormeũqͥaoblitus	aruit cor meũ  qͥa oblitus
sumcomederepanẽmeũ.Auocegemitus	sum comedere panẽ meũ . A uoce gemitus
meiadhesitosmeũcarnimee	mei  adhesit os meũ carni mee
.Fimilisfc̃ssumpellicanosolitudinisfc̃s	. Fimilis fc̃s sum pellicano solitudinis fc̃s
sũsicutnicticorausĩ	sũ sicut nicticoraus ĩ
domisilioVigilauifc̃ussumsic̃passersollitariusintecto	domisilio Vigilaui  fc̃us sum sic̃ passer sollitarius in tecto
Totadieexprobantmͥinimicimei	Tota die exprobant mͥ inimici mei 
quilaudabantmeadu͛sumiurabantQuiacinerẽtanquampanem	 qui laudabant me adu͛sum iurabant Quia cinerẽ tanquam panem
manducabampotũmeumcũfletu	manducabam  potũ meum cũ fletu
missebamAfacieiretueindignationistue	missebam A facie ire tue indignationis tue 
eleuansallisistime	 eleuans allisisti me
.Diesmeisicutunbradeclinaueruntetego	. Dies mei sicut unbra declinauerunt et ego
sicutfenũarui.	sicut fenũ arui .
Tuautem	Tu autem
dñeineternũꝑmanes	dñe in eternũ ꝑmanes 
memorialetuumĩgenerationegenerationemTuexulgensdñe	 memoriale tuum ĩ generatione  generationem Tu exulgens dñe
misereberissyon	misereberis syon
qͥatẽpusmiserẽdiei᷒quiauenit	 qͥa tẽpus miserẽdi ei᷒ quia uenit
tempusQ̃nplacueruntseruustuuslapidesei᷒t͛reei᷒	tempus Q̃n placuerunt seruus tuus lapides ei᷒  t͛re ei᷒
miserebunt͛.Ettimebuntgentesnomentuumdñe	miserebunt͛ . Et timebunt gentes nomen tuum dñe 
om̃sregest͛regloriamtuamQuiaedificauitdñssyon	 om̃s reges t͛re gloriam tuam Quia edificauit dñs syon
uidebit᷑ingloriasua	  uidebit᷑ in gloria sua
.Respexitĩorationemhumiliũñspreuit	. Respexit ĩ orationem humiliũ  ñ spreuit
cemeoꝝScribantur	cem eoꝝ Scribantur
hecĩgenerationealtera	hec ĩ generatione altera 
ppl̃sqͥcreabit᷑laudabit	 ppl̃s qͥ creabit᷑ lauda bit
dñmQuiaprospexitde	dñm Quia prospexit de
excelsosc̃osuodñsdecelointerramaspexit.	excelso sc̃o suo dñs de celo in terram aspexit .
Vtaudiretgemitusꝯpeditoꝝutsolueret	Vt audiret gemitus ꝯpeditoꝝ ut solueret
filiosinterentorũ.Vtannũciantinsyonnomẽ	filios interentorũ . Vt annũciant in syon nomẽ
dñilaudem	dñi   laudem
ei᷒ĩiherusalẽ.Incõuertandoppl̃osĩ	ei᷒ ĩ iherusalẽ . In cõuertando ppl̃os ĩ
unũreges	unũ   reges
utseruiantdñoResponditeiinuia	ut seruiant dño Respondit ei in uia
uirtutissue	uirtutis sue
paucitatẽdierũmeoꝝnuntia	 paucitatẽ dierũ meoꝝ nuntia
mͥNereuocesmeĩdimidiodierũ	mͥ Ne reuoces me ĩ dimidio dierũ
meoꝝĩgeneratione	meoꝝ ĩ generatione
generationem	 ge nerationem
annituiInitiotudñet͛ramfundastioꝑa	anni tui Initio tu dñe t͛ram fundasti  oꝑa
manuũtuarumsũtceli.Ipsiꝑibunt	manuũ tuarum sũt celi . Ipsi ꝑibunt
tuautemꝑmanesom̃ssicutuestimẽtumueterascent.	tu autem ꝑmanes  om̃s sicut uestimẽtum ueterascent .
Etsicutoꝑtoriũmutabiseosmutabunt᷑tuautẽidem	Et sicut oꝑtoriũ mutabis eos  mutabunt᷑ tu autẽ idem
ipseesetannituinõdeficiẽt	ipse es et anni tui nõ deficiẽt
Filiiseruoꝝtuoꝝhabitabũtsemen	Filii seruoꝝ tuoꝝ habitabũt  semen
eoꝝĩscl̃mdiriget᷑.Dñeexaudi	eoꝝ ĩ scl̃m diriget᷑ . Dñe exaudi
or̃onemmeam:etclamormeusadte	or̃onem meam : et clamor meus ad te
ueniat.Nonauertasfaciemtuamame:ĩqͣcũq	ueniat . Non auertas faciem tuama me : ĩ qͣcũq
dietribulorĩclinaadaurẽtuam.Inqͣcũqdie	die tribulor ĩclina ad aurẽ tuam . In qͣcũq die
tribĩuocauerote:uelociter	trib ĩuocauero te : uelociter
exaudime.Quiadefecerũtsicutfumusdies	exaudi me . Quia defecerũt sicut fumus dies
mei:etossa	mei : et ossa
measicut	mea sicut
cremiũaruerunt.Percussussumut	cremiũ aruerunt . Percussus sum ut
fenũetaruitcormeum:quiaoblitussũcomedere	fenũ et aruit cor meum : quia oblitus sũ comedere
panemmeũ.Auoce	panem meũ . A uoce
gemitsũmeiadhesitos	gemit sũ mei adhesit os
meũcarnimee.Sĩlisfc̃ussũpellicanosolitud̃is	meũ carni mee . Sĩlis fc̃us sũ pellicano solitud̃is
:fc̃ussumsicut	: fc̃us sum sicut
niticoraxĩdomicilio.Uigilauifc̃us	niticorax ĩ domicilio . Uigilaui  fc̃us
sũsicutpassersolitariusĩtecto.Totadie	sũ sicut passer solitarius ĩ tecto . Tota die
exprobabantmͥĩmicimei:quilaudabantme	exprobabant mͥ ĩmici mei :   qui laudabant me
adu͛sũmeiurabãt.Quiacineremtanꝙͣpanemmãducabã:	adu͛sũ me iurabãt . Quia cinerem tanꝙͣ panem mãducabã :
poculũmeucũfletumissebã.	 poculũ meu cũ fletu missebã .
Afacieireĩdignacõnistue:eleuãsallisisti	A facie ire ĩdignacõnis tue :  eleuãs allisisti
me.Diesmeisicutũbra	me . Dies mei sicut ũbra
declinauerũt:egosicutfenũarui.Tuaut̃	declinauerũt :  ego sicut fenũ arui . Tu aut̃
dñeĩet͛nũꝑmanes:etmemorialetuũ	dñe ĩ et͛nũ ꝑmanes : et memoriale tuũ
ĩgeneratõneetgeneratõnem	ĩ ge neratõne et generatõnem
Tuexurgensdñemiẜeberissyon:tp̃smiẜendiei	Tu exurgens dñe miẜeberis syon :  tp̃s miẜendi ei
uenittemp.Q̃mplacuerũt	 uenit temp . Q̃m placuerũt
ẜuistuis	ẜuis tuis
lapidesei:ett͛reeiusmiẜebũtur.	lapides ei : et t͛re eius miẜebũtur .
Ettimebũtgentesnomẽtuũdñe:õs	Et timebũt gentes nomẽ tuũ dñe :  õs
regest͛regl̃iamtuam.Quiaedificauit	reges t͛re gl̃iam tuam . Quia edificauit
dominsyon:etuidebit᷑ĩgl̃iasua.Respexit	domin syon : et uidebit᷑ ĩ gl̃ia sua . Respexit
ĩor̃onemhũiliũ:etnonsuit	ĩ or̃onem hũiliũ : et non suit
ceseoꝝ.Scribanturhͨĩgen͛atione	ces eoꝝ . Scribantur hͨ ĩ gen͛atione
alt͛a:et	alt͛a : et
ppl̃squicreabit᷑laudabitdñmQuiaꝓspeͨxit	ppl̃s qui creabit᷑ laudabit dñm Quia ꝓspeͨxit
deexcelsosc̃o	de excelso sc̃o
suo:dñsdeceloĩ	suo : dñs de celo ĩ
t͛ramaspexit.Utaudiret	t͛ram aspexit . Ut audiret
gemitꝯpeditorũ:ut	gemit ꝯpeditorũ : ut
solueretfiliosĩt͛emtoꝝ.Utãnuncientĩsyonnomẽ	solueret filios ĩt͛emtoꝝ . Ut ãnuncient ĩ syon nomẽ
dñi:et	dñi : et
laudemsuaminihrl̃m.Inꝯuertendopopulosinunũ	laudem suam in ihrl̃m . In ꝯuertendo populos in unũ
:regesutẜuiantdñoRespõditeiĩuia	:  reges ut ẜuiant dño Respõdit ei ĩ uia
uͥtutissue:paucietatemdierũmeorũnũcia	uͥtutis sue : paucietatem dierũ meorũ nũcia
mͥ.Nereuocesmeĩ	mͥ . Ne reuoces me ĩ
dimidiodieꝝmeoꝝ:ĩgen͛atõnegeneratõnemani	dimidio dieꝝ meoꝝ : ĩ gen͛atõne  generatõnem ani
tui.iniciotudñet͛ramfundasti:etopera	tui . inicio tu dñe t͛ram fundasti : et opera
manuũtuaꝝsũtceli.Ip̃iperibũt	manuũ tuaꝝ sũt celi . Ip̃i peribũt
tuaut̃permanes	tu aut̃ permanes
:etõssicut	: et õs sicut
uestimẽtũueterascẽt.Etsicutopertoriũ	uestimẽtũ ueterascẽt . Et sicut opertoriũ
mutab̃eos:etmutabũtur	mutab̃ eos : et mutabũtur
tuaut̃idemip̃ees:etãnituinõ	tu aut̃ idem ip̃e es : et ãni tui nõ
deficient.Filiiẜuorumtuoꝝh̃itabũt:etsemeneoꝝ	deficient . Filii ẜuorum tuoꝝ h̃itabũt : et semen eoꝝ
ĩscl̃ꝫdiriget᷑.ps̃Domineexaudior̃onẽmeã	ĩ scl̃ꝫ diriget᷑ . ps̃ Domine exaudi or̃onẽ meã 
clamorm̃sadteuẽiat	 clamor m̃s ad te uẽiat
Nonau͛tasfaciẽtuamameĩquac̃q	Non au͛tas faciẽ tuam a me  ĩ quac̃q
dietribl̃or	die tribl̃or
ĩclinaadmeauremtuãInquacũq	ĩclina ad me aurem tuã In quacũq
dieĩuocau͛oteuelociterexaudi	die ĩuocau͛o te  uelociter ex audi
meQuiadeffecer̃t	me Quia deffecer̃t
sic̃fumusdiesmeiossa	sic̃ fumus dies mei   ossa
m̃asic̃cremiũaruer̃tPercussussũutfenũ	m̃a sic̃ cremiũ aruer̃t Percussus sũ ut fenũ
.aruitcormeũoblitussũ	.  aruit cor meũ   oblitus sũ
comederepanẽmeũ	comedere panẽ meũ
Auocegemitusmeiadhesit	A uoce gemitus mei  adhesit
osmeũcarni	os meũ carni
m̃eSimilisfc̃ussũpellicanosolitudĩsfc̃ussũ	m̃e Similis fc̃us sũ pellicano solitudĩs  fc̃us sũ
sicutniticoraxĩdomicilio.Uigilaui	sicut niticorax ĩ domicilio . Uigilaui  
fc̃ussũsic̃	fc̃us sũ sic̃
passersolitariusĩ	passer solitarius ĩ
tectoTotadieexꝓbrabãtmͥĩimici	tecto Tota die exꝓbrabãt mͥ ĩimici
m̃iqͥ	m̃i   qͥ
laudabãtme	laudabãt me
adu͛sũm̃iurabãt	adu͛sũ m̃ iurabãt
Qꝛcinerẽtanꝙͣpanemmãducabã	Qꝛ cinerẽ tanꝙͣ panem mãducabã 
potummeũcũfletumisceba.facieire	 potum meũ cũ fletu misceba . facie ire
ĩdignatõistueeleuãsallisistimeDies	ĩdignatõis tue   eleuãs allisisti me Dies
meisic̃umbradeclinauer̃t	mei sic̃ umbra declinauer̃t 
egosic̃	 ego sic̃
fenũaruiTuãtdñeĩet͛numꝑmanes	fenũ arui Tu ãt dñe ĩ et͛num ꝑmanes
memoriale	  memoriale
tuũingen͛ationegen͛ationẽ.Tuexurgẽsmiẜeberis	tuũ in gen͛atione  gen͛ationẽ . Tu exurgẽs miẜeberis
syontempus	syon   tempus
miserendiei	miserendi ei
.uẽittẽpusQ̃mplacuer̃tseruis	.  uẽit tẽpus Q̃m placuer̃t seruis
tuislapideseius	tuis lapides eius  
t͛reeiusmiserebũturEttĩebũt	t͛re eius miserebũtur Et tĩebũt
gentesnomẽtuumdñeom̃sregest͛re	gentes nomẽ tuum dñe   om̃s reges t͛re
gl̃iamtuã.Qꝛhedificabit	gl̃iam tuã . Qꝛ hedificabit
dñssyon	dñs syon 
uidebit᷑	 uidebit᷑
ĩgl̃iasuaRespexitĩor̃onehũiliũ	ĩ gl̃ia sua Respexit ĩ or̃one hũiliũ
etnonspreuit	 et non spreuit
ceseoꝝScribant᷑hecĩgen͛atõealterappl̃s	ces eoꝝ Scribant᷑ hec ĩ gen͛atõe altera   ppl̃s
qͥcreabit᷑laudabitdñmQꝛꝓspex̃deexcelsosc̃osuo	qͥ creabit᷑ laudabit dñm Qꝛ ꝓspex̃ de excelso sc̃o suo
dñsdeceloĩterrãaspexitUtaudiretgemit	 dñs de celo ĩ terrã aspexit Ut audiret gemit
conpeditoꝝutsolueret	conpeditoꝝ  ut solueret
filiosinterẽptoꝝEtãnũtiẽtĩsyõ	filios interẽptoꝝ Et ãnũtiẽt ĩ syõ
nomendñilaudemeiĩihrl̃m	nomen dñi   laudem ei ĩ ihrl̃m
Incõueniẽdoppl̃osĩunũetreges	In cõueniẽdo ppl̃os ĩ unũ  et reges
utẜuiantdoͦ.Responditeiĩ	ut ẜuiant doͦ . Respondit ei ĩ
uiauͥtutis	uia uͥtutis
suepaucitatẽdierũmeorũnũcia	sue  paucitatẽ dierũ meorũ nũcia
mͥNereuocesmeĩ	mͥ Ne reuoces me ĩ
dimidiodierũm̃oꝝ	dimidio dierũ m̃oꝝ 
ĩgñonegen͛atõnẽãnitui	ĩ gñone  gen͛atõnẽ ãni tui
Iniciotu	Inicio tu
dñet͛ramfũdastioperamanuũtuarũ	dñe t͛ram fũdasti   opera manuũ tuarũ
sũtceliIp̃iperibũt.tuãtꝑmanes	sũt celi Ip̃i peribũt . tu ãt ꝑmanes  
õssic̃uestimẽtũueterascent.	õs sic̃ uestimẽtũ ueterascent .
Etsic̃oꝑtoriũmutabiseosetmutabunt᷑tu	Et sic̃ oꝑtoriũ mutabis eos et mutabunt᷑  tu
aut̃idemip̃ees.	aut̃ idem ip̃e es . 
ãnituinõdefficiẽtFilii	ãni tui nõ defficiẽt Filii
ẜuoꝝtuoꝝh̃itabũt	ẜuoꝝ tuoꝝ h̃itabũt  
semẽeoꝝ	semẽ eoꝝ
ĩscl̃mdirigetur.Dñeexaudior̃onẽmeã.	ĩ scl̃m dirigetur . Dñe exaudi or̃onẽ meã .
clamorm̃sadteveniat	 clamor m̃s ad te veniat
.Neau͛tasfaciẽtuãame.	. Ne au͛tas faciẽ tuã a me .
ĩquacũqdietͥbulorinclina	ĩ quacũq die tͥbulor inclina
admeaurẽ	ad me aurẽ
tuã.Inquacũqdieinuocau͛ote	tuã . In quacũq die inuocau͛o te
.uelocit͛exaudime.Qͥadefecer̃tsic̃fum᷒	. uelocit͛ exaudi me . Qͥa defecer̃t sic̃ fum᷒
diesmei.⁊ossam̃asic̃creminũaruerũt.	dies mei . ⁊ ossa m̃a sic̃ creminũ aruerũt .
Percussussũutfenũ⁊aruitcor	Percussus sũ ut fenũ ⁊ aruit cor
meͫ.oblitussũcomederepanẽmeũ.A	meͫ .  oblitus sũ comedere panẽ meũ . A
uocegemit᷒mei	uoce gemit᷒ mei
adhesitosmeũcarnimeeSimilisfc̃s	adhesit os meũ car ni mee Similis fc̃s
sũpellicanosolitudĩs.fc̃ssũsic̃nicticorax	sũ pellicano solitudĩs . fc̃s sũ sic̃ nicticorax
ĩdomici..	ĩ domici. .
Uigilaui⁊fc̃ssũsic̃pass͛solitari᷒	Uigilaui ⁊ fc̃s sũ sic̃ pass͛ solitari᷒
ĩtec.Totadie	ĩ tec. Tota die
exꝓbrabantmͥ	exꝓbrabant mͥ
ĩimicim̃i.⁊quilaudabãtadu͛sũmeiurabant	ĩimici m̃i . ⁊ qui laudabãt adu͛sũ me iurabant
.Qͥacinerẽtãꝙͣpanẽ	. Qͥa cinerẽ tãꝙͣ panẽ
manducabã.⁊poculũ	manducabã . ⁊ poculũ
meũcũfletumiscebã.Afacie	meũ cũ fletu miscebã . A facie
ireindignationistue.	ire indignationis tue . 
eleuãsallisistime.Diesmei	eleuãs allisisti me . Dies mei
sic̃ũbradeclinauerunt.⁊eͦsicutfenũarui	sic̃ ũbra declinauerunt . ⁊ eͦ sicut fenũ arui
.Tuaũdñe	. Tu aũ dñe
ĩet͛nũꝑmanẽs⁊memorialetuũingeneratõe⁊	ĩ et͛nũ ꝑmanẽs ⁊ memoriale tuũ in generatõe ⁊
gñationẽ.Tuexurgẽsmise͛b̃issyon.	gñationẽ . Tu exurgẽs mise͛b̃is syon .
temp᷒miserendiei᷒ue	 temp᷒ miserendi ei᷒  ue
nittp̃sQ̃mplacuer̃ts͛uistuis	nit tp̃s Q̃m placuer̃t s͛uis tuis
.⁊lapideseius⁊t͛reeius	. ⁊ lapides eius ⁊ t͛re eius
miserebunt᷑.Ettimeb̃tg̃snom̃tuũdñe	miserebunt᷑ . Et timeb̃t g̃s nom̃ tuũ dñe
.⁊õsregest͛regl̃amtuã	. ⁊ õs reges t͛re gl̃am tuã
.Qͥaedificabitdñssyõ.⁊uidebr̃	. Qͥa edificabit dñs syõ . ⁊ uidebr̃
ĩgl̃as.	ĩ gl̃a s.
Respex̃inor̃onemhũilium.⁊ñ	Respex̃ in or̃onem hũilium . ⁊ ñ
spreuitprecemeoꝝ.Scribant᷑hecingeneratõealt͛a.	spreuit precem eoꝝ . Scribant᷑ hec in generatõe alt͛a .
⁊ppl̃sqͥcreabr̃laudabͭdoͫQͥaꝓspexitde	⁊ ppl̃s qͥ creabr̃ laudabͭ doͫ Qͥa ꝓspexit de
excelsosc̃osuo.dñsde	excelso sc̃o suo . dñs de
celoint͛ramaspexit.Utaudiretgemit᷒cõpeditoꝝ	celo in t͛ram aspexit . Ut audiret gemit᷒ cõpeditoꝝ
.ũsolu͛etfiliosint͛emptoꝝ.	. ũ solu͛et filios int͛emptoꝝ .
Utannuntiẽtĩsyõnom̃doͥ.⁊laudẽei᷒	Ut annuntiẽt ĩ syõ nom̃ doͥ . ⁊ laudẽ ei᷒
ĩierͫInꝯueniendoppl̃osinunũ.⁊reges	ĩ ierͫ In ꝯueniendo ppl̃os in unũ . ⁊ reges
ũs͛uiãtdño.Responditeiĩuiauͥtutis	ũ s͛uiãt dño . Respondit ei ĩ uia uͥtutis
sue.⁊pauꝑtatẽ	sue . ⁊ pauꝑtatẽ
dieꝝm̃oꝝnũciͣmͥNe	dieꝝ m̃oꝝ nũciͣ mͥ Ne
reuocesmeĩdimidiodieꝝm̃oꝝ	reuoces me ĩ dimidio dieꝝ m̃oꝝ
ĩgeneratõe	ĩ generatõe
⁊generatõemannitui.Initõtudñet͛rafundasti	⁊ generatõem anni tui . Initõ tu dñe t͛ra fundasti
.⁊oꝑamanuũtuaꝝ	. ⁊ oꝑa manuũ tuaꝝ
s̃celi.	s̃ celi .
Ip̃iꝑib̃ttuaũꝑmanẽs.	Ip̃i ꝑib̃t tu aũ ꝑmanẽs .
⁊õssicutuestim̃tũuet͛escent.Etsic̃	⁊ õs sicut uestim̃tũ uet͛escent . Et sic̃
oportoriͫmutab̃	oportoriͫ mutab̃
eos⁊mutabũt᷑.tuaũidẽip̃ees⁊	eos ⁊ mutabũt᷑ . tu aũ idẽ ip̃e es ⁊
annituiñdeficient.Filiis͛uoꝝtuoꝝh̃itabunt	anni tui ñ deficient . Filii s͛uoꝝ tuoꝝ h̃itabunt
.⁊sem̃eoꝝ	. ⁊ sem̃ eoꝝ
ĩscl̃mdiriget᷑	ĩ scl̃m diriget᷑
.Domine	. Domine
exaudioracionẽmeam:etclamormeusadte	exaudi oracionẽ meam : et clamor meus ad te
ueniatNon	ueniat Non
auertasfaciemtuãame:inquacũqdie	auer tas faciem tuã a me : in quacũq die
tribulorinclinaadme	tribulor inclina ad me
auremtuamIn	aurem tuam In
quacũqdieinuocauerote	quacũq die inuocauero te
:uelociterexaudime	: uelociter exaudi me
Quiadefecerũtsicutfum᷒dies	Quia defecerũt sicut fum᷒ dies
mei:etossameasicutcremiũarueruntPercussus	mei : et ossa mea sicut cremiũ aruerunt Percussus
sumutfenũetaruit	sum ut fenũ et aruit
cormeũ:quiaoblitussumcomedere	cor meũ : quia oblitus sum comedere
panẽmeũA	panẽ meũ A
uocegemitusmei:adhesitosmeũ	uoce gemitus mei : adhesit os meũ
carnimeeSimilisfactussumpellicanosolitudinis:factussum	carni mee Similis factus sum pellicano solitudinis : factus sum
sicutnocticoraxindomicilioUigilaui	sicut nocticorax in domicilio Uigilaui
:etfactussumsicutpasser	: et factus sum sicut passer
solitariusĩtectoTotadieexprobrabant	solitarius ĩ tecto Tota die exprobrabant
michiĩimicimei:etqui	michi ĩimici mei : et qui
laudabãtmeaduersum	laudabãt me aduersum
meiurabantQuiacinerem	me iurabant Quia cinerem
tamquãpanemmanducabã:etpoculummeumcumfletumiscebam	tamquã panem manducabã : et poculum meum cum fletu miscebam
Afacieireetindignationistue:	A facie ire et indignationis tue :
eleuansallisistime	 eleuans allisisti me
Diesmeisicut	Dies mei sicut
umbradeclinauerũt:etegosicutfenũ	umbra declinauerũt : et ego sicut fenũ
aruiTuautẽdñeineternũpermanes:	arui Tu autẽ dñe in eternũ permanes :
etmemorialetuũingeneracioneetgenerationeTuexurgens	et memoriale tuũ in generacione et generatione Tu exurgens
misereberissyon:quia	misereberis syon : quia
tempusmiserendieiusquiauenit.tempus	tempus miserendi eius quia uenit . tempus
Q̃mplacuerũtseruistuislapideseius:etterre	Q̃m placuerũt seruis tuis lapides eius : et terre
eiusmiserebũt᷑Ettimebũt	eius miserebũt᷑ Et timebũt
