Stephanus,δ̄i	Stephanus , δ̄i
egosic̃fenũaruiTuautẽdñein	ego sic̃ fenũ arui Tu autẽ dñe in
exurgensmisereberissyonquia	exurgens misereberis syon quia
tempusmiserendieiusquiauenittemp᷒Q̃mplacuer̃tseruistuis	tempus miserendi eius quia uenit temp᷒ Q̃m placuer̃t seruis tuis
ett͛reeiusmiserebunturEttimebuntgentes	et t͛re eius miserebuntur Et timebunt gentes
nom̃tuũdñeetõsregest͛regl̃am	nom̃ tuũ dñe et õs reges t͛re gl̃am
tuãQuiaedificabitdñssyon	tuã Quia edificabit dñs syon
etuidebiturĩgl̃a	et uidebitur ĩ gl̃a
suaRespex̃inoratõnẽhumiliũet	sua Respex̃ in oratõnẽ humiliũ et
ñspreuitcemeoꝝScribanturhecingeneratõne	ñ spreuit  cem eoꝝ Scribantur hec in generatõne
alt͛aetppl̃squicreabiturlaudabitdñmQuiaꝓspex̃	alt͛a et ppl̃s qui creabitur laudabit dñm Quia ꝓspex̃
deexcelsosc̃osuodñs	de excelso sc̃o suo dñs
decelointerrãaspex̃Vt	de celo in terrã aspex̃ Vt
audiretgemitus	audiret gemitus
cõpeditoꝝutsolueret	cõpeditoꝝ ut solueret
filiosinterẽptoꝝVtannuntientinsyonnom̃dñietlaudẽ	filios interẽptoꝝ Vt annuntient in syon nom̃ dñi et laudẽ
eiusinihrl̃mInꝯueniendoppl̃osin	eius in ihrl̃m In ꝯueniendo ppl̃os in
unũetregesutseruiantdñoResponditeiin	unũ et reges ut seruiant dño Respondit ei in
uiauirtutissuepaucitatẽdieꝝmeoꝝnuntia	uia uirtutis sue paucitatẽ dieꝝ meoꝝ nuntia
michiNereuocesme	michi Ne reuoces me
indimidiodieꝝmeoꝝ	in dimidio dieꝝ meoꝝ
ingeneratõnẽgeneratõnẽannituiInitõtu	in generatõnẽ  generatõnẽ anni tui Initõ tu
dñeterrãfundasti	dñe terrã fundasti
autẽꝑmanesetom̃ssic̃uestim̃tũ	autẽ ꝑmanes et om̃s sic̃ uestim̃tũ
ueterascentEtsic̃oꝑtoriũmutab̃	ueterascent Et sic̃ oꝑtoriũ mutab̃
eosmutabuntur	eos  mutabuntur
tuautẽidẽip̃e	tu autẽ idẽ ip̃e
esetannituiñ	es et anni tui ñ
seruoꝝtuoꝝ	seruoꝝ tuoꝝ
habitabũtetsem̃eoꝝinscl̃m	habitabũt et sem̃ eoꝝ in scl̃m
dirigeturCIIlausip̃id̃d	dirigetur CII laus ip̃i d̃d
sũtnõisc̃oeiusBenedicaĩamea	sũt nõi sc̃o eius Benedic aĩa mea
dñoetnoliobliuisci	dño et noli obliuisci
om̃sretributõneseius	om̃s retributõnes eius
Quiꝓpiciaturõib	Qui ꝓpiciatur õib
infirmitatesQuiredimitdeinterituuitãtuãqui	infirmitates Qui redimit de interitu uitã tuã qui
coronatteinmĩamiseratõnib	coronat te in mĩa  miseratõnib
utaquileiuuentustuaFaciensmĩasdñsetiudiciumõib	ut aquile iuuentus tua Faciens mĩas dñs et iudicium õib
iniuriãpacientib	 iniuriã pacientib 
Notasfecit	Notas fecit
uiassuasmoysifiliisisr̃luoluntatessuasMiserator	uias suas moysi filiis isr̃l uoluntates suas Miserator
misericorsdñs	 misericors dñs
ineternũcõminabit᷑	 in eternũ cõminabit᷑
Nonscd̃mpeccata	Non scd̃m peccata
nr̃afec̃	nr̃a fec̃
Q̃mscd̃maltitudinemceliaterracorroborauitmĩam	Q̃m scd̃m altitudinem celi a terra corroborauit mĩam
suamsuꝑtim̃tesseQuantumdistatortusaboccidentelonge	suam suꝑ tim̃tes se Quantum distat ortus ab occidente longe
tim̃tibseqm̃	tim̃tib  se qm̃
ip̃ecognouitfigm̃tũnr̃m	ip̃e cognouit figm̃tũ nr̃m
quoniampuluissumushomosic̃	quoniam puluis sumus homo sic̃
fenũdies	fenũ dies
ꝑtͣnsibitinillo	ꝑtͣnsibit in illo
ñsubsistetetcognoscet	 ñ subsistet et cognoscet
ampliuslocũsuũ	amplius locũ suũ
Miscd̃iaautẽdñi	Miscd̃ia autẽ dñi
abet͛nousqinet͛nũsuꝑtim̃tes	ab et͛no  usq  in et͛nũ suꝑ tim̃tes
eũEtiusticiailliusinfiliosfiliestiusto	eũ Et iusticia illius in filios fili est iusto 
rectiscordeleticiaLetaminiiusti	rectis corde leticia Letamini iusti
indomino	in domino 
Saluauitsibidext͛aeiusbrachiumsc̃meiusNotumfecit	Saluauit sibi dext͛a eius  brachium sc̃m eius Notum fecit
dominussalutaresuuminꝯspectugentiumreuelauit	dominus salutare suum in ꝯspectu gentium reuelauit
iusticiamsuamRecordatusestmĩesueu͛itatissue	iusticiam suam Recordatus est mĩe sue  u͛itatis sue
domuiisr̃lViderũtom̃st͛minit͛resalutared̃inr̃iiubilate	domui isr̃l Viderũt om̃s t͛mini t͛re salutare d̃i nr̃i iubilate
dñoõist͛ra	dño õis t͛ra
cantateexultate	cantate  exultate 
psallitePsallitedñoin	psallite Psallite dño in
cytharaĩcytharauocepsalmi	cythara ĩ cythara  uoce psalmi
ĩtubisductilib᷒uocetubecorneeIubilatein	ĩ tubis ductilib᷒  uoce tube cornee Iubilate in
ꝯspecturegisdñimoueaturmareplenitudoeiusorbis	ꝯspectu regis dñi moueatur mare  plenitudo eius orbis
t͛rarumquih̃itantin	t͛ra rum  qui h̃itant in
eoFluminaplaudẽt	eo Flumina plaudẽt
manusiml̃	manu siml̃
uenitiudicaret͛ramIudicabitorbemt͛raꝝiniusticia	uenit iudicare t͛ram Iudicabit orbem t͛raꝝ in iusticia
ppl̃osinequitate	 ppl̃os in equitate
moueaturt͛raDñsinsyonmagnusexcelsussr̃om̃s	moueatur t͛ra Dñs in syon magnus  excelsus sr̃ om̃s
ppl̃osCõfiteanturnominituomagnoqm̃t͛ribilesc̃m	ppl̃os Cõfiteantur nomini tuo magno qm̃ t͛ribile  sc̃m
esthonorregis	est  honor regis
iusticiaminiacobtufecistiExaltatedñm	 iusticiam in iacob tu fecisti Exaltate dñm
deumnr̃madoratescabellumpedumeiusqm̃sc̃mest	deum nr̃m  adorate scabellum pedum eius qm̃ sc̃m est
Moysesaaroninsacerdotibeius	Moyses  aaron in sacerdotib  eius 
samuelint͛eosquiinuocantnomeneiusInuocabant	samuel int͛ eos qui inuocant nomen eius Inuocabant
eosCustodiebanttestimoniaeiuset	eos Custodiebant testimonia eius et
ceptumq̃ddeditillisDomined̃s	 ceptum q̃d dedit illis Domine d̃s
nr̃tuexaudiebaseosd̃stuꝓpicius	nr̃ tu exaudiebas eos d̃s tu ꝓpicius
fuistieisulciscens	fuisti eis  ulciscens
inom̃sadinuentioneseoꝝExaltatedñm	in om̃s ad inuentiones eoꝝ Exaltate dñm
deumnr̃madorateInmontesc̃oeiusqm̃	deum nr̃m  adorate In monte sc̃o eius qm̃
sc̃sdominusdeusnr̃Iubilatedñoõist͛raseruite	sc̃s dominus deus nr̃ Iubilate dño õis t͛ra seruite
dñoinleticiaIntroiteinꝯspectueiusinexultatiõe	dño in leticia Introite in ꝯspectu eius in exultatiõe
Scitoteqm̃dñsip̃e	Scitote qm̃ dñs ip̃e
estd̃sip̃efecitnosñip̃inos	est d̃s ip̃e fecit nos  ñ ip̃i nos
Populuseiusouespascueeiusintroiteportas	Populus eius  oues pascue eius introite portas
eiusĩꝯfessioneatria	eius ĩ ꝯfessione atria
eiusinymnisꝯfiteminiilliLaudate	eius in ymnis ꝯfitemini illi Laudate
nomeneiusqm̃suauisestdñsĩet͛nummĩaeius	nomen eius qm̃ suauis est dñs ĩ et͛num mĩa eius
usqĩgen͛ationẽgen͛ationẽ	 usq  ĩ gen͛ationẽ  gen͛ationẽ
u͛itaseiusMiscd̃iam	u͛itas eius Miscd̃iam 
iudiciumcãtabotibidñepsallã	iudicium cãtabo tibi dñe psallã
intelligaminuiaimmaculataqͣndoueniesadmePerambulabam	 intelligam in uia immaculata qͣndo uenies ad me Perambulabam
ininnocẽciacordismeiinmedio	in innocẽcia cordis mei in medio
domusmeeNonꝓponebam	domus mee Non ꝓponebam
reminiustãfacientesuaricatiõesodiuiNonadhesit	rem iniustã facientes  uaricatiões odiui Non adhesit
mͥcorprauũdeclinantemame	mͥ cor prauũ declinantem a me
malignũñcognoscebamDetͣhentemsecreto	malignũ ñ cognoscebam Detͣhentem secreto
ꝓximosuohuncperseq̃barSuperboocl̃oĩsaturciabilicorde	ꝓximo suo hunc perseq̃bar Superbo ocl̃o  ĩsa turciabili corde
hĩtabitinmedio	hĩtabit in medio
sr̃biamquiloqͥturiniqͣnondirexitĩꝯspectuocl̃oꝝmeoꝝ	sr̃biam qui loqͥtur iniqͣ non direxit ĩ ꝯspectu ocl̃oꝝ meoꝝ
Inmatutinoĩt͛ficiebamom̃spcc̃orest͛re	In matutino ĩt͛ficiebam om̃s pcc̃ores t͛re
utdisperderemdeciuitatedñiom̃s	ut disperderem de ciuitate dñi om̃s
operantesiniquitatẽmatut.ͦ	operantes iniquitatẽ matut . ͦ
noc.Domineexaudior̃onemmeamclamor	noc . Domine exaudi or̃onem meam  clamor
meusadte	meus ad te
ueniatNonau͛tasfaciemtuamamein	ueniat Non au͛tas faciem tuam a me in
qͣcũqdietribulorinclinaadme	qͣcũq  die tribulor inclina ad me
auremtuamInqͣcũqdieinuocau͛oteuelocit͛	aurem tuam In qͣcũq  die inuocau͛o te uelocit͛
exaudimeQuiadefecer̃tsicutfumusdiesmeiossa	exaudi me Quia defecer̃t sicut fumus dies mei  ossa
measicutcremiumarueruntPercussussumutfenum	mea sicut cremium aruerunt Percussus sum ut fenum
aruitcormeumquia	 aruit cor meum quia
oblitussumcomed͛epanemmeum	oblitus sum comed͛e panem meum
Auocegemitus	A uoce gemitus
meiadhesitosmeumcarnimeeSimilisfc̃ssum	mei adhesit os meum carni mee Similis fc̃s sum
pellicanosolitudinisfc̃s	pellicano solitudinis fc̃s
sumsicutniͨticoraxindomicilioVigilauifc̃ssum	sum sicut niͨticorax in domicilio Vigilaui  fc̃s sum
sicutpassersollitariusin	sicut passer sollitarius in
meiquilaudabantmeadu͛summeiurabantQuia	mei  qui laudabant me adu͛sum me iurabant Quia
Afacieire	A facie ire
gen͛ationẽgen͛ationemTuexsurgensdominemisereberissyonqͥatempus	gen͛ationẽ  gen͛ationem Tu exsurgens domine misereberis syon qͥa tempus
miserendieiusqͥauenittempusQ̃mplacueruntseruistuislapides	miserendi eius qͥa uenit tempus Q̃m placuerunt seruis tuis lapides
miserebunturEttimebunt	miserebuntur Et timebunt
gentesnomen	gentes nomen
tuumdñeetom̃s	tuum dñe et om̃s
syonuidebitur	syon  uidebitur
ingl̃iasuaRespexitinor̃onemhumilium	in gl̃ia sua Respexit in or̃onem humilium
Scribanturhec	Scribantur hec
ingen͛ationealterappl̃squi	in gen͛atione altera  ppl̃s qui
dñsdeceloint͛ram	dñs de celo in t͛ram
aspexitVtaudiretgemituscõpeditoꝝutsolueret	aspexit Vt audiret gemitus cõpeditoꝝ ut solueret
filiosinteremptorumVtannuncientinsyonnomendñi	filios interemptorum Vt annuncient in syon nomen dñi
laudemei᷒in	 laudem ei᷒ in
ierl̃mInꝯueniendopopulosinunumreges	ierl̃m In ꝯueniendo populos in unum  reges
utseruiantdñoRespondit	ut seruiant dño Respondit
eiinuiauirtutissue	ei in uia uirtutis sue
paucitatemdierummeoꝝnunciamͥ	paucitatem dierum meoꝝ nuncia mͥ
operamanuumtuaꝝsuntceliIpsiperibunttu	opera manuum tuaꝝ sunt celi Ipsi peribunt tu
mutabunturtuautemidemip̃eesannitui	mutabuntur tu autem idem ip̃e es  anni tui
ñdeficientFiliiseruorumtuoꝝh̃itabunt	ñ deficient Filii seruorum tuoꝝ h̃itabunt 
sem̃eoꝝinscl̃mdirigeturBenedicanimameadomino	sem̃ eoꝝ in scl̃m dirigetur Benedic anima mea domino
omniaq̃intramesuntnominisc̃oeiusBenedic	 omnia q̃ intra me sunt nomini sc̃o eius Benedic
animameadñonoliobliuisciom̃sretributiones	anima mea dño  noli obliuisci om̃s retributiones
eiusQuiꝓpiciatur	eius Qui ꝓpiciatur
õibiniquitatibtuisqͥsanat	õib  iniquitatib  tuis qͥ sanat
om̃sinfirmitatestuasQuiredimitde	om̃s infirmitates tuas Qui redimit de
int͛ituuitamtuamqui	int͛itu uitam tuam qui
coronattein	coronat te in
dñsiudiciumomnibiniuriampatientibNotas	dñs  iudicium omnib  iniuriam patientib  Notas
fecituiassuasmoysifiliisisr̃l	fecit uias suas moysi filiis isr̃l
uolũtatessuasMiseratormisericorsdñslonganimis	uolũtates suas Miserator  misericors dñs longanimis
multummisericorsNonimperpetuumirasceturneq	 multum misericors Non im perpetuum irascetur neq 
inet͛numcõminabiturNonscd̃m	in et͛num cõminabitur Non scd̃m
pcc̃anr̃afecitnobis	pcc̃a nr̃a fecit nobis
nr̃asretribuitnobisQ̃mscd̃maltitudinemceli	nr̃as retribuit nobis Q̃mscd̃m altitudinem celi
at͛racorroborauitmĩamsuamsr̃	a t͛ra corroborauit mĩam suam sr̃
timentesseQͣntũdistatortusab	timentes se Qͣntũ distat ortus ab
occidentelõgefecita	occidente lõge fecit a
nobisiniquitatesnr̃asQuomodomisereturp̃rfilioꝝmisertus	nobis iniquitates nr̃as Quomodo miseretur p̃r filioꝝ misertus
estdñs	est dñs
tim̃tibseqm̃ip̃ecognouit	tim̃tib  se qm̃ ip̃e cognouit
qm̃puluissumushomosicutfenumdiesei᷒tanqͣm	qm̃ puluis sumus homo sicut fenum dies ei᷒ tanqͣm
flosagrisicefflorebitQ̃msp̃s	flos agri sic efflorebit Q̃m sp̃s
pertͣnsibitinilloñsubsistetñcognoscetamplius	pertͣnsibit in illo  ñ subsistet  ñ cognoscet amplius
locumsuumMiscd̃iaautemdñiabeternousq	locum suum Miscd̃ia autem dñi ab eterno  usq
inet͛numsr̃	 in et͛num sr̃
tim̃teseumEtiusticiailli᷒in	tim̃tes eum Et iusticia illi᷒ in
filiosfilioꝝhisquiseruanttestam̃tumeiusEt	filios filioꝝ his qui seruant testam̃tum eius Et
memoressuntmandatoꝝip̃iusadfaciendum	memores sunt mandatoꝝ ip̃ius ad faciendum
eaDominusinceloparauitsedem	ea Dominus in celo parauit sedem
suamregnum	suam  regnum
dñabitur	 dñabitur
angl̃iei᷒potentesuirtutefacientesu͛bumilliusadaudiendã	angl̃i ei᷒ potentes uirtute facientes u͛bum illius ad audiendã
uocemsermonumeiusBenedicitedño	uocem sermonum eius Benedicite dño
eiusministrieius	eius ministri eius
õiaoꝑaeiusinõiloco	õia oꝑa eius in õi loco
meadominodñedeusmeusmagnificatusesuehemẽterConfessionem	mea domino dñe deus meus magnificatus es uehemẽter Confessionem
decoreminduisti	 decorem induisti
amictusluminesicutuestim̃toExtendenscelum	amictus lumine sicut uestim̃to Extendens celum
mediodomusmee	medio domus mee
quifacitsuperbiamꝗloꝗturiniquanondirexitincõspectu	qui facit superbiam ꝗ loꝗtur iniqua non direxit in cõspectu
oculoꝝmeoꝝInmatutinoĩt͛ficiebamomnes	oculoꝝ meoꝝ In matutino ĩt͛ficiebam omnes
pcc̃oresterreutdisꝑderẽdeciuitatedñiom̃soperantesiniquitatẽ	pcc̃ores terre ut disꝑderẽ de ciuitate dñi om̃s operantes iniquitatẽ
DOmineexaudiorationemmeã	DOmine exaudi orationem meã
inclinaad	inclina ad
meaurẽtuãInqͣcunqdieinuocauero	me aurẽ tuã In qͣcunq  die inuocauero
teuelocit͛exaudimeQuiadefeceruntsicutfum᷒	te uelocit͛ exaudi me Quia defecerunt sicut fum᷒
ossamea	 ossa mea
sicutcremiũaruerunt	sicut cremiũ aruerunt
Percuss᷒sum	Percuss᷒ sum
comederepanẽmeũAuocegemitusmeiadhesit	comedere panẽ meũ A uoce gemitus mei adhesit
osmeũcarnimeeFimilis	os meũ carni mee Fimilis
sicfc̃ssumpellicano	sicfc̃s sum pellicano
solitudinisfc̃ssũsicutnicticorausĩdomicilioVigilaui	solitudinis fc̃s sũ sicut nicticoraus ĩ domicilio Vigilaui 
fc̃ussumsic̃passersollitariusintectoTota	fc̃us sum sic̃ passer sollitarius in tecto Tota
dieexprobantmͥ	die exprobant mͥ
inimicimeiquilaudabantmeadu͛sumiurabantQuiacinerẽ	inimici mei  qui laudabant me adu͛sum iurabant Quia cinerẽ
tanquampanemmanducabam	tanquam panem manducabam 
potũmeumcũfletumissebamA	potũ meum cũ fletu missebam A
egosicutfenũaruiTuautemdñe	ego sicut fenũ arui Tu autem dñe
ineternũꝑmanesmemorialetuumĩgenerationegenerationem	in eternũ ꝑmanes  memoriale tuum ĩ generatione  generationem
dñemisereberissyonqͥatẽpusmiserẽdiei᷒quiauenit	dñe misereberis syon qͥa tẽpus miserẽdi ei᷒ quia uenit
tempusQ̃nplacueruntseruus	tempus Q̃n placuerunt seruus
tuuslapides	tuus lapides
ei᷒t͛reei᷒miserebunt͛Ettimebuntgentesnomen	ei᷒  t͛re ei᷒ miserebunt͛ Et timebunt gentes nomen
tuumdñeom̃sreges	tuum dñe  om̃s reges
t͛regloriamtuamQuia	t͛re gloriam tuam Quia
uidebit᷑ingloriasuaRespexitĩorationemhumiliũ	 uidebit᷑ in gloria sua Respexit ĩ orationem humiliũ
ñspreuitcemeoꝝScribanturhecĩgeneratione	 ñ spreuit  cem eoꝝ Scribantur hec ĩ generatione
altera	altera 
ppl̃sqͥcreabit᷑laudabitdominum	ppl̃s qͥ creabit᷑ lauda bit dominum
audiretgemitusꝯpeditoꝝut	audiret gemitus ꝯpeditoꝝ ut
solueretfiliosinterentorũVtannũciantinsyonnomẽdñi	solueret filios interentorũ Vt annũciant in syon nomẽ dñi 
laudemei᷒ĩiherusalẽIncõuertando	laudem ei᷒ ĩ iherusalẽ In cõuertando
ppl̃osĩunũregesutseruiantdñoRespondit	ppl̃os ĩ unũ  reges ut seruiant dño Respondit
eiinuiauirtutissuepaucitatẽdierũmeoꝝnuntiamͥ	ei in uia uirtutis sue paucitatẽ dierũ meoꝝ nuntia mͥ
Nnereuocesmeĩdimidiodierũmeoꝝ	Nne reuoces me ĩ dimidio dierũ meoꝝ
ĩgenerationegenerationemanni	ĩ generatione  generationem anni
tuiInitiotudñet͛ramfundasti	tui Initio tu dñe t͛ram fundasti
oꝑamanuũ	 oꝑa manuũ
tuarumsũtceliIpsiꝑibunttuautem	tuarum sũt celi Ipsi ꝑibunt tu autem
tuautẽidemipseesetanni	tu autẽ idem ipse es et anni
semeneoꝝĩscl̃m	semen eoꝝ ĩ scl̃m
diriget᷑Benedicanimameadomino	diriget᷑ Benedic anima mea domino
eiusnemueritaseius	eius nem ueritas eius
d̃dMisericordiamiudiciũcantabotibidñePsallam	d̃d Misericordiam  iudiciũ cantabo tibi dñe Psallam
ĩtelligamĩuiaĩmaculataquãdouẽiesad	 ĩtelligam ĩ uia ĩmaculata  quãdo uẽies ad
m̃Perambulãtĩĩnocentiacordismei	m̃ Perambulãt ĩ ĩnocentia cordis mei
ĩmediodomm̃eNonꝓponebam	ĩ medio dom  m̃e Non ꝓponebam
facientesuaricãtesodiuiNon	facientes  uaricãtes odiui Non
adhesitmͥcorprauũdeclinãtemadmemalignum	adhesit mͥ cor prauũ declinãtem ad me malignum
nõcognoscebamDetrahentemsecretoꝓxĩosuohunc	nõ cognoscebam Detrahentem secreto ꝓxĩo suo hunc
persequebarSuꝑbooculoĩsaciabilicordecũ	persequebar Suꝑbo oculo  ĩsaciabili corde cũ
hocnõedebamOccl̃imeiadfidelest͛re	hoc nõ edebam Occl̃i mei ad fideles t͛re
mecumambulãsĩuiaĩmaculatahicmͥ	mecum ambulãs ĩ uia ĩmaculata hic mͥ
ministrabatNonh̃itabitĩ	minis trabat Non h̃itabit ĩ
loquituriniquanõdirexitĩ	loquitur iniqua nõ direxit ĩ
Inmatutino	In matutino
ĩt͛ficiebãom̃s	ĩt͛ficiebã om̃s
pcc̃orest͛reutdisperderẽtdeciuitatedñi	pcc̃ores t͛re ut disperderẽt de ciuitate dñi
operantesĩiquitatemd̃dDñeexaudior̃onemmeametclamor	operantes ĩiquitatem d̃d Dñe exaudi or̃onem meam et clamor
meusadteueniatNonauertas	meus ad te ueniat Non auertas
dietribulorĩclinaadmeaurẽtuamIn	die tribulor ĩclina ad me aurẽ tuam In
qͣcũq	qͣcũq 
dietrisicbĩuocaueroteuelociterexaudimeQuia	die tri sic bĩuocauero te uelociter exaudi me Quia
defecerũtsicutfumusdiesmeiet	defecerũt sicut fumus dies mei et
ossamea	ossa mea
sicutcremiũarueruntPercussussumutfenũetaruitcor	sicut cremiũ aruerunt Percussus sum ut fenũ et aruit cor
meumquiaoblitussũcomederepanemmeũA	meum quia oblitus sũ comedere panem meũ A
uocegemitsũmeiadhesitosmeũcarnimeeSĩlis	uoce gemit  sũmei adhesit os meũ carni mee Sĩlis
fc̃ussũpellicanosolitud̃isfc̃ussumsicutniticoraxĩ	fc̃us sũ pellicano solitud̃is fc̃us sum sicut niticorax ĩ
domicilioUigilauifc̃ussũsicutpasser	domicilio Uigilaui  fc̃us sũ sicut passer
solitariusĩtectoTotadie	solitarius ĩ tecto Tota die
ĩmicimeiquilaudabantme	ĩmici mei  qui laudabant me
panemmãducabãpoculũmeucũfletumissebãA	panem mãducabã  poculũ meu  cũ fletu missebã A
ĩdignacõnistueeleuãsallisistimeDiesmeisicut	ĩdignacõnis tue  eleuãs allisisti me Dies mei sicut
ũbradeclinauerũtegosicutfenũaruiTuaut̃dñe	ũbra declinauerũt  ego sicut fenũ arui Tu aut̃ dñe
ĩet͛nũꝑmanes	ĩ et͛nũ ꝑmanes
etmemoriale	et memoriale
tuũĩgeneratõneet	tuũ ĩ ge neratõne et
generatõnemTuexsurgensdñemiẜeberis	generatõnem Tu exsurgens dñe miẜeberis
syontp̃smiẜendi	syon  tp̃s miẜendi
eiuenittemp	ei  uenit temp 
Q̃mplacuerũtẜuistuis	Q̃m placuerũt ẜuis tuis
lapidesei	lapides ei 
ett͛reeiusmiẜebũturEttimebũtgentesnomẽtuũdñe	et t͛re eius miẜebũtur Et timebũt gentes nomẽ tuũ dñe
edificauitdominsyonetuidebit᷑ĩ	edificauit domin  syon et uidebit᷑ ĩ
gl̃iasuaRespexitĩor̃onemhũiliũetnon	gl̃ia sua Respexit ĩ or̃onem hũiliũ et non
suitces	s  uit  ces
eoꝝScribanturhͨĩgen͛ationealt͛aetppl̃squi	eoꝝ Scribantur hͨ ĩ gen͛atione alt͛a et ppl̃s qui
creabit᷑laudabitdñmQuiaꝓspeͨxit	creabit᷑ laudabit dñm Quia ꝓspeͨxit
deexcelsosc̃osuo	de excelso sc̃osuo
ĩt͛ramaspexitUtaudiretgemitꝯpeditorũutsolueret	ĩ t͛ram aspexit Ut audiret gemit  ꝯpeditorũ ut solueret
filiosĩt͛emtoꝝUtãnuncientĩ	filios ĩt͛emtoꝝ Ut ãnuncient ĩ
etlaudemsuaminihrl̃mInꝯuertendopopulosinunũ	et laudem suam in ihrl̃m In ꝯuertendo populos in unũ
regesutẜuiantdñoRespõditeiĩuia	 reges ut ẜuiant dño Respõdit ei ĩ uia
ĩdimidiodieꝝmeoꝝĩgen͛atõne	ĩ dimidio dieꝝ meoꝝ ĩ gen͛atõne
generatõnemani	 generatõnem ani
t͛ramfundasti	t͛ram fundasti
etopera	et opera
manuũtuaꝝsũtceliIp̃iperibũttu	manuũ tuaꝝ sũt celi Ip̃i peribũt tu
aut̃permanes	aut̃ permanes
uestimẽtũueterascẽtEtsicutopertoriũmutab̃eoset	uestimẽtũ ueterascẽt Et sicut opertoriũ mutab̃ eos et
mutabũturtuaut̃idemip̃eesetãnitui	mutabũtur tu aut̃ idem ip̃e es et ãni tui
nõdeficientFiliiẜuorumtuoꝝh̃itabũtet	nõ deficient Filii ẜuorum tuoꝝ h̃itabũt et
semeneoꝝĩscl̃ꝫdiriget᷑ps̃ps̃d̃dBenedic	semen eoꝝ ĩ scl̃ꝫ diriget᷑ ps̃ ps̃d̃d Benedic
aĩam̃adñoõiaq̃intramesũt	aĩa m̃a dño  õia q̃ intra me sũt
nõisc̃oei	nõi sc̃o ei 
obliuisciõsretributõneseiusQuiꝓpiciaturõib	obliuisci õs retributõnes eius Qui ꝓpiciatur õib
ĩquitatibtuisquisanat	 ĩquitatib  tuis qui sanat
õsĩfirmitatestuasQuiredemit	õs ĩfirmitates tuas Qui redemit
deĩt͛itu	de ĩt͛itu
uitãtuãquicoronatteĩmĩamiẜatõibus	uitã tuã qui coronat te ĩ mĩa  miẜatõibus
Quirepletĩbonisdesideriũ	Qui replet ĩ bonis desideriũ
tuũrenouabr̃utaquileiuuẽtustuaFaciẽsmĩasdñs	tuũ renouabr̃ ut aquile iuuẽtus tua Faciẽs mĩas dñs
iudiciũõibĩiuriampacientibNotasfecituias	 iudiciũ õib  ĩiuriam pacientib  Notas fecit uias
miẜicossicdñslonganimml̃tũmiẜicorsNonin	miẜicos sic dñs longanim  ml̃tũ miẜicors Non in
perpetuũirasceturnĩet͛nũꝯminabit᷑Nõscd̃mpcc̃a	perpetuũ irascetur n  ĩ et͛nũ ꝯminabit᷑ Nõ scd̃m pcc̃a
nr̃afecit	nr̃a fecit
nobisneqscd̃mĩiquitatesnr̃asretribuitnob̃Q̃m	nobis neq  scd̃m ĩiquitates nr̃as retribuit nob̃ Q̃m
scd̃maltitudĩeceliat̃racorroborauitmĩamsuã	scd̃m altitudĩe  celi a t̃ra corroborauit mĩam suã
seQuãtũdistatort᷒ab	se Quãtũ distat ort᷒ ab
occidẽtelongefecitanobisĩiquitatesnr̃asQuomͦmiẜeturpat̃	occidẽte longe fecit a nobis ĩiquitates nr̃as Quomͦ miẜetur pat̃
filioꝝmiẜt	filioꝝ miẜt
ẽdñstim̃tibseqm̃ip̃ecognouitfigmẽtum	 ẽ dñs tim̃tib  se qm̃ ip̃e cognouit figmẽtum
nr̃mRecordatusẽqm̃puluis	nr̃m Recordatus ẽ qm̃ puluis
sum᷒h̃osicutfenũ	sum᷒ h̃o sicut fenũ
dieseitanꝙͣflosagrisicflorebit	dies ei  tanꝙͣ flos agri sic florebit
cognoscetamplilocũsuũMĩaaut̃dñiab	cognoscet ampli  locũ suũ Mĩa aut̃ dñi ab
et̃nousqĩet̃nũsuꝑtimẽtes	et̃no  usq  ĩ et̃nũ suꝑ timẽtes
eũEtiusticiailliĩfiliosfilioꝝhiisqui	eũ Et iusticia illi  ĩ filios filioꝝ hiis qui
seruanttestamẽtueius	seruant testamẽtu  eius
faciẽdũeaDñsĩceloparauitsedẽsuã	faciẽdũ ea Dñs ĩ celo parauit sedẽ suã 
regnũip̃iõibdñabr̃	regnũ ip̃i  õib  dñabr̃
B̃ndicitedñoangl̃ieipotẽtesuͥtutefaciẽtes	B̃ndicite dño angl̃i ei  potẽtes uͥtute faciẽtes
uerbuilliad	uerbu  illi  ad
audiẽdãuoceẜmonũeiB̃ndicitedñoõsuͥtutes	audiẽdã uoce  ẜmonũ ei  B̃ndicite dño õs uͥtutes
eiministrieiqui	ei  ministri ei  qui
facitisuolũtatemei	facitis uolũtatem ei 
ĩõilocodñatõnesei	 ĩ õi loco dñatõnes ei 
bñdicaĩamea	bñdic aĩa mea
dñops̃d̃dB̃ndicaĩam̃adominodñede	dño ps̃d̃d B̃ndic aĩa m̃a domino dñe de 
m̃smagnificatesuehemẽterConfessionẽuiaĩmacl̃ata	m̃s magnificat  es uehemẽter Confessionẽ uia ĩmacl̃ata
hicmͥmĩstrabatNonh̃itabitĩmediodomus	hic mͥ mĩstrabat Non h̃itabit ĩ medio domus
ĩterficiebamom̃spcc̃orest͛reutdisꝑderẽdeciuitatedñiõs	ĩterficiebam om̃s pcc̃ores t͛re ut disꝑderẽ de ciuitate dñi õs
