tandus.si	tandus . si
xp̃o.cui᷒regnum⁊	xp̃o . cui᷒ regnum ⁊
ĩꝑiumꝑmanetinseculascl̃orum.amensermo	ĩꝑium ꝑmanet in secula scl̃orum . amen sermo
ĩquadͣgesimaQuixp̃isunt	ĩ quadͣgesima Qui xp̃i sunt
:carnẽsuãcrucifixert̃cumuitiis⁊Ꝯcupiscentiis.	: carnẽ suã crucifixert̃ cum uitiis ⁊ Ꝯcupiscentiis .
siml̃tiplicesuitep̃sentismiserias.qͥb;miser	si ml̃tiplices uite p̃sentis miserias . qͥb; miser
homoculpisexigentib;	homo culpis exigentib;
ĩcessant̃affligit᷑.diligenti᷒attendam᷒.incolat᷒nr̃iprolongationẽ	ĩcessant̃ affligit᷑ . diligenti᷒ attendam᷒ . incolat᷒ nr̃i prolongationẽ
.cumpsalmistañĩm̃itodeflerepossumus.licet	. cum psalmista ñ ĩm̃ito deflere possumus . licet
enimteste	enim teste
ꝓph̃abreuessic̃dieshõis.ĩhoctñ	ꝓph̃a breues sic̃ dies hõis . ĩ hoc tñ
eoꝝlongitudoñinꝮuenient̃atteudit᷑.eoqd̃	eoꝝ longitudo ñ inꝮuenient̃ atteudit᷑ . eo qd̃
multͥisrepleant᷑miseriis.siqͥdemculpamsecumtrahit.uni᷒	multͥis repleant᷑ miseriis . siqͥdem culpam secum trahit . uni᷒
cui᷒q;Ꝯceptio.	cui᷒q; Ꝯceptio .
penã:natiuitas.uita:labores⁊erũpnas	penã : natiuitas . uita : labores ⁊ erũpnas
finisuͦ:	finis uͦ :
dolores⁊miserias.Estenĩ	dolores ⁊ miserias . Est enĩ
sic̃luceclariusꝮstat.culpabil̃humane	sic̃ luce clarius Ꝯstat . culpabil̃ humane
Ꝯditionisingressus.penalishumaneꝮũsationisprogressus.miserabilisuͦ	Ꝯditionis ingressus . penalis humane Ꝯũsationis progressus . miserabilis uͦ
humaneresolutionisegressus.hancmortal̃uitemiseriã	humane resolutionis egressus . hanc mortal̃ uite miseriã
.beatusiob	. beatus iob
int̃iorim̃tisocl̃osubtiliusintuens:plangitdicens.Quare	int̃iori m̃tis ocl̃o subtilius intuens : plangit dicens . Quare
ñĩuuluamortuussum.egressus	ñ ĩ uulua mortuus sum . egressus
exuteroñstatĩꝑii	ex utero ñ statĩ ꝑii
:curexceptusgenibus:curlactatusub̃ib;:pereat	: cur exceptus genibus : cur lactatus ub̃ib; : pereat
diesĩqͣnat᷒sum.⁊noxinqua	dies ĩ qͣ nat᷒ sum . ⁊ nox in qua
dictumẽ.conceptusesthomo.	dictum ẽ . conceptus est homo .
hinc⁊salomonait.	hinc ⁊ salomon ait .
cunctidieshominislaborib;⁊erumpnispleni	cuncti dies hominis laborib; ⁊ erumpnis pleni
st̃.necꝑnoctemmenterequiescit.Et	st̃ . nec ꝑ noctem mente requiescit . Et
ineccl̃iasticoscͥptumest.Occupatiomagnacreataestom̃ib;	in eccl̃iastico scͥptum est . Occupatio magna creata est om̃ib;
hominib;.⁊	hominib; . ⁊
iugumgrauesuꝑfiliosadam.adieexitus	iugum graue suꝑ filios adam . a die exitus
deuentrematris	de uentre matris
eoꝝ.usq;	eoꝝ . usq;
indiemsepultureinmatrẽom̃iumIntͥb;aũstatus	in diem sepulture in matrẽ om̃ium In tͥb; aũ status
humanimiseriap̃cipueuidet᷑	humani miseria p̃cipue uidet᷑
Ꝯsistere.uidelicet.ignorantia	Ꝯsistere . uidelicet . ignorantia
.Ꝯcupiscentia	. Ꝯcupiscentia
.⁊inpotentia.Ignorantiaĩquã	. ⁊ inpotentia . Ignorantia ĩquã
boni.Ꝯcupiscentiamali.⁊	boni . Ꝯcupiscentia mali . ⁊
ĩpotentiapecc̃o	ĩpotentia pecc̃o
resistendi.sunt	resistendi . sunt
pleriq;quiscl̃arib;affectidesideriis.ñsolũbona	pleriq; qui scl̃arib; affecti desideriis . ñ solũ bona
q̃intelligt̃.ineffectuꝓse	q̃ intelligt̃ . in effectu ꝓ se
quidedignant᷑.uerumetiamsupinaquadam⁊uelutaffectata	qui dedignant᷑ . uerum etiam supina quadam ⁊ uelut affectata
m̃tisignorantia	m̃tis ignorantia
.penitusexcecati:noluntintelligereutbñoperent᷑.	. penitus excecati : nolunt intelligere ut bñ operent᷑ .
Dequib;inps̃oscͥptumẽ.nesciert̃neq;	De quib; in ps̃o scͥptum ẽ . ne sciert̃ neq;
intellexert̃.intenebrisambulant.Etalibi.	intellexert̃ . in tenebris ambulant . Et alibi .
Obscurent᷑ocl̃ieoꝝneuideant.⁊	Obscurent᷑ ocl̃i eoꝝ ne uideant . ⁊
dorsumeoꝝsemꝑĩcurua.Iustũ	dorsum eoꝝ semꝑ ĩ curua . Iustũ
quippeẽutquoꝝm̃tes.	quippe ẽ ut quoꝝ m̃tes .
queꝑoculosrectesig̃catesunt:	que ꝑ oculos recte sig̃cate sunt :
ignorantietenebrisobscurant᷑.	ignorantie tenebris obscurant᷑ .
eoꝝdorsumadportanda	eoꝝ dorsum adportanda
pecc̃oꝝonera:ꝑconsensuminiquitatis	pecc̃oꝝ onera : ꝑ consensum iniquitatis
incuruet᷑.porroꝮcupiscẽtiamali.status	incuruet᷑ . porro Ꝯcupiscẽtia mali . status
humanimiseriammiserabilit̃	humani miseriam miserabilit̃
accumulat.patetenĩ.	accumulat . patet enĩ .
quiapronist̃	quia proni st̃
admalũsensushominis.ꝓcliuis	ad malũ sensus hominis . ꝓcliuis
estinuitiũ	est in uitiũ
corruptam̃tisaffectio.q̃extirpatauitemundicia.miserã	corrupta m̃tis affectio . q̃ extirpata uite mundicia . miserã
aĩamcarnalib;illecebrisillaquͤandocoĩqͥnat	aĩam carnalib; illecebris illa quͤando coĩqͥnat
.⁊qͣmceloredd̃edebueratꝑinnocẽtiã⁊uite	. ⁊ qͣm celo redd̃e debuerat ꝑ innocẽtiã ⁊ uite
puritatẽ.incestant̃gehẽnep̃parat	puritatẽ . incestant̃ gehẽne p̃parat
:ꝑmultimodãuitioꝝcorruptionẽ.	: ꝑ multimodã uitioꝝ corruptionẽ .
Inpotentiauͦresistendipecc̃oadplenam	In potentia uͦ resistendi pecc̃o ad plenam
miserieꝮsũmationẽ:peccatisex	miserie Ꝯsũmationẽ : peccatis ex
igentib;inflictaesthomini.robore	igentib; inflicta est homini . robore
spirital̃gr̃e	spirital̃ gr̃e
destituto.Quidenim	destituto . Quid enim
miserabiliusquamsicuulñari.utultͣñsitsanitas	miserabilius quam sic uulñari . ut ultͣ ñ sit sanitas
.sicincidereinlaqueum.utlib̃atõniloc᷒iam	. sic incidere in laqueum . ut lib̃atõni loc᷒ iam
ñpateat.	ñ pateat .
sicp̃cipiciumincurrere:utadicereñpossit	sic p̃cipicium incurrere : ut adicere ñ possit
ꝑsemiserhomodeinceps	ꝑ se miser homo deinceps
.utresurgat	. ut resurgat
:Ethocqͥdem	: Et hoc qͥdem
manifestumẽiustod̃iiudiciofieri	manifestum ẽ iusto d̃i iudicio fieri
.utquemadmodũtestat᷑apl̃c.qͥfacit	. ut quem ad modũ testat᷑ apl̃c . qͥ facit
pecc̃m:seruussit	pecc̃m : seruus sit
pecc̃i.neca	pecc̃i . nec a
peccatosecontinerepropriauirtuteualeatetiãcumuoluerit	peccato se continere propria uirtute ualeat etiã cum uoluerit
:quiuiciiscarnalib;inherendo	: qui uiciis carnalib; in herendo
:donumꝮtinentiegratisoblatũ:ul̃ut	: donum Ꝯtinentie gratis oblatũ : ul̃ ut
ingratusabiecit	ingratus abiecit
.uerũqd̃humanefragilitatisoptiñeñualetĩ	. uerũ qd̃ humane fragilitatis optiñe ñ ualet ĩ
potentia.salubrit̃ꝓuid̃ecurauit.	potentia . salubrit̃ ꝓuid̃e curauit .
sñquauirtusomnisinfirmaẽ:adiutͥxgr̃a.	sñ qua uirtus omnis infirma ẽ : adiutͥx gr̃a .
tripliciigit᷑miserie	triplici igit᷑ miserie
.triplex	. triplex
miscd̃ieremedium.mediatͥxista	miscd̃ie remedium . mediatͥx ista
celestisopposuit.uidelicet.ignorantieboni.intellectũũitatis	celestis opposuit . uidelicet . ignorantie boni . intellectũ ũitatis
.concupiscentiemali:amoremuirtutis.ĩ	. concupiscentie mali : amorem uirtutis . ĩ
potentieuͦpecc̃o	potentie uͦ pecc̃o
resistendi:uirtutẽdiuineprotectionis.	resistendi : uirtutẽ diuine protectionis .
necc̃menimfuitutlumenũitatis:ignorantietenebras	necc̃m enim fuit ut lumen ũitatis : ignorantie tenebras
effugaret.affectusuirtutis	effugaret . affectus uirtutis
:impetuscarnalisꝮcupiscentierepͥmeret.ĩpotentiãuͦresistendi	: impetus carnalis Ꝯcupiscentie repͥmeret . ĩ potentiã uͦ resistendi
pecc̃o:potentia	pecc̃o : potentia
diuineꝓtectionisroboraret.hocestquodasp̃u	diuine ꝓtectionis roboraret . hoc est quod a sp̃u
sc̃oqui.cordafideliũsuadocetillustratione:	sc̃o qui . corda fideliũ sua docet illustratione :
⁊ĩomnẽueritateminducit	⁊ ĩ omnẽ ueritatem inducit
:inorationepetimus.dicentes.accendelum̃sensib;	: in oratione petimus . dicentes . accende lum̃ sensib;
ĩfundeamoremcordib;.ĩfirmanr̃i	ĩ funde amorem cordib; . ĩfirma nr̃i
corporis:uirtutefirmansperpetĩ.recogita	corporis : uirtute firmans perpetĩ . recogita
gͥmiser	gͥ miser
homoĩamaritudinecordis:	homo ĩ amaritudine cordis :
ĩcolatustuimiseriam.⁊qꝛmiserenditemp᷒aduenit:	ĩcolatus tui miseriam . ⁊ qꝛ miserendi temp᷒ aduenit :
diuinãdeuotusinploramĩam.carnẽtuamcrebramaceratione	diuinã deuotus inplora mĩam . carnẽ tuam crebra maceratione
castigans:sp̃uisubice.⁊necõcupiscentie	castigans : sp̃ui subice . ⁊ ne cõcupiscentie
eiusintedñent᷑.p̃	eius in te dñent᷑ . p̃
timoredistrictiiudicii	timore districti iudicii
.clauiseã	. clauis eã
penitentieꝮfige.	penitentie Ꝯfige .
Ip̃aestenimq̃adũsussp̃m	Ip̃a est enim q̃ adũsus sp̃m
cõcupiscit.	cõcupiscit .
ip̃arationinonobtemꝑans.	ip̃a rationi non obtemꝑans .
s;sensualitaticonsentiens	s; sensualitati consentiens
.ĩcescant̃illicitasuggerit.	. ĩcescant̃ illicita suggerit .
castigainqͣmcarnẽtuã.⁊concupiscentiaseius	castiga inqͣm carnẽ tuã . ⁊ concupiscentias eius
intemortifica.Qͥenimxp̃ist̃:	in te mortifica . Qͥ enim xp̃i st̃ :
carnemsuãcrucifixeruntcumuitiis	carnem suã crucifixerunt cum uitiis
⁊Ꝯcupiscentiis.triplicẽsicutlegiturineuͣngl̃io	⁊ Ꝯcupiscentiis . triplicẽ sicut legitur in euͣngl̃io
:crucemlegim᷒.uidelicet.crucemxp̃i	: crucem legim᷒ . uidelicet . crucem xp̃i
.crucẽlatronispenitentis	. crucẽ latronis penitentis
.&crucem	. & crucem
latronisinsultantis.certecruxxp̃i.cruxĩnocentis	latronis insultantis . certe crux xp̃i . crux ĩnocentis
est.cruxlatronispenitentis	est . crux latronis penitentis
.uoluntariaẽafflictiopecc̃oris.ĩmanitatẽ	. uoluntaria ẽ afflictio pecc̃oris . ĩ manitatẽ
scelerumuehem̃tisp̃ccontͥtionedeflentis.cruxlatronis	scelerum uehem̃ti sp̃c contͥtione deflentis . crux latronis
ĩsultantis:penaꝑhennisest	ĩsultantis : pena ꝑhennis est
scelerati.inpeccandidesideriofinalit̃ꝑseũantis.suntñ	scelerati . in peccandi desiderio finalit̃ ꝑseũantis . sunt ñ
nulliqͥuitiapenitusdetestãtes.sũmamsectandisuirtutib;	nulli qͥ uitia penitus detestãtes . sũmam sectandis uirtutib;
ĩpenduntoꝑam.uisibiliadespiciunt.inuisibilib;	ĩpendunt oꝑam . uisibilia despiciunt . inuisibilib;
totamentisdeuotione	tota mentis deuotione
iugiterintendunt.nullamordacis	iugiter intendunt . nulla mordacis
cõscientiememoriacompungũt᷑.⁊tñtantaafflictionepenitentiese	cõscientie memoria compungũt᷑ . ⁊ tñ tanta afflictione penitentie se
atterunt.acsipeccĩs	atterunt . ac si peccĩs
angustent᷑.Etutexpressiusloquarꝙsencio.	angustent᷑ . Et ut ex pressius loquar ꝙ sencio .
freq̃ntiusaccidit.⁊familiarib;int̃nos	freq̃ntius accidit . ⁊ familiarib; int̃ nos
exemplissepi᷒exꝑimur.uthiiquiꝑfectiorisinnocentie	exemplis sepi᷒ exꝑimur . ut hii qui ꝑfectioris in nocentie
p̃rogatuua.inexorabilescorpoꝝsuorumꝑsecutoreseffecti:sub	p̃rogatuua . in exorabiles corpoꝝ suorum ꝑsecutores effecti : sub
arcioriseuiteregl̃aris	arciori se uite regl̃aris
aust̃itatecoartent.uidereseosiugiliis.ieiuniis.	aust̃itate coartent . uideres eos iugiliis . ieiuniis .
⁊or̃onib;.tãtasp̃calacͥtateꝑseũant̃insist̃e.ut	⁊ or̃onib; . tãta sp̃c alacͥtate ꝑseũant̃ insist̃e . ut
terminospossibilitatẽq;naturetranscendereuideant᷑.illatis	terminos possibilitatẽq; nature transcendere uideant᷑ . illatis
delectariꝮtumeliis.temꝑalib;	delectari Ꝯtumeliis . temꝑalib;
angustiisdilatari.non	angustiis dilatari . non
enĩignorantqꝛartaestuiaque	enĩ ignorant qꝛ arta est uia que
ducitaduitam	ducit ad uitam
.⁊quiꝑfc̃ouestigiocrucifixũ	. ⁊ qui ꝑfc̃o uestigio crucifixũ
uolũintimitari:necesseesteosspretamundi	uolũint imitari : necesse est eos spreta mundi
huiusgl̃a.	huius gl̃a .
cumuitiis⁊concupiscentiiscrucifigi.tales	cum uitiis ⁊ concupiscentiis crucifigi . tales
reueracrucemxp̃i.crucẽĩnocentiebaiulant.qui	reuera crucem xp̃i . crucẽ ĩnocentie baiulant . qui
⁊om̃imoda	⁊ om̃i moda
Ꝯscientiepuritateinteri᷒	Ꝯscientie puritate interi᷒
delectant᷑.⁊	delectant᷑ . ⁊
tñadaugm̃tump̃mii.ext̃ius:armispenitẽtie	tñ ad augm̃tum p̃mii . ext̃ius : armis penitẽtie
totoferuoresp̃caccingunt᷑.huic	toto feruore sp̃c accingunt᷑ . huic
cruciquamĩnocentiseẽdiximus.ioh̃esprecursordñicus	cruci quam ĩnocentis eẽ diximus . ioh̃es precursor dñicus
inseparabilit̃affixusfũat.quilicetp̃p	in separabilit̃ affixus fũat . qui licet p̃p
eminentiãsc̃itatis.angl̃icoꝓmissuseẽtoracl̃o.	eminentiã sc̃itatis . angl̃ico ꝓmissus eẽt oracl̃o .
conceptusmiracl̃o.	conceptus miracl̃o .
sc̃ificatusĩutero:tñ	sc̃ificatus ĩ utero : tñ
utpecc̃orib;formãpenitentiep̃scriberet	ut pecc̃orib; formã penitentie p̃scriberet
.corp᷒ĩnocentissimũ	. corp᷒ ĩnocentissimũ
uirtutesingularisabstinentie.sicattenuauit.quasiscelerummultoꝝ	uirtute singularis abstinentie . sic attenuauit . quasi scelerum multoꝝ
conscius.reummortiset̃neseiudicaret.quip̃	conscius . reum mortis et̃ne se iudicaret . qui p̃
cet̃issc̃isuiteꝑhennisp̃miodignusexstitit	cet̃is sc̃is uite ꝑhennis p̃mio dignus exstitit
.sic⁊sc̃imartirescorporasuap̃pdm̃uariis	. sic ⁊ sc̃i martires corpora sua p̃p dm̃ uariis
suppliciisexponentes.adexemplũredemptorissui	suppliciis exponentes . ad exemplũ redemptoris sui
.queñrapuerant	. que ñ rapuerant
exsoluerunt.⁊ꝑinnocentiamꝑuenientesadpalmam	ex soluerunt . ⁊ ꝑ innocentiam ꝑuenientes ad palmam
martyrii.accepert̃coronamuite.quãreꝓmisitdeusdiligentib;	martyrii . accepert̃ coronam uite . quã reꝓmisit deus diligentib;
se.constatautemcruxistaexduob;	se . constat autem crux ista ex duob;
lignis.aptesibiĩuicemcompositis	lignis . apte sibi ĩuicem compositis
.q̃sunthumilitas.⁊patientia.	. q̃ sunt humilitas . ⁊ patientia .
necc̃eestenĩ.utquidonocelestisgratieĩnocentem	necc̃e est enĩ . ut qui dono celestis gratie ĩnocentem
seauiciisintelligit	se auiciis intelligit
.⁊tamenadaugm̃tum	. ⁊ tamen ad augm̃tum
p̃mii.corp᷒	p̃mii . corp᷒
suũpenitentielegib;astringit:humilitatẽ	suũ penitentie legib; astringit : humilitatẽ
seruetincorde⁊patientiamteneatinoꝑe.	seruet in corde ⁊ patientiam teneat in oꝑe .
neforteperlaudembonoꝝoꝑumqueforislucẽt.	ne forte perlaudem bonoꝝ oꝑum que foris lucẽt .
adĩanemrapiat᷑gl̃am	ad ĩanem rapiat᷑ gl̃am
.ul̃siinafflictione.penitentiepatientiamñ	. ul̃ si in afflictione . penitentie patientiam ñ
seruaũit:fructum	seruaũit : fructum
penitentienõconsequens.sentiatꝓ	penitentie nõ consequens . sentiat ꝓ
remuñatiõeuindictam.porrocrucẽpenitẽtisbaiulant.qui	remuñatiõe uindictam . porro crucẽ penitẽtis baiulant . qui
pecc̃ap̃teritalacͥmisredim̃tes.annossuosĩ	pecc̃a p̃terita lacͥmis redim̃tes . annos suos ĩ
amaritudineaĩesuepecogiant.	amaritudine aĩe sue pecogiant .
&membraqueinstinctudiabolicesuggestionisexhibuerantseruireĩmũdicie⁊	& membra que instinctu diabolice suggestionis exhibuerant seruire ĩmũdicie ⁊
iniqͥtati.ad	iniqͥtati . ad
ĩiqͥtatem.nc̃oꝑantegr̃adiuineinspirationis:exhibentseruire	ĩiqͥtatem . nc̃ oꝑante gr̃a diuine inspirationis : exhibent seruire
iusticieinsc̃ificationẽ.horumpenitentieñsolumhomines.	iusticie in sc̃ificationẽ . horum penitentie ñ solum homines .
s;⁊angl̃i	s; ⁊ angl̃i
Ꝯgratulant᷑.gaudentenĩangl̃idepenitentia	Ꝯgratulant᷑ . gaudent enĩ angl̃i de penitentia
⁊Ꝯũsionepecc̃oꝝ.sicut.scͥptum	⁊ Ꝯũsione pecc̃oꝝ . sicut . scͥptum
ẽ.gaudiũẽ	ẽ . gaudiũ ẽ
angl̃isd̃isuꝑunopecc̃orepenitentiãagente.ūn⁊	angl̃is d̃i suꝑ uno pecc̃ore penitentiã agente . ūn ⁊
signisext̃iorib;penitẽtie.	signis ext̃iorib; penitẽtie .
plurimũdelectant᷑.utpoteusucilicii.ꝓfundis	plurimũ delectant᷑ . ut pote usu cilicii . ꝓfundis
suspiriis.deuotisor̃onib᷒.crebra	suspiriis . deuotis or̃onib᷒ . crebra
genuũflexione.⁊cet̃isbonorũoꝑmex̄ciciis	genuũ flexione . ⁊ cet̃is bonorũ oꝑm ex̄ciciis
.quib;peccat̃xaĩa:creatori	. quib; peccat̃x aĩa : creatori
suoaquoꝑĩiqͥtatemrecesseratꝮiũgitur.⁊	suo a quo ꝑ ĩiqͥtatem recesserat Ꝯiũgitur . ⁊
ip̃iuslargiente	ip̃ius largiente
clem̃tia.qͥom̃shõiesuult	clem̃tia . qͥ om̃s hõies uult
saluosfieri:suꝑnoꝝciuiũcetib;sociat᷑.Queaũ	saluos fieri : suꝑnoꝝ ciui ũcetib; sociat᷑ . Que aũ
maiorgaudioꝝpotesteẽmat̃ia.quãcum	maior gaudioꝝ potest eẽ mat̃ia . quã cum
redemptorbenignisam᷒pecc̃oremletiferouitioꝝsoporedep̃ssum.	redemptor benignisam᷒ pecc̃orem letifero uitioꝝ sopore dep̃ssum .
manupat̃nesollicitudinis	manu pat̃ne sollicitudinis
excitandoꝮcutit.utadũtatpecc̃orũsuoꝝuulña.ut	excitando Ꝯcutit . ut adũtat pecc̃orũ suoꝝ uulña . ut
doloremuulnerũsuoꝝsentiat	dolorem uulnerũ suoꝝ sentiat
.quẽprius	. quẽ prius
preduritiacordisñattendebat.t̃rẽdodeniq;deducitad	pre duritia cordis ñ attendebat . t̃rẽdo deniq; deducit ad
portasinferi.p̃oculisstatuenssupplicia.impiis	portas inferi . p̃oculis statuens supplicia . impiis
⁊pecc̃orib;p̃pacata	⁊ pecc̃orib; p̃pacata
.s;net̃roriste.reum	. s; ne t̃ror iste . reum
baratrodesꝑationisabsorbeat:pius	baratro desꝑationis absorbeat : pius
Ꝯsolatormedelãuulñib;adibens.	Ꝯsolator medelã uulñib; adibens .
speremissionis⁊indulgentie.	spe remissionis ⁊ indulgentie .
corpenitentisexhilarandoꝮfortat᷑	cor penitentis exhilarando Ꝯfortat᷑
:Etnotandũqd̃crux	: Et notandũ qd̃ crux
penitentisintͥb;precipueꝮsistit.	penitentis in tͥb; precipue Ꝯsistit .
uidelicet.	uidelicet .
ĩcarniscastigatione.ĩcordis	ĩ carnis castigatione . ĩ cordis
cõpunctione.⁊ĩiuriaꝝremissione.carnis	cõpunctione . ⁊ ĩiuriaꝝ remissione . carnis
castigatioadmod̃penitentinecessariaẽ	castigatio ad mod̃ penitenti necessaria ẽ
.oportetenimutũepenitenstantoalicitis	. oportet enim ut ũe penitens tanto alicitis
studeatabstinere.qͣntoseillicitameminitꝮmisisse.	studeat abstinere . qͣnto se illicita meminit Ꝯmisisse .
necpardebeteẽfructuspenitentie	nec par debet eẽ fructus penitentie
illius.	illius .
quiabannispueritieseruauit	qui ab annis pueritie seruauit
ĩnocentiam.⁊illiusqͥsolutopudiciciefreno:	ĩnocentiam . ⁊ illius qͥ soluto pudicicie freno :
ꝑmultauitioꝝinqͥnam̃ta	ꝑ multa uitioꝝ inqͥnam̃ta
maculauituitã.grataaũeritd̃ocorꝑis	maculauit uitã . grata aũ erit d̃o corꝑis
castigatio.	castigatio .
siocculta.sidiscreta.sideniq;p̃latiiudicio	si occulta . si discreta . si deniq; p̃lati iudicio
fũitapprobata.	fũit approbata .
Occulta:ut	Occulta : ut
nesciatsinistra.p̃pd̃m	nesciat sinistra . p̃p d̃m
secorꝑal̃raffligentis.qͥdfaciatdext̃a	se corꝑal̃r affligentis . qͥd faciat dext̃a
ei᷒.utbonũopusei᷒sitĩabscondito	ei᷒ . ut bonũ opus ei᷒ sit ĩabscondito
.⁊pat̃celestisquiuidet	. ⁊ pat̃ celestis qui uidet
ĩabsconditoreddet	ĩabscondito reddet
ei.sitetiã	ei . sit etiã
discretacarniscastigatio.	discreta carnis castigatio .
utpenitens	ut penitens
sicuoluptatẽcarnisrepͥmat.	sic uoluptatẽ carnis repͥmat .
uttam̃necessitatẽ	ut tam̃ necessitatẽ
corporeefragilitatisattendat.nesiforteualide	corporee fragilitatis attendat . ne si forte ualide
nimishostissubicit᷑:ciuisnecessari᷒occidat᷑.	nimis hostis subicit᷑ : ciuis necessari᷒ occidat᷑ .
fortitudocorporisdominocustodiendaẽ.	fortitudo corporis domino custodienda ẽ .
iuxtapsalmistãqͥdicit.fortitudinẽmeãadtecustodiã	iuxta psalmistã qͥ dicit . fortitudinẽ meã ad te custodiã
.ut⁊abstinentiaillicitũcarnisrefrenetappetitũ	. ut ⁊ abstinentia illici tũ carnis refrenet appetitũ
.⁊discretiocorpusĩcolumeseruetadcreatoriᷤ	. ⁊ discretio corpus ĩ colume seruet ad creatoriᷤ
obseqͥum.neq;enimsicutscͥptumẽ.ĩabstinendo	obseqͥum . neq; enim sicut scͥptum ẽ . ĩ abstinendo
ueledendoconsistiti᷒ticia.	uel edendo consistit i᷒ticia .
s;ĩeqͣnimitatetolerandiĩopiam.⁊ĩtemꝑantia.ñ	s; ĩ eqͣnimitate tolerandi ĩopiam . ⁊ ĩtemꝑantia . ñ
secorrũpendi	se corrũpendi
ꝑhabundantiã	ꝑ habundantiã
.uidim᷒plerosq;ĩdiscretisieiuniis.suꝑsticiosauigiliarũ	. uidim᷒ plerosq; ĩdiscretis ieiuniis . suꝑsticiosa uigiliarũ
anticipatione.sicdebilitasseuirescorporis:uttoto	anticipatione . sic debilitasse uires corporis : ut toto
uitesuetemꝑe.ñsñ	uite sue temꝑe . ñ sñ
fratrumscandalo.ñsñꝮscĩedetͥmento.	fratrum scandalo . ñ sñ Ꝯscĩe detͥmento .
p̃pĩfirmitatisnecessitatẽ.	p̃p ĩfirmitatis necessitatẽ .
cibisdelicatiorib;uticog̃ent᷑.Iõ	cibis delicatiorib; uti cog̃ent᷑ . Iõ
q;abstinentiasubditi:p̃latiiudicio	q; abstinentia subditi : p̃lati iudicio
.sic̃p̃dixim᷒debetapprobari	. sic̃ p̃dixim᷒ debet approbari
.celestisenĩmagist̃mun᷒illudgratiusacceptabit	. celestis enĩ magist̃ mun᷒ illud gratius acceptabit
.ꝙsubditusñ	. ꝙ subditus ñ
arbitrioꝓpͥeuoluntatiss;imꝑiop̃sidentis:obtulerit	arbitrio ꝓpͥe uoluntatis s; imꝑio p̃sidentis : obtulerit
.cordisetiamcõpunctiosuo	. cordis etiam cõpunctio suo
t̃narioꝮsecrataẽ.h̃tenĩlacͥmarũ	t̃nario Ꝯsecrata ẽ . h̃t enĩ lacͥmarũ
ꝓfusionẽ.orisꝮfessionẽ.⁊	ꝓfusionẽ . oris Ꝯfessionẽ . ⁊
oꝑiscorrectionẽ.necessariũ	oꝑis correctionẽ . necessariũ
ꝓrsusest	ꝓrsus est
utoculi	ut oculi
hucusq;pleniꝮcupiscentiis	huc usq; pleni Ꝯcupiscentiis
:et̃nũfletũlacrimistẽporalib;p̃ueniãt	: et̃nũ fletũ lacrimis tẽporalib; p̃ueniãt
.⁊quiꝑillicita	. ⁊ qui ꝑ illicita
:noxiacuriositateꝮsueueranteuagari.nc̃a	: noxia curiositate Ꝯsueuerant euagari . nc̃ a
uanitatererũtẽporaliũsepenitus	uanitate rerũ tẽporaliũ se penitus
aũtant.nec	aũtant . nec
plangerecessetocl̃s.quodilliciteconcupiuitanim᷒	plangere cesset ocl̃s . quod illicite concupiuit anim᷒
.sordes	. sordes
enimanime:lacͥmecompũctionisabluunt.⁊inhabundantia	enim anime : lacͥme compũctionis abluunt . ⁊ in habundantia
ꝓfluentes.ignemgehenne.impiis⁊peccatorib;	ꝓfluentes . ignem gehenne . impiis ⁊ peccatorib;
deputatũ:uelutimpetustorrentis:extingunt.Oris	deputatũ : uelut impetus torrentis : extingunt . Oris
autemconfessiocompũctioni	autem confessio compũctioni
cordisĩ	cordis ĩ
dubitatũgerittestimoniũ.InpuraenĩꝮfessione	dubitatũ gerit testimoniũ . In pura enĩ Ꝯfessione
:ꝑfecteꝮtͥtiõnis	: ꝑfecte Ꝯtͥtiõnis
ꝑpenderesolemuseffectum.hec	ꝑpendere solemus effectum . hec
inqͣmconfessiosp̃ualiumẽmedicinauulnerũ	inqͣm confessio sp̃ualium ẽ medicina uulnerũ
.sñquañestsalusanimarũ.	. sñ qua ñ est salus animarũ .
sicutenĩĩeccl̃iastescͥptumest.Quiabscondit	sicut enĩ ĩ eccl̃iaste scͥptum est . Qui abscondit
scelerasua:ñdiriget᷑.	scelera sua : ñ diriget᷑ .
quiaũꝮfessusfuerit⁊dimiseritea	qui aũ Ꝯfessus fuerit ⁊ dimiserit ea
:ueniãꝮsequet᷑.s;attendendũ.	: ueniã Ꝯsequet᷑ . s; attendendũ .
qꝛqͣtuorst̃q̃uirtutẽuere	qꝛ qͣtuor st̃ q̃ uirtutẽ uere
Ꝯfessioniseneruant⁊inpediunt.uidelicet.pudor.	Ꝯfessionis eneruant ⁊ inpediunt . uidelicet . pudor .
⁊timor.spes.⁊desꝑatõ.	⁊ timor . spes . ⁊ desꝑatõ .
pudor:uirtutẽuereꝮfessionisĩpedit.dumpecc̃oꝝscel̃a	pudor : uirtutẽ uere Ꝯfessionis ĩpedit . dum pecc̃oꝝ scel̃a
suagrauia⁊ignominiosaeẽconsiderans.	sua grauia ⁊ ignominiosa eẽ considerans .
inseip̃oconfunditur	in se ip̃o confunditur
.⁊p̃confusionesp̃c	. ⁊ p̃ confusione sp̃c
:eaconfiterierubescit.talib;dicit	: ea confiteri erubescit . talib; dicit
