P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
A ete rn a,religiosaetincomprehe nsibilispietasDeinostrinequaq uampermittithumanam conditionemdiutiusintenebri soberrare,nequepatiturexosasq uor umdam uolunt atesusqueintantumperuadere,u tn onsuispre clarissi misluminibus denu o pandensiter salu t are,easdeta dr egul a mi ustitie conuerti.	-⌫---⌫--⌫-|--------|-|----------⌫-------|-----|--|-----|------⌫--|--------|------|----------|------|-|-------⌫|--------|----|------|-----|-⌫---⌫----|------⌫---|----|-|-----|---------|-⌫|-⌫-|---|---⌫--------⌫--|--------|----⌫|------|---|----⌫-⌫---|--|--|-⌫|-⌫----⌫-⌫|-⌫------|--------|
Habeoquippecogni tum ,multisexemplis:hecead emexmei pso meti o r.	----|-----|-----⌫--||-----|--------|--|---⌫-|-|---⌫--|----⌫-⌫-|
Fue run t eniminme prim i tu s,queiustitiacarereu ideban t ur,nec ullaputabam uideresupernampotentiam,queint rasecretap ectoris mei gererem.	---⌫---⌫|---|-|-|----⌫-⌫--⌫-|--|-------|-----|-⌫------⌫-⌫--|--|---|------|-----|-------|---------|--|---⌫-|------|-⌫------|--|-------|
Equidem hec,utdixi,equam fort unamd ebueruntsorti ti, sc ilicetomnibusmalisredund antem: sedD e us o mnipotens incelis pe rsecularesidens,tri b uit qu odnonmerebar!	------|---|-|----|----|----⌫---|-⌫-------|-----⌫--|--⌫-----|------|----|------⌫-----|--|-⌫-⌫-|-⌫--------|-|----|--⌫|-----|--------|---⌫-⌫--|--⌫-|--|-------|
C erteiamneq uedici,nequeen um eraripos sunt ea, quecelesti s u ain mefamulu msu um beneuolentiacon ces s it,sanct issimi antistites ChristiSaluator isfratreskaris simi;	-⌫---|--|---⌫-|----|----|--⌫--⌫----|---⌫---|--|--|------|-⌫-⌫|-|-|------⌫|--⌫-|-----------|---⌫---⌫-⌫--|-----⌫-----|---------|------|--------⌫-|------|-----⌫----|
Gaudeoigitur equi dems pecialiter, g audeoquodtandem h a bitaiustissima diiudicati one, eosadmeliorem spem for tun a mque re uocastis,quosmalignit asdiaboliu idebatur apr ec larissimaluceleg isCat holicemiserabilisuapersuasione aue rtisse.	-----|-----|----⌫--|-⌫----------|-⌫----|---|-----|-⌫-⌫---|---------|----------⌫---|--|-|-------|---|---⌫---⌫-⌫---|--⌫--------|---|--------⌫-|------|-⌫-------||--⌫--⌫--------|---|---⌫-|---⌫-----|---------|--|----------|---⌫------|
Ouer euictrixprou identiaCh risti Sa luatoris.	|---⌫|------|----⌫------|--⌫----|--⌫--------|
utetiamhisconsulere t,qu i iam des ciscentes a ueri tate,quodammodo aduer susipsu m armainducentesgentibussecopulaue runt :quia siue l nuncuerafideuolueri nt obsequi asanctissimel egideferre, intel ligerepoteru ntquantu msibinutu Deisitprouisum.	-|----|--|---------⌫-|--⌫|--|---⌫--------||----⌫----|-----|---|-----⌫--|----⌫|---|---------|-------|-|--------⌫----⌫|---|-|--⌫|---|---|---|-------⌫-|-------⌫|----------|-⌫--|-------|-----⌫-----|------⌫-|------⌫|---|---|--|--|--------|
Ethoc quidem,san c ti ssi mifratres, sperabam etiam ineis,quibusingeni tae stmaxima duritiesanim i,posserepreh endi?	-|--|------|---⌫-⌫--⌫---⌫-|-------|-------|----|-|---|-----|------⌫-|-⌫-|-----|-------|----⌫-|----|------⌫----|
s e dnonpr ofuitapud eosrecta diiudica tio, nequeineorumsensusingressaest diuini tasp r opitia!	-⌫-⌫|--|--⌫----|---|--|----|--------⌫---|----|-|----|-----|-------|--|------⌫--|-⌫-⌫------|
Reuera eni mnonimm erito ab hisprocul abscesseritChristicleme ntia,i nquibusm ani festalucec lar e thuiusmodie sse, uteosetiamacele sti prouisioneexososcern amus:queinips os tanta uesaniap erseu era t ,cumi ncredi biliarr o gantiap ersu ade an tsibi, q u enecdici ,nec audirifas est,desciscente sarect oi udic io dato,quoc elest iproui sionemeumiudic iumeoscom peri p ostulare:que ui smali gnitatis i neorumdempectoribusperseuerat.	-----|---⌫|--|---⌫----|-|--|-----|----------|------|-----⌫----|-⌫|-----|-⌫---⌫----|---|-⌫---⌫-⌫|--------|-⌫---|-|--|----||----⌫--|---------|-----|----⌫----|--|-|---⌫-|----|------|-⌫-----⌫---⌫-⌫|--|-⌫------⌫---|---⌫-⌫-----|-⌫----⌫---⌫--⌫|----|-⌫-⌫|--|----⌫|--|-----|--|---|-----------⌫||----⌫|-⌫----⌫-|----|--|-⌫-----⌫|-----⌫----|---|-----⌫--|--|---⌫---|-⌫--------|--|--⌫|----⌫-------|-⌫|-------|---------|----------|
Quo tiesa meiamipsoimprobissimisaddit ionib us suissuntc ondigna res ponsione oppressi.	---⌫---||-|--|---|------------|-----⌫-----⌫-|---|---|-⌫------|---⌫-------|--------|
quiutiquesihoc a nt eoculoshabere uo luissent, mi nimehoc ipsum i nte rposuissent.	--|-----|-|--|-⌫--⌫|-----|-----|--⌫--------|--⌫---|--|----|-⌫---⌫-----------|
Meumiudiciumpostulant,qu i i pse iudiciumChristiex pec to.	---|-------|---------|--⌫|-⌫--|-------|------|--⌫---⌫--|
EPISTOL ACO NSTA N TIN IETLICINIIADPROBIANUM.	-------⌫|--⌫----⌫-⌫---⌫|-|------|-|---------|
Imp e roto resCesare sFlariusConstantinusMaxim u se t ualeriusLi cinianus Licinius Probianoproconsu liAfric e.	---⌫-⌫----⌫--|------⌫|------|-----------|-----⌫-⌫|-⌫|-------|--⌫-------|-------|-------|--------⌫-|-----⌫-|
Aelianus,predecessor tuus,me rito,dumuirpe rfectissimusuer us u icarius prefecto rumtuncp erAfric amnostramincommod aualetudi netene ret u r,eiu sd em par ti busfun ctus,interceter aeti amidnegotium u elinui diam, quedeCecilianoepiscopo Ec clesie c atholice uideturesse commota ,adexamensuum a tqueiussi o nemcrediditessere uoc andam.	--------|----------|----|--⌫----|--|--|--⌫-----------|---⌫-|-⌫------|--------⌫--|---|-⌫-|-----⌫-|------|--------⌫|--------⌫-|----⌫---⌫-⌫-|---⌫--⌫-|---⌫--⌫--|---⌫----|----|-----⌫|---⌫-|-|-------|-⌫-|----⌫----|--|-|--------|-------|--⌫-----|-⌫-------|------|---|-------⌫|-|-----|---|-⌫---|-----⌫-⌫--|-------|---|--⌫---⌫-----|
Etenimcumia m Superiumcentu rio nem,et Cecil ianu mmagis tratum Aptungitanorum,e t Saturninumexcu ratorem,et Calibiu miuniorem e ius demciuitatis curator em,atqueS ol onemser uumpublicum suprascr ipteciuitat ispr es entes essefec i sset,audientiamprebui tcomp etente m,adeou tcumCeciliano fuisset obiectu m quodaFeliceeidemepisc op atus ui deretures sedela tus ,cuidiuinarumscripturarumproditioatque exustiou id e returobi ecta,i nnocente mde eoFelicemfu isse consti terit.	-----|--|--⌫|-------|-----⌫---⌫---|-|-----⌫----⌫|-----⌫-----|--------------|-⌫|---------|----⌫-------|-|-------⌫|-------|-⌫---⌫--|--------|-------⌫--|----|-⌫--⌫---|---⌫--|-------|--------⌫---|-------⌫-|--⌫--⌫----|---|---⌫-⌫----|---------|------⌫|----⌫------⌫-|---|-⌫|--|--------|------|-------⌫|---||-----|----|-----⌫--⌫---|--⌫------|--⌫-|----⌫---⌫|--|--------|-----------|-------|----|------|-⌫--⌫-⌫----|---⌫----|-⌫--------⌫|-|-|------|--⌫---|------⌫-----|
DeniquecumMaximus IngentiumDecurionemZiquensium ciuita tisepistola mCecilianiexduumuirifals assecontenderet,eumdemipsumIngentiumsuspens um, actisque sube rant,peru idimus,etideominime tort umquods eDecuri onemZiq uensiumciuitatis asseue rauerit.	------|--|------|--------|---------|---------|------⌫--|--------⌫|--------|---------|----⌫---|-----------|-----|----|--------|-------⌫--|----|--|----⌫----|----⌫------|-|---|-----|----⌫-|---|-⌫|------⌫---|---⌫------|--------|------⌫-------|
EP ISTOLACONSTANTINIADEPISCOPOSDON ATISTAS.	--⌫-----|----------|-|--------|---⌫-------|
IllosB r ixiamad pacemcompone ndamco nuocat.	----|-⌫-⌫----|-|----|-------⌫---|--⌫------|
Con st anti nusA ugustus,episco pis.	---⌫--⌫----⌫--|-⌫-------|------⌫---|
Antepaucosquide mdies,i uxtapostulatum ue stru m, h ocmihipla cuer at,utadAfr icamreuer teremini,util li comnisca usa,queuobisaduers usCecilianumcompe tere u idetur,abamicisme is, quo selegissem ,cognos ceretur,atque fi ne mdeb itum reci peret .	---|-----|-----⌫|----|-⌫---|---------|--⌫----⌫-|-⌫-|---|---⌫----⌫--|-|-|---⌫---|-----⌫--------|-|--⌫--⌫|----|--⌫---|--|----|------⌫-|---------|-----⌫---|-⌫------|-|-----|--⌫--|---⌫|---------⌫|------⌫-------|----|--⌫--⌫|---⌫---|----⌫-----⌫|
ueru mdiu mihi cogitanti,et inanim omeononimmeri t o uoluent i,idpotissimum ui sumest,utquoniamscioquosdam exuestristurbulentossatis, etobstinatoanimo rectumiudicium etinteg reueritat isrationem mini me res picer e,ac perhocuenirefo rsi tan, utsi ibidemcogn oscatur, nonutcondecet,etueritatis ratioex postulat,resfinemaccipiat atq ue aliquidtaleeueniatnimiauestra obstinatione,quodetdiuinit aticelestidispliceat,etexistima tio nim e e,quamsemper illibatamcupiope rseu erare,plur imumim pediat: plac uitmih i u t Cecilianusiuxtapriu stractatumhuc po tius ueniat, quem cre d oiux talitterasmeasmoxadfuturum.	----⌫|--|---|---------|-|-|----⌫|--|--|------⌫-⌫|-------⌫-|-|---------|--⌫--|---|-|------|---|------|-|------|----------|-----|-|--------|----|-----|-------|-|-----⌫-|-------⌫-|-------|----⌫-|---⌫-----⌫-|-|--|--|-----|--⌫---⌫---|-|-|-----|----⌫-------|--|-|--------|-|--------|----|--⌫--------|--|----|-------|---⌫-|------|---|------|----|-----|------------|---|-|-------⌫--|------|----------|-|--------⌫---⌫-|-⌫-⌫-|---|-----|--------|----|--⌫----⌫-----|----⌫---|--⌫------|----⌫--|---⌫|-⌫|---------|----|----⌫|--------|--|--⌫---|------|---|---⌫-⌫|---⌫-|-------|---|--|---------|
EPISTOLA CONSTANTINI ADCELSUM.	-------|----------|-|------|
Perseu erar eMenaliumeum qu a miamdudums usceperati nsaniace tero squequi a ueritateD ei digressierrorise prauissimodede runtprox i maetiam tuegrauitatisscriptates ta tas unt,q uibus inherentemte iu ssioninostre,de meritose ditionis ipsorum,eoquet u multu quema pp arabant ,inh ibitum e ssememora sti , fra t er c arissime.	------⌫----⌫|-------|--|--⌫-⌫|-------|-⌫--------|-⌫-----|--⌫----⌫---|--||-------|-⌫-|-------|-----|-|---------|----⌫---|----⌫-⌫-|----|--|---------|------|---⌫--⌫-|-⌫---|-⌫----|---------|-|--⌫-----|------|-|-----|--⌫-------|-------|----|-⌫-⌫----|---|-⌫--⌫-------⌫|---⌫-----|-⌫--|------⌫---⌫|---⌫-⌫-|-⌫--------|
Undequon iam exe o pa tui tip so s nefariasre s cog itasse,quodcums ta tuisse minteripsosetC ecilianum plenissimesuperall eg ationibus diuersisreq uirere, presentie meesusceptam fugamsubtraherelaborauer unt,hocip soturpissimofa cto confessiadeasere direprope r ar e, q ue e ta nteaf ecerantet nuncagereperseuerant:atcumconstetminimeunumquemquepropria penit u sdelictalucrari,et iamsipaulispereor umfueritcercitiodilata,m andandumgr auitatit ueduxi,utinteri mquidemeosdem omittas , et dissimulan dumsu peripsosessecogno scas.	---|----⌫--|-|-⌫|--⌫---⌫|--⌫--⌫|-------|--⌫|---⌫------|---|--|-⌫--⌫------⌫|----|----|-|-⌫--------|---------|----|---⌫--⌫--------|-------|---⌫------|--------|--|--------|----|---------|---------⌫---|--|--⌫-|---------|--⌫--|-------|-|-|-|--⌫---|-----⌫-⌫--⌫-|-⌫-|-⌫|-⌫---|-⌫------|-|---|----|-----------|-|--|------|-----|----------|------|-----⌫-⌫|------|-------|--⌫----|--------|---⌫-|-----|-------|------|-⌫-------|--⌫------|-⌫-|----|-|------⌫|-----|-----|-------⌫|-|----------⌫--|--⌫--|----|---|-----⌫----|
uerumlecta hac epistola,tamCec ili ano qua m iisdem palamfac ias,quo dcum fauente pietatediuinaAfricam uenero , pleni ssimeuniuersistam Ceciliano,qua mhis qu icontra eumagereuidentur lecto dilucidoiudi ci ode monstrat urussum,queet qualissumm e diuinitatisita dhibendauener atio , et cu iusmo dicultudelectari ui deatur, a dhibitoetia md il igentiexami ne, eaquenun c al iqu iexindeillecebri smentisignorantieque occultare seput ant, plenissim e sum reperturusatquein lucemfa cturusu enire.	----|----|--|--------|--|---⌫---⌫--|---⌫|-----|----|---⌫---|---⌫|--|------|------|-----|------|------⌫|-----⌫----|--------|--|---------|---⌫|--|--⌫|-----|--|----|-------|----|-------|----⌫--⌫|--⌫--------⌫---|---|--|-|-----|----⌫|---------|--|-⌫-------|-----⌫----⌫|-|--⌫-----⌫-|----|--------|--⌫------|-⌫------|----⌫|-⌫--⌫-----|-----⌫--|-|--|---⌫|--⌫---⌫|-----|---------⌫|-----|------------|--------|-|---⌫---|---------⌫|--|---------|----|-|----|--⌫-----|-⌫-----|
Easdemp ersonasqueres istiusmodi concitantfaciuntq ue,ut non cumeaquaoporte tuenerat ionesu mmusDeuscola tur,perdamat quediscutiam.	-----|-⌫------|--|--|-----|---|--------|--------⌫--|-|--|--|-|--|------⌫|-------⌫---|--⌫---|---|----⌫---|-----|--⌫--|---------|
F RAGMENTUM EPISTOLAE CONSTANTINIAD EUM ALIUM uICARIUM.	-⌫--------|--------|----------|-|---⌫----|--------|
I n quo peruid iCecilianumuirumomniinnocentiap reditum ,ac d ebita reli g ioniss ueofficia seruantem,e ique itaut o portuits eruientem,nec ull umine ocrimenreperiri potuisse,e idem apparu it,s icut absenti fueratad uersariorumsuorum simulatione c omposit u m.	-⌫|--|------⌫|---------|----|---|---------|-⌫-------⌫|-|-⌫----|----⌫-⌫----|-⌫-|------|---------|-⌫---|--|-|-⌫------|-⌫---------|--|---⌫-|-|-⌫|-----|-------|--------|-⌫---|------⌫--|-⌫---|------|-----|--⌫----------|-----|----------|-⌫-------⌫-⌫-|
EPI STOLACONSTAN TINIADCA THOLICAM.	---⌫----|-------⌫---|-|--⌫--------|
C onstantinusi mperatoradepisc oposet plebemAfrice,ut Donatista stolerent.	-⌫----------|-⌫-------|-|-----⌫---|-|-----|------|-|---------⌫|--------|
Quod fid esdebuit, quantu mp rud entia ualuit,prou tp ur itas pot uit,ten tassemeper omniahuma nitatisetmoderationisofficiaoptimescitis, utiuxtamagister ia legis nostre,paxi llas a nctissime fraternitatis ,cuiu sgratiamDe ussum mus famulorumsu orumpectorib u s immisc u it,stab ilitaperomnemconcordiamteneretu r.	---|---⌫-|------|------⌫|-⌫---⌫----|------|----⌫|-⌫--⌫---|---⌫---|---⌫----|-|--|----|----⌫------|-|-----------|------|-----|------|-|----|--------⌫-|----|------|--|-⌫--|-⌫-⌫--------|-------------⌫|----⌫|------|--⌫-|---⌫--|--------|--⌫---|--------⌫-⌫|------⌫-⌫--|----⌫----|--|----|---------|--------⌫-|
Sedquiau im i l lamsce l eri sinfusi,pa ucorumlicet, sen sibus pe ruica citeri nherentem,intent ioni snostreratio non potuitedomare,faue nteadhucsibihuicnequ itie patro cini o ,ut ext orqu eris i bi omninonon s inerent,inqu o sede liquissegauderent.	--|---|-⌫-|-⌫-⌫--|---⌫-⌫---⌫|------|--⌫-----|-----|---⌫----|--⌫-----⌫----|-⌫---------|------⌫----⌫|-----|----|--|-----|-------|----⌫--|----|---|---|----⌫---|-----⌫----⌫-⌫|-|---⌫----⌫--|-⌫-⌫-|-----|--|-⌫-------|-|--⌫|-|--⌫-------|---------|
Spectandum nobisest,dumtotum h ocperpaucoss edit,inpo pulumomnipotentisDei misericord i a mitigetur.	---------|----|---|--|----|-⌫-|--|-----|-⌫----|-|--⌫----|-----------|--|----------⌫-⌫|---------|
Indeenimremedium sperare debemus , cumom niabonauotaet facta refe runtur.	---|---|-------|------|-------⌫|--|--⌫--|---|---|-|----|----⌫------|
ue rumdum cele stism edicina p rocedat,hactenuss un tco nsil ianostramode randa,ut patientiam p ercolamus, et quidquidinsolentiail loru mprocons uetudine intemperantie t entatautfa cit, idtotumtranqui llitati sui rt utetoleremus.	--⌫--|--|----⌫---|-⌫------|-⌫-------|-------|-⌫--⌫|--⌫----⌫-|-----|----⌫-----|-|---------|-⌫---------|-|-------|---------|--⌫----⌫|--|----⌫-------|------------|-⌫----|--|--⌫---|-|----|-------⌫-------⌫|--⌫--⌫--|---------|
ANNO D O MINICCCXXIII.	---|-⌫-⌫---|--------|
E PISTOLACONSTANTINI ADEUSEBIUMPR IMA.	-⌫------|----------|-|-------|--⌫---|
De AedificationeetRes tauration e Ecclesiarum.	-|------------|-|---⌫---------⌫|-----------|
Cumu squ eadhanc diemimp i apresumptioettyranni cauiolent i aministros Se ruatorisnostri sitpersecu ta,procertohabeoplanequemi hiipsepe rs uadeoomni umecclesia rumedificia,au tperin curiamcorrupta,autp rem e t uingru entis temporum in iquitat ismi n ushonorificeexculta esse,Eus ebi,fratercaris s ime .	--|-⌫---⌫|-|---|---|---⌫-⌫|---------|-|-------⌫-|-------⌫-⌫|--------|--⌫-------|-----|--|-------⌫--|--|----|----|-------|--⌫-|---|--⌫--⌫----|----⌫-|--------⌫--|--------|--⌫|--|--⌫-----|--------|--|-⌫-|-⌫-⌫-⌫|-----⌫----|-------|--⌫-------⌫-|--⌫-⌫-|---------|------|----|---⌫---|-----|-----⌫-⌫---⌫|
Nunc uerocu mliberta s r estitutasit,etdracoilleprouidentiaqu idemDeioptimimaximi , mini sterioa utemnostro areipubliceadminis tratione submotus, equide m exi stimodiuinamp otentiamomnibus c larissimeinnotuisse.	---|---|--⌫|-------⌫|-⌫-------|---|-|----|---|----------|--⌫---|--|-----|------⌫|----⌫-----|-⌫---|-----||---------|-------⌫-------|--------|------⌫|---⌫----|------|-⌫-------|------|-⌫--------|----------|
eteosquise umetuseuinc redulitatealiquidpeccau erunt ,agnitoill oquiuere est, adre ctamacue ramuiu e ndi rationem essered ituros.	-|--|--|--⌫|---|--|---⌫---------|------|------⌫-----⌫|-----|---⌫|--|---|---|-|--⌫---|-|--⌫--|---⌫-⌫--|-------|---|---⌫------|
Quotqu ot igitureccles iisa uti psep ree s ,autalios insingulis locispresidentesepiscoposetpresbyte rosacdiaconosno sti.	------⌫-|-----|------⌫--|-⌫-|-⌫--|-⌫---⌫-⌫|--|----|-|-------|----|----------|--------|-|--------⌫--|-|-------|--⌫---|
cun ct o sadmone ,utin opera ecclesia r umom ni studio acdiligenti aincumbant :quoautr eparenturqueadhuc mane nt,a utaugea nturi nma ius:aut sicubiususpos tulauerit,n ouaedificentur.	---⌫--⌫-⌫|------⌫|-|-|----|--------⌫-⌫-|--⌫-|-----|-|---------⌫|---------⌫|--|--|-⌫--------|--|----|----⌫--|-⌫-|-----⌫---|-⌫|--⌫---|--|-----|---|---⌫---------|-⌫--|-----------|
Quecum qu e autemne cessariafuerint, e tipse,et r eliqui aliituointeruen tu,tuma pr esidibus prouinciarum p e te nt , tuma boff i cioprefectur epretoriane.	------⌫--⌫|----|--⌫-------|-------|-⌫|----|-|-⌫-----|---|--|--------⌫--|--||--⌫-------|-----------|-⌫-⌫--⌫--⌫|--|-⌫|---⌫-⌫--|---------⌫|----------|
[3 16Kb], ,,,.	--⌫----||||||
EPISTOLACO NSTANTINIADALEXANDR UMEPIS COPUME TARI UMPRESBYTERUM.	-------|--⌫--------|-|--------⌫-|----⌫----|-⌫|---⌫-|-----------|
uictor Constantinus ma ximusAu g ustusA l exandroetArio.	-----|-----------|--⌫----|--⌫-⌫----|-⌫-⌫------|-|----|
Quod pro paceco ntinuesatagebat.	---|--|---|--⌫-----|---------|
Na mp rimumq uidemomniumgentiu m inol itamdeDeoopinionem inun amquasiha bitudinemac f or m a mco mpi ngerepropo situm fuit, deind euerocorpus orbi st errarumqua sigraui quodam morb ot yrannidis oppressum , inpri stinam ual etudi nemrestitu ere.	--⌫|-⌫----|-⌫----|-----|------⌫|----⌫---|-|--|--------|-|--⌫-|----|--⌫--------|-|-⌫--⌫-⌫-⌫|--⌫---⌫----|-----⌫----|----|-----⌫|---|-----|----⌫|-⌫------|---⌫-|----|-----|----⌫|-⌫--------|---------⌫|-|---⌫-----|---⌫-----⌫--|-------⌫---|
Quom odoque st ionesin Africaexcitatascompressit.	----⌫--|---⌫--⌫----|-|-----|--------|----------|
Quodrel igioab Orienti spartibuscepe rit.	---|---⌫---|-|-------⌫|-------|----⌫---|
Namquoni am ueril u minisuis,etlexsacrosan ctereligionis,Dei beneficio ex sinuOrie ntis edita, uniuersumsim ulterrarum or bem s acrisr adiis il lustrauerat,nonsine causauoscun ctar umgentiumsalutisa uctoresacdu cesfo reconfidens,etmen ti saffec tuet oculorumacieexquirerela b orabam.	--|-----⌫-|---|-⌫-⌫----|---|-|--|--------⌫--|----------|--|--------|-|---|----⌫---|-----|--------|---⌫-|-------|--⌫--|-⌫----|-⌫----|--⌫-----------|--|---|----|--|---⌫----⌫-|------|------|-⌫------|-|--⌫--|--⌫-|---------|-|---⌫--⌫|-----⌫-|-|-------|---|--------|--⌫-⌫------|
Quomodoseditionem moles te ferenspacemsuasit.	------|---------|-----⌫-|-----|----|------|
uerum,o eximiaDeip rouidenti a;	-----||-----|--|-⌫---------⌫-|
quis etquali snuntius aures meas, seu potius animum ipsumacerbissimesauciauit.	---|-|-----⌫|------|----|----|--|-----|-----|----|----------|---------|
cummi hisignifica tumestmultograuiorainteruosortaes sedissidia,quam suntillaqueinA frica remanser unt .	--|--⌫-|---------⌫--|--|----|-------|----|--|---|--⌫-|--------|---|---|---|--|-|-⌫----|--------⌫---⌫|
Ad eoutpartes uestre,aquibus mede l amaliis supp editariposse s perabam,maiorei amcuratione in digea nt?	--⌫-|-|-----|------||-----|----⌫-⌫-|----|----⌫------|----|-⌫-------|-----|-⌫-|--------|--⌫-----⌫--|
U n denatasit contro uer si a interA riumetAlexandrum,etquodt alianonerantdisquirenda.	-⌫-⌫-|---|--|------⌫---⌫--⌫|----|-⌫---|-|----------|-|---|-⌫---|--|----|-----------|
u I, Porropresentis contr ouersieinitium[2Kb]hincextitissecompe rio.	-⌫-|----|--------|-----⌫------|------|----|---|--------|-----⌫---|
Cum e nimt uAlexanderapre sbyteristuisrequi reres, quidquisqueeorum de quodam legisl oco sentiret , seupot iusdequada mparte ina nisquestio niseosinterro gares;	--|-⌫--|-⌫|--------||---⌫-------|---|-----⌫-----|---|------|----|-|-----|----|-⌫--|--------⌫|--|---⌫--|-|-----⌫|----|---⌫--|-------⌫--|--|-------⌫-----|
cumquetu,A ri, idquo du el nun quam cogitare,uelsane cogit atum s ilentio preme re debueras, imprude nt erprotulisses,excitatainte ruosdisc ord ia,communioquidemde n egat a est.	-----|--|-⌫--|-|---⌫|-⌫-|---⌫---|--------|--|---|-----⌫---|-⌫------|-----⌫-|--------|-------⌫--⌫-|-----------|-------|----⌫|--|----⌫---⌫--|-------|-----|--⌫-⌫----⌫|---|
sanctissimusautempopulusin du as partesdisc issu s, atotiuscorporisunita te disc essit.	-----------|----|------|-|--⌫-|-----|----⌫----⌫-||-----|-------|-----⌫-|----⌫-----|
Quocircaute r queuestr umueniam uicissim alteri tribuens,idamp lectat ur, quodconseruusues t er u obisiusti ssimesuadet?	-------|---⌫-⌫--|-----⌫-|-----|-------|-----|--------|-|---⌫------⌫--|---|--------|---⌫-⌫-|-⌫---|-----⌫----|------|
Quidn am ueroil ludest?	-----⌫-|---|--⌫--|---|
Necinterroga redeh uiu smodirebus principiodecebat,n ecin terr ogatum respon dere;	--|---------⌫-|-|-⌫---⌫----|----|--------|-------|-⌫-|--⌫----⌫-----|------⌫----|
,, ,,,, ,, .	|||||||||
Exhor t a tio ad concor diam.	-----⌫-⌫-⌫--|-|------⌫----|
Pro indeetincaut ainterrog atio,etinconsultar esp onsio,inu troque.	---⌫---|-|------⌫|--------⌫----|-|---------|-⌫---⌫-----|-|-⌫------|
uestru mue niam sibi mutuo conc edant;	------⌫|--⌫---|---|----|----⌫-----|
Quo d o b leuesquasdamuo culas pertinacit er certandu m nonfuit.	---⌫|-⌫|----|------|--⌫----|----------⌫-|--------⌫|--|----|
u obisenimpertinaciter conte ndent ibus dereb usparuisatq u e leuis simi s, tantampopulimult i tudinemues t r ocons ilioreginon decet,intanta presertimanimor um diss ensione:necs olumidindecorum,sedp ror susnefasesse existimatur;	-⌫---|---|-----------|-----⌫-----⌫---|-|---⌫-|-----|---⌫-⌫|-----⌫----⌫-|-----|-----|----⌫-⌫------|---⌫-⌫-⌫|----⌫---|---|--|-----|-|----|--------|------⌫-|----⌫-------|--|-⌫---|-|---------|--|-⌫---⌫--|----|---|-----------|
Atqu e ,ut pru de ntiamuestr amm inore e xemplocommonefaciam, sci tisips os e tiamph iloso ph os uni ussectep rofessione inters eom ne s fe derari.	----⌫-⌫|-|---⌫--⌫----|-----⌫-|-⌫----|-⌫-----|-------------|---⌫--|---⌫-|-⌫---|--⌫-----⌫--⌫-|---⌫-|----|-⌫---------|----|-⌫|--⌫--⌫|--⌫------|
eosdemtame ni naliq uaasser tionumpart ein ter dum discr epare;	-----|----⌫|-⌫|----⌫-|-----⌫-----|----⌫|--⌫---⌫--|-----⌫-----|
uer umlic etinipsascien tiepe rfecti onedissentian t,nichilomin usobs ectec o mmun ionemr ursu sinunum conspirant.	---⌫-|---⌫-|-|---|-----⌫--|--⌫------⌫--|----------⌫-|----------⌫-|-|-⌫---|-⌫-⌫----⌫----|-⌫----⌫|-|---|----------|
Quod s iit aest, quomo dononmultoius tiusfuerit , u osqu imaximi Dei mi nistriconstituti e stis, in eiusdemreli gion i s profe ssioneunanimespermanere .	---|-⌫|--⌫|---|-----⌫-|--|----|---⌫---|------⌫|-⌫-|--⌫|-----|--|--⌫-----|---------|-⌫----|-|------|----⌫----⌫-⌫|-----⌫-----|-------|---------⌫|
Sedaccu ratius,si plac et,et attentiusexpendamusid quod iamdixi.	--|----⌫------|-|----⌫--|-|--------|---------|-|---|--|----|
e quumnes itutobleuiumetina niumuerbo rumi nt eruosconte ntiones, fratresfr atribusueluti nac ie opp osit iste nt.	-⌫-----|-⌫-|-|-|-----|-|---⌫---|-----⌫--|-⌫--⌫-|--|-----⌫-------|------|--⌫------|----|-⌫|--⌫-|---⌫----⌫|---⌫--|
utque uen erabili sconuentus ,peruo s qui de rebusad eoexiguis et mi nime ne cessariis rixamini,impiadissens io nedissideat.	----|---⌫-------⌫|---------⌫|--|--⌫|--|-|----|--⌫-|------|-|--⌫---|--⌫--------|--------|----|-------⌫--⌫-|---------|
Ple beiasunthec, etq uepu eri limagisinsc itieq u am Sacerdotum et prudentiumuiror umsapi entie congruant.	---⌫---|---|---|-|-⌫-|--⌫---⌫-|----|----⌫---|-⌫-⌫-|---------|-|---------|-----⌫-|----⌫----|---------|
Abscedamus n o straspon teadiaboli tentation ibus.	---------|-⌫-⌫---|----⌫-||------|---------⌫----|
Maximus DeusnosteretomniumSeruator c omm unecu ncti sprotulitlumen.	------|---|-----|-|-----|-------|-⌫---⌫--|--⌫----⌫|-------|-----|
Subc uiusauspic ioacpro uidentia ,mihi e ius famulo etcultorico n c edite ,queso,ut hocopusadex itumperducam, quo plebsillius meaall ocutioneatqueop era, etadmonitionuminstant iaadconuentusun itat em reuoce tu r .	--|-⌫---|------⌫-|-|---⌫--------⌫|---|-⌫--|-----|-|------|--⌫-⌫-⌫-----⌫|-----|-|--|---|-|--⌫---|--------|--|----|-----|--|---⌫-------|----|--⌫---|-|-----------|-------⌫-|-|--------|--⌫----⌫-|------⌫--⌫-⌫|
,,,, ,, ,,,,,.	||||||||||||
