PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
Cuibeatissi mu sAgapitus episcopuscons ta ntissime fid eiapostolor umre spo nsumreddi dit,dic ens: DominumnostrumIesum Ch ristum Deu met hominem e sse,hocestduasnaturas esse i nunoChrist o.	--|--------⌫--⌫|-------|--------|----⌫--⌫-------|---⌫-|---------⌫-|--⌫---⌫---|-----⌫---|---⌫---|------|------|----|--⌫-----|---⌫|-|------|-⌫---|--|--|---|------|---|-⌫|--|------⌫-|
etdum co ntentio uerteretu r[d1Kb],ita Dominusaf fuit, utepisco pumCons tantinopolitanum no mine Anthimum inueniretheret icum.	-|--|--⌫------|---------⌫|-|---||--|------|--⌫----|-|------⌫--|----⌫---------------|--⌫---|-------|--------|-----⌫----|
96Tu ncp iissimusAugus tusIustinianusgaud io repletus humili auitsesanc tesed ia postolice,et a dorauitb ea tissi mumpapam Agapitum.	-|--⌫-|-⌫-------|-----⌫--|----------|----⌫-|-------|------⌫---|-|----⌫-|---⌫|-⌫---------|-|-⌫------|-⌫--⌫-----⌫--|----|--------|
Eodemtempore eiecit Anthimumac om munio ne,etexpulitin exsilium.	----|------|-----|-------||-⌫--⌫-----⌫--|-|------|-|--------|
Tun cpiissimus August usIustinia n usr ogansb eatissim umAgapitu m p apam, etin l ocoAnth imiepisco pumcons e crauitca tholicumnomineMennam.	---⌫|--------|------⌫-|--------⌫-⌫-|-⌫----|-⌫--------⌫-|-------⌫|-⌫----|-|-|-⌫--|----⌫--|------⌫--|----⌫-⌫-----|--⌫-------|-----|------|
[g1Kb] QuiueroAg apituspapaomnia ob tin uit,ex quacausadirectusf uerat.	-|---|--|---|--⌫-----|---|----|--⌫---⌫---|-|--|----|-------|-⌫-----|
SAN CTUSSILuERIUS.	---⌫---|---------|
[10 Kb][Schelstratius, Emmanuel:3Kb] [Bencinus:3Kb] [Binius,Seuer inus;	---⌫--|--------------|--------|---|---------|---|-------|-----⌫----|
97 S i l uerius ,nationeC a mpanus,expat reHormis d a , epi scopoRomano,seditannumunum[a 1Kb] ,menses q uinque,diesundecim.	-|-⌫-⌫-⌫------⌫|------|-⌫-⌫------|-|---⌫-|------⌫-⌫-⌫|---⌫----|------|----|----|---|-|---||-----|-⌫------|---|-------|
Hic le uatus est atyr annoTh eodatosinedeliberatione decreti:qui Theodatuscorruptuspecunia[b 1Kb] datatal emtim oreminduxit cl ero,utquin on cons entiretineiusordinationem,g ladiopun iretur.	--|--⌫----|--||---⌫---|--⌫-----|---|------------|-------|--|--------|--------|------|-|---|---|---⌫-|---⌫---|------|--⌫---|-|--|-⌫-|----⌫------|-|---|------------|-⌫----|---⌫------|
Quiquidemsacer dot e s[c 1Kb]non s ubscripserunt ineumsecund ummoremantiquum,uel[d 1Kb]decretum confirmauer untante ordinationem.	--|-----|-----⌫---⌫-⌫|-|---|--|-⌫------------|-|--|------⌫-|----|--------|--|-|---|-------|-----------⌫--|---|------------|
Iamaute mordinatosubuietmetu Si luerio,propter adunationemEcc lesieetrel igionis,postmodu msi csu bsc ripserunt presbyteri.	--|----⌫|-------|--|-|-|---|--⌫------|------|----------|---⌫----|-|---⌫-------|---|----⌫|--⌫|--⌫---⌫--------|----------|
Post me nsesduosn utu di u ino exstinguitur Theo da tustyr ann us, etleuaturr ex Guit igis[e1Kb].	---|--⌫---|---|-⌫--|--⌫-⌫--|-----------|----⌫--⌫--|---⌫---⌫--|-|------|-⌫-|----⌫---|-|---||
Eodemte mp ore GuitigisambulauitRauennam, et cum ui t ulitfiliamAmalasinth e[f 1Kb] regines ib i uxo rem ;	----|--⌫--⌫--|-------|--------|--------|-|--|-|-⌫---|-----|----------⌫|-|---|-----|-⌫--⌫|---⌫---⌫|
98Eodemtempo re be llumfuitmax im um , ueni enteGuitigeco ntraui lisari u m[l1Kb]patricium,etcontraurbemRoma m.	-|----|-----⌫-|--⌫---|---|---⌫--⌫--⌫|----⌫---|------|--⌫---|--⌫------⌫-⌫|-|---|---------|-|-----|----|----⌫-|
I ngre ss u s autemBelisariu sinU rbe m I uIdusD ecem bris,cust odiis, et m uni tionibus,ue lfabricis muror um,et reparationefoss a t ic irc umde ditciu itate m Romanam, et muniuit.	-⌫----⌫--⌫-⌫|----|---------⌫|-|-⌫---⌫|-⌫|---|-⌫----⌫----|----⌫-----|-|-⌫---⌫--------|--⌫|-------|-----⌫--|-|----------|----⌫-⌫-⌫|-⌫---⌫----⌫--|---⌫-----⌫|-------|-|-------|
noctu [m1Kb] ipsaqua introiuit uilisarius patric ius,Gothi,qui er antinciuit a te,u el forismuros,fugerunt,etomn e s portas apert asdimiser unt,etfug erunt Raue nnam.	----|-|---|---|--|--------|---------|------⌫---|-----|--|--⌫--|-|-----⌫-⌫--|-⌫-|----|-----|--------|-|---⌫-⌫|-----|-----⌫-|-------⌫---|-|---⌫----|----⌫----|
99His dieb us obse ssaestciu itas , ut n ullies setfacultasexeundi,uelintreundi.	-|--|----⌫-|----⌫--|--|---⌫----⌫|-|-⌫---|--⌫--|-------|-------|--|---------|
Tunc om nespossession es priua teuel fisci, uelE cclesi e, ince ndio con sumpte sunt,hominesueroglad io inter emptisunt;	---|--⌫--|----------⌫-|-----⌫-|--|-----|--|-⌫------⌫-|----⌫---|---⌫-----|----|------|---|----⌫-|-----⌫----|----|
Quosgladius,gladius .	---|-------|-------⌫|
quos f ames,fames.	---|-⌫----|-----|
q uosmorbus,morbusinter ficiebat.	-⌫--|------|-----|-----⌫--------|
Name ccle si eetcorporasanctorummar tyrum exterm inatesunta Gothis.	--|-⌫----⌫--⌫|-|------|--------|---⌫----|------⌫----|---||------|
100Eodemtemporetantafamesfu itperuniuers ummund um,utDac ius episcopusciuitatisMediol anensisrelationesuah oc eui denternarrauerit, quod inpartibusLigur iemul iere sf iliossuo scomed issent penuriafamis,quasretul it exEccl esiesue fuissef amilia[ a 1Kb].	--|----|------|----|----|--⌫-|--|-------⌫-|----⌫--|-|---⌫--|--------|--------|------⌫------|--------|--|-⌫-|---⌫-----|----------|---|-|-------|-----⌫-|---⌫----⌫|-⌫----|---⌫|-----⌫-----|------|-----|---|-----⌫-|-|----⌫---|--|-----|-⌫-----|-⌫|---||
Eodem tempore ambulauituilisariusp a t ricius Neap olim, et ordinauiteam;	----|------|--------|---------|-⌫-⌫-⌫-----|----⌫----|-|--------|---|
EtpostmodumuenitRo mam.	-|--------|----|--⌫---|
quisusceptuse stadomnoSilueri obenigne,etabiit[b1Kb] uilisariuspatriciusinpalatiumPin cianu m[c1Kb],Id.	--|--------|-⌫-||----|-------⌫|-------|-|----|-|---|---------|--------|-|-------|---⌫-----⌫|-|---||--|
M aii[d 1 Kb] ,indi ct.	-⌫--|-|-⌫--||----⌫--|
Tunc eratuigilius dia c.	---|---|-------|---⌫-|
apocrisiari us Const a ntinopoli.	-----------⌫-|-----⌫-⌫---------|
DolensautemAugustaproAnthimo patr iarcha, quoddepositusfu issetasanctissim oAgapit opapa,quieumhereticumreperisset ,etin lo cumeiu sconstituissetMennamseruum Dei[e1Kb]:tuncAug ust a,conciliousacum ui giliodiacono,misitepistolass uasRomamSilu erio pape, rogan s et obsec r ans:Nepi griterisadnosuenire,autcertereu ocaAn thimuminloc umsuum.	-----|----|------|--|------|----⌫------|---|--------|--⌫----||----------⌫|------⌫|----|--|--|--------|----------⌫|-|-|--⌫--|---⌫|------------|-----|-----|--|-|---||---|---⌫---⌫-|-------|--|--|--⌫----|-------|----|--------|-⌫--|----|----⌫---|----|-----⌫|-|-----⌫-⌫---|-|--⌫-------|-|--|------|--|----|---⌫--|--⌫-----|-|---⌫-|----|
Quidum leg isset beatissimusSilueriuslit teras,ingemuit,etdixit:Mo dosc i o quiaheccausafinemuite meea dduxit[f1Kb].	--|--|---⌫----|----------|--------|---⌫-----|--------|-|-----|--⌫-|--⌫-⌫|---|--|----|----|---|--|-⌫-----|-|---||
101Tunc fecitbeatum Silueriumpapamu enireadsein palat iumP inc is[i1 Kb].	--|---|----|-----|--------|----|-⌫----|-|-|-|-----⌫--|-⌫---⌫-|-|-⌫--||
Etadprimumet secu nd umuelum retinuit omnem clerum.	-|-|-----|-|----⌫--⌫-|----|-------|----|------|
Quoingr essoSilu erius cumu igiliosoliinMauso le ?	--|----⌫---|----⌫----|--|-⌫-----|---|-|-----⌫--⌫|
Antoninapatriciaiac ebatinlecto,etuilisariu s[i1Kb]s e debatadped es eius.	-------|-------|---⌫---|-|-----|-|---------⌫|-|---|-⌫-⌫----|-|---⌫-|----|
Etdu meumui disset Antoninapatricia,dixitade u m :D ic ,domineSilue ripapa,quidfecimu s tibietRomanis, uttuuelis nosinman usGothorum tradere .	-|--⌫|--|--⌫-----|-------|--------|----|-|-⌫-⌫-⌫|-⌫--⌫|-----|-----⌫-|----|---|------⌫|---|-|-------|-|-|----|--|-|---⌫-|-------|-------⌫|
Adhuceoloque nteing ressusIoannessubdiaconusregionariusprime regionis,tulitpalliumdecolloeius, etdux itin cubiculum.	----|-|-----⌫--|---⌫-----|------|----------|----------|----|--------|----|------|-|----|----|-|---⌫-|-|---------|
E texspolianseum,induite umues te monach ica[k1Kb],etabsc ondi teum.	-⌫|---------|---|-----|-⌫-|---⌫-|------⌫--|-|---||-|----⌫----⌫|---|
TuncSixt ussubdiaco nusregion arius regionissexte , ui de ns eumiammon achum,egr essusf oras,nuntiauitadclerum, di ce ns:Quia domnuspapa depo situ sest ,etfac tus estmonachus.	---|----⌫-|--------⌫--|------⌫----|-------|-----⌫|--⌫--⌫-|--|--|---⌫-----|---⌫----|-⌫----|--------|-|------|--⌫--⌫--|---|-----|---|----⌫----⌫|---⌫|-|---⌫--|--|--------|
uIG ILIUS,ANNO CHR IS TI5 40,IU S TINIANIIMP.	---⌫-----|---|---⌫--⌫-|-⌫--|--⌫-⌫------|---|
[13Kb ][Altaserra ,Anton ius:108Kb] [Bencinus: 3Kb][B in iu s,Seuerinus;	-----⌫|----------⌫|-----⌫---|-----|---------|---|--⌫--⌫--⌫-|---------|
102uigilius,na tione Romanus, ex p atreIoanne consule, seditannos17 [a1Kb ],mensesquin que,dies 26.	--|--------|--⌫----|-------|-|-⌫---|-----|-------|----|----|-|-|---⌫||-----|----⌫---|---|--|
E o dem tempor euilisariuspatrici uscommisitbe llumcum Gu itig e[b1 Kb] regeGothor um,quirexfugiensnoc tu insecutus est eumIoan ne s [c1Kb]mag ist ermilitum, c uicognomenSangu ina rius,et tenuit eum,etadduxit ad uilisarium ,etaduigiliumRomam.	-⌫-⌫--|------⌫|---------|-------⌫-|-------|--⌫---|--|--⌫----⌫|-|-⌫--|---|------⌫--|--|--|------|---⌫-|--------|--|--|----⌫--⌫|-|---|---⌫---⌫-|-------|-⌫-|-------|-----⌫---⌫----|-|-----|---|-|------|-|----------⌫|-|-|-------|-----|
Tunc deder unteisac ram ent ainbasilicamIuli [d 1Kb],ut saluumillumperducerentadIustinianum impera torem.	---|-----⌫--|-|---⌫---⌫---⌫|-|--------|---|-|---||-|-----|----|----------|-|----------|------⌫-----|
Quem cumduxissent Consta nt inopo lim, gauisus estimpe rator,et fecit eum patriciumetcomitem,ettransmis iteum iux t afin esPersa rum,et ibi uitamfi niuit.	---|--|--------|------⌫--⌫-----⌫---|------|--|----⌫-----|-|----|--|--------|-|-------|-|--------⌫-|--|---⌫-⌫|---⌫-|-----⌫---|-|--|----|--⌫-----|
uilisariumuerointerrogauitimperator , quomodosehaberetcumRomanisu el quomodoinlocoSilueriistatuis set uig ilium;	---------|---|-----------|---------⌫|------|-|------|--|------|-⌫-|------|-|---|-------|-------⌫--|---⌫-----|
Et,dato abeoresponso,gratias eieger untimperatore taugust a.	--|---|-|-|--------|------|-|----⌫--|--------|-⌫|------⌫-|
etdataeidign itate,iterummisiteumin Afric am adGunda rum[ e1Kb ]regemGuandalorum[f 1Kb] , et ut qu efeceratin I talia fa ceret et i nAfrica.	-|---|-|----⌫-----|-----|----|--|-|-----⌫-|-|-----⌫--|-⌫|---⌫|----|----------|-|---||-|-|--⌫|------|-|-⌫----|--⌫----|-|-⌫|------|
103 E ode m tempore Theodoraaugustasc ripsit adui giliumpapam: ueni,ad i mple nobisque probona uolunta te tua promisistid e patrenostr oAnt himo, etreuocaeumin o f ficiu msuu m.	--|-⌫---⌫|------|-------|------|--⌫-----|-|--⌫-----|-----|----|--⌫-⌫---|----|--|--|---|-------⌫-|--|---------|-⌫|----|-----⌫|---⌫----|-|-----|--|-|-⌫-⌫-----⌫|---⌫-|
A dhecrescripsi t uigilius:Absitho c ame,dominaAugusta.	-⌫|--|---------⌫|--------|----|--⌫||--|-----|-------|
Pr iu slocutussummaleetinsipienter,modoautemnullomodotibiconsenti o,ut reu oc em homi nem h ereticumetanathema tizatum.	--⌫--⌫|------|--|---|-|-----------|---|----|----|---|---|--------⌫-|-|---⌫--⌫-|----⌫--|-⌫-------|-|--------⌫-------|
104Item deditnep tem su amuigiliam[m1K b]Asteri o consuli,filiummuli eris uidue;	--|---|----|---⌫--|--⌫-|-------|-|--⌫-|------⌫|-------|-----|----⌫---|-----|
quocasufac iente , feciteum teneri no cte, ettandiucedi quandiu u i tam finiret.	--|---|---⌫-----⌫|----|--|-----|--⌫---|-|-----|---|------|-⌫-⌫--|-------|
Quo a udito,Augustami sitAn themi um scribonem cu miussionibussuis, et cumuirtute mai or eRomamdicens : Exc eptoi n b asil ica sanctiPetri parce [n1Kb].	--|-⌫-----|------|--⌫--|--⌫-----⌫-|--------|--⌫|----------|----|-|--|------|---⌫--⌫|----|------⌫|---⌫---|-⌫|-⌫----⌫--|-----|----|----|-|---||
Namsiin La teranis,atque in palatioautin qualibetecclesia inu eneris uigilium,mox imposit oinnaui[o 1Kb] perduce um usque adnos.	--|-|-|--⌫-------|----|-|------|--|-|-------|-------|---⌫-----|--------|--|-------⌫|-|---|-|---|-----|-⌫-|----|-|---|
Namsi non feceris,peruiue nt em in sec ulaexcor iarit efaciam.	--|-|--|-------|--|----⌫--⌫-|-|---⌫--|-----⌫---|-⌫|------|
Q uiAnthe mi us s cri b oueniensRomam.	-⌫-|-----⌫--⌫-|-⌫---⌫-⌫|------|-----|
in uenit eum inecclesia sancte Ceci lie X KalendasDec embris.	--⌫----|--|-|-------|-----|----⌫--||-------|---⌫------|
105Qui ingressu sS iciliam inciui tatemC at ane nsem,permis susest facere ord inatione mpermensemDecembrispresbyteros e tdiaconos,inquibusret ransmisitRomamAmp lia tu mpresbyt e rum,e t uicedom inum suum,etualentinume p iscopum,asancta [e1Kb ]Rufina, etS ec unda,ad c ustodiendumL ateranis[f1Kb], etgubernandumclerum.	--|--|--------⌫|-⌫------|-|----⌫----|-⌫--⌫---⌫----|------⌫--|--|-----|---⌫--------⌫|--|-----|--------|----------|-⌫|--------|-|-----|---⌫--------|----|---⌫---⌫--⌫|-------⌫-⌫---|-⌫|-------⌫---|----|-|---------|-⌫-⌫-------||-----|-|---⌫|------|-|-⌫--⌫----|-|-⌫----------|-⌫-------|-|---||-|----------|------|
Et uale faciensomni bus,in gressusestCon stantinopolim in uigiliaD omini nost riIe suChristi.	-|---|------|----⌫---|--⌫------|--|---⌫------------|-|------|-⌫----|----⌫-|--⌫-|-------|
106P e rbienniumue r ofueruntcontentionesd eAnthi mopatri ar ch a,quom od opromisisseteuminlocum suu mrestituere,cau ti onem manus s ueeiost endentesquomodopromiserateuminordinemsuum r euocare.	--|-⌫-⌫|-------|--⌫-⌫|------|-----------|-⌫|-----⌫-|-----⌫--⌫--⌫-|----⌫--⌫|----------|--|-|----|---⌫|----------|---⌫--⌫---|----|-⌫-|-|---⌫-------|------|---------|--|-|------|---|-⌫-------|
Se duigi liusnullate nuseisuoluitconsentire,sedtantaroboratusuirtute magis moride siderab a t, quamuiuere[g 1Kb];	--⌫|----⌫---|-------⌫--|--|-----|----------|--|----|--------|------|----|---|--⌫-------⌫-⌫-|---|-----|-|---||
Tu ncuigi liuspapadixit:Utuideo,nonmefece runt adte u enireIustinianus,etTh eodorap iissimipri nc ipes,sedhodiescio quodDi ocl et ianumet Eleuth eriam in ueni?	--⌫-|----⌫---|---|-----|-|-----|--|-|----⌫---|-|-|-⌫----|-----------|-|--⌫-----|-⌫------|---⌫--⌫----|--|----|---|---|--⌫---⌫--⌫----|-|------⌫----|--⌫----|
faciteutuu ltis,dignaenimfa ctis rec ipi o.	-----|-|--⌫----|----|---|--⌫---|---⌫---⌫-|
Tunc dedit alapaminf aci emeiusquidam dicens: Homic ida, nescis,quibusloqueris .	---|----|-----|-|-⌫---⌫-|---|-----|------|-----⌫---|------|-----|--------⌫|
NescisquiaSilueri um papamoc c idis ti ,etfiliummuli eris uidueadcalces et fustesinterfecisti.	-----|---|-------⌫-|----|--⌫-⌫----⌫--⌫|-|-----|----⌫---|----|-|-----|-|-----|------------|
107Tunc Gothifec eruntsibir egemBaduam[i 1Kb],quiTotilanuncu pabatur, etdescenditR omam,etobsediteam.	--|---|----|---⌫----|---|-⌫---|-----|-|---||--|-----|-----⌫-------|-|--------|-⌫----|-|------|---|
Etfactaestfames maximain ciuitateRomana ,ut etiamnatos suosu el len t come d ere.	-|----|--|----|-----|-|-------|------⌫|-|----|----|---|-⌫--⌫---⌫|----⌫-⌫---|
D ie[i 1Kb]aut emtert iadecimaintroiuitinciuitatemRomanam,indict.	-⌫-|-|---|---⌫-|----⌫-|-----|--------|-|--------|-------|------|
XIu[k1Kb],perp ortamsanctiPauli.	--|-|---||--|-⌫----|-----|-----|
108Eodemtempo remisitimperatorIustinia nusNarsetemeunuchumet cubic ulari um suu minIt alia m,qui,datapugnacumGothis, don auiteiDeu s uictoriam ,etoccisusestre x, et multitudo G othorumi nterfectisunt.	--|----|-----⌫-|----|--------|--------⌫--|-------|-------|-|-----⌫-----⌫-|---⌫|-|--⌫----⌫-|---|---|----|--|------|---⌫---|-|---⌫|---------⌫|-|------|--|--⌫-|-|--------|-⌫------|-⌫--------|----|
Tun cadunatus clerusro gauer untNa rsetem, ut una cum ei ussugg estion e r ogarent princi pem,utsi adhu cuiueretu ig ili u s papa, au t pr esbyter os,seudiaconos[m1Kb] ,uelclerus, quicum e odem uigiliofuerantin exsi lium deportat i,reuert erentur.	---⌫|-------|-----|--⌫-----⌫--|--⌫------|-|--|--|--⌫-|----⌫------⌫|-⌫------|------⌫---|-|-|----⌫|------|-⌫--⌫---⌫-⌫|----|--⌫|--⌫-------⌫--|--|-------|-|---||--|------|--|--|-⌫---|------|------|-|----⌫---|--------⌫-|------⌫-------|
SusceptaautemrelationeNarsetis,ue l cuncti cleriRomanil etuseffectusest imperator ,eto mnes inc lyti e iuseoqu odrequiemdon ass et DeusRoma nis?	-------|----|--------|--------|--⌫|-----|----|-----|-⌫---|-------|--|---------⌫|-|-⌫---|---⌫---|-⌫--|-|--⌫-|------|---⌫---⌫-|---|----⌫---|
E tmo x misit iussiones suasperd iuer sa lo ca,ubi fuerantinexsiliumdeportati inGyp so etProcon isso[a1Kb],et adduxit eosan tese imperator,dic en seis:*uultis recipere uigili um,utfuit papaue ster .	-⌫|--⌫|----|--------|---|--|-⌫----⌫-|--⌫--|--|------|-|-------|--------|-|---⌫-|-|------⌫---|-|---||-|------|--|--⌫-|-|---------|---⌫--⌫|---||-----|-------|------⌫--|-|---|---|--⌫----⌫|
gratiasago, minus non.	------|---|----|---|
[4Kb] [1Kb][Altaserra, Antoni us:2Kb][Bencinus: 11Kb][Binius, Se uerinu s;	----|----|----------|------⌫--|---|---------|----|-------|--⌫------⌫-|
109Pelagius,natione Romanus,e xpatreIoanne uicariano,sedita nnosquatuor [a 1Kb], m ens esdecem,dies decemetocto.	--|--------|------|-------|-⌫|----|-----|---------|----|-⌫---|------|-|---||-⌫---⌫-|-----|---|----|-|----|
Etdumnone ssetepiscopus,qu ieumordinar e t,inuentisunt duo episcopi Io annesde Perusia,etB onus de Fl orentino[b1Kb],etAndreaspresby terde Host ia[c1 Kb], etordinau erunt eump onti ficem.	-|--|--|-⌫---|---------|--⌫|--|-------⌫-⌫-|------|---|--|-------|--⌫----|-|-------|-|-⌫---|-|--⌫-------|-|---||-|------|------⌫--|-|----⌫-|-|-⌫--||-|-------⌫----|--|-⌫----⌫-----|
Tun c non erant inclero,quipotera nt e umpromo u ere,quiaetmona steria, et multitudo religiosorum,ets a pient iumn obiliumsubduxeruntseacom muni o ne eiu s,di centesquiainmor teuigiliipape seimmiscui t,uttant ispe nisaffliger etur.	---⌫|--|----|-|-----|--|------⌫-|-⌫-|-----⌫-⌫---|---|-|----⌫------|-|--------|------------|-|-⌫-⌫-----⌫--|-⌫------|----------|-||---⌫----⌫-⌫-|---⌫-|--⌫-----|---|-|---⌫-|------|---|-|--------⌫-|-|----⌫-|--⌫--|--------⌫----|
E od emtempor eNarses,et P elagiuspapa consilio inito data litania asanctoP ancratiocu mhymnis,etcantic isspiritualibu suenerunt ad sanctu m Petru mapostol um.	-⌫--⌫-|------⌫|------|-|-⌫------|---|-------|----|---|------||-----|-⌫-------|--⌫|------|-|------⌫-|------------⌫|-------|-|------⌫|-----⌫|-------⌫--|
Qui Pelag i uste nens Eua ngelia,etcrucemDo m inis upe r caputsuu m inambonemascendens satisfeci t cunctopop ulo etplebi, quianullumm alum p eregiss etc ont r auigilium .	--|-----⌫-⌫-|--⌫---|---⌫------|-|-----|--⌫-⌫--|-⌫---⌫|----|---⌫|-|------|--------|---------⌫|-----|---⌫--|-|-----|---|-----|-⌫---|-⌫-------⌫-|-⌫---⌫-⌫|--------⌫|
Item adiecit Pe lagiuspapa,etdixit: Petoenim, utpetitionemme amconfirmetis,ut s iq u isil le e st, quipromouendu sin sanctaEcclesia dignusinueniturab ostiario, usquea dgrad us episco patus, ut nequeperau rum,neque pera liqua spromissionesprof iciat.	---|------|--⌫-----|----|-|-----|---|----|-|---------|--⌫-|-----------|-|-⌫|-⌫-⌫-|--⌫-|-⌫--|--|----------⌫|-|-----|-------|-----|--------|-|--------|----|-⌫|----⌫-|------⌫-----|-|----|--|--⌫---|----|--|-⌫-----⌫|-----------|----⌫-----|
IOANNESIII.	------|---|
[4Kb] [1 Kb] [Altaserr a,Anto nius:2Kb][ Be ncinus:3 Kb][Binius,Seuerinus;	----|--⌫--|---------⌫-|----⌫----|---|-⌫--⌫------|-⌫--|-------|---------|
110I oanne s natione Ro manus,e x pat r eAn astasio,illustriuiro,se ditannos 12, dies27,me nse s 11[a1 Kb].	--|-⌫-----⌫|------|--⌫-----|-⌫|---⌫-⌫|--⌫-------|-------|----|--⌫--|----|--|---|--|--⌫---⌫|-|-|-⌫--||
Hic a m auitet r es taurauitcemeteria san ctor um martyrum.	--|-⌫-⌫---|-|-⌫--⌫-------|--------|---⌫----⌫-|--------|
Hicconstituitut ob lationes etampulle[b1Kb]uelluminar iaineisdemcemeteriis perom nesDo minic as deLa te ranisminist rarentur.	--|---------|-|--⌫-------|-|------|-|---|--|-------⌫-|-|-----|---------|--|--⌫--|--⌫-----⌫-|-|--⌫--⌫----|------⌫--------|
Hicperfecit eccles iamapostoloru mPhi lip pi etIacobi,etdedic auit eam.	--|-------|------⌫--|----------⌫|---⌫---⌫-|-|------|-|-----⌫---|---|
Eodemte mporeHeruliin Tarsia [c1Kb]uener unt, etleua ueruntsibi regem Sindualt[d 1Kb] ,etprem ebantcunctamItaliam.	----|--⌫----|-----|-|-----|-|---|-----⌫---|-|----⌫-----|---|----|-------|-|---||-|----⌫----|------|-------|
AtegressusNarsesadeum,inte r f e ctus estrex, et omnemg en temHerulo rum sibisubiugauit.	-|-------|-----|-|---|----⌫-⌫-⌫-⌫---|--|---|-|----|-⌫--⌫--|------⌫--|---|----------|
DeindeuenitA mingus duxFranc orum,etBu ccell in us .	-----|----|-⌫-----|--|-----⌫----|-|--⌫-----⌫--⌫--⌫|
Simi l im o doetipsipremebant Italiam.	----⌫-⌫|-⌫-⌫-|-|---|--------|-------|
Sedau xil iante Domin oet ips i aNarseteint erfectisu nt.	--|--⌫---⌫----|-----⌫|-|---⌫||------|---⌫------|--⌫--|
Era tergo totaItaliagaudens.	---⌫|---|---|-----|-------|
Tun c Roma niinuidiaduc ti suggest ionemfeceruntIust iniano[e1Kb ],et Sop hie,quia exp ediera t RomanisGothis ser uire,quamGrecis .	---⌫|----⌫-|------|---⌫-|-------⌫----|-------|----⌫-----|-|---⌫||-|---⌫---|---|---⌫------⌫|------|-----|---⌫----|---|------⌫|
UbiNarseseunuchusimperat,etser uitionon subiicit;	--|-----|-------|-------|-|---⌫----|--|--------|
Et piissimus pr inceps nosterh ecignorat .	-|--------|--⌫-----|-----|-⌫-|-------⌫|
BENED ICTUS .	-----⌫-----⌫|
[2Kb] [Alt aserra,Anton ius: 11 Kb][ Bi niu s,Seuerinus ;	----|----⌫------|-----⌫---|--⌫--|-⌫--⌫---⌫-|---------⌫|
111 Bened ictus,nationeR omanus,expatre Bonif acio,sedit annos tres [ a1Kb] ,mens emunum,di es d ecemet octo.	--|-----⌫-----|------|-⌫------|-|----|-----⌫----|----|----|---|-⌫|---||----⌫-|----|--⌫-|-⌫---|-|----|
Eodem temp oregensLongob ardoruminuasi tomnemI taliam,si mulq ueetfamesn imia,ut etiamm ul titudocastr orumsetradidissent [b 1K b] L ong obardis,ut temperarep os sent ino p iamfa mis.	----|----⌫--|---|------⌫------|------⌫|----|-⌫------|--⌫----⌫-|-|----|-⌫----|-|----|-⌫--⌫-----|-----⌫---|-|-----------|-|--⌫-|-⌫---⌫-------|-|--------|-⌫--⌫---|---⌫-⌫--|--⌫---|
Etdum c og nouissetIustinus p iissimusimperator, q ui aRomapericlitareturfameetm o r tal itat e,misitinAegyptum, etoneratasnau es frumentot ransm i sitRomam,etsicmisertus e stDeu sItalie .	-|--|-⌫--⌫-------|-------|-⌫-------|---------|-⌫--⌫|---|-------------|---|-|-⌫-⌫-⌫---⌫----⌫-|----|-|--------|-|-------|---⌫-|-------|-⌫-----⌫-⌫--|-----|-|--|-------|-⌫-|---⌫|------⌫|
P ELAGIUS II.	-⌫------|--|
[2K b][Altas erra, A ntoniu s:1Kb] [Ben ci nu s: 1 K b ][ Binius,Seuerinu s;	---⌫-|------⌫----|-⌫------⌫-|---|----⌫--⌫--⌫-|-⌫-⌫-⌫|-⌫------|--------⌫-|
112 Pelagius, nation eRomanus,expatreuinigildo,se ditannosd ecem [a1Kb],menses duos,diesde cem [ b1Kb].	--|--------|------⌫|-------|-|----|---------|--⌫--|----|-⌫---|-|---||-----|----|---|--⌫--|-⌫|---||
Hicordinatur absqueiussionep rincipis, eo qu odLongobardiobsiderent ciuitatemRomanam,et multauastatioab eis in Italiafieret.	--|--------|-----|-------|-⌫--------|-|--⌫-|---------|---------|--------|-------|-|----|-------|-|--|-|-----|------|
Eo demt empore tantepluui efuer unt,u tomn esdicer ent,quiaaquedi l uuiisu per nosinundantur [c 1Kb] , ettalis cladesfu it,qualemaseculo nullus m eminitfui sse .	--⌫--|-⌫-----|----|-----⌫|----⌫---|-⌫|---⌫-|-----⌫---|---|---|--⌫-⌫---|--⌫--|--|---------|-|---||-|----|-----|--⌫--|-----||-----|-----|-⌫-----|---⌫---⌫|
Eodem tempore in uestiuitcorpusbea ti Pe triap ostol i tabulis argente i s d e a uratis.	----|------|--⌫-------|-----|---⌫-|--⌫--|--⌫-----⌫|------|-------⌫-⌫|-⌫-⌫-⌫------|
Hicdomumsuamfecit p toch iumpauperum [d1Kb] , et senum.	--|----|---|----|-⌫----⌫--|-------|-|---||-|-----|
Hicfec itceme terium b eatiHer me tisma rtyris.	--|---⌫-|----⌫-----|-⌫---|---⌫--⌫--|--⌫------|
SANCTU SGRE GORIUS.	------⌫|---⌫------|
[ 5Kb] [Baldinus:8 Kb ][Bencinus:4K b] [Binius,Seueri nus ;	-⌫---|---------|-⌫--⌫|---------|--⌫-|-------|------⌫---⌫|
