Etuocetube	Et uoce tube
meosremĩiustamfacientespreuaricaciones	meos rem ĩiustam facientes preuaricaciones
odiuiNonadhesitmͥcorprauũdeclinantẽamemalignum	odiui Non adhesit mͥ cor prauũ declinantẽ a me malignum
nõcognoscebamDetͣhentemsecretoproximo	nõ cognoscebam Detͣhentem secreto proximo
suohuncꝑsequebar	suo hunc ꝑsequebar
Suꝑboocl̃o⁊	Suꝑbo ocl̃o ⁊
insaciabilicordecum	insaciabili corde cum
hocnõedebamOculimeiad	hoc nõ edebam Oculi mei ad
fidelesterreutsedeat	fideles terre ut sedeat
mecumambulansĩuiaĩmaculata	mecum ambulans ĩ uia ĩmaculata
hicmͥministrabatNon	hic mͥ ministrabat Non
h̃itabitinmediodom᷒meequi	h̃itabit in medio dom᷒ mee qui
facitsuꝑbiamquiloquitur	facit suꝑbiam qui loquitur
iniquanondirexitinconspectuoculoꝝmeoꝝInmatutino	iniqua non direxit in conspectu oculoꝝ meoꝝ In matutino
int̃ficiebamom̃spcc̃oresterreutdisꝑd̃emde	int̃ficiebam om̃s pcc̃ores terre ut disꝑd̃em de
ciuitatedñiom̃s	ciuitate dñi om̃s
oꝑantesiniquitatemor̃opauꝑiscũanxiaretur⁊coramdño	oꝑantes iniquitatem or̃o pauꝑis cũ anxiaretur ⁊ coram dño
effũditcemsuamDomineexaudi	effũdit cem suam Domine exaudi
or̃onemmeam⁊clamormeusadteueniat	or̃onem meam ⁊ clamor meus ad te ueniat
Nonaũtasfaciem	Non aũtas faciem
tuamameĩquacunqdie	tuam a me ĩ quacunq die
tribulorinclinaadmeauremtuam	tribulor inclina ad me aurem tuam
InquacumqdieinuocaueroteuelociterexaudimeQuia	In quacumq die inuocauero te uelociter exaudi me Quia
defeceruntsicutfumusdiesmei	defecerunt sicut fumus dies mei
⁊ossameasicutcremiũaruerunt	⁊ ossa mea sicut cremiũ aruerunt
Percussussumsicutfenum⁊aruitcormeum	Percussus sum sicut fenum ⁊ aruit cor meum 
oblitussumcomed̃epanemmeuma	oblitus sum comed̃e panem meum a
Auocegemitusmeiadhesitos	A uoce gemitus mei adhesit os
meumcarnimeesSimilis	meum carni mee sSimilis
factussum	factus sum
pellicanosolitudinis	pellicano solitudinis
factussumsicutnicticoraxĩdomiciliovVigilaui⁊	factus sum sicut nicticorax ĩ domicilio vVigilaui ⁊
fact᷒sumsicut	fact᷒ sum sicut
passersolitariusĩtecto	passer solitarius ĩ tecto
Totadie	Tota die
exꝓbrabantmͥinimicimei⁊quilaudabantmeadũsumme	exꝓbrabant mͥ inimici mei ⁊ qui laudabant me adũsum me
iurabantQuiacineremtanquampanemmanducabam	iurabant Quia cinerem tanquam panem manducabam
⁊poculummeumcumfletumiscebamaA	⁊ poculum meum cum fletu miscebam a A
facieireindignationistueeleuansallisisti	facie ire indignationis tue  eleuans allisisti
meDiesmeisicutumbradeclinauerunt⁊egosicutfenum	me Dies mei sicut umbra declinauerunt ⁊ ego sicut fenum
aruitTuaut̃	arui tTu aut̃
dñeinet̃num	dñe in et̃num
ꝑmanes⁊memorialetuumĩ	ꝑmanes ⁊ memoriale tuum ĩ
gñacione⁊gñacionẽtTuexsurgensmisereberissyontemp᷒	gñacione ⁊ gñacionẽ tTu exsurgens misereberis syon  temp᷒
miserendieius	miserendi eius 
uenittemp᷒	uenit temp᷒
Q̃mplacuerunt	Q̃m placuerunt
seruistuislapidesei᷒⁊terreeiusmiserebunturEttimebunt	seruis tuis lapides ei᷒ ⁊ terre eius miserebuntur Et timebunt
gentesnom̃tuumdñe⁊om̃sregest̃re	gentes nom̃ tuum dñe ⁊ om̃s reges t̃re
gl̃iamtuamQuiaedificauitdñssyon⁊uidebit᷑in	gl̃iam tuam Quia edificauit dñs syon ⁊ uidebit᷑ in
gl̃iasuaRespexitinor̃onem	gl̃ia sua Respexit in or̃onem
hũilium⁊nõspreuitpreces	hũilium ⁊ nõ spreuit preces
eoꝝScribant᷑h̃	eoꝝ Scribant᷑ h̃
ingeneracõnealtera⁊ppl̃squicreabiturlaudabit	in generacõne altera ⁊ ppl̃s qui creabitur laudabit
dñmQuiaꝓspexitdeexcelsosc̃osuodñsde	dñm Quia ꝓspexit de excelso sc̃o suo dñs de
celoint̃ramaspexitEtaudiretgemit᷒ꝯpeditoꝝutsolueret	celo in t̃ram aspexit Et audiret gemit᷒ ꝯpeditoꝝ ut solueret
filiosint̃emptoꝝ	filios int̃emptoꝝ
Etannũcientinsyonnomendñi⁊laudemeius	Et annũcient in syon nomen dñi ⁊ laudem eius
inierl̃miInconueniendoppl̃osinunũ⁊regesut	in ierl̃m iIn conueniendo ppl̃os in unũ ⁊ reges ut
seruiantdño	seruiant dño
Responditeiĩuia	Respondit ei ĩ uia
uirtutissuæpaucitatẽdieꝝmeoꝝ	uirtutis suæ paucitatẽ dieꝝ meoꝝ
nũciamͥNereuocesmeindimidiodieꝝ	nũcia mͥ Ne reuoces me in dimidio dieꝝ
meoꝝingñacione⁊geñacionemannituiInicio	meoꝝ in gñacione ⁊ geñacionem anni tui Inicio
tudñet̃ram	tu dñe t̃ram
fundasti⁊	fundasti ⁊
oꝑamanuũtuaꝝs̃tceliIp̃iꝑibunttuaut̃ꝑmanes	oꝑa manuũ tuaꝝ s̃t celi Ip̃i ꝑibunt tu aut̃ ꝑmanes
⁊om̃ssicut	⁊ om̃s sicut
uestimentũuet̃ascentEtsicutoꝑtoriummutabiseos⁊	uestimentũ uet̃ascent Et sicut oꝑtorium mutabis eos ⁊
mutabunturtuaũidẽipse	mutabuntur tu aũ idẽ ipse
es⁊anni	es ⁊ anni
tuinondeficient	tui non deficient
Filiiseruoꝝtuoꝝh̃itabunt⁊semeneoꝝ	Filii seruoꝝ tuoꝝ h̃itabunt ⁊ semen eoꝝ
inscl̃mdirigeturps̃ip̃i	in scl̃m dirigetur ps̃ ip̃i
d̃dBenedic	d̃d Benedic
aĩameadño	aĩa mea dño
⁊õiaqueintrame	⁊ õia que intra me
suntnõisc̃oeiusBenedicaĩamea	sunt nõi sc̃o eius Benedic aĩa mea
domino⁊noliobliuisci	domino ⁊ noli obliuisci
õesretribucioneseiusqQuiꝓpiciaturõibusiniquitatibtuis	ões retribuciones eius qQui ꝓpiciatur õibus iniquitatib tuis
quisanatom̃sinfirmitatestuasQui	qui sanat om̃s infirmitates tuas Qui
redimitdeinterituuitãtuamquicoronattemĩa	redimit de interitu uitã tuam qui coronat te mĩa
⁊miseracionibQuirepletin	⁊ miseracionib Qui replet in
bonisdesideriumtuumrenouabiturutaquileiuuentustua	bonis desiderium tuum renouabitur ut aquile iuuentus tua
Faciensmisericordiasdñs⁊iudicium	Faciens misericordias dñs ⁊ iudicium
õibĩiuriampacientibNotasfecituiassuas	õib ĩiuriam pacientib Notas fecit uias suas
moysifiliisisr̃l	moysi filiis isr̃l
uoluntatessuasaMiserator	uoluntates suas a Miserator
⁊misericorsdñslonganimis	⁊ misericors dñs longanimis
⁊multummisericorsNoninꝑpetuumirascetur	⁊ multum misericors Non in ꝑpetuum irascetur
nĩet̃numꝯminabiturNonscd̃mpeccatanr̃afecitnob̃	n ĩ et̃num ꝯminabitur Non scd̃m peccata nr̃a fecit nob̃
nscd̃miniquitatesnr̃asretribuitnob̃	n scd̃m iniquitates nr̃as retribuit nob̃
Q̃mscd̃maltitudinẽceliaterracorroborauit	Q̃m scd̃m altitudinẽ celi a terra corroborauit
mĩamsuamsuꝑtimentesseQuantũdistatort᷒	mĩam suam suꝑ timentes se Quantũ distat ort᷒
aboccidente	ab occidente
longefecitanob̃iniquitates	longe fecit a nob̃ iniquitates
nr̃asQuomͦmiseretur	nr̃as Quomͦ miseretur
pat̃filioꝝmisertus	pat̃ filioꝝ misertus
estdñstimentib	est dñs timentib
seqm̃ip̃ecognouitfigm̃tumnr̃m	se qm̃ ip̃e cognouit figm̃tum nr̃m
Recordatusestqm̃	Recordatus est qm̃
puluissumush̃o	puluis sumus h̃o
sicutfenumdieseiustamꝙͣflosagrisic	sicut fenum dies eius tamꝙͣ flos agri sic
efflorebitQ̃msp̃sꝑtransibitinillo⁊non	efflorebit Q̃m sp̃s ꝑtransibit in illo ⁊ non
subsistet⁊	subsistet ⁊
nõcognoscetampliuslocumsuũMĩaaut̃dñi	nõ cognoscet amplius locum suũ Mĩaaut̃ dñi
abet̃no⁊usq	ab et̃no ⁊ usq
ĩet̃nũsuꝑtim̃teseumEt	ĩ et̃nũ suꝑ tim̃tes eum Et
iusticiailli᷒infiliosfilioꝝhiisquiseruanttestam̃tum	iusticia illi᷒ in filios filioꝝ hiis qui seruant testam̃tum
eiusEtmemoress̃tCantatedño	eius Et memores s̃t Cantate dño
canticũnouũqͥamirabiliafec̃Saluauitsibidext͛aeiuset	canticũ nouũ qͥa mirabilia fec̃ Saluauit sibi dext͛a eius et
brachiũsc̃meiusNotũfecit	brachiũ sc̃m eius Notũ fecit
dñssalutaresuũinꝯspectu	dñs salutare suũ in ꝯspectu
gentiũreuelauitiusticiãsuamRecordatusẽmĩe	gentiũ reuelauit iusticiã suam Recordatus ẽ mĩe
sueetueritatisuedomuiisr̃l	sue et ueritati sue domui isr̃l
Viderũtõst̃miniterresalutaredeinr̃iiubilatedominoõis	Viderũt õs t̃mini terre salutare dei nr̃i iubilate domino õis
terracantateexultatepsallitePsallitedñoincythara	terra cantate  exultate  psallite Psallite dño in cythara
incytharauocepsalmiintub̃ductilibet	in cythara  uoce psalmi in tub̃ ductilib et
uocetubecorneeIubilateinꝯspectu	uoce tube cornee Iubilate in ꝯspectu
regisdñimoueaturmare	regis dñi moueatur mare 
plenitudoorbisterraꝝetquihabitantineo	plenitudo orbis terraꝝ et qui habitant in eo
Fluminaplaudentman᷒siml̃montesexultabunta	Flumina plaudent man᷒ siml̃ montes exultabunt a
ꝯspectudominiqm̃uenitiudicare	ꝯspectu domini qm̃ uenit iudicare
t̃ramIudicabitorbẽterraꝝin	t̃ram Iudicabit orbẽ terraꝝ in
iusticiaetppl̃osinequitateXCVIIIps̃dauid	iusticia et ppl̃os in equitate XCVIII ps̃ dauid
Dñsregnauitirascant᷑ppl̃iquisedessuꝑcherubinmoueaturterra	Dñs regnauit irascant᷑ ppl̃i qui sedes suꝑ cherubin moueatur terra
Dñsinsyon	Dñs in syon
magnusetexcelsussuꝑomnesppl̃osConfiteanturnomini	magnus et excelsus suꝑ omnes ppl̃os Confiteantur nomini
tuomagno	tuo magno
qm̃terribilesc̃mẽethonorregisiuditiũ	qm̃ terribile  sc̃m ẽ et honor regis iuditiũ
diligitTuparastidirectõnesiuditiumetiusticiãin	diligit Tu parasti directõnes iuditium et iusticiã in
iacobtu	iacob tu
fecistiExaltatedñmdeũ	fecisti Exaltate dñm deũ
nostrũetadoratescabellumpedũeiusqm̃sc̃mest	nostrũ et adorate scabellum pedũ eius qm̃ sc̃m est
Moysesaaroninsacerdotibei᷒etsamuhel	Moyses  aaron in sacerdotib ei᷒ et samuhel
int̃eosquiinuocantnom̃eius	int̃ eos qui inuocant nom̃ eius
Inuocabantdñmetip̃e	Inuocabant dñm et ip̃e
exaudiebateosin	exaudiebat eos in
colũpnanub̃loq̃baturadeosCustodiebanttestimoniaeius	colũpna nub̃ loq̃batur ad eos Custodiebant testimonia eius
etceptũq̃d	et ceptũ q̃d
deditillisDñedeusnr̃	dedit illis Dñe deus nr̃
tuexaudiebaseosdeus	tu exaudiebas eos deus
tuꝓpitiusfuisti	tu ꝓpitius fuisti
eisetulciscensinomnesadinuentõneseoꝝExaltatedominũ	eis et ulciscens in omnes adinuentõnes eoꝝ Exaltate dominũ
deũnr̃metadorateinmõtesc̃o	deũ nr̃m et adorate in mõte sc̃o
eiusqm̃sc̃sdñsdeusnr̃XXIXps̃	eius qm̃ sc̃s dñs deus nr̃ XXIX ps̃
d̃dinꝯfessioneIVbilatedñoõisterraseruitedño	d̃d in ꝯfessione IVbilate dño õis terra seruite dño
inleticiaIntroiteinꝯspectueiusin	in leticia Introite in ꝯspectu eius in
exultatõneScitoteqm̃dñsip̃eestdeusip̃efecit	exultatõne Scitote qm̃ dñs ip̃e est deus ip̃e fecit
nosñip̃i	nos  ñ ip̃i
nosPopuluseius	nos Populus eius
ouespascueintroiteportaseius	 oues pascue introite portas eius
inꝯfessioneatriaeiusinhymnisꝯfiteminiilliLaudatenom̃	in ꝯfessione atria eius in hymnis ꝯfitemini illi Laudate nom̃
eiusqm̃suauisestdñsineternũmĩaeius	eius qm̃ suauis est dñs in eternũ mĩa eius
etusqingeneratõnẽetgenerationẽueritaseiusC	et usq in generatõnẽ et generationẽ ueritas eius C
psalmusdauidMiscd̃iam	psalmus dauid Miscd̃iam
iuditiũcantabotibidñe	 iuditiũ cantabo tibi dñe
psallamintelligaminuiaĩmacl̃ata	psallam  intelligam in uia ĩmacl̃ata
quandoueniesadmePerambulabam	quando uenies ad me Perambulabam
ininnocentiacordismeiinmediodomusmee	in innocentia cordis mei in medio domus mee
Nonꝓponebamanteoculosmeosreminiustãfacientesuaricationes	Non ꝓponebam ante oculos meos rem iniustã facientes uaricationes
odiuiNonadhesitmichi	odiui Non adhesit michi
corprauũdeclinantẽamemalignũñcognoscebãDetrahentẽ	cor prauũ declinantẽ a me malignũ ñ cognoscebã Detrahentẽ
secretoꝓximosuo	secreto ꝓximo suo
huncꝑseq̃barSuꝑboocl̃oinsaciabili	hunc ꝑseq̃bar Suꝑbo ocl̃o  insaciabili
cordecũhocñedebã	corde cũ hoc ñ edebã
Oculimei	Oculi mei
adfideles	ad fideles
t͛reutsedeantmecũambulans	t͛re ut sedeant mecũ ambulans
inuiaĩmacl̃ata	in uia ĩmacl̃ata
hicmichiministrabatNonhabitabit	hic michi ministrabat Non habitabit
inmediodomusmeequifacitsuꝑbiãqui	in medio domus mee qui facit suꝑbiã qui
loquituriniquañ	loquitur iniqua ñ
direxitincõspectuocl̃oꝝmeoꝝ	direxit in cõspectu ocl̃oꝝ meoꝝ
Inmatutinoint͛ficiebãõspcc̃ores	In matutino int͛ficiebã õs pcc̃ores
terreutdisꝑd͛emdeciuitatedñiom̃soꝑantesiniquitatẽCI	terre ut disꝑd͛em de ciuitate dñi om̃s oꝑantes iniquitatẽ CI
Or̃opauꝑiscũanxiatusfu͛itetcoram	Or̃o pauꝑis cũ anxiatus fu͛it et coram
deoseeffuderitpostprecemDñeexaudi	deo se effuderit post precem Dñe exaudi
or̃onemmeametclamormeusad	or̃onem meam et clamor meus ad
teueniatNon	te ueniat Non
au͛tasfaciẽtuãameinquacũq	au͛tas faciẽ tuã a me in quacũq
dietribulor	die tribulor
inclinaadmeaurẽtuãIn	inclina ad me aurẽ tuã In
quacũqdieinuocaueroteuelocit͛exaudimeQuia	quacũq die inuocauero te uelocit͛ exaudi me Quia
defecer̃tsic̃fumus	defecer̃t sic̃ fumus
diesmeietossa	dies mei et ossa
measic̃cremiũ	mea sic̃ cremiũ
aruer̃tPercussussũ	aruer̃t Percussus sũ
utfenũ	ut fenũ
aruitcormeũ	 aruit cor meũ
quiaoblitussũcomed͛epanẽ	quia oblitus sũ comed͛e panẽ
meũAuocegemitus	meũ A uoce gemitus
meiadhesitosmeũcarnimee	mei adhesit os meũ carni mee
Simil̃fc̃ssũpellicanosolitudinisfc̃ssũsic̃niticoraxin	Simil̃ fc̃s sũ pellicano solitudinis fc̃s sũ sic̃ niticorax in
domicilioVigilauietfc̃ssũ	domicilio Vigilaui et fc̃s sũ
sic̃passersolitariusintectoTotadie	sic̃ passer solitarius in tecto Tota die
exꝓbrabantmichiinimici	exꝓbrabant michi inimici
meietqͥ	mei et qͥ
laudabantmeadu͛summeiurabãtQuiacinerẽtanquãpanẽ	laudabant me adu͛sum me iurabãt Qui a cinerẽ tanquã panẽ
manducabãetpotũmeũcũfletumiscebãA	manducabã et potũ meũ cũ fletu miscebã A
facieireindignatõnis	facie ire indignatõnis
tuequia	tue quia
eleuansallisistimeDiesmeisicutumbra	eleuans allisisti me Dies mei sicut umbra
declinauer̃tet	declinauer̃t et
egosic̃fenũaruiTu	ego sic̃ fenũ arui Tu
autẽdñeineternũꝑmanes	autẽ dñe in eternũ ꝑmanes
etmemorialetuũ	et memoriale tuũ
ingenerationẽgeneratõnẽTuexurgensmisereberissyonquia	in generationẽ  generatõnẽ Tu exurgens misereberis syon quia
tempusmiserendieiusquiauenittemp᷒Q̃m	tempus miserendi eius quia uenit temp᷒ Q̃m
placuer̃tseruistuislapideseiuset	placuer̃t seruis tuis lapides eius et
t͛reeiusmiserebunturEttimebuntgentesnom̃tuũdñeet	t͛re eius miserebuntur Et timebunt gentes nom̃ tuũ dñe et
õsreges	õs reges
t͛regl̃amtuãQuiaedificabitdñssyonetuidebiturĩ	t͛re gl̃am tuã Quia edificabit dñs syon et uidebitur ĩ
gl̃asuaRespex̃inoratõnẽhumiliũetñ	gl̃a sua Respex̃ in oratõnẽ humiliũ et ñ
spreuitcemeoꝝ	spreuit cem eoꝝ
Scribanturhecingeneratõnealt͛aetppl̃squi	Scribantur hec in generatõne alt͛a et ppl̃s qui
creabiturlaudabitdñmQuia	creabitur laudabit dñm Quia
ꝓspex̃de	ꝓspex̃ de
excelsosc̃osuodñsdecelo	excelso sc̃o suo dñs de celo
interrãaspex̃Vtaudiret	in terrã aspex̃ Vt audiret
gemituscõpeditoꝝ	gemitus cõpeditoꝝ
utsolueret	ut solueret
filiosinterẽptoꝝVtannuntientin	filios interẽptoꝝ Vt annuntient in
syonnom̃dñietlaudẽeiusinihrl̃mIn	syon nom̃ dñi et laudẽ eius in ihrl̃m In
ꝯueniendoppl̃osinunũetregesutseruiantdño	ꝯueniendo ppl̃os in unũ et reges ut seruiant dño
Responditeiinuiauirtutis	Respondit ei in uia uirtutis
suepaucitatẽdieꝝmeoꝝnuntiamichiNereuocesmein	sue paucitatẽ dieꝝ meoꝝ nuntia michi Ne reuoces me in
dimidiodieꝝmeoꝝ	dimidio dieꝝ meoꝝ
ingeneratõnẽgeneratõnẽanni	in generatõnẽ  generatõnẽ anni
tuiInitõtudñeterrãfundastiet	tui Initõ tu dñe terrã fundasti et
oꝑamanuũ	oꝑa manuũ
tuaꝝsuntceliIp̃i	tuaꝝ sunt celi Ip̃i
ꝑibunttuautẽꝑmanesetom̃s	ꝑibunt tu autẽ ꝑmanes et om̃s
sic̃uestim̃tũueterascentEtsic̃oꝑtoriũmutab̃eos	sic̃ uestim̃tũ ueterascent Et sic̃ oꝑtoriũ mutab̃ eos 
mutabunturtuautẽidẽip̃ees	mutabuntur tu autẽ idẽ ip̃e es
etannituiñdeficient	et anni tui ñ deficient
Filiiseruoꝝtuoꝝ	Filii seruoꝝ tuoꝝ
habitabũtetsem̃eoꝝinscl̃mdirigeturCIIlausip̃i	habitabũt et sem̃ eoꝝ in scl̃m dirigetur CII laus ip̃i
d̃dBenedicaĩameadñoet	d̃d Benedic aĩa mea dño et
õiaq̃intrame	õia q̃ intra me
sũtnõisc̃oeiusBenedicaĩamea	sũt nõi sc̃o eius Benedic aĩa mea
dñoetnoliobliuisci	dño et noli obliuisci
om̃sretributõneseius	om̃s retributõnes eius
Quiꝓpiciatur	Qui ꝓpiciatur
õibiniquitatibtuisquisanatõsinfirmitates	õib iniquitatib tuis qui sanat õs infirmitates
Quiredimit	Qui redimit
deinterituuitãtuãqui	de interitu uitã tuã qui
coronatteinmĩamiseratõnibQuirepletin	coronat te in mĩa  miseratõnib Qui replet in
bonisdesideriũtuũrenouabiturutaquileiuuentus	bonis desideriũ tuũ renouabitur ut aquile iuuentus
tuaFaciensmĩasdñsetiudicium	tua Faciens mĩas dñs et iudicium
õibiniuriãpacientibNotas	õib iniuriã pacientib Notas
fecituiassuasmoysifiliisisr̃luoluntatessuas	fecit uias suas moysi filiis isr̃l uoluntates suas
Miserator	Miserator 
misericorsdñslonganimisetmultũmisericorsNonĩperpetuũirascetur	misericors dñs longanimis et multũ misericors Non ĩ perpetuũ irascetur
neqineternũcõminabit᷑Nonscd̃mpeccatanr̃afec̃	neq in eternũ cõminabit᷑ Non scd̃m peccata nr̃a fec̃
nobisneqscd̃miniquitates	nobis neq scd̃m iniquitates
nr̃asretribuitnob̃Q̃mscd̃maltitudinemceliaterracorroborauit	nr̃as retribuit nob̃ Q̃m scd̃m altitudinem celi a terra corroborauit
mĩamsuamsuꝑtim̃tesseQuantumdistatortus	mĩam suam suꝑ tim̃tes se Quantum distat ortus
aboccidentelonge	ab occidente longe
fec̃anob̃iniquitates	fec̃ a nob̃ iniquitates
nr̃asQuomͦmiseretur	nr̃as Quomͦ miseretur
pat͛filioꝝmisertusestdñs	pat͛ filioꝝ misertus est dñs
tim̃tibse	tim̃tib se
qm̃ip̃ecognouit	qm̃ ip̃e cognouit
figm̃tũnr̃mRecordatusẽquoniampuluissumushomosic̃fenũ	figm̃tũ nr̃m Recordatus ẽ quoniam puluis sumus homo sic̃ fenũ
dieseiustanquãflosagrisiefflorebitQ̃msp̃sꝑtͣnsibit	dies eius tanquã flos agri si efflorebit Q̃m sp̃s ꝑtͣnsibit
inilloñsubsistet	in illo  ñ subsistet
etcognoscetampliuslocũsuũMiscd̃ia	et cognoscet amplius locũ suũ Miscd̃ia
autẽdñiabet͛no	autẽ dñi ab et͛no 
usqinet͛nũsuꝑtim̃teseũEtiusticia	usq in et͛nũ suꝑ tim̃tes eũ Et iusticia
illiusinfiliosfiliestiustorectiscordeleticia	illius in filios fili est iusto  rectis corde leticia
Letaminiiustiindominoꝯfiteminimemoriesc̃ificationiseiusC	Letamini iusti in domino  ꝯfitemini memorie sc̃ificationis eius C
antatedñocanticum	antate dño canticum
nouumquiamirabiliafecitSaluauitsibi	nouum quia mirabilia fecit Saluauit sibi
dext͛aeius	dext͛a eius 
brachiumsc̃meiusNotumfecitdominussalutaresuuminꝯspectu	brachium sc̃m eius Notum fecit dominus salutare suum in ꝯspectu
gentiumreuelauitiusticiamsuamRecordatusestmĩesueu͛itatis	gentium reuelauit iusticiam suam Recordatus est mĩe sue  u͛itatis
suedomuiisr̃lViderũtom̃st͛minit͛resalutared̃inr̃i	sue domui isr̃l Viderũt om̃s t͛mini t͛re salutare d̃i nr̃i
iubilatedñoõist͛racantateexultatepsallitePsallite	iubilate dño õis t͛ra cantate  exultate  psallite Psallite
dñoincytharaĩcythara	dño in cythara ĩ cythara
uocepsalmiĩ	 uoce psalmi ĩ
tubisductilib᷒uocetubecorneeIubilateinꝯspectu	tubis ductilib᷒  uoce tube cornee Iubilate in ꝯspectu
regisdñimoueaturmare	regis dñi moueatur mare
plenitudoeiusorbist͛ra	 plenitudo eius orbis t͛ra
rumquih̃itantineoFluminaplaudẽtmanusiml̃	rum  qui h̃itant in eo Flumina plaudẽt manu siml̃
montesexultabuntaꝯspectudñiqm̃	montes exultabunt a ꝯspectu dñi qm̃
uenitiudicaret͛ramIudicabitorbemt͛raꝝin	uenit iudicare t͛ram Iudicabit orbem t͛raꝝ in
iusticiappl̃osinequitateDominusregnauit	iusticia  ppl̃os in equitate Dominus regnauit
irascanturppl̃iqͥsedes	irascantur ppl̃i qͥ sedes
sr̃cherubinmoueaturt͛raDñsinsyonmagnusexcelsus	sr̃ cherubin moueatur t͛ra Dñs in syon magnus  excelsus
sr̃om̃sppl̃osCõfiteanturnomini	sr̃ om̃s ppl̃os Cõfiteantur nomini
tuomagnoqm̃t͛ribilesc̃mest	tuo magno qm̃ t͛ribile  sc̃m est
honorregisiudiciumdiligitTuparastidirectionesiudicium	 honor regis iudicium diligit Tu parasti directiones iudicium 
iusticiaminiacobtufecistiExaltatedñmdeumnr̃m	iusticiam in iacob tu fecisti Exaltate dñm deum nr̃m
adoratescabellumpedumeius	 adorate scabellum pedum eius
qm̃sc̃mestMoysesaaron	qm̃ sc̃m est Moyses  aaron
insacerdotibeius	in sacerdotib eius 
samuelint͛eosqui	samuel int͛ eos qui
inuocantnomeneiusInuocabantdñmip̃eexaudiebateos	inuocant nomen eius Inuocabant dñm  ip̃e exaudiebat eos
incolumnanubisloquebaturadeosCustodiebant	in columna nubis loquebatur ad eos Custodiebant
testimoniaeius	testimonia eius
etceptumq̃ddedit	et ceptum q̃d dedit
illisDomined̃snr̃tu	illis Domine d̃s nr̃ tu
exaudiebaseosd̃stuꝓpiciusfuistieis	exaudiebas eos d̃s tu ꝓpicius fuisti eis 
ulciscensinom̃sadinuentioneseoꝝExaltatedñm	ulciscens in om̃s ad inuentiones eoꝝ Exaltate dñm
deumnr̃madorateIn	deum nr̃m  adorate In
montesc̃oeiusqm̃sc̃sdominusdeusnr̃	monte sc̃o eius qm̃ sc̃s dominus deus nr̃
Iubilatedñoõist͛raseruitedño	Iubilate dño õis t͛ra seruite dño
inleticiaIntroitein	in leticia Introite in
ꝯspectueiusinexultatiõe	ꝯspectu eius in exultatiõe
Scitoteqm̃dñsip̃eestd̃s	Scitote qm̃ dñs ip̃e est d̃s
ip̃efecitnos	ip̃e fecit nos
ñip̃inosPopuluseius	 ñ ip̃i nos Populus eius
ouespascue	 oues pascue
eiusintroiteportas	eius introite portas
eiusĩꝯfessione	eius ĩ ꝯfessione
atriaeiusinymnisꝯfiteminiilliLaudatenomeneiusqm̃	atria eius in ymnis ꝯfitemini illi Laudate nomen eius qm̃
suauisestdñsĩet͛nummĩaeiususqĩ	suauis est dñs ĩ et͛num mĩa eius  usq ĩ
gen͛ationẽgen͛ationẽu͛itaseius	gen͛ationẽ  gen͛ationẽ u͛itas eius
Miscd̃iamiudiciumcãtabo	Miscd̃iam  iudicium cãtabo
tibidñepsallã	tibi dñe psallã
intelligam	 intelligam
inuiaimmaculataqͣndoueniesadmePerambulabamininnocẽcia	in uia immaculata qͣndo uenies ad me Perambulabam in innocẽcia
cordismei	cordis mei
inmediodomusmeeNonꝓponebam	in medio domus mee Non ꝓponebam
anteocl̃osmeosreminiustã	ante ocl̃os meos rem iniustã
facientesuaricatiõesodiuiNonadhesitmͥcor	facientes uaricatiões odiui Non adhesit mͥ cor
prauũdeclinantemamemalignũñcognoscebam	prauũ declinantem a me malignũ ñ cognoscebam
Detͣhentemsecretoꝓximo	Detͣhentem secreto ꝓximo
suohuncperseq̃barSuperboocl̃oĩsaturciabilicordecum	suo hunc perseq̃bar Superbo ocl̃o  ĩsa turciabili corde cum
hocñedebamOculimei	hoc ñ edebam Oculi mei
adfidelest͛reut	ad fideles t͛re ut
sedeantmecumambulans	sedeant mecum ambulans
inuiaĩmaculatahicmͥministrabatNonhĩtabit	in uia ĩmaculata hic mͥ ministrabat Non hĩtabit
inmedio	in medio
domusmeequifacitsr̃biamqui	domus mee qui facit sr̃biam qui
loqͥturiniqͣnondirexitĩꝯspectu	loqͥtur iniqͣ non direxit ĩ ꝯspectu
ocl̃oꝝmeoꝝInmatutinoĩt͛ficiebamom̃spcc̃ores	ocl̃oꝝ meoꝝ In matutino ĩt͛ficiebam om̃s pcc̃ores
t͛reutdisperderemdeciuitatedñiom̃soperantesiniquitatẽmatut.	t͛re ut disperderem de ciuitate dñi om̃s operantes iniquitatẽ matut.
ͦnoc.Domine	ͦ noc. Domine
exaudior̃onemmeamclamormeus	exaudi or̃onem meam  clamor meus
adteueniatNonau͛tasfaciemtuama	ad te ueniat Non au͛tas faciem tuam a
meinqͣcũq	me in qͣcũq
dietribulorinclinaadme	die tribulor inclina ad me
auremtuamInqͣcũq	aurem tuam In qͣcũq
dieinuocau͛oteuelocit͛exaudimeQuiadefecer̃tsicut	die inuocau͛o te uelocit͛ exaudi me Quia defecer̃t sicut
fumusdiesmeiossameasicutcremiumaruerunt	fumus dies mei  ossa mea sicut cremium aruerunt
Percussussumut	Percussus sum ut
fenumaruit	fenum  aruit
cormeumquiaoblitussumcomed͛e	cor meum quia oblitus sum comed͛e
panemmeumAuocegemitusmei	panem meum A uoce gemitus mei
