fecitconstantin᷒	fecit constantin᷒
q̃m̃gñĩeiseritñsolũ	q̃ m̃gñ ĩ eis erit ñ solũ
suat̃itas⁊̃dãpñtoꝝ	sua t̃ita s ⁊̃ dãpñtoꝝ
eossẽpit̃ñmiẜiañlateb̃ĩuocabim⁊uidebim᷒⁊am̃bim᷒	eos sẽpit̃ñ miẜia ñ lateb̃ ĩuocabim ⁊ uidebim᷒ ⁊ am̃bim᷒
am̃bim᷒⁊laudabim᷒	am̃bim᷒ ⁊ laudabim᷒
Ecceꝙer̃ĩfĩesũfineExplicitHũc	Ecce ꝙ er̃ ĩ fĩe sũ fine Explicit Hũc
libꝝfec̃scͥbidñs	libꝝ fec̃ scͥbi dñs
Bdecastãetod̃i	B de castãeto d̃i
gr̃aep̃salbieñ	gr̃a ep̃s albieñ
annodñi	anno dñi
mͦcccͦorganiciineodẽinstãti	mͦ cccͦ organici in eodẽ instãti
inquodesunteẽtalisꝑsdesinitibiesseaĩa	in quo desunt eẽ talis ꝑs desinit ibi esse aĩa
necsequit᷑p̃phocq̃dinedem	nec sequit᷑ p̃p hoc q̃d in edem
instãtiibi	instãti ibi
sitnõsitnecĩ	sit  nõ sit  nec ĩ
imoĩstãtipesuelmanusestꝑs	imo ĩstãti pes uel manus est ꝑs
ul̃nõꝑs	ul̃ nõ ꝑs
ip̃iuscorꝑisutrumãima	ip̃ius corꝑis utrum ãima
sitsimpliciorom̃ibaliisformisSEcundoquerit᷑utrumaĩa	sit simplicior om̃ib aliis formis SEcundo querit᷑ utrum aĩa
sitsimplicõrom̃ibaliisformis	sit simplicõr om̃ib aliis formis
videt᷑q̃dnõformaque	 videt᷑ q̃d nõ  forma que
estpluribmodiscõpoĩtaqͣmalieest	est  plurib modis cõpoĩta qͣm alie est
ꝯpositõriillissaĩahũanacõpoĩta	ꝯpositõr i illis s aĩa hũana cõpoĩta
estexeẽeẽnciaformeaut̃emq̃educit᷑de	est ex eẽ  eẽncia forme aut̃em q̃ educit᷑ de
potẽciamat͛ieñsũtexeẽeẽnͣꝯpoĩte	potẽcia mat͛ie ñ sũt ex eẽ  eẽnͣ ꝯpoĩte
cũeisnõ	cũ eis nõ
ꝯpetateẽgͦaĩaest	ꝯpetat eẽ gͦ aĩa est
cõpoĩcõreis	cõpoĩcõr eis
Pͣeẽunũcõpoĩci᷒aliodicitqdd	Pͣ eẽ unũ cõpoĩci᷒ alio dicit qdd
qͦsdamgͣdussnulli	qͦsdam gͣdus s nulli
forͤsb̃alicõpetith̃regradusẜmeẽmͣcũquelibtalis	forͤ sb̃ali cõpetit h̃re gradus ẜm eẽmͣ cũ quelib talis
simplici	simplici 
ĩuariabl̃ieẽnͣcõsistatnec	ĩuariabl̃i eẽnͣ cõsistat nec
ẜmeẽq̃dh̃tinsb̃ocũsb̃m	ẜm eẽ q̃d h̃t in sb̃o cũ sb̃m
formesb̃alis	forme sb̃alis
sitip̃mylegͦsaltẽformissb̃alib	sit ip̃m yle gͦ saltẽ formis sb̃alib
aĩaip̃anõeritsimplicõrpͣ	aĩa ip̃a nõ erit simplicõr pͣ
forͣillaq̃pot̃	forͣ illa q̃ pot̃
dicihocaliqͥdẽcõpoĩtõrillaq̃	dici hoc aliqͥd ẽ cõpoĩtõr illa q̃
hocaͥddicinõpot̃s	hoc aͥd dici nõ pot̃ s
aĩahũanasinecorꝑepot̃dicihocaͥdcũ	aĩa hũana sine corꝑe pot̃ dici hoc aͥd cũ
sitĩdiduũingen͛esb̃egͦ	sit ĩdiduũ in gen͛e sb̃e gͦ
eritcõpoĩtõraliisformisquibind̃iduatõ	erit cõpoĩtõr aliis formis quib ind̃iduatõ
sinemͣuelcorꝑenõ	sine mͣ uel corꝑe nõ
tingitꝯͣriũestaug̃VI	tingit ꝯͣriũ est aug̃ VI
detͥni.caͦVIuͥdicit	de tͥni. caͦ VI uͥ dicit
q̃dcreaturasp̃ualissic̃	q̃d creatura sp̃ualis sic̃
estaĩaincõrꝑatõequidẽcorꝑissimplicõrẽ	est aĩa in cõ r ꝑatõe quidẽ corꝑis simplicõr ẽ
licetĩcõꝑatõedeisitmultiplexquelalia	licet ĩ cõꝑatõe dei sit multiplex   quel alia
formapotestdicicorꝑaliscũmolecorꝑisdiffundat᷑Id̃o	forma potest dici corꝑalis cũ mole corꝑis diffundat᷑ Id̃o
sequit᷑q̃daĩaaliisformissitsimplicõrR̃nsiodd̃q̃d	sequit᷑ q̃d aĩa aliis formis sit simplicõr R̃nsio dd̃q̃d
triasũtillaqueadsimplicitaterequirũt᷑	tria sũt illa que ad simplicitate requirũt᷑
pͥmũ̃	pͥmũ ̃
ĩd̃isibl̃itaqua·H·lib̃tatep᷒s̃talioscorriꝑedũtacite	ĩd̃isibl̃ita qua ·H· lib̃tate p᷒s̃t alios corriꝑe dũ tacite
sibir̃ndentseead̃corrigũtꝯmissiseqm̃	sibi r̃ndent se ead̃ corrigũt ꝯmissise qm̃
ñpͭhortator	ñ pͭ hortator
eẽuiduitatisqͥꝯiugiaf	eẽ uiduitatis qͥ ꝯiugia f
taũitIneuãg̃qͦꝓbat᷑eũqͥ	taũit In euãg̃ qͦ ꝓbat᷑ eũ qͥ
tͣbẽgestatĩocl̃o	tͣbẽ gestat ĩ ocl̃o
suoñp᷒sefeseduc̃deocl̃ofr̃issuiIt̃	suo ñ p᷒se fes educ̃ de ocl̃o fr̃is sui It̃
d̃dpcc̃oriãdixͭde᷒qr̃tuenar.i᷒ticias	d̃d pcc̃ori ã dixͭ de᷒ qr̃ tu enar. i᷒ticias
etassũistest̃ͫm.ꝑostuũEt	et assũis test̃ͫ m. ꝑ os tuũ Et
ẜgg̃ͫc᷒uitadespic᷑ꝯre	ẜ gg̃ͫ c᷒ uita despic᷑ ꝯ re
statutdicatõꝯdẽpnet᷑	stat ut dicatõ ꝯdẽpnet᷑
hĩcẽeĩꝙ	hĩc ẽ eĩ ꝙ
ysaiasadñoaddicand̃mittend᷒pͥ᷒abtate	ysaias a dño ad dicand̃ mittend᷒ pͥ᷒ ab tate
mũda᷑etose᷒calcl̃otãgi᷑qͥforcipetolli᷑de	mũda᷑ et os e᷒ calcl̃o tãgi᷑ qͥ forcipe tolli᷑ de
altaripri᷒gͥdebsac̃doteserratasua	altari pri᷒ gͥ deb sac̃dotes errata sua
corrig̃ep᷒moͫadalienadiluendafestĩarNã	corrig̃e  p᷒moͫ ad aliena diluenda festĩar Nã
gall᷒pͥ᷒seipͫalaꝝũb̃ecorripitdeiñ	 gall᷒ pͥ᷒ se ipͫ alaꝝ ũb̃e corripit  deiñ
adhorascinendasceditsac̃dotes·H·pler̃exemͦsue	ad horas cinendas cedit sac̃dotes  ·H· pler̃ exemͦ sue
passiõisaccendũtqͦss̃uitdoctͥnediuti᷒ꝯfͬmareñ	passiõis accendũt qͦs s̃uit doctͥne diuti᷒ ꝯfͬmare ñ
p᷒s̃tetuitadisciplinisñeruditaexẽpreligiõisde	p᷒s̃t et uita disciplinis ñ erudita exẽp religiõis de
sepr̃arenescͭq̃ĩseip̃aexꝑimẽto	se pr̃are nescͭ q̃ ĩ se ip̃a exꝑimẽto
ñdidicͭUtguitaꝯũsaͦur̃airrehẽsibl̃is	ñ didicͭ Ut g uita  ꝯũsaͦ ur̃a irrehẽsibl̃is
appareatcet͛isluceatꝑplũexpedituͭsitiuxͣ	appareat  cet͛is luceat ꝑ plũ expedit uͭ sit iuxͣ
eccͣmcella	eccͣm cella
ur̃anl̃lusur̃marmal̃glaadferiend̃feratnͥ	ur̃a nl̃lus ur̃m arma l̃ gla ad feriend̃ ferat nͥ
fortetpr̃guerrel̃exꝓbabl̃ic̃atimornl̃l᷒	forte tpr̃ guerre l̃ ex ꝓbabl̃i c̃a timor nl̃l᷒
comãnutͥatne	comã nutͥat ne
barbãetun᷒qͥscoronãtõsurãhꝯgͧentesquas	barbã et un᷒qͥs coronã  tõsurã h ꝯgͧentes quas
̃ꝯiugatiñbigamipͥuilegio	̃ ꝯiugati ñ bigami pͥuilegio
cl̃icaliguaud̃etespubliceportentnl̃lusautcanũ	cl̃icali guaud̃e tes publice portent nl̃lus aut canũ
autauiũiocisĩs͛uiatnl̃lutatibcrapulis.i.	aut auiũ iocis ĩs͛uiat nl̃lu tatib crapulis .i.
gulositatibuslitibscurrilitatib᷒ꝑcussiõib᷒etblasfemiisunull᷒spͨtacl̃isaliqͥb	gulositatibus litib scurrilitatib᷒ ꝑcussiõib᷒ et blasfemiis u null᷒ spͨtacl̃is aliqͥb
q̃autĩnuptiis	q̃ aut ĩ nuptiis
autĩcenisfũitexhĩtersitspõpasscl̃i	aut ĩ cenis fũit exh ĩtersit s põpas scl̃i
ꝯuiuianotapucafugiatpͥuatauͦñpudicas	 ꝯuiuia nota puca fugiat pͥuata uͦ ñ pudica s
⁊sobriacolatUn᷒qͥs	⁊ sobria colat Un᷒qͥs
ur̃mdolos	ur̃m dolos
ꝯiuratõescodiũeml̃atõesobtͤctatõesatĩuidiã	 ꝯiuratões c odiũ eml̃atões obtͤctatões at ĩuidiã
effugiatñ	effugiat ñ
uagisoceffͤnatalĩguaaut	uagis oc effͤnata lĩgua aut
petulãtifluidoqĩgestuĩcedatspuac	petulãti fluidoq ĩ gestu ĩcedat s pu ac
ueꝯdiãmẽtissĩplici	ueꝯdiã mẽtis sĩplici
h̃ituĩcessuqost̃ndatobscenitatẽboꝝmẽbroꝝsic̃	h̃itu ĩcessuq ost̃ndat obscenitatẽ boꝝ  mẽbroꝝ sic̃ 
operũpẽit᷒execret᷑senioribdebit	operũ pẽit᷒ execret᷑ seniorib debit
atob̃iamn	at ob̃iam n
ulloiactãciestudioseipͫattollatbonismostudeat	ullo iactãcie studio se ipͫ attollat bonis mo studeat
abõibillicitiscoraclĩguãcorp᷒	 ab õib illicitis cor ac lĩguã  corp᷒
adeot̃reꝯsõis·H·	adeo t̃re ꝯs õis ·H·
iactãciaatĩmod̃atõabõis÷	iactãcia at ĩmod̃atõ a bõis ÷
moribalienanull᷒ꝑ	morib aliena null᷒ ꝑ
q̃dꝓuocem᷑adhũilitatemexemplosueconũsatõisꝑq̃dĩformem᷑	q̃d ꝓuocem᷑ ad hũilitatem exemplo sue conũsatõis ꝑ q̃d ĩformem᷑
adsc̃itatẽEtmemoriapassionisꝑq̃dincitemurad	ad sc̃itatẽ Et memoria passionis ꝑ q̃d incitemur ad
karitatẽQͣrtoscribiturinhoctemplo	karitatẽ Qͣrto scribitur in hoc templo
cordissp̃ualealphabetũsiuesp̃ualisscripturaHecã	cordis sp̃uale alphabetũ siue sp̃ualis scriptura Hec ã
scͥpturaq̃ibiscͥbiturtriplex	scͥptura q̃ ibi scͥbitur triplex
ests.dictamĩafaciendoꝝtestiõa	est s. dictamĩa faciendoꝝ testiõa
diuinoꝝbñficioꝝꝓpͥoꝝacc̃atõdelictoꝝDehiistribusRII	diuinoꝝ bñficioꝝ ꝓpͥoꝝ acc̃atõ delictoꝝ De hiis tribus R II
CIIGentesquelegẽnõ	C II Gentes que legẽ nõ
h̃ntnaturalr̃quelegissuntfaciunthi᷒	h̃nt naturalr̃ que legis sunt faciunt hi᷒
legemnõ	legem nõ
habentesipisibisuntlexquiostendũtopuslegisscriptũ	habentes ipi sibi sunt lex qui ostendũt opus legis scriptũ
incordibsuisEcce	in cordib suis Ecce
pͥmũtest̃millisReddenteꝯscĩaipoꝝeccescd̃met	pͥmũ test̃m illis Reddente ꝯscĩa ipoꝝ ecce scd̃m et
intrasecogitatõemaccusantiũul̃etiãdeffẽdenciũecceterciumQuinto	intra se cogitatõem accusantiũ ul̃ etiã deffẽdenciũ ecce tercium Quinto
debentpingicruces.i.assumipñie	debent pingi cruces .i. assumi pñie
asꝑritatesqueqͥdemdebẽtinungietigne	asꝑritates que qͥdem debẽt inungi et igne
illustrarinõ	illustrari  nõ
solumferendesuntpacientersetiãlibent̃q̃dꝑ	solum ferende sunt pacienter s etiã libent̃ q̃d ꝑ
unctionẽetardenterperignemUñB᷒Quiminatur	unctionẽ et ardenter per ignem Uñ B᷒ Qui minatur
terrorecrucemxp̃iportatpacient̃	terrore crucem xp̃i portat pacient̃
quiꝑficitĩspeportatlibent̃squiꝯsumatur	qui ꝑficit ĩ spe portat libent̃ s qui ꝯsumatur
inkaritateamplectituriamardenterb̃multiuidentcruces	in karitate amplectitur iam ardenter b̃ multi uident cruces
nr̃ass	nr̃as s
nonuidentunctionesnr̃asquigͥhoc	non uident unctiones nr̃as qui gͥ hoc
insehabebitueretemplũ	in se habebit uere templũ
adhonoremdeidedicatum	ad honorem dei dedicatum
eritDignus	erit Dignus
planeĩquo	plane ĩ quo
xp̃sh̃itetꝑgr̃amut	xp̃s h̃itet ꝑ gr̃am ut
tand̃ineohabitatedigneturꝑ	tand̃ in eo habitate dignetur ꝑ
gl̃amQ̃dipe	gl̃am Q̃d ipe
nobisprestaredignet᷑	nobis prestare dignet᷑
Quiuiuitetregnatdeusper	Qui uiuit et regnat deus per
om̃iascl̃ascl̃oꝝameNHicliberscriptus	om̃ia scl̃a scl̃oꝝ ameN Hic liber scriptus
fuitapudcysterciumAnnodominimillesimo	fuit apud cystercium Anno domini mil lesimo
CCCͦIIIIͦdecimokalẽdas	CCCͦ IIIIͦ decimo kalẽdas
marciiExpliciuntlegendesanctoꝝul̃passionaleadbreuiatumScriptoremgratum	marcii Expliciunt legende sanctoꝝ ul̃ passionale adbreuiatum Scriptorem gratum
faciatd̃s	faciat d̃s
atqbeatumEt	atq beatum Et
sibipͥmatumtribuatdeleat	sibi pͥmatum tribuat deleat
inreatumamẽScriberequi	in reatum amẽ Scribere qui
fecithunclibrumnon	fecit hunc librum non
malefecitIllediuduretpostmortem	malefecit Ille diu duret post mortem
syderacuretamẽHuncdegillentoCscripsitnonpede	sydera curet amẽ Hunc de gillento C scripsit non pede
lentoQuem	lento Quem
deusĩcelistradatmanibmichaelisAMENutrũ	deus ĩ celis tradat manib michaelis AMEN utrũ
taliaob̃a	talia ob̃a
ꝯc̃ꝯstãciistalibbsͨ	ꝯ c̃ꝯstãciis talibb sͨ
sintd̃isas.ꝙaliqͥs	sint d̃isa s. ꝙ aliqͥs
sicẽdispoĩt᷒ꝙtalebonũnõfac̃etꝯtemplacõne	sic ẽ dispoĩt᷒ ꝙ tale bonũ nõ fac̃et ꝯtemplacõne
minorisboniul̃	minoris boni ul̃
malissolũcõtẽplatõnemaiorisputaꝓuitãdodãpnoXII	mali s solũ cõtẽplatõne maioris puta ꝓ uitãdo dãpno XII
d̃nõiret	d̃ nõ iret
adeccamsꝓuitãdaunaũb̃atõneĩ	ad eccam s ꝓ uitãda una ũb̃atõne ĩ
capitl̃obñ	capitl̃o bñ
iretali᷒aut̃sicestdispoĩt᷒ꝙtl̃e	iret ali᷒ aut̃ sic est dispoĩt᷒ ꝙ tl̃e
bonũopusnõ	bonũ opus nõ
fac̃etꝯtẽplatõnemaioris	fac̃et ꝯtẽplatõne maioris
boniul̃malissolũminorisputa	boni ul̃ mali s solũ minoris puta
ꝓuitãdaunaũb̃atõeĩcapl̃onõiret	ꝓ uitãda una ũb̃atõe ĩ capl̃o nõ iret
sꝓuitãdodãpnoamusionis	s ꝓ uitãdo dãpno amusionis
XIId̃bñiretlñsine	XII d̃ bñ iret l ñ sine
alt̃oilloꝝnãsic̃ob̃aapuddiũsossich̃nt	alt̃o illoꝝ nã sic̃ ob̃a apud diũsos sic h̃nt
diũsasc̃ꝯstãciasitaꝙiͤh̃tob̃mꝯtalic̃ꝯstancia	diũsas c̃ꝯstãcias ita ꝙ iͤ h̃t ob̃m ꝯ tali c̃ꝯstancia
illeueroalia	ille uero alia
tũcfacilr̃	tũc facilr̃
pot̃im᷒ꝯꝑareact᷒	pot̃im᷒ ꝯꝑare act᷒
adĩuicẽsiuõ	ad ĩuicẽ si uõ
c̃ꝯstãcieutͦbiq	c̃ꝯstãcie utͦbiq
sĩttõisdeb̃etamitt̃etXIId̃si·H·gͣuit̃	sĩt tõis deb̃et amitt̃et XII d̃ si ·H· gͣuit̃
pcc̃atcui᷒	pcc̃at cui᷒
uolũtastẽtõneuiliorisfinisĩclinatpcc̃andũitam᷒ũtuose	uolũtas tẽtõne uilioris finis ĩclinat pcc̃andũ ita  m᷒ ũtuose
aqͥexmi᷒	a qͥ ex mi᷒
bonofine	bono fine
ĩclinat᷑afaciẽdũsi	ĩclinat᷑ afaciẽdũ si
·H·ut̃qtaliũeq̃lũtarie	·H· ut̃q taliũ eq̃ lũtarie
ul̃ĩuolũtarie	ul̃ ĩuolũtarie
feraip̃mbonũuolitũꝙͣntũadh̃	fera ip̃m bonũ uolitũ ꝙͣntũ ad h̃
nõur̃dmagisul̃m᷒bñfaꝙͣali᷒ẜ	nõ ur̃d magis ul̃ m᷒ bñ fa ꝙͣ ali᷒ ẜ
rõmipi᷒uolũtariisꝯtĩgitex	rõm ipi᷒ uolũtarii s ꝯtĩgit ex
rõnec̃ꝯstãcieaddUñsic̃fortitudoẽũtus	rõne c̃ꝯstãcie add Uñ sic̃ fortitudo ẽ ũtus
nobꝙͣlib̃alitasauariciapei᷒uꝙͣ	nob ꝙͣ lib̃alitas  auaricia pei᷒ u ꝙͣ
timiditasamareẜrõnũcorꝑis	timiditas  amare ẜ rõ nũ corꝑis
ẽmeli᷒ꝙͣ	ẽ meli᷒ ꝙͣ
amareext̃ioraẜrõmsb̃diẜ	amare ext̃iora ẜ rõm  sb̃di ẜ
appeꝑamorẽ	appe ꝑ amorẽ
ĩordinatũbonisexbẽpei᷒ꝙͣsb̃diẜ	ĩordinatũ bonis ex b ẽ pei᷒ ꝙͣ sb̃di ẜ
appetitũ	appetitũ 
ANnodñiMͦ	ANno dñi Mͦ
CCͦNonagͦ	CCͦ Nonagͦ
Vͦnõfuitcelebratũcapͫgñaleꝓpt̃mortẽ	Vͦ nõ fuit celebratũ capͫ gñale ꝓpt̃ mortẽ
ueñabilispr̃ismagistriordinisfr̃is	ueñabilis pr̃is magistri ordinis fr̃is
steph̃idebisũcioquiobiitĩꝯuẽtuluchano	steph̃i debisũcio qui obiit ĩ ꝯuẽtu luchano
romaneꝓuĩcieĩfestosc̃e	romane ꝓuĩcie ĩ festosc̃e
cecilieuirginisetmartiris	cecilie uirginis et martiris
AnnodñiMͦCCͦNonagͦIIIIͦANnodñiMͦCCͦ	Anno dñi Mͦ CCͦ Nonagͦ IIIIͦ ANno dñi Mͦ CCͦ
NonagͦVIͦ	Nonagͦ VIͦ
celebratũfuitLXXIcapͫgñaleĩargẽtinaĩꝓuinciatheutõie	celebratũ fuit LXXI capͫ gñale ĩ argẽtina ĩ ꝓuincia theutõie
inqͦcapͦfuitelc̃us	in qͦ capͦ fuit elc̃us
inmagistrũordinisueñabilispaterdñs	in magistrũ ordinis ueñabilis pater dñs
fraterNycholausdetriuisioqͥ	frater Nycholaus de triuisio qͥ
tũceratpͥorꝓuĩcialislõbardieANnodñiMͦCCͦNonagͦ	tũc erat pͥor ꝓuĩcialis lõbardie ANno dñi Mͦ CCͦ Nonagͦ
VIIͦcelebratũfuitLXXIIcapͫgñaleueneciisinꝓuĩcialõbardie	VIIͦ celebratũ fuit LXXII capͫ gñale ueneciis in ꝓuĩcia lõbardie
ANnodñiMͦCCCIͦcelebratumfuitLXXVcapͫgñale	 ANno dñi Mͦ CCCIͦ celebratum fuit LXXV capͫ gñale
colõieinꝓuĩciath̃otonie	colõie in ꝓuĩcia th̃otonie
inquocapͦfuitelc̃usinmagistrũ	in quo capͦ fuit elc̃us in magistrũ
ordinisfrat̃B̃nard᷒deiuzicodyoc̃uasaceñ	ordinis frat̃ B̃nard᷒ de iuzico dyoc̃ uasaceñ
deꝓuĩciatholosanaquitũcerat	de ꝓuĩcia tholosana qui tũc erat
pͥorꝓuĩcialisꝓuĩcie	pͥor ꝓuĩcialis ꝓuĩcie
nõdũdiuiseANno	nõdũ diuise ANno
dñiMͦCCCIIͦ	dñi Mͦ CCCIIͦ
celebratumfuitLXXVI	celebratum fuit LXXVI
capͫgñalebononieĩꝓuĩcialõbardieafato	capͫ gñale bononie ĩ ꝓuĩcia lõbardie a fato
magr̃o͛quiobiitpostdictũcapͫĩꝯuẽtutreũensi	magr̃o ͛ qui obiit post dictũ capͫ ĩ ꝯuẽtu treũensi
ĩꝓuĩcia	ĩ ꝓuĩcia
theutonieXVͦkls̃	theutonie XVͦ kls̃
octobrisin	octobris in
festob̃tilamb̃ti	festo b̃ti lamb̃ti
ANnodñiMͦCCCIIIIͦcelebratũfuit	ANno dñi Mͦ CCCIIIIͦ celebratũ fuit
LXXVIIIcapͫgñale	LXXVIII capͫ gñale
tholosexp̃ianus	tholose xp̃ianus
Illeuerexp̃ianusestqͥom̃ibmĩamfacit	Ille uere xp̃ianus est qͥ om̃ib mĩam facit
quinullaoĩomouet᷑ĩiuriaquialienũ	qui nulla oĩo mouet᷑ ĩiuria qui alienũ
dolorẽtãqͣmꝓpͥumsentitcui᷒mensãnl̃lus	dolorẽ tãqͣm ꝓpͥum sentit cui᷒ mensã nl̃lus
paup̃ignoratquicorãhõibingl̃iushabet᷑utcorã	paup̃ ignorat qui corã hõib ingl̃ius habet᷑ ut corã
deoangelisgl̃iet᷑	deo  angelis gl̃iet᷑
quit̃renaꝯtempnitutpossith̃re	qui t̃rena ꝯtempnit ut possit h̃re
celestiaquioppͥmiͭpauꝑẽsesentenõ	celestia qui oppͥmiͭ pauꝑẽ se sente nõ
patit᷑quimis̃issb̃uenitquiad	patit᷑ qui mis̃is sb̃uenit qui ad
fletumfletib	fletum fletib
ꝓuocat᷑alienisq̃dbenefaciebatpaulusquisĩfirmat᷑	ꝓuocat᷑ alienis q̃d bene faciebat paulus quis ĩfirmat᷑
egouõ	 ego uõ
ĩfirmoraug̃liodeuitaxp̃ͥana	ĩfirmor aug̃ lio de uita xp̃ͥana
xp̃ianinom̃	xp̃iani nom̃
illefrustͣsortit᷑quixp̃mm̃ime	ille frustͣ sortit᷑ qui xp̃m m̃ime
ĩmitat᷑quid	ĩmitat᷑ quid
·H·tͥꝓdestuocari	·H· tͥ ꝓdest uocari
ꝙnõesnom̃uiuatcruxestatque	ꝙ nõ es  nom̃ uiuat crux est atque
mrtymagxim᷒ĩs̃natal̃dñi	mrty magxim᷒ ĩ s̃ natal̃ dñi
ubifidesũitasfxp̃s	ubi fides ũitas f xp̃s
aEsuriuitxp̃s	a Esuriuit xp̃s
qͥom̃spasitiuit	qͥ om̃s pa sitiuit
ꝑquemcausat᷑on	ꝑ quem causat᷑ on
tusqui	tus  qui
sp̃ualit̃paniserienciũfonsqsitientiũat̃restͥfatigat᷒est	sp̃ualit̃ panis e rienciũ fonsq sitientiũ a t̃restͥ fatigat᷒ est
quisenob̃	qui se nob̃
uiãfecitĩcelũuelumutuit	uiã fecit ĩ celũ uelu mutuit 
obsurduitcorãciantibꝑquẽ	obsurduit corã ciantib ꝑ quẽ
mut᷒locusurd᷒audiuit	mut᷒ locu  surd᷒ audiuit
uinct᷒estdeĩfirmitatũuincl̃isnossolflagellat᷒	uinct᷒ est de ĩfirmitatũ uincl̃is nos sol flagellat᷒
estquiom̃iflagloꝝdehoĩmcorꝑibexpulit	est qui om̃i flag loꝝ de hoĩm corꝑib expulit
fix᷒estqui	fix᷒ est qui
cruciat᷒nr̃osfimortuu᷒est	cruciat᷒ nr̃os fi mortuu᷒ est
qͥmortuossuscsresurrexitnũꝙͣmorituAcidisse	qͥ mortuos susc s  resurrexit nũꝙͣ moritu Acidisse
aliquẽĩmocredũtpectorabrachia⁊	aliquẽ ĩmo credũt pectora brachia ⁊
uultũipugen᷒cibi⁊ex	uultũ ipu gen᷒ cibi ⁊ ex
hocauctorexclamãdodicitgͦꝗd	hoc auctor exclamãdo dicit gͦ ꝗd
dic̃etpictaul̃quonõfugeretsiuidẽt	dic̃et picta ul̃ quo nõ fugeret si uidẽt
hecmõstraquiabstinuitcũctisb.tanꝙͣ	hec mõstra qui abstinuit cũctis b. tanꝙͣ
abhoĩenec	ab hoĩe nec
indulsituentriom̃elegum̃qiͣdicatagorascredebatesse	indulsit uentri om̃e legum̃ qiͣ dica tagoras credebat esse
magnũnephasnocomed̃ehoĩegiptii	magnũ nephas no comed̃e hoĩ egiptii
sedmanducareaĩalia⁊õialegumina	sed manducare aĩalia ⁊ õia legumina
ꝙforti᷒ẽĩiinger̃eretardabatfinito	ꝙ forti᷒ ẽ ĩ i inger̃e retardabat finito
librositlaus⁊gl̃axp̃oam̃Isteliber	libro sit laus ⁊ gl̃a xp̃o am̃ Iste liber
quisenatori᷒uocat᷑fuitscͥpt᷒ꝑmenicolaũolim	qui senatori᷒ uocat᷑ fuit scͥpt᷒ ꝑ me nicolaũ olim
deꝑanno	de ꝑ anno
dñimillͦ	dñi millͦ
cccͦviiͦindictiõevͣtp̃redñi	cccͦ viiͦ indictiõe vͣ tp̃re dñi
clem̃tisp	clem̃tis p
annoei᷒ẜomẽsisalisdiexixͣ⁊fuit	anno ei᷒ ẜo mẽsis alis die xixͣ ⁊ fuit
ꝯpilat᷒quoad	ꝯpilat᷒ quo ad
lectinobilẽ⁊illustrẽuirũ	lecti nobilẽ ⁊ illustrẽ uirũ
dñmGentilẽ	dñm Gentilẽ
defiliisursitpr̃suisenat᷒P	de filiis ursi tpr̃ sui senat᷒ P
Asceoues	Asce oues
measinio.Sicutestinoꝑibmechanicisita	meas in io. Sicut est in oꝑib mechanicis ita
estinoꝑibusnostresalutissuomodoSed	est in oꝑibus nostre salutis suo modo Sed
uidemusquod	uidemus quod
qñartifexaͥcuiusartismechãicedebetaͥcubiꝓficisciinstruitaͥꝙͤ	qñ artifex aͥcuius artis mechãice debet aͥcubi ꝓficisci instruit aͥꝙͤ
deartesuapͤcipueetinforͣtcuicõmittit	de arte sua pͤcipue et inforͣt cui cõmittit
officiũsuũpostrecessũsuũexeꝙͤdum	officiũ suũ post recessũ suũ exeꝙͤdum
Sicfecitdñsih̃sxp̃sipe·H·quierat	Sic fecit dñs ih̃s xp̃s ipe ·H· qui erat
inhocmũdo	in hoc mũdo
rectoretpastor	rector et pastor
ouiũtociusgͤgis	ouiũ tocius gͤgis
eccͤrecessurusamũdoet	eccͤ recessurus a mũdo et
ascensurusin	ascensurus in
celũlocosuiinstituitadregim̃	celũ loco sui instituit ad regim̃
suigregisb̃tmapl̃msuũpetr̃etdemodo	sui gregis b̃tm apl̃m suũ petr̃ et de modo
regisinforͣuitdicenspasce	regis inforͣuit dicens pasce
ouesmeasinquibũbis	oues meas in quib ũbis
tͥanoͣnturpͥm̃estauctoͣspͤlatipͤsidentispascescd̃m	tͥa noͣntur pͥm̃ est auctoͣs pͤlati pͤsidentis pasce scd̃m
estcondc̃opp̃obedientisouest̃ciũ	est condc̃o pp̃ obedientis oues t̃ciũ
estaffc̃oxͥꝯmͭtentisin	est affc̃o xͥ ꝯ mͭtentis in
easobligaciopͤsidentis	eas obligacio pͤsidentis
estinsubuẽiendocũ	est in subuẽiendo cũ
sollicitudĩeCondc̃opp̃estinobediendocũmansuetudineaffc̃ocõmͭtentis	sollicitudĩe Condc̃o pp̃ est in obediendo cũ mansuetudine affc̃o cõmͭtentis
estincõmendandocũten͛itudĩePͥm̃	est in cõmendando cũ ten͛itudĩe Pͥm̃
gͦquodnoͣturinũbis	gͦ quod noͣtur in ũbis
ꝓpoĩtisestobligaciopͤlatipͤsidentisqueconsistitinsubuẽiendocũ	ꝓpoĩtis est obligacio pͤlati pͤsidentis que consistit in subuẽiendo cũ
sollicitudĩeinh̃quoddicit᷑pasceAd	sollicitudĩe in h̃ quod dicit᷑ pasce Ad
hoc·H·obligant᷑pͤsidentesetpͤlati	hoc ·H· obligant᷑ pͤsidentes et pͤlati
